编辑本段,bian'ji'ben'duan
兵工七子之一,bing'gong'qi'zi'zhi'yi
博士点个,bo'shi'dian'ge
创办时间年,chuang'ban'shi'jian'nian
发展历程,fa'zhan'li'cheng
个国家级俄语中心,ge'guo'jia'ji'e'yu'zhong'xin
个国家计划重点实验室,ge'guo'jia'ji'hua'zhong'dian'shi'yan'shi
个辽宁省重大科技平台,ge'liao'ning'sheng'zhong'da'ke'ji'ping'tai
科研实力,ke'yan'shi'li
类别公立大学,lei'bie'gong'li'da'xue
历史沿革,li'shi'yan'ge
目录,mu'lu
人才培养,ren'cai'pei'yang
沈阳理工大学夜景,shen'yang'li'gong'da'xue'ye'jing
师资力量,shi'zi'li'liang
硕士点个,shuo'shi'dian'ge
所属地区中国辽宁沈阳,suo'shu'di'qu'zhong'guo'liao'ning'shen'yang
现任校长刘军,xian'ren'xiao'zhang'liu'jun
校训弘志励学德才并蓄,xiao'xun'hong'zhi'li'xue'de'cai'bing'xu
校园文化,xiao'yuan'wen'hua
学校简介,xue'xiao'jian'jie
学校类型工科,xue'xiao'lei'xing'gong'ke
学校领导,xue'xiao'ling'dao
学校属性卓越计划,xue'xiao'shu'xing'zhuo'yue'ji'hua
优势领域机械信息装备材料,you'shi'ling'yu'ji'xie'xin'xi'zhuang'bei'cai'liao
院士人,yuan'shi'ren
展开,zhan'kai
知名校友蒋洪运徐斌陆浩林溪石,zhi'ming'xiao'you'jiang'hong'yun'xu'bin'lu'hao'lin'xi'shi
中文名沈阳理工大学,zhong'wen'ming'shen'yang'li'gong'da'xue
主管部门辽宁省教育厅,zhu'guan'bu'men'liao'ning'sheng'jiao'yu'ting
