袄身意思就是很脏,ao'shen'yi'si'jiu'shi'hen'zang
白不爪没事,bai'bu'zhao'mei'shi
逼都就是耳光的意思,bi'dou'jiu'shi'er'guang'de'yi'si
逼马或出,bi'ma'huo'chu
比如求米性眼,bi'ru'qiu'mi'xing'yan
撮个蛋意思就是捣乱,cuo'ge'dan'yi'si'jiu'shi'dao'luan
得蓝二性,de'lan'er'xing
冬冬不识冬冬没眼稍,dong'dong'bu'shi'dong'dong'mei'yan'shao
个接意思就是用胳膊夹上,ge'jie'yi'si'jiu'shi'yong'ge'bo'jia'shang
个栽的去意思就是一边玩去,ge'zai'de'qu'yi'si'jiu'shi'yi'bian'wan'qu
裹粗麻旦不平整皱巴巴,guo'cu'ma'dan'bu'ping'zheng'zhou'ba'ba
还吼儿就是非常的意思,hai'hou'er'jiu'shi'fei'chang'de'yi'si
还有就是不熟儿,hai'you'jiu'shi'bu'shou'er
就是我今天非常难受,jiu'shi'wo'jin'tian'fei'chang'nan'shou
就是这个家伙不机迷,jiu'shi'zhe'ge'jia'huo'bu'ji'mi
窝几个囊,wo'ji'ge'nang
我今天吼儿难受,wo'jin'tian'hou'er'nan'shou
无接六受形容无聊不舒服,wu'jie'liu'shou'xing'rong'wu'liao'bu'shu'fu
