艾滋病防治条例,ai'zi'bing'fang'zhi'tiao'li
暗补,an'bu
按份共有,an'fen'gong'you
按份责任,an'fen'ze'ren
按份之债,an'fen'zhi'zhai
案件,an'jian
案件材料,an'jian'cai'liao
案件发回,an'jian'fa'hui
案件名称,an'jian'ming'cheng
案件排期,an'jian'pai'qi
案件受理费,an'jian'shou'li'fei
暗亏,an'kui
案情陈述书,an'qing'chen'shu'shu
案情复杂,an'qing'fu'za
案情重大,an'qing'zhong'da
安全局,an'quan'ju
安全评价机构管理规定,an'quan'ping'jia'ji'gou'guan'li'gui'ding
安全生产法,an'quan'sheng'chan'fa
安全生产培训管理办法,an'quan'sheng'chan'pei'xun'guan'li'ban'fa
安全生产许可证条例,an'quan'sheng'chan'xu'ke'zheng'tiao'li
案外人,an'wai'ren
案由,an'you
案值,an'zhi
案子,an'zi
澳门特别行政区驻军法,ao'men'te'bie'xing'zheng'qu'zhu'jun'fa
败诉方,bai'su'fang
办案,ban'an
办案人员,ban'an'ren'yuan
颁布,ban'bu
颁发营业执照,ban'fa'ying'ye'zhi'zhao
办公厅,ban'gong'ting
办理,ban'li
办理存款业务,ban'li'cun'kuan'ye'wu
版权,ban'quan
版权局,ban'quan'ju
报案,bao'an
包办婚姻,bao'ban'hun'yin
包庇罪,bao'bi'zui
报废汽车回收管理办法,bao'fei'qi'che'hui'shou'guan'li'ban'fa
保健食品注册管理办法,bao'jian'shi'pin'zhu'ce'guan'li'ban'fa
保金措施申请书,bao'jin'cuo'shi'shen'qing'shu
包揽诉讼,bao'lan'su'song
保密局,bao'mi'ju
保全措施,bao'quan'cuo'shi
报社记者站管理办法,bao'she'ji'zhe'zhan'guan'li'ban'fa
保守国家秘密法,bao'shou'guo'jia'mi'mi'fa
保税区,bao'shui'qu
保险保障基金管理办法,bao'xian'bao'zhang'ji'jin'guan'li'ban'fa
保险标的,bao'xian'biao'di
保险代理机构管理规定,bao'xian'dai'li'ji'gou'guan'li'gui'ding
保险代理人,bao'xian'dai'li'ren
保险单,bao'xian'dan
保险法,bao'xian'fa
保险费,bao'xian'fei
保险合同,bao'xian'he'tong
保险监督管理委员会,bao'xian'jian'du'guan'li'wei'yuan'hui
保险金额,bao'xian'jin'e
保险经纪公司管理规定,bao'xian'jing'ji'gong'si'guan'li'gui'ding
保险经纪机构管理规定,bao'xian'jing'ji'ji'gou'guan'li'gui'ding
保险经纪人,bao'xian'jing'ji'ren
保险利益,bao'xian'li'yi
保险赔偿,bao'xian'pei'chang
保险凭证,bao'xian'ping'zheng
保险期限,bao'xian'qi'xian
保险人,bao'xian'ren
保险事故,bao'xian'shi'gu
保险统计管理暂行规定,bao'xian'tong'ji'guan'li'zan'xing'gui'ding
保险营销员管理规定,bao'xian'ying'xiao'yuan'guan'li'gui'ding
爆炸危险场所安全规定,bao'zha'wei'xian'chang'suo'an'quan'gui'ding
保障措施条例,bao'zhang'cuo'shi'tiao'li
保证,bao'zheng
保证保险,bao'zheng'bao'xian
保证合同,bao'zheng'he'tong
保证金,bao'zheng'jin
保证金帐户,bao'zheng'jin'zhang'hu
保证人,bao'zheng'ren
保证书,bao'zheng'shu
保证条款,bao'zheng'tiao'kuan
报纸管理暂行规定,bao'zhi'guan'li'zan'xing'gui'ding
保值利率,bao'zhi'li'lv
包租运输合同,bao'zu'yun'shu'he'tong
保佐,bao'zuo
被保险人,bei'bao'xian'ren
被背书人,bei'bei'shu'ren
被裁定为,bei'cai'ding'wei
被陈述人,bei'chen'shu'ren
被代理人,bei'dai'li'ren
备付金,bei'fu'jin
被告,bei'gao
被告人辨解,bei'gao'ren'bian'jie
被告人最后陈述,bei'gao'ren'zui'hou'chen'shu
被害人,bei'hai'ren
被害人过错,bei'hai'ren'guo'cuo
被上诉人,bei'shang'su'ren
被申请执行人,bei'shen'qing'zhi'xing'ren
被诉人,bei'su'ren
被选举,bei'xuan'ju
被选举权,bei'xuan'ju'quan
被执行人,bei'zhi'xing'ren
本案,ben'an
本案律师,ben'an'lv'shi
本代理,ben'dai'li
本代理人,ben'dai'li'ren
本地律师,ben'di'lv'shi
本国公司,ben'guo'gong'si
本票,ben'piao
本人,ben'ren
本诉,ben'su
本外币并账,ben'wai'bi'bing'zhang
本外币对冲操作,ben'wai'bi'dui'chong'cao'zuo
本位利益,ben'wei'li'yi
奔小康,ben'xiao'kang
比较刑法学,bi'jiao'xing'fa'xue
笔录,bi'lu
避税,bi'shui
必要共同诉讼人,bi'yao'gong'tong'su'song'ren
毕业证,bi'ye'zheng
币种搭配不当,bi'zhong'da'pei'bu'dang
币种构成,bi'zhong'gou'cheng
辩护,bian'hu
辩护词,bian'hu'ci
辩护阶段,bian'hu'jie'duan
辩护律师,bian'hu'lv'shi
辩护人,bian'hu'ren
辩护要点,bian'hu'yao'dian
辩护意见,bian'hu'yi'jian
辩护证据,bian'hu'zheng'ju
边境贸易外汇管理办法,bian'jing'mao'yi'wai'hui'guan'li'ban'fa
变通管辖,bian'tong'guan'xia
变相社会集资,bian'xiang'she'hui'ji'zi
编制委员会,bian'zhi'wei'yuan'hui
表见代理,biao'jian'dai'li
表决,biao'jue
表决权,biao'jue'quan
表决权股,biao'jue'quan'gu
表外科目,biao'wai'ke'mu
表现代理,biao'xian'dai'li
标准化法,biao'zhun'hua'fa
标准局,biao'zhun'ju
兵器工业总公司,bing'qi'gong'ye'zong'gong'si
兵役法,bing'yi'fa
渤海生物资源养护规定,bo'hai'sheng'wu'zi'yuan'yang'hu'gui'ding
驳回,bo'hui
驳回反诉,bo'hui'fan'su
驳回上诉,bo'hui'shang'su
驳回诉讼,bo'hui'su'song
驳回通知书,bo'hui'tong'zhi'shu
驳回自诉,bo'hui'zi'su
驳回自诉裁定书,bo'hui'zi'su'cai'ding'shu
薄弱环节,bo'ruo'huan'jie
博物馆管理办法,bo'wu'guan'guan'li'ban'fa
不安抗辩权,bu'an'kang'bian'quan
不变成本,bu'bian'cheng'ben
不变价,bu'bian'jia
补偿报酬,bu'chang'bao'chou
补充答辩,bu'chong'da'bian
补充判决,bu'chong'pan'jue
补充侦查,bu'chong'zhen'cha
不当得利,bu'dang'de'li
不当履行,bu'dang'lv'xing
不动产,bu'dong'chan
不公开审理,bu'gong'kai'shen'li
不记名票据,bu'ji'ming'piao'ju
不具有法律效力,bu'ju'you'fa'lv'xiao'li
不可反言,bu'ke'fan'yan
不可分物,bu'ke'fen'wu
不可抗力,bu'ke'kang'li
不可侵犯权,bu'ke'qin'fan'quan
不良贷款,bu'liang'dai'kuan
不履行合同,bu'lv'xing'he'tong
不履行合约,bu'lv'xing'he'yue
不能避免,bu'neng'bi'mian
不能成立,bu'neng'cheng'li
不能预见,bu'neng'yu'jian
不批准逮捕决定书,bu'pi'zhun'dai'bu'jue'ding'shu
不起诉,bu'qi'su
不时,bu'shi
不行为,bu'xing'wei
不要式民事法律行为,bu'yao'shi'min'shi'fa'lv'xing'wei
不要式民事行为,bu'yao'shi'min'shi'xing'wei
不要因民事法律行为,bu'yao'yin'min'shi'fa'lv'xing'wei
不予受理起诉通知书,bu'yu'shou'li'qi'su'tong'zhi'shu
不予支持,bu'yu'zhi'chi
不作为,bu'zuo'wei
财产,cai'chan
财产保全,cai'chan'bao'quan
财产保全申请书,cai'chan'bao'quan'shen'qing'shu
财产保险,cai'chan'bao'xian
财产担保,cai'chan'dan'bao
财产分割,cai'chan'fen'ge
财产损失,cai'chan'sun'shi
财产所有权,cai'chan'suo'you'quan
财产租赁,cai'chan'zu'lin
裁定,cai'ding
裁定书,cai'ding'shu
