阿尔贝德拉帕朗地质学院,a'er'bei'de'la'pa'lang'di'zhi'xue'yuan
阿尔卑斯,a'er'bei'si
阿尔卑斯山,a'er'bei'si'shan
阿尔夫尔国立兽医学校,a'er'fu'er'guo'li'shou'yi'xue'xiao
阿尔萨斯,a'er'sa'si
阿尔图瓦大学,a'er'tu'wa'da'xue
阿坤廷,a'kun'ting
阿拉伯古惑王,a'la'bo'gu'huo'wang
阿拉贡,a'la'gong
阿拉斯,a'la'si
阿莱斯矿业学校,a'lai'si'kuang'ye'xue'xiao
阿雷拉特,a'lei'la'te
阿纳西,a'na'xi
阿维尼翁,a'wei'ni'weng
阿维尼翁大学,a'wei'ni'weng'da'xue
阿雅克修,a'ya'ke'xiu
艾代克高等商业学校,ai'dai'ke'gao'deng'shang'ye'xue'xiao
埃菲尔铁塔,ai'fei'er'tie'ta
埃夫里大学,ai'fu'li'da'xue
埃及女王任务,ai'ji'nv'wang'ren'wu
艾克斯,ai'ke'si
艾克斯马赛二大,ai'ke'si'ma'sai'er'da
艾克斯马赛三大,ai'ke'si'ma'sai'san'da
艾克斯马赛一大,ai'ke'si'ma'sai'yi'da
爱丽舍宫,ai'li'she'gong
安第列斯圭亚那大学,an'di'lie'si'gui'ya'na'da'xue
盎格鲁撒克逊人,ang'ge'lu'sa'ke'xun'ren
昂古莱姆商业管理学校,ang'gu'lai'mu'shang'ye'guan'li'xue'xiao
昂热大学,ang're'da'xue
昂热高等农业学校,ang're'gao'deng'nong'ye'xue'xiao
昂热高等商业科学学校,ang're'gao'deng'shang'ye'ke'xue'xue'xiao
奥尔良,ao'er'liang
奥尔良大学,ao'er'liang'da'xue
奥尔良商业管理学校,ao'er'liang'shang'ye'guan'li'xue'xiao
奥弗涅,ao'fu'nie
奥克语,ao'ke'yu
奥赛美术馆,ao'sai'mei'shu'guan
奥斯汀博物馆,ao'si'ting'bo'wu'guan
奥维尔涅,ao'wei'er'nie
奥约纳高等塑料加工学校,ao'yue'na'gao'deng'su'liao'jia'gong'xue'xiao
巴尔扎克,ba'er'zha'ke
巴黎,ba'li
巴黎八大,ba'li'ba'da
巴黎残老军人院,ba'li'can'lao'jun'ren'yuan
巴黎春天,ba'li'chun'tian
巴黎大区,ba'li'da'qu
巴黎地球物理学院,ba'li'di'qiu'wu'li'xue'yuan
巴黎电力与机械专业学校,ba'li'dian'li'yu'ji'xie'zhuan'ye'xue'xiao
巴黎东方语言文化学院,ba'li'dong'fang'yu'yan'wen'hua'xue'yuan
巴黎二大,ba'li'er'da
巴黎高等城市工程学校,ba'li'gao'deng'cheng'shi'gong'cheng'xue'xiao
巴黎高等商业学校,ba'li'gao'deng'shang'ye'xue'xiao
巴黎高等社会科学研究学校,ba'li'gao'deng'she'hui'ke'xue'yan'jiu'xue'xiao
巴黎高等师范学校,ba'li'gao'deng'shi'fan'xue'xiao
巴黎高等研究实践学院,ba'li'gao'deng'yan'jiu'shi'jian'xue'yuan
巴黎格里尼翁国立农业学院,ba'li'ge'li'ni'weng'guo'li'nong'ye'xue'yuan
巴黎工商会商业学校,ba'li'gong'shang'hui'shang'ye'xue'xiao
巴黎国际商业销售学院,ba'li'guo'ji'shang'ye'xiao'shou'xue'yuan
巴黎国立高等化工学校,ba'li'guo'li'gao'deng'hua'gong'xue'xiao
巴黎竞赛报,ba'li'jing'sai'bao
巴黎九大,ba'li'jiu'da
巴黎六大,ba'li'liu'da
巴黎七大,ba'li'qi'da
巴黎三大,ba'li'san'da
巴黎商业进修中心,ba'li'shang'ye'jin'xiu'zhong'xin
巴黎圣心教堂,ba'li'sheng'xin'jiao'tang
巴黎十大,ba'li'shi'da
巴黎十二大,ba'li'shi'er'da
巴黎市工程师学校,ba'li'shi'gong'cheng'shi'xue'xiao
巴黎市工业物理化学学校,ba'li'shi'gong'ye'wu'li'hua'xue'xue'xiao
巴黎十三大,ba'li'shi'san'da
巴黎十一大,ba'li'shi'yi'da
巴黎市政工程建筑工业专科学校,ba'li'shi'zheng'gong'cheng'jian'zhu'gong'ye'zhuan'ke'xue'xiao
巴黎四大,ba'li'si'da
巴黎五大,ba'li'wu'da
巴黎一大,ba'li'yi'da
巴黎政治学院,ba'li'zheng'zhi'xue'yuan
巴黎中央理工学校,ba'li'zhong'yang'li'gong'xue'xiao
巴士底广场,ba'shi'di'guang'chang
巴士底狱,ba'shi'di'yu
巴斯蒂亚商业管理学校,ba'si'di'ya'shang'ye'guan'li'xue'xiao
巴约纳商业管理学校,ba'yue'na'shang'ye'guan'li'xue'xiao
白日美人,bai'ri'mei'ren
贝尔福蒙贝利亚技术大学,bei'er'fu'meng'bei'li'ya'ji'shu'da'xue
贝尔福蒙博里亚技术大学,bei'er'fu'meng'bo'li'ya'ji'shu'da'xue
北方高等商业学校,bei'fang'gao'deng'shang'ye'xue'xiao
北方商业进修中心,bei'fang'shang'ye'jin'xiu'zhong'xin
北加莱海峡,bei'jia'lai'hai'xia
贝拉科广场,bei'la'ke'guang'chang
