爱尚丽,ai'shang'li
安阜街,an'fu'jie
安居,an'ju
奥徽生物,ao'hui'sheng'wu
坝口街,ba'kou'jie
八里庙,ba'li'miao
八里营,ba'li'ying
八铺街,ba'pu'jie
八铺社区,ba'pu'she'qu
百花公园,bai'hua'gong'yuan
百货大楼,bai'huo'da'lou
百货站宿舍,bai'huo'zhan'su'she
白衣堂,bai'yi'tang
半截阁,ban'jie'ge
北菜市,bei'cai'shi
北门小区,bei'men'xiao'qu
北王,bei'wang
北王三村,bei'wang'san'cun
甏肉干饭,beng'rou'gan'fan
碧水云天,bi'shui'yun'tian
扁担街,bian'dan'jie
滨河花园,bin'he'hua'yuan
博古园,bo'gu'yuan
博古庄,bo'gu'zhuang
财神阁,cai'shen'ge
菜市西区,cai'shi'xi'qu
曹东村,cao'dong'cun
曹林,cao'lin
草桥口,cao'qiao'kou
草桥口茶叶批发市场,cao'qiao'kou'cha'ye'pi'fa'shi'chang
柴禾市,chai'he'shi
长安小区,chang'an'xiao'qu
长沟,chang'gou
长沟镇,chang'gou'zhen
长虹小区,chang'hong'xiao'qu
常青路,chang'qing'lu
车轮厂,che'lun'chang
车轮厂宿舍,che'lun'chang'su'she
车站东路,che'zhan'dong'lu
车站西路,che'zhan'xi'lu
城建中专,cheng'jian'zhong'zhuan
崇文大道,chong'wen'da'dao
崇文名都,chong'wen'ming'du
翠竹园,cui'zhu'yuan
崔庄,cui'zhuang
大悲庵,da'bei'an
大市公安局,da'shi'gong'an'ju
大通,da'tong
大运河,da'yun'he
大闸口,da'zha'kou
岱庄,dai'zhuang
迪尔宿舍,di'er'su'she
地下娱乐城,di'xia'yu'le'cheng
第一加油站,di'yi'jia'you'zhan
地质花园,di'zhi'hua'yuan
电厂北宿舍,dian'chang'bei'su'she
电厂北苑,dian'chang'bei'yuan
电力二处,dian'li'er'chu
电力二公司,dian'li'er'gong'si
电力医院,dian'li'yi'yuan
电业局宿舍,dian'ye'ju'su'she
叠翠园,die'cui'yuan
东发居委,dong'fa'ju'wei
东贯,dong'guan
东郊果品批发市场,dong'jiao'guo'pin'pi'fa'shi'chang
东柳行,dong'liu'xing
东门,dong'men
东门樱花园,dong'men'ying'hua'yuan
东五里营,dong'wu'li'ying
东五里营批发市场,dong'wu'li'ying'pi'fa'shi'chang
冬絮园,dong'xu'yuan
东闸小区,dong'zha'xiao'qu
杜庙村,du'miao'cun
都市春天,du'shi'chun'tian
都市花园,du'shi'hua'yuan
二号井,er'hao'jing
二十里铺,er'shi'li'pu
二院,er'yuan
粉莲街,fen'lian'jie
凤凰台,feng'huang'tai
府河,fu'he
府河西街,fu'he'xi'jie
府河小区,fu'he'xiao'qu
富民商店,fu'min'shang'dian
阜桥口,fu'qiao'kou
复兴小区,fu'xing'xiao'qu
附院,fu'yuan
附院花园,fu'yuan'hua'yuan
供水集团,gong'shui'ji'tuan
古槐路,gu'huai'lu
古槐商务楼,gu'huai'shang'wu'lou
古楷园,gu'kai'yuan
古柳派出所,gu'liu'pai'chu'suo
关帝庙,guan'di'miao
冠亚星城,guan'ya'xing'cheng
观音阁,guan'yin'ge
观音阁水果批发市场,guan'yin'ge'shui'guo'pi'fa'shi'chang
光河花园,guang'he'hua'yuan
洸河路,guang'he'lu
光河人家,guang'he'ren'jia
光明小区,guang'ming'xiao'qu
贵和花园,gui'he'hua'yuan
桂圆小区,gui'yuan'xiao'qu
国光批发市场,guo'guang'pi'fa'shi'chang
国光新苑,guo'guang'xin'yuan
锅炉厂宿舍,guo'lu'chang'su'she
海尔大厦,hai'er'da'sha
海关路,hai'guan'lu
海关宿舍,hai'guan'su'she
汉石桥,han'shi'qiao
航运局,hang'yun'ju
航运新村,hang'yun'xin'cun
荷花路,he'hua'lu
核桃园,he'tao'yuan
河晏门,he'yan'men
红庙屯,hong'miao'tun
鸿顺花园,hong'shun'hua'yuan
红星东路,hong'xing'dong'lu
红星西路,hong'xing'xi'lu
红星小区,hong'xing'xiao'qu
红星中路,hong'xing'zhong'lu
后郭,hou'guo
后三里营,hou'san'li'ying
糊篓子,hu'lou'zi
华联,hua'lian
化纤厂,hua'xian'chang
淮海局,huai'hai'ju
环北花园,huan'bei'hua'yuan
浣笔泉,huan'bi'quan
浣笔泉路,huan'bi'quan'lu
浣笔泉小区,huan'bi'quan'xiao'qu
环城西路,huan'cheng'xi'lu
黄朋湾,huang'peng'wan
