安吉县,an'ji'xian
安澜路,an'lan'lu
安阳,an'yang
岙底乡,ao'di'xiang
鳌江镇,ao'jiang'zhen
白石镇,bai'shi'zhen
百丈漈镇,bai'zhang'ji'zhen
百丈镇,bai'zhang'zhen
包垟乡,bao'yang'xiang
北岙镇,bei'ao'zhen
北白象,bei'bai'xiang
北白象镇,bei'bai'xiang'zhen
北麂乡,bei'ji'xiang
北龙乡,bei'long'xiang
北仑区,bei'lun'qu
碑排乡,bei'pai'xiang
碧莲镇,bi'lian'zhen
碧山镇,bi'shan'zhen
碧水豪园,bi'shui'hao'yuan
表山乡,biao'shan'xiang
滨江区,bin'jiang'qu
苍南县,cang'nan'xian
曹村镇,cao'cun'zhen
茶山,cha'shan
昌禅乡,chang'chan'xiang
常山县,chang'shan'xian
长兴县,chang'xing'xian
潮基乡,chao'ji'xiang
朝阳乡,chao'yang'xiang
城北乡,cheng'bei'xiang
城市阳光,cheng'shi'yang'guang
赤溪镇,chi'xi'zhen
淳安县,chun'an'xian
慈溪市,ci'xi'shi
大安乡,da'an'xiang
大岙乡,da'ao'xiang
大荆镇,da'jing'zhen
大门镇,da'men'zhen
大南乡,da'nan'xiang
大箬岩镇,da'ruo'yan'zhen
大市聚镇,da'shi'ju'zhen
大峃镇,da'xue'zhen
大渔镇,da'yu'zhen
岱东船厂,dai'dong'chuan'chang
岱东镇,dai'dong'zhen
岱岭畲族乡,dai'ling'she'zu'xiang
岱山初级中学,dai'shan'chu'ji'zhong'xue
岱山船厂,dai'shan'chuan'chang
岱山电信局,dai'shan'dian'xin'ju
岱山技校,dai'shan'ji'xiao
岱山粮食局,dai'shan'liang'shi'ju
岱山县,dai'shan'xian
岱山县政府,dai'shan'xian'zheng'fu
岱山一万二发电厂,dai'shan'yi'wan'er'fa'dian'chang
岱山邮政局,dai'shan'you'zheng'ju
岱山职业技校,dai'shan'zhi'ye'ji'xiao
岱山中学,dai'shan'zhong'xue
岱西镇,dai'xi'zhen
淡溪镇,dan'xi'zhen
德清县,de'qing'xian
定海区,ding'hai'qu
东皋乡,dong'gao'xiang
东屏镇,dong'ping'zhen
东山,dong'shan
洞头县,dong'tou'xian
东溪乡,dong'xi'xiang
东岩乡,dong'yan'xiang
东阳市,dong'yang'shi
陡门乡,dou'men'xiang
对港山,dui'gang'shan
