阿里巴巴,a'li'ba'ba
阿里旺旺,a'li'wang'wang
阿里助手,a'li'zhu'shou
安防,an'fang
百团大战,bai'tuan'da'zhan
办公楼租售,ban'gong'lou'zu'shou
办公设备,ban'gong'she'bei
宝贝分类,bao'bei'fen'lei
宝贝描述,bao'bei'miao'shu
保健品,bao'jian'pin
保健器械,bao'jian'qi'xie
包快递,bao'kuai'di
包平邮,bao'ping'you
包邮,bao'you
报纸,bao'zhi
笔记本电脑,bi'ji'ben'dian'nao
避孕用品,bi'yun'yong'pin
表面一致,biao'mian'yi'zhi
布艺,bu'yi
彩妆,cai'zhuang
仓库里的宝贝,cang'ku'li'de'bao'bei
差评,cha'ping
茶叶,cha'ye
长途装潢,chang'tu'zhuang'huang
成人用品,cheng'ren'yong'pin
诚信通,cheng'xin'tong
承运单号,cheng'yun'dan'hao
承运公司,cheng'yun'gong'si
重复铺货,chong'fu'pu'huo
宠物,chong'wu
宠物食品,chong'wu'shi'pin
橱窗推荐,chu'chuang'tui'jian
厨房餐饮,chu'fang'can'yin
出价,chu'jia
出售中的宝贝,chu'shou'zhong'de'bao'bei
窗帘,chuang'lian
床上用品,chuang'shang'yong'pin
大范宁,da'fan'ning
代购,dai'gou
代销,dai'xiao
蛋糕配送,dan'gao'pei'song
灯具,deng'ju
登录密码,deng'lu'mi'ma
底价,di'jia
店标,dian'biao
电话灯,dian'hua'deng
点卡,dian'ka
电脑软件,dian'nao'ruan'jian
电脑硬件,dian'nao'ying'jian
店铺街,dian'pu'jie
店铺推荐,dian'pu'tui'jian
电视,dian'shi
电玩,dian'wan
电子元件,dian'zi'yuan'jian
定制,ding'zhi
动漫,dong'man
二手闲置,er'shou'xian'zhi
二心,er'xin
二钻,er'zuan
发货,fa'huo
发货单号,fa'huo'dan'hao
翡翠,fei'cui
风火天地,feng'huo'tian'di
疯狂团购,feng'kuang'tuan'gou
福彩,fu'cai
服饰配件,fu'shi'pei'jian
改装,gai'zhuang
个性,ge'xing
工程音响,gong'cheng'yin'xiang
攻略,gong'lue
工艺品,gong'yi'pin
购物车,gou'wu'che
购物优惠券,gou'wu'you'hui'quan
古董,gu'dong
广告商品,guang'gao'shang'pin
