阿巴泰,a'ba'tai
阿拜,a'bai
阿尔布巴,a'er'bu'ba
阿尔吉善,a'er'ji'shan
阿尔松阿,a'er'song'a
阿尔通阿,a'er'tong'a
阿桂,a'gui
阿哈,a'ha
阿济格,a'ji'ge
阿克敦,a'ke'dun
阿喇尼,a'la'ni
阿里衮,a'li'gun
阿灵阿,a'ling'a
阿敏,a'min
阿敏道,a'min'dao
阿睦尔撒纳,a'mu'er'sa'na
阿思哈,a'si'ha
阿台,a'tai
阿玉锡,a'yu'xi
叆鸡堡,ai'ji'bao
爱塔,ai'ta
安费扬古,an'fei'yang'gu
昂邦章京,ang'bang'zhang'jing
奥巴贝勒,ao'ba'bei'le
鳌拜,ao'bai
巴海,ba'hai
八疏,ba'shu
巴雅喇,ba'ya'la
巴约特部,ba'yue'te'bu
巴忠,ba'zhong
拜顿,bai'dun
柏贵,bai'gui
白马河,bai'ma'he
白齐文,bai'qi'wen
柏葰,bai'sui
白显忠,bai'xian'zhong
白兴元,bai'xing'yuan
班布尔善,ban'bu'er'shan
班第,ban'di
班第达,ban'di'da
班滚,ban'gun
班珠尔,ban'zhu'er
鲍超,bao'chao
鲍起豹,bao'qi'bao
保泰,bao'tai
宝鋆,bao'yun
北白川能久,bei'bai'chuan'neng'jiu
陛辞,bi'ci
陛见,bi'jian
毕金科,bi'jin'ke
毕沅,bi'yuan
卞宝第,bian'bao'di
卞三元,bian'san'yuan
博穆博果尔,bo'mu'bo'guo'er
博硕克图汗,bo'shuo'ke'tu'han
布拉敦,bu'la'dun
蔡毓荣,cai'yu'rong
蔡元隆,cai'yuan'long
仓央嘉措,cang'yang'jia'cuo
曹申吉,cao'shen'ji
曹寅,cao'yin
曹振镛,cao'zhen'yong
曹正榜,cao'zheng'bang
策楞,ce'leng
策凌,ce'ling
策凌敦多布,ce'ling'dun'duo'bu
策妄阿拉布坦,ce'wang'a'la'bu'tan
策妄达什,ce'wang'da'shen
策妄多尔济,ce'wang'duo'er'ji
策妄札卜,ce'wang'zha'bu
曾国葆,ceng'guo'bao
曾锦谦,ceng'jin'qian
曾立昌,ceng'li'chang
曾天养,ceng'tian'yang
曾养性,ceng'yang'xing
察珲多尔济,cha'hui'duo'er'ji
柴大纪,chai'da'ji
常大淳,chang'da'chun
长谷川好道,chang'gu'chuan'hao'dao
长龄,chang'ling
常宁,chang'ning
常青,chang'qing
长顺,chang'shun
超勇,chao'yong
陈炳文,chen'bing'wen
陈策,chen'ce
陈承瑢,chen'cheng'rong
陈福,chen'fu
陈宏谋,chen'hong'mou
陈潢,chen'huang
陈辉祖,chen'hui'zu
陈坤书,chen'kun'shu
陈连陞,chen'lian'sheng
陈良策,chen'liang'ce
陈鹏年,chen'peng'nian
陈启迈,chen'qi'mai
陈世保,chen'shi'bao
陈士杰,chen'shi'jie
陈廷香,chen'ting'xiang
陈永华,chen'yong'hua
陈玉成,chen'yu'cheng
陈宗扬,chen'zong'yang
程璧光,cheng'bi'guang
成大吉,cheng'da'ji
成德,cheng'de
成衮,cheng'gun
成衮扎布,cheng'gun'zha'bu
成欢驿,cheng'huan'yi
程学启,cheng'xue'qi
程矞采,cheng'yu'cai
