爱咋咋去,ai'za'za'qu
安仁镇,an'ren'zhen
把人都能,ba'ren'dou'neng
把人能,ba'ren'neng
把我能,ba'wo'neng
白村,bai'cun
百富烤霸,bai'fu'kao'ba
白港,bai'gang
百合园,bai'he'yuan
百家碎戏,bai'jia'sui'xi
百良镇,bai'liang'zhen
白水,bai'shui
白水的,bai'shui'de
白水了,bai'shui'le
白水县,bai'shui'xian
北庄,bei'zhuang
毕家,bi'jia
不干撒,bu'gan'sa
不片,bu'pian
不片了,bu'pian'le
不想咋,bu'xiang'za
不些,bu'xie
不招式,bu'zhao'shi
不知道木,bu'zhi'dao'mu
蔡邓,cai'deng
仓程路,cang'cheng'lu
曹村,cao'cun
朝阳公园,chao'yang'gong'yuan
陈庄,chen'zhuang
陈庄镇,chen'zhuang'zhen
澄城,cheng'cheng
澄城县,cheng'cheng'xian
澄城中学,cheng'cheng'zhong'xue
城东客运站,cheng'dong'ke'yun'zhan
城关镇,cheng'guan'zhen
城关中学,cheng'guan'zhong'xue
澄合,cheng'he
程家,cheng'jia
城郊中学,cheng'jiao'zhong'xue
澄县,cheng'xian
赤水,chi'shui
赤水湾,chi'shui'wan
吃席,chi'xi
抽黄,chou'huang
处女泉,chu'nv'quan
锤子里,chui'zi'li
锤子呢,chui'zi'ne
椿林乡,chun'lin'xiang
瓷锤,ci'chui
从渭南,cong'wei'nan
凑说,cou'shuo
大很,da'hen
大孔乡,da'kong'xiang
大荔,da'li
大荔的,da'li'de
大荔县,da'li'xian
大荔中学,da'li'zhong'xue
大太,da'tai
大渭南,da'wei'nan
代家,dai'jia
淡村镇,dan'cun'zhen
单身楼,dan'shen'lou
党家村,dang'jia'cun
党木,dang'mu
党睦镇,dang'mu'zhen
党炜,dang'wei
到富平,dao'fu'ping
到韩城,dao'han'cheng
到蒲城,dao'pu'cheng
到陕西,dao'shan'xi
到渭南,dao'wei'nan
到渭南了,dao'wei'nan'le
到贤镇,dao'xian'zhen
底店,di'dian
东陈镇,dong'chen'zhen
东段,dong'duan
东风大街,dong'feng'da'jie
董家河,dong'jia'he
东上官,dong'shang'guan
东杨乡,dong'yang'xiang
豆腐菜,dou'fu'cai
都么说,dou'me'shuo
都能行,dou'neng'xing
杜村,du'cun
杜桥中学,du'qiao'zhong'xue
段家,duan'jia
对了些,dui'le'xie
多太,duo'tai
多太太,duo'tai'tai
额局,e'ju
额十,e'shi
恶心很,e'xin'hen
二锤子,er'chui'zi
二得很,er'de'hen
乏不乏,fa'bu'fa
乏死了,fa'si'le
乏太,fa'tai
烦人很,fan'ren'hen
烦太,fan'tai
饭一吃,fan'yi'chi
坊镇,fang'zhen
冯雷镇,feng'lei'zhen
冯原,feng'yuan
富平,fu'ping
富平的,fu'ping'de
富平了,fu'ping'le
富平人,fu'ping'ren
富平县,fu'ping'xian
甘井,gan'jing
甘井镇,gan'jing'zhen
赶快做饭,gan'kuai'zuo'fan
干撒里,gan'sa'li
干啥里,gan'sha'li
干什么里,gan'shen'me'li
敢睡吧,gan'shui'ba
搞笑很,gao'xiao'hen
高新中学,gao'xin'zhong'xue
高阳镇,gao'yang'zhen
个你发信息,ge'ni'fa'xin'xi
给伙,gei'huo
给娃,gei'wa
给我娃,gei'wo'wa
给我一说,gei'wo'yi'shuo
跟啥一样,gen'sha'yi'yang
宫里镇,gong'li'zhen
瓜很,gua'hen
瓜坡镇,gua'po'zhen
瓜子娃,gua'zi'wa
官池,guan'chi
官池镇,guan'chi'zhen
官底,guan'di
管他去,guan'ta'qu
贵很,gui'hen
还没能好,hai'mei'neng'hao
害怕很,hai'pa'hen
韩城,han'cheng
韩城的,han'cheng'de
韩城了,han'cheng'le
韩城人,han'cheng'ren
韩城市,han'cheng'shi
罕井,han'jing
罕井镇,han'jing'zhen
好吃很,hao'chi'hen
好的里,hao'de'li
好看很,hao'kan'hen
好女娃,hao'nv'wa
豪润御城,hao'run'yu'cheng
好太,hao'tai
和你片,he'ni'pian
合阳,he'yang
合阳的,he'yang'de
合阳了,he'yang'le
合阳人,he'yang'ren
合阳县,he'yang'xian
合阳中学,he'yang'zhong'xue
黑池,hei'chi
红草帽,hong'cao'mao
葫芦头,hu'lu'tou
胡说里,hu'shuo'li
胡转,hu'zhuan
花城路,hua'cheng'lu
华山,hua'shan
华山北,hua'shan'bei
华山了,hua'shan'le
华山网,hua'shan'wang
华县,hua'xian
华县的,hua'xian'de
华阴,hua'yin
华阴的,hua'yin'de
华阴市,hua'yin'shi
华元,hua'yuan
黄河厂,huang'he'chang
回大荔,hui'da'li
会房子,hui'fang'zi
回韩城,hui'han'cheng
回蒲城,hui'pu'cheng
回渭南,hui'wei'nan
惠园小区,hui'yuan'xiao'qu
计财股,ji'cai'gu
继昌,ji'chang
家福乐,jia'fu'le
贾曲乡,jia'qu'xiang
家乡饼,jia'xiang'bing
交斜,jiao'xie
教育组,jiao'yu'zu
金城办,jin'cheng'ban
金堆,jin'dui
金堆城,jin'dui'cheng
近很,jin'hen
金丝大峡谷,jin'si'da'xia'gu
金粟山,jin'su'shan
金塔路,jin'ta'lu
精神大,jing'shen'da
荆姚,jing'yao
荆姚镇,jing'yao'zhen
就说木,jiu'shuo'mu
居家乐,ju'jia'le
局一中,ju'yi'zhong
开房子,kai'fang'zi
看把人,kan'ba'ren
看把娃,kan'ba'wa
砍头子,kan'tou'zi
看娃,kan'wa
可爱很,ke'ai'hen
科利马擦,ke'li'ma'ca
可怜很,ke'lian'hen
可咋了,ke'za'le
恐怖很,kong'bu'hen
快对了,kuai'dui'le
快太,kuai'tai
困太,kun'tai
来富平,lai'fu'ping
来韩城,lai'han'cheng
来蒲城,lai'pu'cheng
来渭南,lai'wei'nan
烂干,lan'gan
烂很,lan'hen
浪不,lang'bu
浪的美,lang'de'mei
浪回来,lang'hui'lai
浪美了,lang'mei'le
浪去,lang'qu
浪去了,lang'qu'le
老城,lao'cheng
老城街,lao'cheng'jie
劳的,lao'de
老汉呢,lao'han'ne
老庙镇,lao'miao'zhen
劳人局,lao'ren'ju
劳死了,lao'si'le
乐天大街,le'tian'da'jie
雷村,lei'cun
雷村乡,lei'cun'xiang
雷东,lei'dong
雷公路,lei'gong'lu
雷家洼,lei'jia'wa
累太,lei'tai
雷庄,lei'zhuang
冷很,leng'hen
冷太,leng'tai
李家堡,li'jia'bao
里木,li'mu
莲花寺,lian'hua'si
连墙,lian'qiang
凉快很,liang'kuai'hen
两宜镇,liang'yi'zhen
吝店,lin'dian
林皋,lin'gao
临渭,lin'wei
临渭分局,lin'wei'fen'ju
临渭区,lin'wei'qu
零公里,ling'gong'li
零口,ling'kou
留古镇,liu'gu'zhen
刘家洼,liu'jia'wa
流曲镇,liu'qu'zhen
龙池乡,long'chi'xiang
隆发,long'fa
龙钢,long'gang
龙门镇,long'men'zhen
龙首坝,long'shou'ba
龙亭镇,long'ting'zhen
龙阳镇,long'yang'zhen
录分线,lu'fen'xian
路井,lu'jing
路井镇,lu'jing'zhen
卤阳湖,lu'yang'hu
乱很,luan'hen
洛滨,luo'bin
洛滨镇,luo'bin'zhen
罗夫,luo'fu
马家庄,ma'jia'zhuang
麻食,ma'shi
慢很,man'hen
漫泉河,man'quan'he
忙的里,mang'de'li
忙很,mang'hen
忙啥哩,mang'sha'li
忙太,mang'tai
毛记,mao'ji
贸易广场,mao'yi'guang'chang
么费,me'fei
么干撒,me'gan'sa
么干啥,me'gan'sha
么回去,me'hui'qu
么见,me'jian
么见你,me'jian'ni
么马达,me'ma'da
么拿,me'na
么事干,me'shi'gan
么说啥,me'shuo'sha
么因,me'yin
没马达,mei'ma'da
美木,mei'mu
美太,mei'tai
美太太,mei'tai'tai
