娭毑,ai'jie
爱老婆,ai'lao'po
爱人啊,ai'ren'a
安置区,an'zhi'qu
八教,ba'jiao
八仙桥,ba'xian'qiao
百度烤肉,bai'du'kao'rou
拜节,bai'jie
摆看,bai'kan
白马湖,bai'ma'hu
白石,bai'shi
白石公园,bai'shi'gong'yuan
白石广场,bai'shi'guang'chang
百姓家园,bai'xing'jia'yuan
般般子,ban'ban'zi
半边街,ban'bian'jie
板塘,ban'tang
板塘铺,ban'tang'pu
宝里宝气,bao'li'bao'qi
宝塔街道,bao'ta'jie'dao
宝塔路,bao'ta'lu
宝塔路口,bao'ta'lu'kou
北斗村,bei'dou'cun
背时鬼,bei'shi'gui
北校门口,bei'xiao'men'kou
别港,bie'gang
别崽子,bie'zai'zi
槟榔,bing'lang
步步高,bu'bu'gao
不齿你,bu'chi'ni
不齿我,bu'chi'wo
不得吧,bu'de'ba
不得完,bu'de'wan
不懂味,bu'dong'wei
不好不,bu'hao'bu
不好类,bu'hao'lei
不好恰,bu'hao'qia
不记得去了,bu'ji'de'qu'le
不可能咯,bu'ke'neng'ge
不肯我,bu'ken'wo
不蛮好,bu'man'hao
不恰,bu'qia
不是类,bu'shi'lei
不硕,bu'shuo
不谈爱,bu'tan'ai
不晓跌,bu'xiao'die
不要好久,bu'yao'hao'jiu
不做声,bu'zuo'sheng
灿别,can'bie
茶恩,cha'en
茶恩寺,cha'en'si
茶花林,cha'hua'lin
长城乡,chang'cheng'xiang
长沙了,chang'sha'le
长株潭,chang'zhu'tan
城步,cheng'bu
城里头,cheng'li'tou
城市鸽子,cheng'shi'ge'zi
城市盒子,cheng'shi'he'zi
吃槟榔,chi'bing'lang
冲蛋,chong'dan
抽逼,chou'bi
出来不咯,chu'lai'bu'lo
春满江南,chun'man'jiang'nan
戳把子,chuo'ba'zi
从长沙,cong'chang'sha
从湘潭,cong'xiang'tan
撮把子,cuo'ba'zi
打港,da'gang
大湖,da'hu
打撸,da'lu
大热门,da're'men
大围山,da'wei'shan
大湘潭,da'xiang'tan
大洋百货,da'yang'bai'huo
打止,da'zhi
打字咯,da'zi'ge
到湖南,dao'hu'nan
到你屋里,dao'ni'wu'li
到我屋里,dao'wo'wu'li
到湘潭,dao'xiang'tan
到株洲,dao'zhu'zhou
等下咯,deng'xia'ge
滴水洞,di'shui'dong
电池盖,dian'chi'gai
点味,dian'wei
店子里,dian'zi'li
调子高,diao'zi'gao
东方海岸,dong'fang'hai'an
东方名苑,dong'fang'ming'yuan
东湖路,dong'hu'lu
洞口县,dong'kou'xian
东台山,dong'tai'shan
懂味,dong'wei
豆屎,dou'shi
都市一时间,du'shi'yi'shi'jian
对河,dui'he
堕落街,duo'luo'jie
多恰,duo'qia
饿死去,e'si'qu
嗯好咯,en'hao'lo
嗯咯,en'lo
嗯咯嗯咯,en'lo'en'lo
嗯喽,en'lou
嗯路,en'lu
恩诺,en'nuo
二大桥,er'da'qiao
二环线,er'huan'xian
发宝气,fa'bao'qi
法学楼,fa'xue'lou
飞快的,fei'kuai'de
分路口,fen'lu'kou
风车坪,feng'che'ping
疯了去,feng'le'qu
芙蓉路,fu'rong'lu
福寿堂,fu'shou'tang
服务大楼,fu'wu'da'lou
福星楼,fu'xing'lou
盖码饭,gai'ma'fan
干扣,gan'kou
干什么咯,gan'shen'me'ge
港不清,gang'bu'qing
港得,gang'de
港咯,gang'ge
钢一,gang'yi
搞不成器,gao'bu'cheng'qi
搞饭,gao'fan
搞饭菜,gao'fan'cai
搞饭吃,gao'fan'chi
搞咯,gao'ge
搞起我,gao'qi'wo
告诉你咯,gao'su'ni'ge
告诉我咯,gao'su'wo'ge
跟你说咯,gen'ni'shuo'ge
工程日志,gong'cheng'ri'zhi
工科楼,gong'ke'lou
工贸新区,gong'mao'xin'qu
故里居,gu'li'ju
刮凉粉,gua'liang'fen
鬼崽子,gui'zai'zi
锅饺,guo'jiao
果栗至尊,guo'li'zhi'zun
哈利油,ha'li'you
哈特波波,ha'te'bo'bo
还不是咯,hai'bu'shi'ge
还好不咯,hai'hao'bu'ge
还冒得,hai'mao'de
还要不得,hai'yao'bu'de
还在长沙,hai'zai'chang'sha
还只要,hai'zhi'yao
好摆,hao'bai
浩别,hao'bie
好点休息,hao'dian'xiu'xi
好多把多,hao'duo'ba'duo
好烦操,hao'fan'cao
好咯好咯,hao'lo'hao'lo
好没味,hao'mei'wei
好诺,hao'nuo
好恰,hao'qia
好硕,hao'shuo
好玩不咯,hao'wan'bu'ge
好些不,hao'xie'bu
好有味,hao'you'wei
号子,hao'zi
河边上,he'bian'shang
和诚行,he'cheng'xing
河东大道,he'dong'da'dao
和噶,he'ga
和平公园,he'ping'gong'yuan
荷塘乡,he'tang'xiang
和天下,he'tian'xia
荷香饭,he'xiang'fan
红美蓉,hong'mei'rong
红旗村,hong'qi'cun
红旗商贸城,hong'qi'shang'mao'cheng
红旗社区,hong'qi'she'qu
侯家塘,hou'jia'tang
湖科吧,hu'ke'ba
湖科大,hu'ke'da
湖南段,hu'nan'duan
湖南工程,hu'nan'gong'cheng
湖南工程学院,hu'nan'gong'cheng'xue'yuan
湖南科大,hu'nan'ke'da
湖南科技,hu'nan'ke'ji
湖南科技大学,hu'nan'ke'ji'da'xue
湖南省,hu'nan'sheng
湖南省湘潭市,hu'nan'sheng'xiang'tan'shi
湖南湘潭,hu'nan'xiang'tan
湖南移动,hu'nan'yi'dong
湖师大,hu'shi'da
护潭,hu'tan
护潭乡,hu'tan'xiang
湖湘林语,hu'xiang'lin'yu
花鼓戏,hua'gu'xi
华隆,hua'long
化龙池,hua'long'chi
华融湘江,hua'rong'xiang'jiang
华融湘江银行,hua'rong'xiang'jiang'yin'hang
化生子,hua'sheng'zi
花石,hua'shi
华雅花园,hua'ya'hua'yuan
花之林,hua'zhi'lin
黄花机场,huang'hua'ji'chang
黄土岭,huang'tu'ling
黄鸭叫,huang'ya'jiao
回湘潭,hui'xiang'tan
回湘乡,hui'xiang'xiang
吉安路,ji'an'lu
几个熟人,ji'ge'shu'ren
几好的,ji'hao'de
基建营,ji'jian'ying
机械院,ji'xie'yuan
佳别,jia'bie
家家美,jia'jia'mei
健力美,jian'li'mei
建设北路,jian'she'bei'lu
建设路口,jian'she'lu'kou
江麓,jiang'lu
姜畲,jiang'she
姜畲镇,jiang'she'zhen
杰别,jie'bie
解放村,jie'fang'cun
接钱,jie'qian
金芙蓉,jin'fu'rong
金翰林,jin'han'lin
金侨城,jin'qiao'cheng
金庭,jin'ting
