白辣椒炒腊黄牛肉,bai'la'jiao'chao'la'huang'niu'rou
百灵菇扣花胶,bai'ling'gu'kou'hua'jiao
鲍汁鱼籽梅花参,bao'zhi'yu'zi'mei'hua'can
鲍汁竹荪蛋拼鱼唇,bao'zhi'zhu'sun'dan'pin'yu'chun
冰镇红蛰头,bing'zhen'hong'zhe'tou
参皇水晶鸡,can'huang'shui'jing'ji
茶皇菇炒牛柳,cha'huang'gu'chao'niu'liu
常德干煎刨盐鱼,chang'de'gan'jian'bao'yan'yu
豉汁泰椒浸海螺,chi'zhi'tai'jiao'jin'hai'luo
虫草炖水鸭,chong'cao'dun'shui'ya
虫草花炖野龟,chong'cao'hua'dun'ye'gui
川北凉粉,chuan'bei'liang'fen
川味沸腾鱼,chuan'wei'fei'teng'yu
川味口水鸡,chuan'wei'kou'shui'ji
大麦煮鲜鲍,da'mai'zhu'xian'bao
大盆口味花菜,da'pen'kou'wei'hua'cai
豆豉擂辣椒,dou'chi'lei'la'jiao
肚尖捞爽鳝,du'jian'lao'shuang'shan
剁椒焖地皮菜,duo'jiao'men'di'pi'cai
剁椒蒸芋头仔,duo'jiao'zheng'yu'tou'zi
鹅肝肉粒四季豆,e'gan'rou'li'si'ji'dou
方鱼炒芥兰苗,fang'yu'chao'jie'lan'miao
佛跳墙,fo'tiao'qiang
夫妻肺片,fu'qi'fei'pian
芙蓉蒜香骨,fu'rong'suan'xiang'gu
芙蓉香辣虾,fu'rong'xiang'la'xia
干锅茶树菇,gan'guo'cha'shu'gu
干锅带皮黄牛肉,gan'guo'dai'pi'huang'niu'rou
干锅黄骨鱼,gan'guo'huang'gu'yu
干锅秘制水鱼,gan'guo'mi'zhi'shui'yu
干锅飘香鸡,gan'guo'piao'xiang'ji
干锅青笋腊肉,gan'guo'qing'sun'la'rou
干锅手撕包菜,gan'guo'shou'si'bao'cai
干锅田鸡,gan'guo'tian'ji
贡菜拌海蜇,gong'cai'ban'hai'zhe
古法焖鸸鹋掌,gu'fa'men'er'miao'zhang
广式老姜狗仔鸭,guang'shi'lao'jiang'gou'zi'ya
桂花彩蝶,gui'hua'cai'die
龟苓膏,gui'ling'gao
荷包蛋焖鲜鱼肚,he'bao'dan'men'xian'yu'du
荷香糯米排骨,he'xiang'nuo'mi'pai'gu
红葱头煎焗鸡,hong'cong'tou'jian'ju'ji
红油猪耳,hong'you'zhu'er
鸡婆笋炒外婆菜,ji'po'sun'chao'wai'po'cai
鸡汤浸菜苗,ji'tang'jin'cai'miao
鸡汤浸时蔬,ji'tang'jin'shi'shu
鸡汁油豆腐,ji'zhi'you'dou'fu
