阿兵哥,a'bing'ge
啊不然,a'bu'ran
阿达子,a'da'zi
阿罗海,a'luo'hai
啊小,a'xiao
爱困了,ai'kun'le
爱水,ai'shui
安德鲁森,an'de'lu'sen
安暖,an'nuan
安然桥,an'ran'qiao
安怎说,an'zen'shuo
安置地,an'zhi'di
奥古特,ao'gu'te
澳角,ao'jiao
八卦楼,ba'gua'lou
拔起来,ba'qi'lai
拜公,bai'gong
百花村,bai'hua'cun
白礁,bai'jiao
百乐园,bai'le'yuan
白楼,bai'lou
白水,bai'shui
白水洋,bai'shui'yang
半丁,ban'ding
坂头,ban'tou
帮忙下,bang'mang'xia
榜山,bang'shan
榜山镇,bang'shan'zhen
榜头,bang'tou
宝马会,bao'ma'hui
北溪头,bei'xi'tou
本地话,ben'di'hua
本机资费,ben'ji'zi'fei
本来的,ben'lai'de
本来就是了,ben'lai'jiu'shi'le
本一,ben'yi
本一线,ben'yi'xian
碧芬,bi'fen
碧湖,bi'hu
碧华,bi'hua
比较不好,bi'jiao'bu'hao
比较不会,bi'jiao'bu'hui
比较不热,bi'jiao'bu're
变很多,bian'hen'duo
扁食,bian'shi
博饼,bo'bing
博文楼,bo'wen'lou
补充包,bu'chong'bao
不错吃,bu'cuo'chi
不错看,bu'cuo'kan
不错了啦,bu'cuo'le'la
不好料,bu'hao'liao
不会读书,bu'hui'du'shu
不会啦,bu'hui'la
不会说啦,bu'hui'shuo'la
不去了啦,bu'qu'le'la
不然哪里,bu'ran'na'li
不然你来,bu'ran'ni'lai
不然你去,bu'ran'ni'qu
不然你是,bu'ran'ni'shi
不然你说,bu'ran'ni'shuo
不然你要,bu'ran'ni'yao
不然你在,bu'ran'ni'zai
不然是,bu'ran'shi
不然是什么,bu'ran'shi'shen'me
不然是谁,bu'ran'shi'shui
不然无聊,bu'ran'wu'liao
不然要干嘛,bu'ran'yao'gan'ma
不要嘞,bu'yao'le
不要了啦,bu'yao'le'la
不一定啦,bu'yi'ding'la
猜看看,cai'kan'kan
蔡坑,cai'keng
才要去,cai'yao'qu
惨被,can'bei
草弟,cao'di
草鸡买,cao'ji'mai
草枝摆,cao'zhi'bai
茶店,cha'dian
茶都,cha'dou
差看看,cha'kan'kan
茶客,cha'ke
茶叶店,cha'ye'dian
常山,chang'shan
长泰,chang'tai
长泰的,chang'tai'de
长泰了,chang'tai'le
长泰县,chang'tai'xian
长汀,chang'ting
陈城,chen'cheng
陈岱,chen'dai
陈副,chen'fu
程溪,cheng'xi
城职,cheng'zhi
吃饱撑着,chi'bao'cheng'zhe
吃饱睡,chi'bao'shui
吃冰,chi'bing
吃点心,chi'dian'xin
吃饭下,chi'fan'xia
吃好了吧,chi'hao'le'ba
吃好了啦,chi'hao'le'la
吃好了没,chi'hao'le'mei
吃好了没有,chi'hao'le'mei'you
吃好了那,chi'hao'le'na
吃好料,chi'hao'liao
赤湖,chi'hu
吃节,chi'jie
吃看看,chi'kan'kan
吃卤面,chi'lu'mian
吃下饭,chi'xia'fan
吃下药,chi'xia'yao
抽成,chou'cheng
臭头,chou'tou
出来去,chu'lai'qu
穿看看,chuan'kan'kan
吹瓶,chui'ping
从厦门,cong'xia'men
从漳州,cong'zhang'zhou
打八十,da'ba'shi
大茶杯,da'cha'bei
大产,da'chan
大呆,da'dai
大丰收,da'feng'shou
打公交,da'gong'jiao
大济,da'ji
大径村,da'jing'cun
打看看,da'kan'kan
大闽网,da'min'wang
大目,da'mu
大南坂,da'nan'ban
大亭,da'ting
大通北,da'tong'bei
大通北路,da'tong'bei'lu
大尾,da'wei
大尾鲈鳗,da'wei'lu'man
大溪,da'xi
打下电话,da'xia'dian'hua
达志,da'zhi
代志,dai'zhi
丹霞,dan'xia
丹霞路,dan'xia'lu
到福建,dao'fu'jian
到了啦,dao'le'la
到龙岩,dao'long'yan
岛内价,dao'nei'jia
到厦门,dao'xia'men
到漳州,dao'zhang'zhou
到漳州了,dao'zhang'zhou'le
地瓜粥,di'gua'zhou
迪克士,di'ke'shi
第一码头,di'yi'ma'tou
店地,dian'di
电风吹,dian'feng'chui
点心了,dian'xin'le
冻不住,dong'bu'zhu
动车站,dong'che'zhan
动力杯,dong'li'bei
东南花都,dong'nan'hua'du
东铺头,dong'pu'tou
东山,dong'shan
东山岛,dong'shan'dao
东山的,dong'shan'de
东山了,dong'shan'le
东山县,dong'shan'xian
冻未条,dong'wei'tiao
东肖,dong'xiao
东园,dong'yuan
都几岁,dou'ji'sui
都嘛是,dou'ma'shi
都没读,dou'mei'du
都没叫我,dou'mei'jiao'wo
独辫子,du'bian'zi
读不下,du'bu'xia
读不下去,du'bu'xia'qu
渡头,du'tou
度尾,du'wei
笃行楼,du'xing'lou
杜浔,du'xun
段花,duan'hua
段长,duan'zhang
对哄,dui'hong
对啦对啦,dui'la'dui'la
鹅仙洞,e'xian'dong
嗯吧,en'ba
嗯嗯吧,en'en'ba
嗯嗯哈,en'en'ha
嗯嗯啦,en'en'la
嗯嗯呀,en'en'ya
嗯好啦,en'hao'la
二宜楼,er'yi'lou
二职,er'zhi
二职校,er'zhi'xiao
发给我下,fa'gei'wo'xia
发看看,fa'kan'kan
梵高,fan'gao
放叼,fang'diao
非师,fei'shi
风动石,feng'dong'shi
凤凰吧,feng'huang'ba
丰山,feng'shan
风水世家,feng'shui'shi'jia
丰庭,feng'ting
佛昙,fo'tan
福鼎肉片,fu'ding'rou'pian
浮宫镇,fu'gong'zhen
福海阳光,fu'hai'yang'guang
福建省,fu'jian'sheng
福建移动,fu'jian'yi'dong
福建漳州,fu'jian'zhang'zhou
福隆城,fu'long'cheng
福师大,fu'shi'da
福州女,fu'zhou'nv
改天啦,gai'tian'la
概统,gai'tong
甘苦,gan'ku
干你老,gan'ni'lao
干你老师,gan'ni'lao'shi
干你妈,gan'ni'ma
港都,gang'du
港尾,gang'wei
港尾镇,gang'wei'zhen
刚要,gang'yao
刚要吃,gang'yao'chi
刚要吃饭,gang'yao'chi'fan
刚要出门,gang'yao'chu'men
刚要出去,gang'yao'chu'qu
刚要过去,gang'yao'guo'qu
刚要回家,gang'yao'hui'jia
刚要回去,gang'yao'hui'qu
刚要来,gang'yao'lai
刚要去,gang'yao'qu
刚要去吃,gang'yao'qu'chi
刚要睡,gang'yao'shui
刚要洗澡,gang'yao'xi'zao
刚在吃,gang'zai'chi
刚早睡,gang'zao'shui
高车,gao'che
高坑,gao'keng
高丽菜,gao'li'cai
搞死掉,gao'si'diao
高职单招,gao'zhi'dan'zhao
割后,ge'hou
葛山,ge'shan
歌仔戏,ge'zai'xi
宫前,gong'qian
公一,gong'yi
古雷,gu'lei
古雷港,gu'lei'gang
古楼,gu'lou
古农,gu'nong
骨之味,gu'zhi'wei
古锥,gu'zhui
冠城,guan'cheng
关帝庙,guan'di'miao
关店,guan'dian
官山,guan'shan
管他去死,guan'ta'qu'si
官浔,guan'xun
观音山,guan'yin'shan
桂溪,gui'xi
锅边糊,guo'bian'hu
过阶段,guo'jie'duan
郭坑,guo'keng
果酷,guo'ku
过来泡茶,guo'lai'pao'cha
过来我家,guo'lai'wo'jia
过来坐,guo'lai'zuo
海沧,hai'cang
海澄镇,hai'cheng'zhen
还好而已,hai'hao'er'yi
还很久,hai'hen'jiu
海蛎煎,hai'li'jian
还没啦,hai'mei'la
还没有啦,hai'mei'you'la
还那么久,hai'na'me'jiu
还在厦门,hai'zai'xia'men
还在漳州,hai'zai'zhang'zhou
汗小,han'xiao
汗小小,han'xiao'xiao
好爱困,hao'ai'kun
好不爱,hao'bu'ai
好才,hao'cai
豪嘉基,hao'jia'ji
豪佳香,hao'jia'xiang
好康,hao'kang
好料的,hao'liao'de
号码卡,hao'ma'ka
好命人,hao'ming'ren
河尾,he'wei
和溪,he'xi
黑弟,hei'di
很爱困,hen'ai'kun
很不爱,hen'bu'ai
很好睡,hen'hao'shui
很好赚,hen'hao'zhuan
鸿斌,hong'bin
红坊,hong'fang
鸿渐,hong'jian
鸿杰,hong'jie
哄屁,hong'pi
后吧,hou'ba
后港,hou'gang
后坑,hou'keng
后楼池,hou'lou'chi
后时,hou'shi
湖滨南,hu'bin'nan
湖心岛,hu'xin'dao
华安,hua'an
华安县,hua'an'xian
花博会,hua'bo'hui
花博园,hua'bo'yuan
划龙舟,hua'long'zhou
华元,hua'yuan
欢乐聚,huan'le'ju
黄仓,huang'cang
黄道周,huang'dao'zhou
黄井,huang'jing
惠斌,hui'bin
会不会累,hui'bu'hui'lei
惠芬,hui'fen
惠华,hui'hua
回家了啦,hui'jia'le'la
惠娇,hui'jiao
惠娟,hui'juan
回来了啦,hui'lai'le'la
会忙吗,hui'mang'ma
惠萍,hui'ping
会钱,hui'qian
回厦门,hui'xia'men
惠英,hui'ying
回云霄,hui'yun'xiao
回漳州,hui'zhang'zhou
火山岛,huo'shan'dao
火烧铺,huo'shao'pu
寄车,ji'che
几点要去,ji'dian'yao'qu
寄酒,ji'jiu
鸡母,ji'mu
积山,ji'shan
寄上去,ji'shang'qu
鸡胎,ji'tai
寄下来,ji'xia'lai
记着在线,ji'zhe'zai'xian
机砖,ji'zhuan
嘉庚,jia'geng
嘉庚学院,jia'geng'xue'yuan
假死假怪,jia'si'jia'guai
家芗,jia'xiang
建顺,jian'shun
建阳,jian'yang
建元,jian'yuan
江滨,jiang'bin
江滨公园,jiang'bin'gong'yuan
江滨路,jiang'bin'lu
将军山,jiang'jun'shan
姜母,jiang'mu
姜母鸭,jiang'mu'ya
叫看看,jiao'kan'kan
教练所,jiao'lian'suo
角落时光,jiao'luo'shi'guang
角美,jiao'mei
角美了,jiao'mei'le
角美镇,jiao'mei'zhen
郊野,jiao'ye
郊野公园,jiao'ye'gong'yuan
交易城,jiao'yi'cheng
杰斌,jie'bin
杰辉,jie'hui
借看看,jie'kan'kan
姐妹群,jie'mei'qun
结欠,jie'qian
接下去,jie'xia'qu
金峰,jin'feng
金辉煌,jin'hui'huang
锦江道,jin'jiang'dao
金山镇,jin'shan'zhen
金水仙,jin'shui'xian
金汤湾,jin'tang'wan
金线莲,jin'xian'lian
金星湖,jin'xing'hu
锦绣一方,jin'xiu'yi'fang
锦宅,jin'zhai
靖城镇,jing'cheng'zhen
惊死人,jing'si'ren
敬业楼,jing'ye'lou
九峰,jiu'feng
就很多了,jiu'hen'duo'le
九湖,jiu'hu
九湖镇,jiu'hu'zhen
九克拉,jiu'ke'la
就来去,jiu'lai'qu
九龙城,jiu'long'cheng
九龙公园,jiu'long'gong'yuan
九龙医院,jiu'long'yi'yuan
就要去了,jiu'yao'qu'le
就有去,jiu'you'qu
聚善堂,ju'shan'tang
君临天下,jun'lin'tian'xia
咔哒车,ka'da'che
卡拉车,ka'la'che
看你要不要,kan'ni'yao'bu'yao
看要,kan'yao
看要不要,kan'yao'bu'yao
科山,ke'shan
空干,kong'gan
空砍,kong'kan
快乐天,kuai'le'tian
快去吃啦,kuai'qu'chi'la
快速面,kuai'su'mian
快醉了,kuai'zui'le
来东山,lai'dong'shan
来福建,lai'fu'jian
来给我吃,lai'gei'wo'chi
来泡茶,lai'pao'cha
来去,lai'qu
来去吃,lai'qu'chi
来去看,lai'qu'kan
来去了,lai'qu'le
来去买,lai'qu'mai
来去睡觉,lai'qu'shui'jiao
来去玩,lai'qu'wan
来约会,lai'yue'hui
来载我,lai'zai'wo
来漳州,lai'zhang'zhou
懒趴,lan'pa
浪叫,lang'jiao
老人会,lao'ren'hui
老知青,lao'zhi'qing
乐高乐,le'gao'le
了哄,le'hong
立达信,li'da'xin
理解不来,li'jie'bu'lai
理通,li'tong
里头发,li'tou'fa
丽园君悦,li'yuan'jun'yue
林被,lin'bei
林墩,lin'dun
林副,lin'fu
邻家女孩,lin'jia'nv'hai
林前,lin'qian
林头,lin'tou
林语堂,lin'yu'tang
岭兜,ling'dou
灵通岩,ling'tong'yan
六合彩,liu'he'cai
六石,liu'shi
六肖,liu'xiao
龙成,long'cheng
龙池,long'chi
龙高,long'gao
龙海,long'hai
龙海的,long'hai'de
龙海市,long'hai'shi
