阿飞,a'fei
阿凯,a'kai
阿懒,a'lan
阿玛鲁,a'ma'lu
阿斯玛,a'si'ma
阿斯伊,a'si'yi
阿修罗,a'xiu'luo
阿志,a'zhi
艾米利亚,ai'mi'li'ya
岸本,an'ben
岸本齐史,an'ben'qi'shi
暗部,an'bu
暗号班,an'hao'ban
鞍马八云,an'ma'ba'yun
暗杀部队,an'sha'bu'dui
奥摩伊,ao'mo'yi
奥义,ao'yi
奥义朱红色螺旋丸,ao'yi'zhu'hong'se'luo'xuan'wan
八坂之勾玉,ba'ban'zhi'gou'yu
八刀流,ba'dao'liu
八卦八方阵,ba'gua'ba'fang'zhen
八卦封印,ba'gua'feng'yin
八卦空掌,ba'gua'kong'zhang
八卦六十四掌,ba'gua'liu'shi'si'zhang
八卦三十二掌,ba'gua'san'shi'er'zhang
八卦守护八卦,ba'gua'shou'hu'ba'gua
八卦一百二十八掌,ba'gua'yi'bai'er'shi'ba'zhang
八卦掌,ba'gua'zhang
八卦掌回天,ba'gua'zhang'hui'tian
芭蕉扇,ba'jiao'shan
八门闭场不缘,ba'men'bi'chang'bu'yuan
八门遁甲,ba'men'dun'jia
八歧大蛇,ba'qi'da'she
八歧大蛇之术,ba'qi'da'she'zhi'shu
八歧之术,ba'qi'zhi'shu
八拳散击,ba'quan'san'ji
八忍犬,ba'ren'quan
八色传奇忍者,ba'se'chuan'qi'ren'zhe
八色忍者,ba'se'ren'zhe
八尾,ba'wei
八尾大蛇,ba'wei'da'she
八俣大蛇,ba'yu'da'she
八云,ba'yun
八咫镜,ba'zhi'jing
百合之神,bai'he'zhi'shen
白虎,bai'hu
百机操演,bai'ji'cao'yan
白激之术,bai'ji'zhi'shu
白磷大蛇,bai'lin'da'she
白秘技,bai'mi'ji
百人操演,bai'ren'cao'yan
白蛇仙人,bai'she'xian'ren
白牙,bai'ya
白眼,bai'yan
半藏,ban'zang
爆刀,bao'dao
爆刀飞沫,bao'dao'fei'mo
爆遁,bao'dun
暴水冲波,bao'shui'chong'bo
爆水冲波,bao'shui'chong'bo
爆碎冰晶,bao'sui'bing'jing
北斗,bei'dou
倍化术,bei'hua'shu
倍化之术,bei'hua'zhi'shu
崩掌,beng'zhang
比目鲽鱼,bi'mu'die'yu
变化术,bian'hua'shu
变身术,bian'shen'shu
表莲华,biao'lian'hua
别天神,bie'tian'shen
冰遁,bing'dun
冰遁角白鲸,bing'dun'jiao'bai'jing
冰遁之术,bing'dun'zhi'shu
冰牢之术,bing'lao'zhi'shu
兵粮丸,bing'liang'wan
冰雨,bing'yu
兵之书,bing'zhi'shu
并足雷同,bing'zu'lei'tong
波风皆人,bo'feng'jie'ren
波风水门,bo'feng'shui'men
波乱万蒸,bo'luan'wan'zheng
波之国,bo'zhi'guo
部分倍化术,bu'fen'bei'hua'shu
布缚术,bu'fu'shu
不死二人组,bu'si'er'ren'zu
不死小强,bu'si'xiao'qiang
不知火,bu'zhi'huo
不知火玄间,bu'zhi'huo'xuan'jian
不知火玄马,bu'zhi'huo'xuan'ma
彩隐之术,cai'yin'zhi'shu
苍蓝野兽,cang'lan'ye'shou
操风车三之大刀,cao'feng'che'san'zhi'da'dao
草忍,cao'ren
草忍村,cao'ren'cun
草忍者村,cao'ren'zhe'cun
草剃剑,cao'ti'jian
操袭刃,cao'xi'ren
草雉剑,cao'zhi'jian
查克拉,cha'ke'la
查克拉刀,cha'ke'la'dao
查克拉手术刀,cha'ke'la'shou'shu'dao
茶之国,cha'zhi'guo
长刀,chang'dao
长刀缝针,chang'dao'feng'zhen
长门,chang'men
长十郎,chang'shi'lang
超倍化术,chao'bei'hua'shu
超大玉螺旋丸,chao'da'yu'luo'xuan'wan
超级倍化术,chao'ji'bei'hua'shu
超加重岩之术,chao'jia'zhong'yan'zhi'shu
朝孔雀,chao'kong'que
超轻重岩之术,chao'qing'chong'yan'zhi'shu
超兽伪画,chao'shou'wei'hua
超兽伪画风神雷神,chao'shou'wei'hua'feng'shen'lei'shen
超推手,chao'tui'shou
尘盾,chen'dun
尘遁,chen'dun
橙水,cheng'shui
赤胴铠,chi'dong'kai
赤砂之蝎,chi'sha'zhi'xie
赤铜铠,chi'tong'kai
赤丸,chi'wan
赤星,chi'xing
虫分身,chong'fen'shen
虫食咬,chong'shi'yao
虫玉,chong'yu
初代,chu'dai
初代火影,chu'dai'huo'ying
初代目,chu'dai'mu
畜生道,chu'sheng'dao
雏田,chu'tian
传说中的三忍,chuan'shuo'zhong'de'san'ren
创造再生,chuang'zao'zai'sheng
春奈,chun'nai
春野樱,chun'ye'ying
此处非之处,ci'chu'fei'zhi'chu
此处非之术,ci'chu'fei'zhi'shu
磁遁,ci'dun
磁遁螺旋丸,ci'dun'luo'xuan'wan
次郎坊,ci'lang'fang
丛云,cong'yun
翠晶刀,cui'jing'dao
翠晶分身之术,cui'jing'fen'shen'zhi'shu
翠晶镜,cui'jing'jing
翠晶六角柱,cui'jing'liu'jiao'zhu
翠晶迷宫之术,cui'jing'mi'gong'zhi'shu
大爆水冲波,da'bao'shui'chong'bo
大爆葬,da'bao'zang
大和,da'he
大火球之术,da'huo'qiu'zhi'shu
达鲁伊,da'lu'yi
大乱斗,da'luan'dou
大名,da'ming
大瀑布,da'pu'bu
大瀑布术,da'pu'bu'shu
大瀑布之术,da'pu'bu'zhi'shu
大蛇丸,da'she'wan
大筒木辉夜,da'tong'mu'hui'ye
大筒木舍人,da'tong'mu'she'ren
大筒木羽村,da'tong'mu'yu'cun
大筒木羽衣,da'tong'mu'yu'yi
大突进幻之地底遗迹,da'tu'jin'huan'zhi'di'di'yi'ji
大突破,da'tu'po
大兴奋三日月岛的动物骚动,da'xing'fen'san'ri'yue'dao'de'dong'wu'sao'dong
大兴奋三日月岛的动物骚乱,da'xing'fen'san'ri'yue'dao'de'dong'wu'sao'luan
大轩,da'xuan
大玉螺旋丸,da'yu'luo'xuan'wan
大招,da'zhao
达兹纳,da'zi'na
带土,dai'tu
单勾玉,dan'gou'yu
地爆天星,di'bao'tian'xing
迪达拉,di'da'la
地达罗,di'da'luo
地动核,di'dong'he
第二次忍界大战,di'er'ci'ren'jie'da'zhan
第二代,di'er'dai
第二代火影,di'er'dai'huo'ying
地雷拳,di'lei'quan
第六代,di'liu'dai
地陆,di'lu
地马,di'ma
第三次忍界大战,di'san'ci'ren'jie'da'zhan
第三代,di'san'dai
第三代火影,di'san'dai'huo'ying
第三只眼,di'san'zhi'yan
第四代,di'si'dai
第四代火影,di'si'dai'huo'ying
第五代,di'wu'dai
第五代火影,di'wu'dai'huo'ying
地雅,di'ya
第一次忍界大战,di'yi'ci'ren'jie'da'zhan
第一代火影,di'yi'dai'huo'ying
地狱戳刺,di'yu'chuo'ci
地狱戳刺四指贯穿手,di'yu'chuo'ci'si'zhi'guan'chuan'shou
地狱道,di'yu'dao
地之书,di'zhi'shu
地之咒印,di'zhi'zhou'yin
蝶弹轰炸,die'dan'hong'zha
丁次,ding'ci
顶上化佛,ding'shang'hua'fo
定身术,ding'shen'shu
丁佐,ding'zuo
兜割,dou'ge
斗之书,dou'zhi'shu
斗之术,dou'zhi'shu
杜门,du'men
毒雾,du'wu
短刀斩,duan'dao'zhan
对立之印,dui'li'zhi'yin
队长,dui'zhang
钝刀,dun'dao
钝刀兜割,dun'dao'dou'ge
遁术,dun'shu
多重影分身术,duo'chong'ying'fen'shen'shu
多重影分身之术,duo'chong'ying'fen'shen'zhi'shu
多斯,duo'si
多由也,duo'you'ye
恶鬼道,e'gui'dao
饿鬼道,e'gui'dao
二大仙人,er'da'xian'ren
二代,er'dai
二代火影,er'dai'huo'ying
二代目,er'dai'mu
二尾,er'wei
二尾猫又,er'wei'mao'you
二位柚木人,er'wei'you'mu'ren
飞镖影分身之术,fei'biao'ying'fen'shen'zhi'shu
飞段,fei'duan
沸盾,fei'dun
沸遁,fei'dun
飞雷神之术,fei'lei'shen'zhi'shu
飞雷神之斩,fei'lei'shen'zhi'zhan
绯流琥,fei'liu'hu
飞沫,fei'mo
飞足忍者,fei'zu'ren'zhe
分身术,fen'shen'shu
蜂爆弹之术,feng'bao'dan'zhi'shu
风暴法阵,feng'bao'fa'zhen
风尘之术,feng'chen'zhi'shu
蜂道之术,feng'dao'zhi'shu
风遁,feng'dun
风遁翠兰烈风,feng'dun'cui'lan'lie'feng
风遁大镰铀之术,feng'dun'da'lian'you'zhi'shu
风遁大突破,feng'dun'da'tu'po
风遁风尘之术,feng'dun'feng'chen'zhi'shu
风遁花散舞,feng'dun'hua'san'wu
风遁练空弹,feng'dun'lian'kong'dan
