阿卡邦,a'ka'bang
阿米果,a'mi'guo
爱动弹,ai'dong'tan
艾法利,ai'fa'li
艾山,ai'shan
哎呀来,ai'ya'lai
爱在烟台,ai'zai'yan'tai
俺爸说,an'ba'shuo
俺不俺不,an'bu'an'bu
俺不干,an'bu'gan
俺不嘛,an'bu'ma
俺不呢,an'bu'ne
俺村,an'cun
俺村的,an'cun'de
俺单位,an'dan'wei
俺爹妈,an'die'ma
俺对象,an'dui'xiang
俺公公,an'gong'gong
俺闺女,an'gui'nv
俺姐夫,an'jie'fu
俺经理,an'jing'li
俺舅妈,an'jiu'ma
俺姥家,an'lao'jia
俺老头,an'lao'tou
俺妈家,an'ma'jia
俺奶家,an'nai'jia
俺娘说,an'niang'shuo
俺婆婆,an'po'po
按时候,an'shi'hou
俺同位,an'tong'wei
俺外甥,an'wai'sheng
俺稀罕,an'xi'han
昂好啊,ang'hao'a
奥班,ao'ban
奥城国际,ao'cheng'guo'ji
奥林峰情,ao'lin'feng'qing
八点来钟,ba'dian'lai'zhong
八个点,ba'ge'dian
八目,ba'mu
巴拿米,ba'na'mi
把你闲的,ba'ni'xian'de
巴西烤肉,ba'xi'kao'rou
八仙渡,ba'xian'du
鲅鱼,ba'yu
百都,bai'dou
百纳瑞汀,bai'na'rui'ting
白上火,bai'shang'huo
白石村,bai'shi'cun
白石路,bai'shi'lu
白忘了,bai'wang'le
半岛龙庭,ban'dao'long'ting
半个点,ban'ge'dian
半个点了,ban'ge'dian'le
伴你学,ban'ni'xue
包的包子,bao'de'bao'zi
保皇,bao'huang
保皇吧,bao'huang'ba
呗道,bei'dao
北方汽配,bei'fang'qi'pei
北沟镇,bei'gou'zhen
北海医院,bei'hai'yi'yuan
北河街,bei'he'jie
北马路,bei'ma'lu
北马镇,bei'ma'zhen
北三路,bei'san'lu
北上坊,bei'shang'fang
北四路,bei'si'lu
北五路,bei'wu'lu
北小区,bei'xiao'qu
北于家,bei'yu'jia
笨死吧,ben'si'ba
蹦高,beng'gao
碧城,bi'cheng
毕郭,bi'guo
碧海大厦,bi'hai'da'sha
碧海祭,bi'hai'ji
碧海云天,bi'hai'yun'tian
比烟台,bi'yan'tai
彪啊,biao'a
彪吧,biao'ba
彪不彪,biao'bu'biao
彪痴呆,biao'chi'dai
彪的,biao'de
彪点,biao'dian
彪儿,biao'er
彪孩子,biao'hai'zi
彪呼呼,biao'hu'hu
彪呼呼的,biao'hu'hu'de
彪货,biao'huo
彪来来,biao'lai'lai
彪了,biao'le
彪么,biao'me
彪死了,biao'si'le
彪笑,biao'xiao
彪样吧,biao'yang'ba
彪纸,biao'zhi
别彪,bie'biao
别彪了,bie'biao'le
别没数了,bie'mei'shu'le
别上火啊,bie'shang'huo'a
别上火哈,bie'shang'huo'ha
别说其实,bie'shuo'qi'shi
滨海广场,bin'hai'guang'chang
滨海假日,bin'hai'jia'ri
滨海中路,bin'hai'zhong'lu
滨医,bin'yi
滨州医学院,bin'zhou'yi'xue'yuan
冰轮路,bing'lun'lu
渤海轮渡,bo'hai'lun'du
渤海湾,bo'hai'wan
柏林春天,bo'lin'chun'tian
柏林庄,bo'lin'zhuang
波楼,bo'lou
菠萝豆,bo'luo'dou
博展,bo'zhan
不爱动弹,bu'ai'dong'tan
不爱干了,bu'ai'gan'le
不爱和你,bu'ai'he'ni
不爱说拉倒,bu'ai'shuo'la'dao
不大要紧,bu'da'yao'jin
不当吃,bu'dang'chi
不叨叨,bu'dao'dao
不叨叨了,bu'dao'dao'le
不动弹了,bu'dong'tan'le
不放声,bu'fang'sheng
不噶是,bu'ga'shi
不噶系,bu'ga'xi
不该你事,bu'gai'ni'shi
不该我事,bu'gai'wo'shi
不惯毛病,bu'guan'mao'bing
不哈酒,bu'ha'jiu
不害蛋,bu'hai'dan
不好嗲,bu'hao'dia
不会说你冷吧,bu'hui'shuo'ni'leng'ba
不家去,bu'jia'qu
不就上去了,bu'jiu'shang'qu'le
不卡拐,bu'ka'guai
不卡睡,bu'ka'shui
不那么了,bu'na'me'le
不能以,bu'neng'yi
不认带,bu'ren'dai
不上火了,bu'shang'huo'le
不是不爱吃吗,bu'shi'bu'ai'chi'ma
不太到,bu'tai'dao
不希,bu'xi
不系的,bu'xi'de
不想喝多了,bu'xiang'he'duo'le
不行不,bu'xing'bu
步行走,bu'xing'zou
不休班,bu'xiu'ban
不要上火,bu'yao'shang'huo
不用嗲,bu'yong'dia
不用上火,bu'yong'shang'huo
不在烟台,bu'zai'yan'tai
不怎么了,bu'zen'me'le
不知是谁变大了,bu'zhi'shi'shui'bian'da'le
财神节,cai'shen'jie
彩云城,cai'yun'cheng
蚕庄,can'zhuang
草编包,cao'bian'bao
草鸡了,cao'ji'le
曹家庄,cao'jia'zhuang
草嫩妈,cao'nen'ma
差大,cha'da
差大了,cha'da'le
差点睡过去,cha'dian'shui'guo'qu
差么点,cha'me'dian
长岛,chang'dao
长岛的,chang'dao'de
长岛县,chang'dao'xian
敞开打,chang'kai'da
朝不了,chao'bu'liao
潮水,chao'shui
朝阳街,chao'yang'jie
车上过了,che'shang'guo'le
晨光小区,chen'guang'xiao'qu
城港路,cheng'gang'lu
成功路,cheng'gong'lu
程郭,cheng'guo
程郭镇,cheng'guo'zhen
城里街,cheng'li'jie
成天家,cheng'tian'jia
成天这样,cheng'tian'zhe'yang
痴逼,chi'bi
痴不,chi'bu
痴的,chi'de
迟哥,chi'ge
吃海参,chi'hai'shen
痴孩子,chi'hai'zi
痴货,chi'huo
迟家,chi'jia
痴架子,chi'jia'zi
迟经理,chi'jing'li
赤山,chi'shan
痴说,chi'shuo
痴笑,chi'xiao
痴样吧,chi'yang'ba
重茬,chong'cha
冲施,chong'shi
冲施肥,chong'shi'fei
愁人的,chou'ren'de
愁着了,chou'zhe'le
出来耍吧,chu'lai'shua'ba
出去耍吧,chu'qu'shua'ba
初四,chu'si
初四的,chu'si'de
磁山,ci'shan
从开发区,cong'kai'fa'qu
从莱阳,cong'lai'yang
从莱州,cong'lai'zhou
从龙口,cong'long'kou
从蓬莱,cong'peng'lai
从威海,cong'wei'hai
从烟台,cong'yan'tai
凑副,cou'fu
凑副凑副,cou'fu'cou'fu
凑死了,cou'si'le
凑死我了,cou'si'wo'le
粗粮面,cu'liang'mian
翠峰苑,cui'feng'yuan
崔家,cui'jia
村碑,cun'bei
村里集,cun'li'ji
打保皇,da'bao'huang
大彪子,da'biao'zi
大曹家,da'cao'jia
大陈家,da'chen'jia
大骋,da'cheng
大成门,da'cheng'men
大痴死,da'chi'si
打辞职,da'ci'zhi
大大福,da'da'fu
打得太慢,da'de'tai'man
打吊瓶,da'diao'ping
打吊瓶了,da'diao'ping'le
打对面,da'dui'mian
大闺娘,da'gui'niang
大归宁,da'gui'ning
大海阳路,da'hai'yang'lu
大季家,da'ji'jia
大基山,da'ji'shan
大金鹿,da'jin'lu
大金脉,da'jin'mai
大莱阳,da'lai'yang
大莱州,da'lai'zhou
打捞局,da'lao'ju
大李家,da'li'jia
大柳行,da'liu'xing
大蛮子,da'man'zi
大南山,da'nan'shan
打扑克吧,da'pu'ke'ba
大钦岛,da'qin'dao
大秦家,da'qin'jia
大乳山,da'ru'shan
大土话,da'tu'hua
大疃,da'tuan
打完吊瓶,da'wan'diao'ping
大王家,da'wang'jia
大下个,da'xia'ge
大下个周,da'xia'ge'zhou
大辛店,da'xin'dian
大辛家,da'xin'jia
大闫家,da'yan'jia
大烟台,da'yan'tai
大杨家,da'yang'jia
大窑,da'yao
大樱桃,da'ying'tao
大原,da'yuan
大原家,da'yuan'jia
大泽山,da'ze'shan
大招远,da'zhao'yuan
大中午头,da'zhong'wu'tou
待人亲,dai'ren'qin
单元过关,dan'yuan'guo'guan
叨叨什么,dao'dao'shen'me
到海阳,dao'hai'yang
到开发区,dao'kai'fa'qu
到莱阳,dao'lai'yang
到莱州,dao'lai'zhou
到了陪我跑哈,dao'le'pei'wo'pao'ha
到龙口,dao'long'kou
到牟平,dao'mu'ping
到蓬莱,dao'peng'lai
到栖霞,dao'qi'xia
道头,dao'tou
到烟台,dao'yan'tai
到烟台了,dao'yan'tai'le
到招远,dao'zhao'yuan
的你给我,de'ni'gei'wo
的你看看,de'ni'kan'kan
德尚世家,de'shang'shi'jia
得嗖,de'sou
的搜了,de'sou'le
等帮我,deng'bang'wo
等打电话,deng'da'dian'hua
等儿,deng'er
等给你,deng'gei'ni
等给我,deng'gei'wo
等叫,deng'jiao
等叫你,deng'jiao'ni
等看看,deng'kan'kan
等看看吧,deng'kan'kan'ba
等明天看看,deng'ming'tian'kan'kan
等你看看,deng'ni'kan'kan
瞪起眼,deng'qi'yan
等去看看,deng'qu'kan'kan
等让你,deng'rang'ni
等让他,deng'rang'ta
等他回来一起吃,deng'ta'hui'lai'yi'qi'chi
等问问,deng'wen'wen
等我告诉你,deng'wo'gao'su'ni
等我看看吧,deng'wo'kan'kan'ba
等我去看看,deng'wo'qu'kan'kan
等我问问吧,deng'wo'wen'wen'ba
等我问问他,deng'wo'wen'wen'ta
等我休班,deng'wo'xiu'ban
等休班,deng'xiu'ban
等再说吧,deng'zai'shuo'ba
迪迪汉堡,di'di'han'bao
地方港,di'fang'gang
低聚糖,di'ju'tang
第一大道,di'yi'da'dao
第一个周,di'yi'ge'zhou
第一海水,di'yi'hai'shui
第一海水浴场,di'yi'hai'shui'yu'chang
电热炕,dian're'kang
叼口,diao'kou
定海路,ding'hai'lu
腚片,ding'pian
丁字湾,ding'zi'wan
丢老人,diu'lao'ren
丢老人了,diu'lao'ren'le
东泊子,dong'bo'zi
东村,dong'cun
东村的,dong'cun'de
东大河,dong'da'he
东打头,dong'da'tou
东方巴黎,dong'fang'ba'li
东方电影城,dong'fang'dian'ying'cheng
东方电子,dong'fang'dian'zi
东方海天,dong'fang'hai'tian
东方海洋,dong'fang'hai'yang
东方豪客,dong'fang'hao'ke
东关路,dong'guan'lu
东海宾馆,dong'hai'bin'guan
