奥氏体化,ao'shi'ti'hua
半径,ban'jing
半轴套管,ban'zhou'tao'guan
保护气氛热处理,bao'hu'qi'fen're'chu'li
被动轴,bei'dong'zhou
备用水槽,bei'yong'shui'cao
闭式冷却塔,bi'shi'leng'que'ta
变频器,bian'pin'qi
变频调速,bian'pin'tiao'su
标高,biao'gao
表面热处理,biao'mian're'chu'li
步进底式,bu'jin'di'shi
步进梁,bu'jin'liang
步进梁式,bu'jin'liang'shi
步进生产线,bu'jin'sheng'chan'xian
步进行程,bu'jin'xing'cheng
车底式炉,che'di'shi'lu
重复加热,chong'fu'jia're
出钢温,chu'gang'wen
出料,chu'liao
储热量,chu're'liang
传动电机,chuan'dong'dian'ji
传送链,chuan'song'lian
磁场热处理,ci'chang're'chu'li
淬火,cui'huo
淬火液循环系统,cui'huo'ye'xun'huan'xi'tong
打底,da'di
导向装置,dao'xiang'zhuang'zhi
电机功率,dian'ji'gong'lv
电气系统,dian'qi'xi'tong
电热量,dian're'liang
电源,dian'yuan
电源电压,dian'yuan'dian'ya
电阻炉,dian'zu'lu
锻后热处理,duan'hou're'chu'li
锻后余热淬火,duan'hou'yu're'cui'huo
锻件,duan'jian
锻压,duan'ya
额定温度,e'ding'wen'du
二次冷却,er'ci'leng'que
法律责任,fa'lv'ze'ren
翻转机构,fan'zhuan'ji'gou
废气,fei'qi
酚醛漆,fen'quan'qi
风管,feng'guan
风机,feng'ji
风冷,feng'leng
风量,feng'liang
风量计,feng'liang'ji
风蚀,feng'shi
风压,feng'ya
钢板,gang'ban
钢筋,gang'jin
钢铁,gang'tie
高能束热处理,gao'neng'shu're'chu'li
功率,gong'lv
工位,gong'wei
工业炉,gong'ye'lu
工艺流程,gong'yi'liu'cheng
工艺时间,gong'yi'shi'jian
工艺性,gong'yi'xing
工装,gong'zhuang
工作尺寸,gong'zuo'chi'cun
工作面,gong'zuo'mian
固定梁,gu'ding'liang
固熔,gu'rong
固熔炉,gu'rong'lu
光亮热处理,guang'liang're'chu'li
硅酸铝纤维,gui'suan'lv'xian'wei
辊棒式,gun'bang'shi
辊道,gun'dao
辊底式,gun'di'shi
耗能,hao'neng
烘干机,hong'gan'ji
厚度,hou'du
后桥,hou'qiao
后轴,hou'zhou
化学热处理,hua'xue're'chu'li
换热,huan're
换热量,huan're'liang
回火,hui'huo
回火炉,hui'huo'lu
活动梁,huo'dong'liang
技术参数,ji'shu'can'shu
机械传动系统,ji'xie'chuan'dong'xi'tong
机械动作,ji'xie'dong'zuo
加热功率,jia're'gong'lv
加热原件,jia're'yuan'jian
架体,jia'ti
搅拌电机,jiao'ban'dian'ji
节拍,jie'pai
进料口,jin'liao'kou
浸入时间,jin'ru'shi'jian
井式炉,jing'shi'lu
局部热处理,ju'bu're'chu'li
锯片,ju'pian
可编程逻辑控制器,ke'bian'cheng'luo'ji'kong'zhi'qi
可控气氛热处理,ke'kong'qi'fen're'chu'li
控温精度,kong'wen'jing'du
快淬,kuai'cui
拉料杆,la'liao'gan
冷却曲线,leng'que'qu'xian
冷却速度,leng'que'su'du
冷却制度,leng'que'zhi'du
离子轰击热处理,li'zi'hong'ji're'chu'li
链板式,lian'ban'shi
链轮,lian'lun
链条,lian'tiao
连续冷却转变,lian'xu'leng'que'zhuan'bian
料架,liao'jia
料筐,liao'kuang
料盘,liao'pan
流态床热处理,liu'tai'chuang're'chu'li
炉壁,lu'bi
炉衬,lu'chen
炉底,lu'di
炉顶,lu'ding
炉冷,lu'leng
炉料,lu'liao
炉膛,lu'tang
炉温均匀性,lu'wen'jun'yun'xing
螺钉,luo'ding
螺帽,luo'mao
螺母,luo'mu
螺栓,luo'shuan
螺丝,luo'si
螺旋板,luo'xuan'ban
铝粉,lv'fen
铝合金,lv'he'jin
锚固件,mao'gu'jian
密封机构,mi'feng'ji'gou
