闭合岔道,bi'he'cha'dao
岔尾,cha'wei
插销,cha'xiao
底辊,di'gun
顶板,ding'ban
分道器,fen'dao'qi
风机,feng'ji
风门,feng'men
风桥,feng'qiao
风筒,feng'tong
风障,feng'zhang
副巷,fu'xiang
矸石条带,gan'shi'tiao'dai
刮板链,gua'ban'lian
刮页,gua'ye
轨道上山,gui'dao'shang'shan
含矸量,han'gan'liang
回风巷,hui'feng'xiang
机车,ji'che
机尾柱,ji'wei'zhu
绞车,jiao'che
进风巷,jin'feng'xiang
局扇,ju'shan
空顶,kong'ding
矿工钢,kuang'gong'gang
矿轮,kuang'lun
链环,lian'huan
链接环,lian'jie'huan
联轴器,lian'zhou'qi
溜煤眼,liu'mei'yan
锚杆,mao'gan
密闭,mi'bi
木垛,mu'duo
牛尾岔,niu'wei'cha
皮带机,pi'dai'ji
偏帮,pian'bang
砌碹,qi'xuan
牵引筐,qian'yin'kuang
人行上山,ren'xing'shang'shan
通风上山,tong'feng'shang'shan
液压制动器,ye'ya'zhi'dong'qi
运输机,yun'shu'ji
运输顺槽,yun'shu'shun'cao
运输巷,yun'shu'xiang
支护,zhi'hu
轴承,zhou'cheng
装煤点,zhuang'mei'dian
阻燃电缆,zu'ran'dian'lan
