爱河,ai'he
爱民区政府,ai'min'qu'zheng'fu
爱民药品商城,ai'min'yao'pin'shang'cheng
八达村,ba'da'cun
八达路,ba'da'lu
白桦原墅,bai'hua'yuan'shu
百货大楼,bai'huo'da'lou
北安路,bei'an'lu
北安市场,bei'an'shi'chang
北方电力,bei'fang'dian'li
北方医院,bei'fang'yi'yuan
北交大牡航空学院,bei'jiao'da'mu'hang'kong'xue'yuan
北龙建材大市场,bei'long'jian'cai'da'shi'chang
北龙市场,bei'long'shi'chang
北山别墅,bei'shan'bie'shu
北山宾馆,bei'shan'bin'guan
北山东,bei'shan'dong
北山机械制造厂,bei'shan'ji'xie'zhi'zao'chang
北山街,bei'shan'jie
北山体育场,bei'shan'ti'yu'chang
滨江城市花园,bin'jiang'cheng'shi'hua'yuan
殡仪馆,bin'yi'guan
博爱老年医院,bo'ai'lao'nian'yi'yuan
波斯特购物中心,bo'si'te'gou'wu'zhong'xin
长安街,chang'an'jie
长安市场,chang'an'shi'chang
长安小学,chang'an'xiao'xue
长城钻具,chang'cheng'zuan'ju
朝鲜民族中学,chao'xian'min'zu'zhong'xue
雏鹰外语学校,chu'ying'wai'yu'xue'xiao
传染病医院,chuan'ran'bing'yi'yuan
大莫,da'mo
大桥头,da'qiao'tou
大庆街东街口,da'qing'jie'dong'jie'kou
大润发,da'run'fa
大团,da'tuan
大屯沟,da'tun'gou
大湾路,da'wan'lu
大湾新村,da'wan'xin'cun
大宇制纸,da'yu'zhi'zhi
党政办公中心,dang'zheng'ban'gong'zhong'xin
地明街,di'ming'jie
地明街中华路口,di'ming'jie'zhong'hua'lu'kou
地明小区,di'ming'xiao'qu
第三高中,di'san'gao'zhong
第三高中南门,di'san'gao'zhong'nan'men
第十二中学,di'shi'er'zhong'xue
第四四中,di'si'si'zhong
第四中学,di'si'zhong'xue
第五中学,di'wu'zhong'xue
第一人民医院,di'yi'ren'min'yi'yuan
第一中学,di'yi'zhong'xue
电瓷厂,dian'ci'chang
电力电容器厂,dian'li'dian'rong'qi'chang
丁香阁医院,ding'xiang'ge'yi'yuan
东安农贸市场,dong'an'nong'mao'shi'chang
东村,dong'cun
东村北站,dong'cun'bei'zhan
