安全库存,an'quan'ku'cun
班次服务,ban'ci'fu'wu
半拖车,ban'tuo'che
搬运,ban'yun
保管,bao'guan
包裹配送,bao'guo'pei'song
保留存货,bao'liu'cun'huo
鲍率,bao'lv
保税仓库,bao'shui'cang'ku
保税货物,bao'shui'huo'wu
保证日期送到,bao'zheng'ri'qi'song'dao
保证上午送到,bao'zheng'shang'wu'song'dao
包装,bao'zhuang
包装区,bao'zhuang'qu
包装师,bao'zhuang'shi
便利商店,bian'li'shang'dian
变异数分析,bian'yi'shu'fen'xi
标竿,biao'gan
标签,biao'qian
标准运输商品码,biao'zhun'yun'shu'shang'pin'ma
标准作业程序,biao'zhun'zuo'ye'cheng'xu
拨回,bo'hui
不垂直整合,bu'chui'zhi'zheng'he
不当托运单,bu'dang'tuo'yun'dan
不对称信息,bu'dui'chen'xin'xi
不可抗力,bu'ke'kang'li
不明货件,bu'ming'huo'jian
不平衡移动,bu'ping'heng'yi'dong
采购,cai'gou
采购前置时间,cai'gou'qian'zhi'shi'jian
仓储,cang'chu
仓储业,cang'chu'ye
仓库布局,cang'ku'bu'ju
仓库管理系统,cang'ku'guan'li'xi'tong
仓库合存货管理系统,cang'ku'he'cun'huo'guan'li'xi'tong
侧装堆高机,ce'zhuang'dui'gao'ji
查货,cha'huo
查货号码查,cha'huo'hao'ma'cha
差距分析,cha'ju'fen'xi
拆散,chai'san
拆散的仓库,chai'san'de'cang'ku
拆托盘,chai'tuo'pan
拆箱把,chai'xiang'ba
拆箱拣取,chai'xiang'jian'qu
拆箱批量拣货,chai'xiang'pi'liang'jian'huo
产品多样化,chan'pin'duo'yang'hua
产品回复,chan'pin'hui'fu
产品回收,chan'pin'hui'shou
产品生命周期,chan'pin'sheng'ming'zhou'qi
产业管理师,chan'ye'guan'li'shi
产业时钟,chan'ye'shi'zhong
长鞭效应,chang'bian'xiao'ying
超级市场,chao'ji'shi'chang
车场,che'chang
车辆可装能力,che'liang'ke'zhuang'neng'li
车辆路径问题,che'liang'lu'jing'wen'ti
车辆升降尾门,che'liang'sheng'jiang'wei'men
车辆侦测,che'liang'zhen'ce
车辆装载,che'liang'zhuang'zai
成本控制,cheng'ben'kong'zhi
承接通知,cheng'jie'tong'zhi
承运人,cheng'yun'ren
持有仓库,chi'you'cang'ku
重新储存,chong'xin'chu'cun
酬劳,chou'lao
初次配送,chu'ci'pei'song
储存,chu'cun
储存模块,chu'cun'mo'kuai
储存区,chu'cun'qu
储存寿命,chu'cun'shou'ming
储存寿命监视,chu'cun'shou'ming'jian'shi
出发部门,chu'fa'bu'men
出货单,chu'huo'dan
出货区,chu'huo'qu
出货通知,chu'huo'tong'zhi
出库理货成本,chu'ku'li'huo'cheng'ben
处理中心,chu'li'zhong'xin
储位地址,chu'wei'di'zhi
创新,chuang'xin
创造价值,chuang'zao'jia'zhi
垂直整合,chui'zhi'zheng'he
纯粹配运,chun'cui'pei'yun
促进流通者,cu'jin'liu'tong'zhe
存货,cun'huo
存货持有成本,cun'huo'chi'you'cheng'ben
存货管理,cun'huo'guan'li
存货控制,cun'huo'kong'zhi
存货流通速度,cun'huo'liu'tong'su'du
存货投资,cun'huo'tou'zi
存货周转率,cun'huo'zhou'zhuan'lv
存货转移,cun'huo'zhuan'yi
存货组合,cun'huo'zu'he
存取权限表,cun'qu'quan'xian'biao
存取系统,cun'qu'xi'tong
大量地面储存,da'liang'di'mian'chu'cun
大量购买,da'liang'gou'mai
大宗商品仓库,da'zong'shang'pin'cang'ku
待出货区,dai'chu'huo'qu
带来更多商机,dai'lai'geng'duo'shang'ji
代理成本,dai'li'cheng'ben
代理合约,dai'li'he'yue
代理理论,dai'li'li'lun
代理人,dai'li'ren
代收货款,dai'shou'huo'kuan
单独拖车头,dan'du'tuo'che'tou
单方向码,dan'fang'xiang'ma
单一配送价格,dan'yi'pei'song'jia'ge
当天到达,dang'tian'dao'da
到达点,dao'da'dian
到欠,dao'qian
地板负荷率,di'ban'fu'he'lv
地点优势,di'dian'you'shi
地理信息系统,di'li'xin'xi'xi'tong
地面储存,di'mian'chu'cun
地面控制器,di'mian'kong'zhi'qi
地区运送者,di'qu'yun'song'zhe
第三方物流,di'san'fang'wu'liu
第三方物流公司,di'san'fang'wu'liu'gong'si
店内条形码,dian'nei'tiao'xing'ma
电子订货系统订货,dian'zi'ding'huo'xi'tong'ding'huo
电子化企业,dian'zi'hua'qi'ye
电子商务系统,dian'zi'shang'wu'xi'tong
电子数据交换,dian'zi'shu'ju'jiao'huan
订单别拣货,ding'dan'bie'jian'huo
订单管理软件,ding'dan'guan'li'ruan'jian
订单号码,ding'dan'hao'ma
订单后组装,ding'dan'hou'zu'zhuang
订单履行,ding'dan'lv'xing
订单满足率,ding'dan'man'zu'lv
订单品项数量,ding'dan'pin'xiang'shu'liang
订单前置时间,ding'dan'qian'zhi'shi'jian
订单生产,ding'dan'sheng'chan
订单时点系统,ding'dan'shi'dian'xi'tong
订货处理周期,ding'huo'chu'li'zhou'qi
定量订购,ding'liang'ding'gou
定量订货方式,ding'liang'ding'huo'fang'shi
定牌包装,ding'pai'bao'zhuang
定期订货方式,ding'qi'ding'huo'fang'shi
定时订购,ding'shi'ding'gou
定制物流,ding'zhi'wu'liu
独立式货架,du'li'shi'huo'jia
短程歧视,duan'cheng'qi'shi
堆叠方式,dui'die'fang'shi
堆垒,dui'lei
多件,duo'jian
多卸货点路线,duo'xie'huo'dian'lu'xian
二维条形码,er'wei'tiao'xing'ma
法人,fa'ren
防火墙,fang'huo'qiang
放弃,fang'qi
飞机承载运输,fei'ji'cheng'zai'yun'shu
废弃物,fei'qi'wu
废弃物处理,fei'qi'wu'chu'li
废弃物物流,fei'qi'wu'wu'liu
分次配送,fen'ci'pei'song
分次运送,fen'ci'yun'song
分货,fen'huo
分货中心,fen'huo'zhong'xin
分拣,fen'jian
分类管理,fen'lei'guan'li
分类系统,fen'lei'xi'tong
