阿伏加德罗常数,a'fu'jia'de'luo'chang'shu
阿伏加德罗定律,a'fu'jia'de'luo'ding'lv
阿累尼乌斯电离理论,a'lei'ni'wu'si'dian'li'li'lun
阿累尼乌斯方程,a'lei'ni'wu'si'fang'cheng
阿累尼乌斯活化能,a'lei'ni'wu'si'huo'hua'neng
阿马格定律,a'ma'ge'ding'lv
艾林方程,ai'lin'fang'cheng
爱因斯坦光化当量定律,ai'yin'si'tan'guang'hua'dang'liang'ding'lv
爱因斯坦斯托克斯方程,ai'yin'si'tan'si'tuo'ke'si'fang'cheng
安托万常数,an'tuo'wan'chang'shu
安托万方程,an'tuo'wan'fang'cheng
盎萨格电导理论,ang'sa'ge'dian'dao'li'lun
半电池,ban'dian'chi
半衰期,ban'shuai'qi
饱和吸附量,bao'he'xi'fu'liang
饱和液体,bao'he'ye'ti
饱和蒸气,bao'he'zheng'qi
饱和蒸气压,bao'he'zheng'qi'ya
爆炸界限,bao'zha'jie'xian
比表面功,bi'biao'mian'gong
比表面吉布斯函数,bi'biao'mian'ji'bu'si'han'shu
比浓粘度,bi'nong'nian'du
表观活化能,biao'guan'huo'hua'neng
表观摩尔质量,biao'guan'mo'er'zhi'liang
表观迁移数,biao'guan'qian'yi'shu
表面,biao'mian
表面过程控制,biao'mian'guo'cheng'kong'zhi
表面活性剂,biao'mian'huo'xing'ji
表面吸附量,biao'mian'xi'fu'liang
表面张力,biao'mian'zhang'li
表面质量作用定律,biao'mian'zhi'liang'zuo'yong'ding'lv
标准电动势,biao'zhun'dian'dong'shi
标准电极电势,biao'zhun'dian'ji'dian'shi
标准摩尔反应焓,biao'zhun'mo'er'fan'ying'han
标准摩尔反应吉布斯函数,biao'zhun'mo'er'fan'ying'ji'bu'si'han'shu
标准摩尔反应熵,biao'zhun'mo'er'fan'ying'shang
标准摩尔焓函数,biao'zhun'mo'er'han'han'shu
标准摩尔吉布斯自由能函数,biao'zhun'mo'er'ji'bu'si'zi'you'neng'han'shu
标准摩尔燃烧焓,biao'zhun'mo'er'ran'shao'han
标准摩尔熵,biao'zhun'mo'er'shang
标准摩尔生成焓,biao'zhun'mo'er'sheng'cheng'han
标准摩尔生成吉布斯函数,biao'zhun'mo'er'sheng'cheng'ji'bu'si'han'shu
标准平衡常数,biao'zhun'ping'heng'chang'shu
标准氢电极,biao'zhun'qing'dian'ji
标准熵,biao'zhun'shang
标准态,biao'zhun'tai
标准压力,biao'zhun'ya'li
标准状况,biao'zhun'zhuang'kuang
玻尔兹曼常数,bo'er'zi'man'chang'shu
玻尔兹曼分布,bo'er'zi'man'fen'bu
玻尔兹曼公式,bo'er'zi'man'gong'shi
玻尔兹曼熵定理,bo'er'zi'man'shang'ding'li
玻色爱因斯坦统计,bo'se'ai'yin'si'tan'tong'ji
波义尔点,bo'yi'er'dian
波义尔定律,bo'yi'er'ding'lv
波义尔温度,bo'yi'er'wen'du
不可逆过程热力学,bu'ke'ni'guo'cheng're'li'xue
不可逆相变化,bu'ke'ni'xiang'bian'hua
布朗运动,bu'lang'yun'dong
查理定律,cha'li'ding'lv
产率,chan'lv
敞开系统,chang'kai'xi'tong
超电势,chao'dian'shi
沉降,chen'jiang
沉降电势,chen'jiang'dian'shi
沉降平衡,chen'jiang'ping'heng
触变,chu'bian
粗分散系统,cu'fen'san'xi'tong
催化剂,cui'hua'ji
单分子层吸附理论,dan'fen'zi'ceng'xi'fu'li'lun
单分子反应,dan'fen'zi'fan'ying
单链反应,dan'lian'fan'ying
道尔顿定律,dao'er'dun'ding'lv
道尔顿分压定律,dao'er'dun'fen'ya'ding'lv
德拜和法尔肯哈根效应,de'bai'he'fa'er'ken'ha'gen'xiao'ying
德拜立方公式,de'bai'li'fang'gong'shi
德拜休克尔极限公式,de'bai'xiu'ke'er'ji'xian'gong'shi
等焓过程,deng'han'guo'cheng
等焓线,deng'han'xian
等几率定理,deng'ji'lv'ding'li
等温等容位,deng'wen'deng'rong'wei
等温等压位,deng'wen'deng'ya'wei
等温方程,deng'wen'fang'cheng
第二类永动机,di'er'lei'yong'dong'ji
低共熔点,di'gong'rong'dian
低共熔混合物,di'gong'rong'hun'he'wu
缔合化学吸附,di'he'hua'xue'xi'fu
低会溶点,di'hui'rong'dian
低熔冰盐合晶,di'rong'bing'yan'he'jing
第三定律熵,di'san'ding'lv'shang
第一类永动机,di'yi'lei'yong'dong'ji
电池常数,dian'chi'chang'shu
电池电动势,dian'chi'dian'dong'shi
电池反应,dian'chi'fan'ying
电导,dian'dao
电导率,dian'dao'lv
电动电势,dian'dong'dian'shi
电动势的温度系数,dian'dong'shi'de'wen'du'xi'shu
电功,dian'gong
电化学,dian'hua'xue
电化学极化,dian'hua'xue'ji'hua
电极电势,dian'ji'dian'shi
电极反应,dian'ji'fan'ying
电极种类,dian'ji'zhong'lei
电解池,dian'jie'chi
电解质,dian'jie'zhi
电量计,dian'liang'ji
电流效率,dian'liu'xiao'lv
电迁移,dian'qian'yi
电迁移率,dian'qian'yi'lv
电渗,dian'shen
电渗析,dian'shen'xi
电势,dian'shi
电泳,dian'yong
丁达尔效应,ding'da'er'xiao'ying
定容摩尔热容,ding'rong'mo'er're'rong
定容温度计,ding'rong'wen'du'ji
定压摩尔热容,ding'ya'mo'er're'rong
定压温度计,ding'ya'wen'du'ji
定域子系统,ding'yu'zi'xi'tong
动力学方程,dong'li'xue'fang'cheng
动力学控制,dong'li'xue'kong'zhi
独立子系统,du'li'zi'xi'tong
对比摩尔体积,dui'bi'mo'er'ti'ji
对比体积,dui'bi'ti'ji
对比温度,dui'bi'wen'du
对比压力,dui'bi'ya'li
对称数,dui'chen'shu
对行反应,dui'xing'fan'ying
对应状态原理,dui'ying'zhuang'tai'yuan'li
多方过程,duo'fang'guo'cheng
多分子层吸附理论,duo'fen'zi'ceng'xi'fu'li'lun
二级反应,er'ji'fan'ying
二级相变,er'ji'xiang'bian
法拉第常数,fa'la'di'chang'shu
法拉第定律,fa'la'di'ding'lv
范德华常数,fan'de'hua'chang'shu
范德华方程,fan'de'hua'fang'cheng
范德华力,fan'de'hua'li
范德华气体,fan'de'hua'qi'ti
反电动势,fan'dian'dong'shi
反渗透,fan'shen'tou
范特霍夫方程,fan'te'huo'fu'fang'cheng
范特霍夫规则,fan'te'huo'fu'gui'ze
范特霍夫渗透压公式,fan'te'huo'fu'shen'tou'ya'gong'shi
反应分子数,fan'ying'fen'zi'shu
反应级数,fan'ying'ji'shu
反应进度,fan'ying'jin'du
反应热,fan'ying're
反应速率,fan'ying'su'lv
反应速率常数,fan'ying'su'lv'chang'shu
沸点升高,fei'dian'sheng'gao
非基元反应,fei'ji'yuan'fan'ying
菲克扩散第一定律沸点,fei'ke'kuo'san'di'yi'ding'lv'fei'dian
费米狄拉克统计分布,fei'mi'di'la'ke'tong'ji'fen'bu
非体积功,fei'ti'ji'gong
非依时计量学反应,fei'yi'shi'ji'liang'xue'fan'ying
分布数分解电压,fen'bu'shu'fen'jie'dian'ya
分配定律,fen'pei'ding'lv
分散系统,fen'san'xi'tong
分散相分体积,fen'san'xiang'fen'ti'ji
分体积定律,fen'ti'ji'ding'lv
分压,fen'ya
分压定律,fen'ya'ding'lv
分子反应力学,fen'zi'fan'ying'li'xue
分子间力,fen'zi'jian'li
分子蒸馏,fen'zi'zheng'liu
封闭系统,feng'bi'xi'tong
复合反应,fu'he'fan'ying
负极,fu'ji
附加压力,fu'jia'ya'li
弗罗因德利希吸附经验式,fu'luo'yin'de'li'xi'xi'fu'jing'yan'shi
负吸附,fu'xi'fu
盖吕萨克定律,gai'lv'sa'ke'ding'lv
盖斯定律,gai'si'ding'lv
甘汞电极,gan'gong'dian'ji
感胶离子序,gan'jiao'li'zi'xu
杠杆规则,gang'gan'gui'ze
高分子溶液,gao'fen'zi'rong'ye
高会溶点,gao'hui'rong'dian
隔离法,ge'li'fa
隔离系统,ge'li'xi'tong
格罗塞斯德雷珀定律,ge'luo'sai'si'de'lei'po'ding'lv
根均方速率,gen'jun'fang'su'lv
共轭溶液,gong'e'rong'ye
共沸温度,gong'fei'wen'du
功函,gong'han
构型熵,gou'xing'shang
孤立系统,gu'li'xi'tong
固溶胶,gu'rong'jiao
固态混合物,gu'tai'hun'he'wu
固相线,gu'xiang'xian
广度性质,guang'du'xing'zhi
光反应,guang'fan'ying
光化学第二定律,guang'hua'xue'di'er'ding'lv
光化学第一定律,guang'hua'xue'di'yi'ding'lv
光敏反应,guang'min'fan'ying
光谱熵,guang'pu'shang
广延量,guang'yan'liang
广延性质,guang'yan'xing'zhi
规定熵,gui'ding'shang
过饱和溶液,guo'bao'he'rong'ye
过饱和蒸气,guo'bao'he'zheng'qi
过程,guo'cheng
过渡状态理论,guo'du'zhuang'tai'li'lun
过冷水,guo'leng'shui
过冷液体,guo'leng'ye'ti
过热液体,guo're'ye'ti
亥姆霍兹函数,hai'mu'huo'zi'han'shu
亥姆霍兹函数判据,hai'mu'huo'zi'han'shu'pan'ju
亥姆霍兹自由能,hai'mu'huo'zi'zi'you'neng
亥氏函数焓,hai'shi'han'shu'han
恒沸混合物,heng'fei'hun'he'wu
亨利常数,heng'li'chang'shu
亨利定律,heng'li'ding'lv
恒容摩尔热容,heng'rong'mo'er're'rong
恒容热,heng'rong're
恒外压,heng'wai'ya
恒压摩尔热容,heng'ya'mo'er're'rong
恒压热,heng'ya're
化学动力学,hua'xue'dong'li'xue
化学反应计量式,hua'xue'fan'ying'ji'liang'shi
化学反应计量系数,hua'xue'fan'ying'ji'liang'xi'shu
化学反应进度,hua'xue'fan'ying'jin'du
化学亲合势,hua'xue'qin'he'shi
化学热力学,hua'xue're'li'xue
化学势,hua'xue'shi
化学势判据,hua'xue'shi'pan'ju
化学吸附,hua'xue'xi'fu
环境,huan'jing
环境熵变,huan'jing'shang'bian
挥发度,hui'fa'du
混合熵,hun'he'shang
混合物,hun'he'wu
活度,huo'du
霍根华森图,huo'gen'hua'sen'tu
活化络合物理论,huo'hua'luo'he'wu'li'lun
活化能,huo'hua'neng
吉布斯杜亥姆方程,ji'bu'si'du'hai'mu'fang'cheng
吉布斯亥姆霍兹方程,ji'bu'si'hai'mu'huo'zi'fang'cheng
吉布斯函数,ji'bu'si'han'shu
吉布斯函数判据,ji'bu'si'han'shu'pan'ju
吉布斯吸附公式,ji'bu'si'xi'fu'gong'shi
吉布斯自由能,ji'bu'si'zi'you'neng
积分溶解热,ji'fen'rong'jie're
极化电极电势,ji'hua'dian'ji'dian'shi
极化曲线,ji'hua'qu'xian
极化作用,ji'hua'zuo'yong
计量式,ji'liang'shi
