阿贝不变量,a'bei'bu'bian'liang
阿贝尔定理,a'bei'er'ding'li
阿贝尔积分,a'bei'er'ji'fen
阿贝棱镜,a'bei'leng'jing
阿贝数,a'bei'shu
阿贝折射计,a'bei'zhe'she'ji
阿贝正弦条件,a'bei'zheng'xian'tiao'jian
阿波罗飞船,a'bo'luo'fei'chuan
阿波罗型小行星,a'bo'luo'xing'xiao'xing'xing
阿布里科蓑磁通线结构,a'bu'li'ke'suo'ci'tong'xian'jie'gou
阿达玛德变换光谱仪,a'da'ma'de'bian'huan'guang'pu'yi
阿尔得跃迁,a'er'de'yue'qian
阿尔尼科合金,a'er'ni'ke'he'jin
阿佛加德罗常量,a'fo'jia'de'luo'chang'liang
阿佛加德罗常数,a'fo'jia'de'luo'chang'shu
阿佛加德罗定律,a'fo'jia'de'luo'ding'lv
阿佛加德罗数,a'fo'jia'de'luo'shu
阿伏加德罗数,a'fu'jia'de'luo'shu
阿夫拉米公式,a'fu'la'mi'gong'shi
阿哈拉诺夫玻姆效应,a'ha'la'nuo'fu'bo'mu'xiao'ying
阿基米得原理,a'ji'mi'de'yuan'li
阿基米德原理,a'ji'mi'de'yuan'li
阿列夫零,a'lie'fu'ling
阿马伽,a'ma'ga
阿马伽压力计,a'ma'ga'ya'li'ji
阿米吴镜,a'mi'wu'jing
阿普顿层,a'pu'dun'ceng
阿奇娅辛谔指数定理,a'qi'ya'xin'e'zhi'shu'ding'li
锕射气,a'she'qi
阿斯顿暗区,a'si'dun'an'qu
阿斯特隆,a'si'te'long
锕系,a'xi
锕系元素核,a'xi'yuan'su'he
阿兹贝尔卡纳效应,a'zi'bei'er'ka'na'xiao'ying
埃贝特法斯铁装置,ai'bei'te'fa'si'tie'zhuang'zhi
埃单位,ai'dan'wei
爱迪生效应,ai'di'sheng'xiao'ying
埃丁顿极限,ai'ding'dun'ji'xian
埃克曼层,ai'ke'man'ceng
埃里斑,ai'li'ban
埃里图样,ai'li'tu'yang
艾伦德陨星,ai'lun'de'yun'xing
埃瓦得法,ai'wa'de'fa
埃瓦得球,ai'wa'de'qiu
埃瓦得造图,ai'wa'de'zao'tu
癌细胞,ai'xi'bao
矮星,ai'xing
矮星系,ai'xing'xi
爱因斯坦,ai'yin'si'tan
爱因斯坦比热公式,ai'yin'si'tan'bi're'gong'shi
爱因斯坦德布罗意公式,ai'yin'si'tan'de'bu'luo'yi'gong'shi
爱因斯坦德哈斯效应,ai'yin'si'tan'de'ha'si'xiao'ying
爱因斯坦德呜宇宙,ai'yin'si'tan'de'wu'yu'zhou
爱因斯坦方程,ai'yin'si'tan'fang'cheng
爱因斯坦关系,ai'yin'si'tan'guan'xi
爱因斯坦塔,ai'yin'si'tan'ta
爱因斯坦位移,ai'yin'si'tan'wei'yi
爱因斯坦宇宙,ai'yin'si'tan'yu'zhou
爱因斯坦跃迁概率,ai'yin'si'tan'yue'qian'gai'lv
爱因斯坦质能关系式,ai'yin'si'tan'zhi'neng'guan'xi'shi
矮造父变星,ai'zao'fu'bian'xing
暗场,an'chang
暗场法,an'chang'fa
暗场象,an'chang'xiang
