安提斯泰尼,an'ti'si'tai'ni
傲视一切,ao'shi'yi'qie
把愤世嫉俗,ba'fen'shi'ji'su
被当时人讥为,bei'dang'shi'ren'ji'wei
本来没有,ben'lai'mei'you
本人住在,ben'ren'zhu'zai
鄙弃俗世的荣华富贵,bi'qi'su'shi'de'rong'hua'fu'gui
别挡住,bie'dang'zhu
并不一致,bing'bu'yi'zhi
并坚持,bing'jian'chi
不要子女,bu'yao'zi'nv
不知廉耻,bu'zhi'lian'chi
不知羞耻,bu'zhi'xiu'chi
城邦文化,cheng'bang'wen'hua
城邦制度,cheng'bang'zhi'du
城邦制度的衰落,cheng'bang'zhi'du'de'shuai'luo
称谓是不是,cheng'wei'shi'bu'shi
持有一定的理想,chi'you'yi'ding'de'li'xiang
创立的,chuang'li'de
粗俗无礼,cu'su'wu'li
催生了他,cui'sheng'le'ta
大致不差,da'zhi'bu'cha
当时奉行,dang'shi'feng'xing
的称呼,de'cheng'hu
的狄奥根尼,de'di'ao'gen'ni
的繁荣,de'fan'rong
的怪异行为,de'guai'yi'xing'wei
的环境,de'huan'jing
的某些,de'mou'xie
的叛逆,de'pan'ni
的人格行为称作,de'ren'ge'xing'wei'cheng'zuo
的体育场,de'ti'yu'chang
的现实产物,de'xian'shi'chan'wu
的由来,de'you'lai
的哲学家,de'zhe'xue'jia
的最初的,de'zui'chu'de
狄奥根尼,di'ao'gen'ni
狄奥根尼回答说,di'ao'gen'ni'hui'da'shuo
狄奥根尼确实愤世嫉俗,di'ao'gen'ni'que'shi'fen'shi'ji'su
狄奥根尼是一个激烈的,di'ao'gen'ni'shi'yi'ge'ji'lie'de
地上晒太阳的狄奥根尼,di'shang'shai'tai'yang'de'di'ao'gen'ni
敌我分明,di'wo'fen'ming
对犬儒一词,dui'quan'ru'yi'ci
而成为更,er'cheng'wei'geng
而且竟然,er'qie'jing'ran
反正是挺歪的,fan'zheng'shi'ting'wai'de
泛指具有,fan'zhi'ju'you
奉为信仰,feng'wei'xin'yang
感觉灵敏,gan'jue'ling'min
敢咬敢斗,gan'yao'gan'dou
古希腊的文明,gu'xi'la'de'wen'ming
古希腊的一个哲学流派,gu'xi'la'de'yi'ge'zhe'xue'liu'pai
古希腊犬儒,gu'xi'la'quan'ru
观点理念,guan'dian'li'nian
关于狄奥根尼,guan'yu'di'ao'gen'ni
过着禁欲的,guo'zhe'jin'yu'de
和生活行为,he'sheng'huo'xing'wei
和玩世不恭恰恰相反,he'wan'shi'bu'gong'qia'qia'xiang'fan
和演变,he'yan'bian
很著名,hen'zhu'ming
后亦,hou'yi
或称犬儒派,huo'cheng'quan'ru'pai
活得象条狗,huo'de'xiang'tiao'gou
或思想家,huo'si'xiang'jia
极端化的产儿,ji'duan'hua'de'chan'er
讥诮嘲讽,ji'qiao'chao'feng
即使结婚,ji'shi'jie'hun
简陋生活,jian'lou'sheng'huo
解放出来的,jie'fang'chu'lai'de
经常到,jing'chang'dao
精神自由,jing'shen'zi'you
就称这些人为,jiu'cheng'zhe'xie'ren'wei
就是一对,jiu'shi'yi'dui
据说狄奥根尼,ju'shuo'di'ao'gen'ni
绝对的个人,jue'dui'de'ge'ren
克拉底,ke'la'di
肯定来源于此,ken'ding'lai'yuan'yu'ci
快犬,kuai'quan
老庄哲学,lao'zhuang'zhe'xue
力倡回归自然,li'chang'hui'gui'zi'ran
理解为,li'jie'wei
理性智者,li'xing'zhi'zhe
另外一种说法,ling'wai'yi'zhong'shuo'fa
另一人物,ling'yi'ren'wu
女犬儒主义者,nv'quan'ru'zhu'yi'zhe
其代表人物是,qi'dai'biao'ren'wu'shi
前来探望,qian'lai'tan'wang
轻视一切,qing'shi'yi'qie
穷犬,qiong'quan
去和人们谈话,qu'he'ren'men'tan'hua
犬儒发展史,quan'ru'fa'zhan'shi
犬儒夫妇,quan'ru'fu'fu
犬儒派,quan'ru'pai
