艾牧电子,ai'mu'dian'zi
安骅汽车,an'hua'qi'che
安居园,an'ju'yuan
澳门大学,ao'men'da'xue
奥特美会所,ao'te'mei'hui'suo
八甲,ba'jia
八闽商会,ba'min'shang'hui
八顷,ba'qing
巴士公司,ba'shi'gong'si
八十亩,ba'shi'mu
八一社区,ba'yi'she'qu
百福汇超市,bai'fu'hui'chao'shi
百货公司,bai'huo'gong'si
白蕉长途站,bai'jiao'chang'tu'zhan
白蕉街,bai'jiao'jie
白蕉旧镇府,bai'jiao'jiu'zhen'fu
白蕉开发区,bai'jiao'kai'fa'qu
白蕉科技园,bai'jiao'ke'ji'yuan
白蕉科技园南,bai'jiao'ke'ji'yuan'nan
白蕉科技园中,bai'jiao'ke'ji'yuan'zhong
白蕉食品厂,bai'jiao'shi'pin'chang
白蕉镇政府,bai'jiao'zhen'zheng'fu
白蕉中心市场,bai'jiao'zhong'xin'shi'chang
白井电子,bai'jing'dian'zi
白莲洞公园,bai'lian'dong'gong'yuan
白莲新村,bai'lian'xin'cun
白埔路口,bai'pu'lu'kou
白沙坑,bai'sha'keng
白石村府,bai'shi'cun'fu
白石东,bai'shi'dong
白石路口,bai'shi'lu'kou
白石西,bai'shi'xi
白藤二路口,bai'teng'er'lu'kou
白藤湖,bai'teng'hu
白藤头,bai'teng'tou
白兔陶瓷,bai'tu'tao'ci
柏叶林,bai'ye'lin
办冲,ban'chong
办冲工业园,ban'chong'gong'ye'yuan
宝刚公司,bao'gang'gong'si
保健院西门,bao'jian'yuan'xi'men
宝莱特科技,bao'lai'te'ke'ji
保利香槟,bao'li'xiang'bin
保税区北门,bao'shui'qu'bei'men
保税区西门,bao'shui'qu'xi'men
宝湾路东,bao'wan'lu'dong
宝湾路口,bao'wan'lu'kou
宝湾路中,bao'wan'lu'zhong
报业大厦,bao'ye'da'sha
北澳,bei'ao
北澳市场,bei'ao'shi'chang
北村,bei'cun
北大附校,bei'da'fu'xiao
北大希望之星,bei'da'xi'wang'zhi'xing
北堤,bei'di
北理工,bei'li'gong
北理工南门,bei'li'gong'nan'men
北岭,bei'ling
北山,bei'shan
北山村,bei'shan'cun
北山工业区,bei'shan'gong'ye'qu
北师大,bei'shi'da
北师大附中,bei'shi'da'fu'zhong
北水,bei'shui
北水旧村,bei'shui'jiu'cun
北水路口,bei'shui'lu'kou
北水小学,bei'shui'xiao'xue
北行,bei'xing
奔图科技,ben'tu'ke'ji
滨海楼,bin'hai'lou
博世安保,bo'shi'an'bao
泊湾,bo'wan
布洲,bu'zhou
草津公司,cao'jin'gong'si
草蓢,cao'lang
草蓢村,cao'lang'cun
草蓢路口,cao'lang'lu'kou
草堂湾,cao'tang'wan
草围路,cao'wei'lu
长亨,chang'heng
昌平路中,chang'ping'lu'zhong
长沙,chang'sha
长沙圩,chang'sha'xu
长沙墟,chang'sha'xu
长兴化学,chang'xing'hua'xue
长园电力,chang'yuan'dian'li
超群电子,chao'qun'dian'zi
超毅电子厂,chao'yi'dian'zi'chang
琛龙船厂,chen'long'chuan'chang
城东家私城,cheng'dong'jia'si'cheng
诚丰怡园,cheng'feng'yi'yuan
城轨明珠站,cheng'gui'ming'zhu'zhan
城轨前山,cheng'gui'qian'shan
城轨前山站,cheng'gui'qian'shan'zhan
城轨山站,cheng'gui'shan'zhan
城轨唐家湾站,cheng'gui'tang'jia'wan'zhan
城轨珠海北站,cheng'gui'zhu'hai'bei'zhan
城轨珠海站,cheng'gui'zhu'hai'zhan
城建总公司,cheng'jian'zong'gong'si
城南派出所,cheng'nan'pai'chu'suo
城南市场,cheng'nan'shi'chang
城市广场,cheng'shi'guang'chang
城市职业学院,cheng'shi'zhi'ye'xue'yuan
成行路西,cheng'xing'lu'xi
成益,cheng'yi
成益新村,cheng'yi'xin'cun
成裕,cheng'yu
成裕围,cheng'yu'wei
赤鱼头,chi'yu'tou
创新六路,chuang'xin'liu'lu
创新三路南,chuang'xin'san'lu'nan
创业东路,chuang'ye'dong'lu
春花园东,chun'hua'yuan'dong
春花园中,chun'hua'yuan'zhong
春泽名园,chun'ze'ming'yuan
粗沙环,cu'sha'huan
翠花苑,cui'hua'yuan
翠景工业区,cui'jing'gong'ye'qu
翠屏路,cui'ping'lu
翠屏路口,cui'ping'lu'kou
翠前小学,cui'qian'xiao'xue
翠湾,cui'wan
翠微,cui'wei
翠薇,cui'wei
翠微临时站,cui'wei'lin'shi'zhan
翠香东,cui'xiang'dong
翠香中,cui'xiang'zhong
大成兔场,da'cheng'tu'chang
大赤坎东,da'chi'kan'dong
大赤坎西,da'chi'kan'xi
大飞沙,da'fei'sha
大果园,da'guo'yuan
大海环二队,da'hai'huan'er'dui
大濠冲,da'hao'chong
大濠冲村口,da'hao'chong'cun'kou
大濠冲路口,da'hao'chong'lu'kou
大虎,da'hu
大虎八队,da'hu'ba'dui
大虎四队,da'hu'si'dui
大环,da'huan
大环村,da'huan'cun
大黄杨,da'huang'yang
大镜山,da'jing'shan
大京师家园,da'jing'shi'jia'yuan
大林,da'lin
大林居委会,da'lin'ju'wei'hui
大林三连,da'lin'san'lian
大林湾,da'lin'wan
大门口,da'men'kou
大沙场,da'sha'chang
大胜,da'sheng
大石鼓,da'shi'gu
大托北,da'tuo'bei
大托村口,da'tuo'cun'kou
大托南,da'tuo'nan
大洋山,da'yang'shan
党校,dang'xiao
导航台,dao'hang'tai
德昌盛景,de'chang'sheng'jing
德豪润达,de'hao'run'da
得佳电器,de'jia'dian'qi
得米公司,de'mi'gong'si
灯笼,deng'long
灯笼路口,deng'long'lu'kou
灯笼沙,deng'long'sha
灯笼闸口,deng'long'zha'kou
灯笼中心小学,deng'long'zhong'xin'xiao'xue
灯三,deng'san
灯三头,deng'san'tou
灯一,deng'yi
第二人民医院,di'er'ren'min'yi'yuan
迪山实业,di'shan'shi'ye
电厂路口,dian'chang'lu'kou
电视台北门,dian'shi'tai'bei'men
叠石,die'shi
定家湾工业区,ding'jia'wan'gong'ye'qu
定湾九路,ding'wan'jiu'lu
定湾七路,ding'wan'qi'lu
东澳村,dong'ao'cun
东澳西,dong'ao'xi
东侧,dong'ce
东方高尔夫,dong'fang'gao'er'fu
东方威尼斯,dong'fang'wei'ni'si
东风北,dong'feng'bei
东风六队,dong'feng'liu'dui
东风南,dong'feng'nan
东风三队,dong'feng'san'dui
东风四队,dong'feng'si'dui
东风五队,dong'feng'wu'dui
东风一队,dong'feng'yi'dui
东咀,dong'ju
东坑,dong'keng
东坑公园,dong'keng'gong'yuan
东坑市场,dong'keng'shi'chang
东坑新村,dong'keng'xin'cun
东桥,dong'qiao
东桥工业区,dong'qiao'gong'ye'qu
东升桥,dong'sheng'qiao
东围,dong'wei
东兴,dong'xing
东行,dong'xing
东源镀锌,dong'yuan'du'xin
斗门财所,dou'men'cai'suo
斗门村,dou'men'cun
斗门大道口,dou'men'da'dao'kou
斗门地税局,dou'men'di'shui'ju
斗门港,dou'men'gang
斗门供电局,dou'men'gong'dian'ju
斗门检察院,dou'men'jian'cha'yuan
斗门交通局,dou'men'jiao'tong'ju
斗门三小,dou'men'san'xiao
斗门三职校,dou'men'san'zhi'xiao
斗门实验中学,dou'men'shi'yan'zhong'xue
斗门行政中心,dou'men'xing'zheng'zhong'xin
斗门一中,dou'men'yi'zhong
斗门镇,dou'men'zhen
斗门镇交警,dou'men'zhen'jiao'jing
斗门镇卫生院,dou'men'zhen'wei'sheng'yuan
斗门装饰建材,dou'men'zhuang'shi'jian'cai
度假村,du'jia'cun
鳄鱼岛,e'yu'dao
二城广场,er'cheng'guang'chang
二号闸,er'hao'zha
二间,er'jian
二龙,er'long
二区,er'qu
二万吨码头,er'wan'dun'ma'tou
二中,er'zhong
番怡路口,fan'yi'lu'kou
方正,fang'zheng
翡翠制衣,fei'cui'zhi'yi
飞沙,fei'sha
飞沙滩,fei'sha'tan
凤凰北,feng'huang'bei
凤凰桥头,feng'huang'qiao'tou
凤凰山,feng'huang'shan
凤凰山风景区,feng'huang'shan'feng'jing'qu
凤鸣市场,feng'ming'shi'chang
凤山工业城,feng'shan'gong'ye'cheng
风水塘广场,feng'shui'tang'guang'chang
佛径,fo'jing
富红苑,fu'hong'yuan
富康花园,fu'kang'hua'yuan
富山工业园,fu'shan'gong'ye'yuan
福石,fu'shi
氟特科技,fu'te'ke'ji
福溪,fu'xi
福溪北,fu'xi'bei
福溪工业区,fu'xi'gong'ye'qu
盖山,gai'shan
港昌南,gang'chang'nan
港昌中,gang'chang'zhong
港二路,gang'er'lu
港三路,gang'san'lu
钢铁厂,gang'tie'chang
钢铁厂西门,gang'tie'chang'xi'men
港一路,gang'yi'lu
高级技校,gao'ji'ji'xiao
高栏,gao'lan
高栏港指挥部,gao'lan'gang'zhi'hui'bu
格力电器,ge'li'dian'qi
格力康乐园,ge'li'kang'le'yuan
耕管,geng'guan
公安村,gong'an'cun
公安村西,gong'an'cun'xi
拱北,gong'bei
拱北工商分局,gong'bei'gong'shang'fen'ju
拱北口岸,gong'bei'kou'an
拱北莲花路,gong'bei'lian'hua'lu
拱北万家,gong'bei'wan'jia
公积金中心,gong'ji'jin'zhong'xin
公交柏宁,gong'jiao'bai'ning
公交花园,gong'jiao'hua'yuan
公交新村,gong'jiao'xin'cun
公交信禾物流,gong'jiao'xin'he'wu'liu
公交招呼站,gong'jiao'zhao'hu'zhan
公爵教练场,gong'jue'jiao'lian'chang
供水总公司,gong'shui'zong'gong'si
工业大道北,gong'ye'da'dao'bei
工业大道中,gong'ye'da'dao'zhong
古元美术馆,gu'yuan'mei'shu'guan
观澳平台,guan'ao'ping'tai
官冲,guan'chong
官塘,guan'tang
官塘三村,guan'tang'san'cun
广昌,guang'chang
光大国贸,guang'da'guo'mao
广发,guang'fa
广丰,guang'feng
广金公司,guang'jin'gong'si
光联科学园,guang'lian'ke'xue'yuan
广茂路口,guang'mao'lu'kou
光明村口,guang'ming'cun'kou
光明街,guang'ming'jie
广生,guang'sheng
桂花北,gui'hua'bei
桂花中,gui'hua'zhong
贵头,gui'tou
国际赛车场,guo'ji'sai'che'chang
国佳新材,guo'jia'xin'cai
国佳药厂,guo'jia'yao'chang
国贸展示中心,guo'mao'zhan'shi'zhong'xin
国寿大厦,guo'shou'da'sha
国土资源局,guo'tu'zi'yuan'ju
国资委,guo'zi'wei
海岸生活区,hai'an'sheng'huo'qu
海滨公园,hai'bin'gong'yuan
海滨南,hai'bin'nan
海滨泳场,hai'bin'yong'chang
海澄工业区,hai'cheng'gong'ye'qu
海华小学,hai'hua'xiao'xue
海纳石鸣苑,hai'na'shi'ming'yuan
海泉湾,hai'quan'wan
海泉湾生活区,hai'quan'wan'sheng'huo'qu
海荣新村,hai'rong'xin'cun
海湾大酒店,hai'wan'da'jiu'dian
海霞新村,hai'xia'xin'cun
海洋乐园,hai'yang'le'yuan
海怡湾畔,hai'yi'wan'pan
海怡湾畔南门,hai'yi'wan'pan'nan'men
海源码头,hai'yuan'ma'tou
海洲路口,hai'zhou'lu'kou
汉坑村口,han'keng'cun'kou
瀚林苑,han'lin'yuan
杭萧钢构,hang'xiao'gang'gou
航展馆,hang'zhan'guan
濠冲路口,hao'chong'lu'kou
号拱北汽车客运总站永通酒店,hao'gong'bei'qi'che'ke'yun'zong'zhan'yong'tong'jiu'dian
荷包岛码头,he'bao'dao'ma'tou
禾丰,he'feng
禾丰尾,he'feng'wei
鹤咀,he'ju
合罗山,he'luo'shan
和平市场,he'ping'shi'chang
河头埔,he'tou'pu
鹤洲北,he'zhou'bei
鹤洲东,he'zhou'dong
恒辉路口,heng'hui'lu'kou
横坑口,heng'keng'kou
恒利工业区北门,heng'li'gong'ye'qu'bei'men
恒利工业园,heng'li'gong'ye'yuan
恒利工业园北门,heng'li'gong'ye'yuan'bei'men
恒利工业园南门,heng'li'gong'ye'yuan'nan'men
恒隆学校,heng'long'xue'xiao
横琴,heng'qin
横琴大桥南,heng'qin'da'qiao'nan
横琴规划展厅,heng'qin'gui'hua'zhan'ting
横琴金融基地,heng'qin'jin'rong'ji'di
横琴口岸,heng'qin'kou'an
横琴新家园,heng'qin'xin'jia'yuan
横琴中学,heng'qin'zhong'xue
横山,heng'shan
横山红砖场,heng'shan'hong'zhuan'chang
横山市场,heng'shan'shi'chang
横山中学,heng'shan'zhong'xue
横石基,heng'shi'ji
横石基路口,heng'shi'ji'lu'kou
恒雅名园,heng'ya'ming'yuan
红灯,hong'deng
红灯小学,hong'deng'xiao'xue
红东,hong'dong
虹晖二路西,hong'hui'er'lu'xi
虹晖二路中,hong'hui'er'lu'zhong
虹晖路东,hong'hui'lu'dong
虹晖路西,hong'hui'lu'xi
虹晖路中,hong'hui'lu'zhong
鸿景花园,hong'jing'hua'yuan
宏利药业,hong'li'yao'ye
泓利织带,hong'li'zhi'dai
红旗,hong'qi
红旗大道,hong'qi'da'dao
红旗客运站,hong'qi'ke'yun'zhan
红旗人民路,hong'qi'ren'min'lu
红旗税务分局,hong'qi'shui'wu'fen'ju
红旗糖厂,hong'qi'tang'chang
红旗小学,hong'qi'xiao'xue
红旗医院,hong'qi'yi'yuan
红旗招商办,hong'qi'zhao'shang'ban
红旗中心广场,hong'qi'zhong'xin'guang'chang
红旗砖厂,hong'qi'zhuan'chang
虹桥四路,hong'qiao'si'lu
虹桥四路口,hong'qiao'si'lu'kou
红山北,hong'shan'bei
红山路南,hong'shan'lu'nan
红山修理厂,hong'shan'xiu'li'chang
红生,hong'sheng
洪湾,hong'wan
洪湾电厂,hong'wan'dian'chang
洪湾路口,hong'wan'lu'kou
洪湾派出所,hong'wan'pai'chu'suo
洪湾水闸,hong'wan'shui'zha
虹阳路北,hong'yang'lu'bei
后环,hou'huan
后环路口,hou'huan'lu'kou
候机大楼,hou'ji'da'lou
湖东,hu'dong
湖东七连,hu'dong'qi'lian
湖东五连,hu'dong'wu'lian
湖东五连路口,hu'dong'wu'lian'lu'kou
湖东一连,hu'dong'yi'lian
虎山村口,hu'shan'cun'kou
虎山东,hu'shan'dong
胡湾里,hu'wan'li
湖心路口,hu'xin'lu'kou
湖中湖花园,hu'zhong'hu'hua'yuan
华昌路口,hua'chang'lu'kou
华翠豪庭,hua'cui'hao'ting
华发国际花园,hua'fa'guo'ji'hua'yuan
华发世纪城,hua'fa'shi'ji'cheng
华发蔚蓝堡,hua'fa'wei'lan'bao
华发新城,hua'fa'xin'cheng
华发新城总站,hua'fa'xin'cheng'zong'zhan
华丰,hua'feng
化工,hua'gong
化工专区,hua'gong'zhuan'qu
华谷电机,hua'gu'dian'ji
华冠工业园,hua'guan'gong'ye'yuan
花果山,hua'guo'shan
华海路口,hua'hai'lu'kou
华海中,hua'hai'zhong
华景花园,hua'jing'hua'yuan
华骏大酒店,hua'jun'da'jiu'dian
华骏大酒店临时站,hua'jun'da'jiu'dian'lin'shi'zhan
华平路口,hua'ping'lu'kou
华侨宾馆,hua'qiao'bin'guan
华润万家,hua'run'wan'jia
华宇金属,hua'yu'jin'shu
华子石东,hua'zi'shi'dong
华子石西,hua'zi'shi'xi
黄家,huang'jia
黄金,huang'jin
黄金村口,huang'jin'cun'kou
黄绿背,huang'lv'bei
黄杨大道东,huang'yang'da'dao'dong
黄杨工业区,huang'yang'gong'ye'qu
会同,hui'tong
会同工业区,hui'tong'gong'ye'qu
会同路口,hui'tong'lu'kou
伙工殿大厦,huo'gong'dian'da'sha
机场北路口,ji'chang'bei'lu'kou
机场北路南,ji'chang'bei'lu'nan
吉大,ji'da
暨大北门,ji'da'bei'men
吉大水库,ji'da'shui'ku
吉大总站,ji'da'zong'zhan
吉利围新路,ji'li'wei'xin'lu
吉林大学东门,ji'lin'da'xue'dong'men
吉林大学南门,ji'lin'da'xue'nan'men
暨南大学,ji'nan'da'xue
吉柠北,ji'ning'bei
鸡山,ji'shan
基石公司,ji'shi'gong'si
吉石路口,ji'shi'lu'kou
鸡啼桥东,ji'ti'qiao'dong
吉湾,ji'wan
鸡嘴路口,ji'zui'lu'kou
嘉豪园,jia'hao'yuan
嘉美公司,jia'mei'gong'si
嘉园东,jia'yuan'dong
尖峰,jian'feng
尖峰花园,jian'feng'hua'yuan
尖峰桥东,jian'feng'qiao'dong
尖峰桥西,jian'feng'qiao'xi
尖峰山,jian'feng'shan
建宏陶瓷厂,jian'hong'tao'ci'chang
健华医院,jian'hua'yi'yuan
鉴隆玩具,jian'long'wan'ju
坚士制锁,jian'shi'zhi'suo
建业一路,jian'ye'yi'lu
江龙船舶,jiang'long'chuan'bo
江南岸,jiang'nan'an
交行大厦,jiao'hang'da'sha
交警支队,jiao'jing'zhi'dui
交通大楼,jiao'tong'da'lou
教育桥,jiao'yu'qiao
杰腾造船,jie'teng'zao'chuan
界涌,jie'yong
界涌北,jie'yong'bei
界涌工业区,jie'yong'gong'ye'qu
锦澳雅苑,jin'ao'ya'yuan
金碧丽江,jin'bi'li'jiang
进成公司,jin'cheng'gong'si
金岛路东,jin'dao'lu'dong
金地门道,jin'di'men'dao
金地伊顿山,jin'di'yi'dun'shan
