阿邦,a'bang
阿邦丹其耶里,a'bang'dan'qi'ye'li
阿德巴约,a'de'ba'yue
阿德里亚诺,a'de'li'ya'nuo
阿杜,a'du
阿尔贝尔达,a'er'bei'er'da
阿尔比,a'er'bi
阿尔比斯通,a'er'bi'si'tong
阿尔维斯,a'er'wei'si
阿方索,a'fang'suo
阿格,a'ge
阿莱士,a'lai'shi
阿兰,a'lan
阿兰史密斯,a'lan'shi'mi'si
阿内尔卡,a'nei'er'ka
阿皮亚,a'pi'ya
阿萨莫阿,a'sa'mo'a
阿什利,a'shi'li
阿什利科尔,a'shi'li'ke'er
阿亚拉,a'ya'la
艾,ai
埃布埃,ai'bu'ai
埃尔文,ai'er'wen
埃夫拉,ai'fu'la
艾拉诺,ai'la'nuo
艾马尔,ai'ma'er
艾莫顿,ai'mo'dun
埃莫森,ai'mo'sen
埃托奥,ai'tuo'ao
埃辛,ai'xin
安德森,an'de'sen
奥,ao
奥布朗,ao'bu'lang
奥多,ao'duo
奥谢,ao'xie
奥耶,ao'ye
巴贝尔,ba'bei'er
巴尔扎利,ba'er'zha'li
巴拉克,ba'la'ke
巴罗什,ba'luo'shi
巴斯滕,ba'si'teng
巴特,ba'te
巴特兹,ba'te'zi
拜恩,bai'en
拜尔,bai'er
保莱塔,bao'lai'ta
保罗普,bao'luo'pu
贝拉米,bei'la'mi
贝莱隆,bei'lai'long
贝利,bei'li
贝隆,bei'long
贝纳特,bei'na'te
贝纳永,bei'na'yong
贝斯特,bei'si'te
本,ben
本林克,ben'lin'ke
本泽马,ben'ze'ma
比利亚,bi'li'ya
比斯利,bi'si'li
博,bo
博班,bo'ban
博比查尔顿,bo'bi'cha'er'dun
博拉鲁兹,bo'la'lu'zi
布冯,bu'feng
布坎,bu'kan
布拉沃,bu'la'wo
布里奇,bu'li'qi
布鲁斯,bu'lu'si
车杜里,che'du'li
陈涛,chen'tao
川口能活,chuan'kou'neng'huo
崔,cui
崔成国,cui'cheng'guo
崔鹏,cui'peng
达力桑德罗,da'li'sang'de'luo
代尔,dai'er
戴维,dai'wei
戴维斯,dai'wei'si
戴维席尔瓦,dai'wei'xi'er'wa
丹尼斯,dan'ni'si
