啊达,a'da
阿怪,a'guai
啊硅,a'gui
啊来恰,a'lai'qia
啊四鬼,a'si'gui
阿斯归,a'si'gui
霸粘,ba'zhan
斑斑子,ban'ban'zi
半硅,ban'gui
半死老,ban'si'lao
包包菜,bao'bao'cai
包饭,bao'fan
暴君,bao'jun
备埂埂,bei'geng'geng
备埂脸,bei'geng'lian
备泉泉,bei'quan'quan
本不车,ben'bu'che
鞭杆,bian'gan
冰草,bing'cao
冰龙,bing'long
菜缸,cai'gang
苍老出,cang'lao'chu
侧个,ce'ge
侧日个,ce'ri'ge
侧舌根,ce'she'gen
插茶子,cha'cha'zi
茶炕捻门,cha'kang'nian'men
茶立凉子,cha'li'liang'zi
茶热头,cha're'tou
插泰子,cha'tai'zi
柴草,chai'cao
拆打鬼,chai'da'gui
柴骨头,chai'gu'tou
长面,chang'mian
扯面,che'mian
吃飞食,chi'fei'shi
痴伸进去,chi'shen'jin'qu
吃套,chi'tao
臭斑虫,chou'ban'chong
次更,ci'geng
凑些钱,cou'xie'qian
大花娥,da'hua'e
打馍馍,da'mo'mo
大拇嘎嘎,da'mu'ga'ga
打整,da'zheng
当上老,dang'shang'lao
挡兆,dang'zhao
当者,dang'zhe
德牢,de'lao
得美,de'mei
得妥,dei'tuo
瞪处老,deng'chu'lao
点却,dian'que
电缺,dian'que
颠山,dian'shan
碟子,die'zi
丢活子,diu'huo'zi
冬龙,dong'long
董水,dong'shui
东死老,dong'si'lao
豆豆,dou'dou
豆些钱,dou'xie'qian
炖茶,dun'cha
炖饭,dun'fan
剁嫩了,duo'nen'le
剁树,duo'shu
朵针,duo'zhen
二部楞儿,er'bu'leng'er
而浪子,er'lang'zi
二门眼子,er'men'yan'zi
乏老,fa'lao
发一层,fa'yi'ceng
反闹,fan'nao
番排菜,fan'pai'cai
饭时候,fan'shi'hou
放泵,fang'beng
噶达马西,ga'da'ma'xi
该花,gai'hua
该路,gai'lu
该上,gai'shang
干轨,gan'gui
干粮,gan'liang
干粮子,gan'liang'zi
杆水,gan'shui
钢中锅,gang'zhong'guo
告锅,gao'guo
胳臂,ge'bei
各车,ge'che
疙瘩老瓦,ge'da'lao'wa
歌到,ge'dao
个到处,ge'dao'chu
各点,ge'dian
各个恰恰,ge'ge'qia'qia
葛加,ge'jia
各家洼,ge'jia'wa
个交,ge'jiao
歌嚼,ge'jiao
圪硓,ge'lao
个老恰恰,ge'lao'qia'qia
狗吃的,gou'chi'de
勾都子,gou'dou'zi
狗狗,gou'gou
故事,gu'shi
古言,gu'yan
谷子蔓,gu'zi'man
刮刮,gua'gua
罐罐茶,guan'guan'cha
锅扣子,guo'kou'zi
哈哈,ha'ha
害人,hai'ren
汉臣郎子,han'chen'lang'zi
喊累,han'lei
豪不,hao'bu
蒿瓜子,hao'gua'zi
赫累,he'lei
和泥泥,he'ni'ni
黑年橙子,hei'nian'cheng'zi
后帮金,hou'bang'jin
后锅,hou'guo
后早,hou'zao
胡搅蛮缠,hu'jiao'man'chan
花花牛子,hua'hua'niu'zi
华茂,hua'mao
坏油,huai'you
缓一些儿,huan'yi'xie'er
黄玲玲,huang'ling'ling
黄葬,huang'zang
灰跳,hui'tiao
祸害,huo'hai
火炉子,huo'lu'zi
棘荠菜,ji'ji'cai
胛骨,jia'gu
架势,jia'shi
尖担,jian'dan
检面子,jian'mian'zi
剪子,jian'zi
浆水,jiang'shui
酵团,jiao'tuan
窖砖,jiao'zhuan
街霸股,jie'ba'gu
金飞机房,jin'fei'ji'fang
金跳,jin'tiao
精解篇,jing'jie'pian
揪面,jiu'mian
酒胚子,jiu'pei'zi
巨灵猫,ju'ling'mao
闶阆,kang'lang
闶子,kang'zi
克里马擦,ke'li'ma'ca
壳桃,ke'tao
壳肘子,ke'zhou'zi
壳子盖,ke'zi'gai
库吹,ku'chui
苦群,ku'qun
宽宽子,kuan'kuan'zi
拉处老,la'chu'lao
辢辣,la'la
拉条,la'tiao
拉耶,la'ye
赖河坝钩抖子,lai'he'ba'gou'dou'zi
揽泥,lan'ni
狼列汤列,lang'lie'tang'lie
狼汤,lang'tang
老家,lao'jia
了叠恰,le'die'qia
冷子,leng'zi
例凉儿,li'liang'er
连个,lian'ge
连欠,lian'qian
凉粉,liang'fen
两面逛,liang'mian'guang
粮食栓子,liang'shi'shuan'zi
粮食装装子,liang'shi'zhuang'zhuang'zi
凉水,liang'shui
灵个,ling'ge
灵歌,ling'ge
六虎子,liu'hu'zi
溜溜盘盘,liu'liu'pan'pan
溜坡坡,liu'po'po
龙瓜,long'gua
鸾东东,luan'dong'dong
轮元老,lun'yuan'lao
驴阙,lv'que
麻腐馍,ma'fu'mo
马路子,ma'lu'zi
马马肉,ma'ma'rou
麻孟子,ma'meng'zi
麻巧子,ma'qiao'zi
猫捻,mao'nian
冒捻子,mao'nian'zi
毛蛆,mao'qu
毛娃子,mao'wa'zi
莓子,mei'zi
面片子,mian'pian'zi
面人,mian'ren
