按比例缩小,an'bi'li'suo'xiao
八木天线,ba'mu'tian'xian
巴特沃思滤波器,ba'te'wo'si'lv'bo'qi
半定制集成电路,ban'ding'zhi'ji'cheng'dian'lu
半功率点,ban'gong'lv'dian
半节网络,ban'jie'wang'luo
伴随模型,ban'sui'mo'xing
半无限斜线逼近,ban'wu'xian'xie'xian'bi'jin
曝光,bao'guang
保护环,bao'hu'huan
包络,bao'luo
包络检波,bao'luo'jian'bo
薄膜淀积,bao'mo'dian'ji
薄膜晶体管,bao'mo'jing'ti'guan
保真度,bao'zhen'du
贝弗里奇天线,bei'fu'li'qi'tian'xian
贝里斯分布,bei'li'si'fen'bu
倍频,bei'pin
倍频程,bei'pin'cheng
倍频链,bei'pin'lian
倍频器,bei'pin'qi
背射天线,bei'she'tian'xian
本机振荡器,ben'ji'zhen'dang'qi
本征吸杂工艺,ben'zheng'xi'za'gong'yi
崩越二极管,beng'yue'er'ji'guan
闭管真空扩散,bi'guan'zhen'kong'kuo'san
闭环,bi'huan
比率鉴频器,bi'lv'jian'pin'qi
笔形波束天线,bi'xing'bo'shu'tian'xian
边带,bian'dai
变距阵,bian'ju'zhen
变频,bian'pin
变频器,bian'pin'qi
扁平封装,bian'ping'feng'zhuang
变容二极管,bian'rong'er'ji'guan
变压器耦合放大器,bian'ya'qi'ou'he'fang'da'qi
边缘效应,bian'yuan'xiao'ying
鞭状天线,bian'zhuang'tian'xian
表面波,biao'mian'bo
表面波天线,biao'mian'bo'tian'xian
表面反应控制,biao'mian'fan'ying'kong'zhi
表面浓度,biao'mian'nong'du
标准单元,biao'zhun'dan'yuan
标准单元法,biao'zhun'dan'yuan'fa
标准阻止截面,biao'zhun'zu'zhi'jie'mian
丙类放大器,bing'lei'fang'da'qi
波瓣,bo'ban
波参数,bo'can'shu
波长,bo'chang
波导,bo'dao
波导波长,bo'dao'bo'chang
波导窗,bo'dao'chuang
波导法兰盘,bo'dao'fa'lan'pan
波导开关,bo'dao'kai'guan
波导膜片,bo'dao'mo'pian
波导调配器,bo'dao'tiao'pei'qi
玻璃封装,bo'li'feng'zhuang
剥离技术,bo'li'ji'shu
波前,bo'qian
薄栅氧化层,bo'shan'yang'hua'ceng
波束波导,bo'shu'bo'dao
波束角,bo'shu'jiao
波束宽度,bo'shu'kuan'du
波束立体角,bo'shu'li'ti'jiao
波束天线,bo'shu'tian'xian
波束调向,bo'shu'tiao'xiang
波束形状因数,bo'shu'xing'zhuang'yin'shu
波数字滤波器,bo'shu'zi'lv'bo'qi
玻特喇叭,bo'te'la'ba
波纹喇叭,bo'wen'la'ba
波形松弛法,bo'xing'song'chi'fa
玻印亭矢量,bo'yin'ting'shi'liang
波阻抗,bo'zu'kang
补偿定理,bu'chang'ding'li
步进阻抗变换器,bu'jin'zu'kang'bian'huan'qi
不可视区,bu'ke'shi'qu
布图规则检查,bu'tu'gui'ze'jian'cha
捕捉,bu'zhuo
捕捉带,bu'zhuo'dai
参量放大器,can'liang'fang'da'qi
参量混频器,can'liang'hun'pin'qi
残留边带,can'liu'bian'dai
差波束,cha'bo'shu
差波束分离角,cha'bo'shu'fen'li'jiao
差波束零深,cha'bo'shu'ling'shen
差分放大器,cha'fen'fang'da'qi
差接变量器,cha'jie'bian'liang'qi
差热分析,cha're'fen'xi
插入损耗,cha'ru'sun'hao
掺杂,chan'za
掺杂多晶硅扩散,chan'za'duo'jing'gui'kuo'san
掺杂剂,chan'za'ji
掺杂氧化物扩散,chan'za'yang'hua'wu'kuo'san
长线,chang'xian
长线天线,chang'xian'tian'xian
场效应晶体管,chang'xiao'ying'jing'ti'guan
场氧化层,chang'yang'hua'ceng
场致发射显微镜学,chang'zhi'fa'she'xian'wei'jing'xue
场致离子质谱学,chang'zhi'li'zi'zhi'pu'xue
场助扩散,chang'zhu'kuo'san
超纯水,chao'chun'shui
超大规模集成电路,chao'da'gui'mo'ji'cheng'dian'lu
超高速集成电路,chao'gao'su'ji'cheng'dian'lu
超过滤,chao'guo'lv
超前,chao'qian
超声键合,chao'sheng'jian'he
超外差接收机,chao'wai'cha'jie'shou'ji
超微粒干版,chao'wei'li'gan'ban
超再生接收机,chao'zai'sheng'jie'shou'ji
衬底,chen'di
衬底馈电逻辑,chen'di'kui'dian'luo'ji
衬底偏置,chen'di'pian'zhi
沉降分析法,chen'jiang'fen'xi'fa
成核,cheng'he
乘积检波器,cheng'ji'jian'bo'qi
成品率,cheng'pin'lv
成型,cheng'xing
成形电路,cheng'xing'dian'lu
重复阻抗,chong'fu'zu'kang
冲激响应,chong'ji'xiang'ying
初级辐射器,chu'ji'fu'she'qi
初缩,chu'suo
出现电势谱学,chu'xian'dian'shi'pu'xue
传播,chuan'bo
传播常数,chuan'bo'chang'shu
传播速度,chuan'bo'su'du
传导电流,chuan'dao'dian'liu
传递函数,chuan'di'han'shu
传输,chuan'shu
传输线,chuan'shu'xian
垂直极化,chui'zhi'ji'hua
垂直注入逻辑,chui'zhi'zhu'ru'luo'ji
次级辐射器,ci'ji'fu'she'qi
磁控溅射,ci'kong'jian'she
磁偶极子,ci'ou'ji'zi
次平面,ci'ping'mian
存储电容,cun'chu'dian'rong
存储器地址寄存器,cun'chu'qi'di'zhi'ji'cun'qi
大规模集成电路,da'gui'mo'ji'cheng'dian'lu
达林顿功率管,da'lin'dun'gong'lv'guan
带宽,dai'kuan
带式自动键合,dai'shi'zi'dong'jian'he
带式自动键合封装,dai'shi'zi'dong'jian'he'feng'zhuang
带通滤波器,dai'tong'lv'bo'qi
戴维宁定理,dai'wei'ning'ding'li
带状线,dai'zhuang'xian
带阻滤波器,dai'zu'lv'bo'qi
单边带调制,dan'bian'dai'tiao'zhi
弹道晶体管,dan'dao'jing'ti'guan
单管单元存储器,dan'guan'dan'yuan'cun'chu'qi
单极晶体管,dan'ji'jing'ti'guan
单极子,dan'ji'zi
单结晶体管,dan'jie'jing'ti'guan
单片集成电路,dan'pian'ji'cheng'dian'lu
单片计算机,dan'pian'ji'suan'ji
单片微波集成放大器,dan'pian'wei'bo'ji'cheng'fang'da'qi
单位冲激函数,dan'wei'chong'ji'han'shu
单位阶跃函数,dan'wei'jie'yue'han'shu
单稳触发电路,dan'wen'chu'fa'dian'lu
单向性,dan'xiang'xing
氮氧化硅,dan'yang'hua'gui
单元尺寸,dan'yuan'chi'cun
导波,dao'bo
导出型滤波器,dao'chu'xing'lv'bo'qi
导抗,dao'kang
导纳,dao'na
导纳圆图,dao'na'yuan'tu
倒向天线,dao'xiang'tian'xian
刀形天线,dao'xing'tian'xian
等波纹逼近,deng'bo'wen'bi'jin
等幅面,deng'fu'mian
等离子体溅射,deng'li'zi'ti'jian'she
等离子体刻蚀,deng'li'zi'ti'ke'shi
等离子体耦合器件,deng'li'zi'ti'ou'he'qi'jian
等离子体去胶,deng'li'zi'ti'qu'jiao
等离子体氧化,deng'li'zi'ti'yang'hua
等平面隔离,deng'ping'mian'ge'li
等平面工艺,deng'ping'mian'gong'yi
等平面集成注入逻辑,deng'ping'mian'ji'cheng'zhu'ru'luo'ji
等温退火,deng'wen'tui'huo
等相面,deng'xiang'mian
等效电源定理,deng'xiao'dian'yuan'ding'li
等效网络,deng'xiao'wang'luo
地波,di'bo
低能电子衍射,di'neng'dian'zi'yan'she
低能离子散射,di'neng'li'zi'san'she
低频放大器,di'pin'fang'da'qi
低通滤波器,di'tong'lv'bo'qi
低压等离子体淀积,di'ya'deng'li'zi'ti'dian'ji
低噪声放大器,di'zao'sheng'fang'da'qi
地址存取时间,di'zhi'cun'qu'shi'jian
电磁波,dian'ci'bo
电磁场,dian'ci'chang
电磁谱,dian'ci'pu
电磁透镜,dian'ci'tou'jing
点焊,dian'han
电荷泵,dian'he'beng
电荷存储二极管,dian'he'cun'chu'er'ji'guan
电荷耦合成象器件,dian'he'ou'he'cheng'xiang'qi'jian
电荷耦合器件,dian'he'ou'he'qi'jian
电荷耦合器件存储器,dian'he'ou'he'qi'jian'cun'chu'qi
电荷耦合器件延迟线,dian'he'ou'he'qi'jian'yan'chi'xian
电荷引发器件,dian'he'yin'fa'qi'jian
电荷注入器件,dian'he'zhu'ru'qi'jian
电荷转移器件,dian'he'zhuan'yi'qi'jian
