柏水窦章,bai'shui'dou'zhang
包诸左石,bao'zhu'zuo'shi
边扈燕冀,bian'hu'yan'ji
曾毋沙乜,ceng'wu'sha'mie
查后荆红,cha'hou'jing'hong
柴瞿阎充,chai'qu'yan'chong
晁勾敖融,chao'gou'ao'rong
巢关蒯相,chao'guan'kuai'xiang
车侯宓蓬,che'hou'mi'peng
程嵇邢滑,cheng'ji'xing'hua
池乔阴郁,chi'qiao'yin'yu
淳于单于,chun'yu'chan'yu
崔吉钮龚,cui'ji'niu'gong
丁宣贲邓,ding'xuan'ben'deng
都耿满弘,dou'geng'man'hong
杜阮蓝闵,du'ruan'lan'min
樊胡凌霍,fan'hu'ling'huo
费廉岑薛,fei'lian'cen'xue
酆鲍史唐,feng'bao'shi'tang
冯陈褚卫,feng'chen'chu'wei
盖益桓公,gai'yi'huan'gong
甘钭厉戎,gan'dou'li'rong
干解应宗,gan'jie'ying'zong
郜黎蓟薄,gao'li'ji'bo
高夏蔡田,gao'xia'cai'tian
戈廖庚终,ge'liao'geng'zhong
公孙仲孙,gong'sun'zhong'sun
顾孟平黄,gu'meng'ping'huang
广禄阙东,guang'lu'que'dong
郝邬安常,hao'wu'an'chang
赫连皇甫,he'lian'huang'fu
何吕施张,he'lv'shi'zhang
和穆萧尹,he'mu'xiao'yin
宦艾鱼容,huan'ai'yu'rong
汲邴糜松,ji'bing'mi'song
计伏成戴,ji'fu'cheng'dai
暨居衡步,ji'ju'heng'bu
姬申扶堵,ji'shen'fu'du
贾路娄危,jia'lu'lou'wei
郏浦尚农,jia'pu'shang'nong
蒋沈韩杨,jiang'shen'han'yang
江童颜郭,jiang'tong'yan'guo
金魏陶姜,jin'wei'tao'jiang
井段富巫,jing'duan'fu'wu
经房裘缪,jing'fang'qiu'miu
景詹束龙,jing'zhan'shu'long
孔曹严华,kong'cao'yan'hua
匡国文寇,kuang'guo'wen'kou
乐于时傅,le'yu'shi'fu
雷贺倪汤,lei'he'ni'tang
冷訾辛阚,leng'zi'xin'kan
鲁韦昌马,lu'wei'chang'ma
梅盛林刁,mei'sheng'lin'diao
米贝明臧,mi'bei'ming'zang
苗凤花方,miao'feng'hua'fang
万俟司马,mo'qi'si'ma
慕连茹习,mu'lian'ru'xi
牧隗山谷,mu'wei'shan'gu
那简饶空,na'jian'rao'kong
宁仇栾暴,ning'chou'luan'bao
殴殳沃利,ou'shu'wo'li
裴陆荣翁,pei'lu'rong'weng
皮卞齐康,pi'bian'qi'kang
濮牛寿通,pu'niu'shou'tong
蒲台丛鄂,pu'tai'cong'e
漆雕乐正,qi'diao'yue'zheng
亓官司寇,qi'guan'si'kou
祁毛禹狄,qi'mao'yu'di
戚谢邹喻,qi'xie'zou'yu
秋仲伊宫,qiu'zhong'yi'gong
全郗班仰,quan'xi'ban'yang
却璩桑桂,que'qu'sang'gui
冉宰郦雍,ran'zai'li'yong
壤驷公良,rang'si'gong'liang
芮羿储靳,rui'yi'chu'jin
上官欧阳,shang'guan'ou'yang
师巩厍聂,shi'gong'she'nie
司徒司空,si'tu'si'kong
索咸籍赖,suo'xian'ji'lai
太叔申屠,tai'shu'shen'tu
谭贡劳逄,tan'gong'lao'pang
谈宋茅庞,tan'song'mao'pang
澹台公冶,tan'tai'gong'ye
滕殷罗毕,teng'yin'luo'bi
蔚越夔隆,wei'yue'kui'long
温别庄晏,wen'bie'zhuang'yan
闻人东方,wen'ren'dong'fang
闻莘党翟,wen'xin'dang'zhai
乌焦巴弓,wu'jiao'ba'gong
巫马公西,wu'ma'gong'xi
伍余元卜,wu'yu'yuan'bu
奚范彭郎,xi'fan'peng'lang
席季麻强,xi'ji'ma'qiang
夏侯诸葛,xia'hou'zhu'ge
鲜于闾丘,xian'yu'lv'qiu
向古易慎,xiang'gu'yi'shen
项祝董梁,xiang'zhu'dong'liang
熊纪舒屈,xiong'ji'shu'qu
胥能苍双,xu'neng'cang'shuang
轩辕令狐,xuan'yuan'ling'hu
荀羊於惠,xun'yang'yu'hui
养鞠须丰,yang'ju'xu'feng
姚邵湛汪,yao'shao'zhan'wang
叶幸司韶,ye'xing'si'shao
印宿白怀,yin'su'bai'huai
游竺权逯,you'zhu'quan'lu
尉迟公羊,yu'chi'gong'yang
郁单杭洪,yu'dan'hang'hong
俞任袁柳,yu'ren'yuan'liu
虞万支柯,yu'wan'zhi'ke
云苏潘葛,yun'su'pan'ge
昝管卢莫,zan'guan'lu'mo
仉督子车,zhang'du'zi'che
长孙慕容,zhang'sun'mu'rong
赵钱孙李,zhao'qian'sun'li
甄曲家封,zhen'qu'jia'feng
钟离宇文,zhong'li'yu'wen
钟徐邱骆,zhong'xu'qiu'luo
周吴郑王,zhou'wu'zheng'wang
朱秦尤许,zhu'qin'you'xu
颛孙端木,zhuan'sun'duan'mu
卓蔺屠蒙,zhuo'lin'tu'meng
宗政濮阳,zong'zheng'pu'yang
祖武符刘,zu'wu'fu'liu
