阿益,a'yi
爱珍,ai'zhen
暗茶脚,an'cha'jiao
暗茶脚套,an'cha'jiao'tao
暗茶银,an'cha'yin
暗红花,an'hong'hua
暗红花点银漆,an'hong'hua'dian'yin'qi
暗红花脚,an'hong'hua'jiao
暗灰,an'hui
暗灰脚,an'hui'jiao
暗咖啡,an'ka'fei
暗咖啡胶脚套,an'ka'fei'jiao'jiao'tao
暗蓝银,an'lan'yin
暗砂灰脚,an'sha'hui'jiao
按月,an'yue
拔皮套,ba'pi'tao
白底,bai'di
白胶,bai'jiao
白脚,bai'jiao
白胶脚套,bai'jiao'jiao'tao
白脚套,bai'jiao'tao
白蜡,bai'la
白配光片,bai'pei'guang'pian
白片,bai'pian
白片半黑水银,bai'pian'ban'hei'shui'yin
白片镀蓝膜,bai'pian'du'lan'mo
白片镀增透粉红膜,bai'pian'du'zeng'tou'fen'hong'mo
白片镀增透蓝膜,bai'pian'du'zeng'tou'lan'mo
白片镀增透绿膜,bai'pian'du'zeng'tou'lv'mo
白片平光,bai'pian'ping'guang
白色,bai'se
白色点银漆,bai'se'dian'yin'qi
白水银,bai'shui'yin
半成品,ban'cheng'pin
半成品配件,ban'cheng'pin'pei'jian
办公室,ban'gong'shi
半架,ban'jia
半框,ban'kuang
半框打弧度,ban'kuang'da'hu'du
半框搭架,ban'kuang'da'jia
半框六点,ban'kuang'liu'dian
半框普通酒杯,ban'kuang'pu'tong'jiu'bei
半框四点,ban'kuang'si'dian
半圆,ban'yuan
包脚,bao'jiao
包脚倒抛,bao'jiao'dao'pao
包脚登臼,bao'jiao'deng'jiu
包脚飞边,bao'jiao'fei'bian
包脚开臼,bao'jiao'kai'jiu
包脚全框,bao'jiao'quan'kuang
包脚四点,bao'jiao'si'dian
包脚头,bao'jiao'tou
包脚位,bao'jiao'wei
宝蓝,bao'lan
宝蓝脚套,bao'lan'jiao'tao
保丽莱,bao'li'lai
保丽莱片,bao'li'lai'pian
包头打弧度,bao'tou'da'hu'du
包头打弯,bao'tou'da'wan
包装,bao'zhuang
包装袋,bao'zhuang'dai
包装组,bao'zhuang'zu
奔达,ben'da
鼻垫,bi'dian
鼻中,bi'zhong
扁丝,bian'si
冰蓝,bing'lan
博学,bo'xue
不封口,bu'feng'kou
不用采,bu'yong'cai
采购单号,cai'gou'dan'hao
采购经理,cai'gou'jing'li
采购数量,cai'gou'shu'liang
采购状态,cai'gou'zhuang'tai
裁脚丝,cai'jiao'si
裁丝,cai'si
财务,cai'wu
财务部,cai'wu'bu
财务人员,cai'wu'ren'yuan
财务主管,cai'wu'zhu'guan
材质,cai'zhi
仓库,cang'ku
仓库员,cang'ku'yuan
茶镀浅水银,cha'du'qian'shui'yin
茶粉红,cha'fen'hong
茶粉红如样,cha'fen'hong'ru'yang
插钢丝,cha'gang'si
茶红,cha'hong
茶红加深,cha'hong'jia'shen
茶红在原样基础上加深,cha'hong'zai'yuan'yang'ji'chu'shang'jia'shen
茶黄,cha'huang
