白槐,bai'huai
绊烦,ban'fan
憋持,bie'chi
憋楞,bie'leng
补罗,bu'luo
不晓哩,bu'xiao'li
不沾,bu'zhan
不占气,bu'zhan'qi
藏哨,cang'shao
操蛋,cao'dan
颤道,chan'dao
颤子,chan'zi
长虫,chang'chong
长果,chang'guo
抻拽,chen'zhuai
吃哩饭哩板,chi'li'fan'li'ban
赤妈糊,chi'ma'hu
出溜,chu'liu
刺棱扎毛,ci'leng'zha'mao
次迷,ci'mi
搓拟,cuo'ni
大白物升,da'bai'wu'sheng
大厂,da'chang
打瓦的,da'wa'de
打悠千,da'you'qian
捣持,dao'chi
倒调,dao'tiao
得劲儿,de'jin'er
地窖,di'jiao
督添,du'tian
饿琅儿,e'lang'er
二番脚的,er'fan'jiao'de
翻持,fan'chi
烦奇,fan'qi
翻条,fan'tiao
翻乍,fan'zha
匪类,fei'lei
嘎咕,ga'gu
噶古,ga'gu
赶明儿,gan'ming'er
干哕,gan'yue
各摆,ge'bai
阁老角,ge'lao'jiao
各腻,ge'ni
格逆,ge'ni
跟头马趴,gen'tou'ma'pa
古窜,gu'cuan
股丢,gu'diu
孤孤追,gu'gu'zhui
古厥,gu'jue
骨索,gu'suo
过楼明,guo'lou'ming
豪儿,hao'er
黑架,hei'jia
胡勒勒,hu'le'le
胡歪歪,hu'wai'wai
划派,hua'pai
混得,hun'de
机矛,ji'mao
兼交,jian'jiao
降莫,jiang'mo
脚摸着,jiao'mo'zhe
捷积,jie'ji
拘挛,ju'luan
局乱儿,ju'luan'er
掘持,jue'chi
觉麽者,jue'mo'zhe
可巴着,ke'ba'zhe
可不是迈,ke'bu'shi'mai
可插着,ke'cha'zhe
可得,ke'de
抠门,kou'men
枯泪,ku'lei
涝鲁,lao'lu
老娘们,lao'niang'men
涝驼,lao'tuo
六畜东西,liu'chu'dong'xi
茅子,mao'zi
灭虎堵,mie'hu'du
姆捻,mu'nian
能带,neng'dai
拟莫,ni'mo
逆外,ni'wai
年年转儿,nian'nian'zhuan'er
跑肚,pao'du
皮溜脸憨,pi'liu'lian'han
扑尺,pu'chi
扑啦扑啦,pu'la'pu'la
潜折,qian'zhe
蚯蚓,qiu'yin
曲筹,qu'chou
肉牛,rou'niu
山药蛋,shan'yao'dan
绍道,shao'dao
使里慌,shi'li'huang
师婆,shi'po
熟划,shu'hua
数念,shu'nian
耍挂,shua'gua
天山儿,tian'shan'er
条旦,tiao'dan
笤帚,tiao'zhou
透了,tou'le
图尔涝嫂,tu'er'lao'sao
物持,wu'chi
物件,wu'jian
乌里乌督,wu'li'wu'du
物索,wu'suo
吸溜,xi'liu
夜哩个儿,ye'li'ge'er
疑胡,yi'hu
圆全,yuan'quan
约约,yue'yue
扎儿扎儿,zha'er'zha'er
扎停,zha'ting
宅歪,zhai'wai
窄歪,zhai'wai
展拓,zhan'tuo
张腥,zhang'xing
知儿叉,zhi'er'cha
自挠,zi'nao
揍嘛起连,zou'ma'qi'lian
左是,zuo'shi
