艾家山,ai'jia'shan
安乐,an'le
安溪,an'xi
昂头,ang'tou
芭栋,ba'dong
八房湾,ba'fang'wan
八户山,ba'hu'shan
芭蕉峪,ba'jiao'yu
八坪峪,ba'ping'yu
白果树,bai'guo'shu
白合札,bai'he'zha
白临桥,bai'lin'qiao
白泥池,bai'ni'chi
白沙渡,bai'sha'du
白沙泉,bai'sha'quan
白鳝峪,bai'shan'yu
白垭,bai'ya
白岩壁,bai'yan'bi
白岩门,bai'yan'men
白洋岗,bai'yang'gang
白洋湖,bai'yang'hu
白洋溶,bai'yang'rong
白羊山,bai'yang'shan
白云桥,bai'yun'qiao
白云山林场,bai'yun'shan'lin'chang
白云乡,bai'yun'xiang
百丈坑,bai'zhang'keng
柏枝档,bai'zhi'dang
柏枝溪,bai'zhi'xi
白竹山,bai'zhu'shan
板船溶,ban'chuan'rong
板桥,ban'qiao
鲍家渡,bao'jia'du
保宁桥,bao'ning'qiao
宝塔,bao'ta
北岔,bei'cha
北洄,bei'hui
北家峪,bei'jia'yu
北界,bei'jie
北流溪,bei'liu'xi
北山,bei'shan
北溪河,bei'xi'he
碑垭,bei'ya
北峪湾,bei'yu'wan
笔架山,bi'jia'shan
簸箕山,bo'ji'shan
藏虎峪,cang'hu'yu
操军坝,cao'jun'ba
草堰湾,cao'yan'wan
曾家垭,ceng'jia'ya
茶场,cha'chang
茶林,cha'lin
茶垭,cha'ya
茶园,cha'yuan
茶园坪,cha'yuan'ping
长冲,chang'chong
常家峪,chang'jia'yu
长岭,chang'ling
长岭岗,chang'ling'gang
长龙岗,chang'long'gang
菖蒲峪,chang'pu'yu
长青山,chang'qing'shan
长梯隘,chang'ti'ai
长湾,chang'wan
长堰,chang'yan
长堰堤,chang'yan'di
长峪湾,chang'yu'wan
车坊,che'fang
扯竹坡,che'zhu'po
陈家桥,chen'jia'qiao
陈家湾,chen'jia'wan
陈家堰,chen'jia'yan
城墙岩,cheng'qiang'yan
重庆峪,chong'qing'yu
重阳村,chong'yang'cun
楚江镇,chu'jiang'zhen
川店铺,chuan'dian'pu
穿山河,chuan'shan'he
枞木山,cong'mu'shan
崔家井,cui'jia'jing
大成,da'cheng
大洞,da'dong
大房峪,da'fang'yu
大福桥,da'fu'qiao
大浮山,da'fu'shan
打葛溪,da'ge'xi
大金竹,da'jin'zhu
大栗树,da'li'shu
大岭,da'ling
大柳树,da'liu'shu
大龙坪,da'long'ping
大路口,da'lu'kou
大帽尖,da'mao'jian
大棚,da'peng
大胜,da'sheng
大水井,da'shui'jing
大坦场,da'tan'chang
大同桥,da'tong'qiao
大同山林场,da'tong'shan'lin'chang
大峪,da'yu
邓家坪,deng'jia'ping
邓家峪,deng'jia'yu
地坪,di'ping
丁家山,ding'jia'shan
丁家峪,ding'jia'yu
东红,dong'hong
董家山,dong'jia'shan
董家峪,dong'jia'yu
东流溪,dong'liu'xi
栋青树,dong'qing'shu
东泉,dong'quan
东山峰,dong'shan'feng
东山峰管理区,dong'shan'feng'guan'li'qu
东湾,dong'wan
洞湾,dong'wan
东溪峪,dong'xi'yu
东周,dong'zhou
东庄坪,dong'zhuang'ping
杜家岗,du'jia'gang
峨公岩,e'gong'yan
二都乡,er'dou'xiang
二房坪,er'fang'ping
二分场,er'fen'chang
二古庙,er'gu'miao
二龙岗,er'long'gang
二天门,er'tian'men
分水岭,fen'shui'ling
凤凰尖,feng'huang'jian
凤凰山,feng'huang'shan
凤凰峪,feng'huang'yu
丰台,feng'tai
枫香档,feng'xiang'dang
风形地,feng'xing'di
风垭头,feng'ya'tou
福龙庵,fu'long'an
覆罗山,fu'luo'shan
浮坪,fu'ping
芙坪峪,fu'ping'yu
岗市,gang'shi
钢锁岗,gang'suo'gang
高家尖,gao'jia'jian
高家坪,gao'jia'ping
高家湾,gao'jia'wan
高枧峪,gao'jian'yu
高桥,gao'qiao
高岩墩,gao'yan'dun
戈尔潭,ge'er'tan
艮门关,gen'men'guan
庚子山,geng'zi'shan
龚家台,gong'jia'tai
古城堤,gu'cheng'di
古井,gu'jing
鼓锣坪,gu'luo'ping
官茶园,guan'cha'yuan
官渡侨,guan'du'qiao
官渡桥,guan'du'qiao
官坟山,guan'fen'shan
灌坪,guan'ping
观山,guan'shan
管山,guan'shan
关上,guan'shang
官丈坪,guan'zhang'ping
官庄峪,guan'zhuang'yu
