安息角,an'xi'jiao
伴生矿,ban'sheng'kuang
爆破设计,bao'po'she'ji
保有储量,bao'you'chu'liang
备采矿量,bei'cai'kuang'liang
标本,biao'ben
擦痕,ca'hen
采场,cai'chang
采幅,cai'fu
采高,cai'gao
采掘比,cai'jue'bi
采宽,cai'kuan
采矿方法,cai'kuang'fang'fa
采矿回收率,cai'kuang'hui'shou'lv
采矿品位,cai'kuang'pin'wei
采准矿量,cai'zhun'kuang'liang
出矿量,chu'kuang'liang
出矿品位,chu'kuang'pin'wei
储量升级,chu'liang'sheng'ji
穿脉,chuan'mai
垂直纵投影图,chui'zhi'zong'tou'ying'tu
磁偏角校正,ci'pian'jiao'jiao'zheng
地表钻,di'biao'zuan
地形底图,di'xing'di'tu
地压,di'ya
地压效应,di'ya'xiao'ying
地质界线,di'zhi'jie'xian
地质勘察,di'zhi'kan'cha
地质平面图,di'zhi'ping'mian'tu
地质素描,di'zhi'su'miao
地质探矿,di'zhi'tan'kuang
地质填图,di'zhi'tian'tu
地质图,di'zhi'tu
地质图例,di'zhi'tu'li
底柱,di'zhu
顶柱,ding'zhu
硐室,dong'shi
断层,duan'ceng
断裂带,duan'lie'dai
对角式两翼通风,dui'jiao'shi'liang'yi'tong'feng
风带,feng'dai
风机,feng'ji
风水管,feng'shui'guan
风筒,feng'tong
工程间距,gong'cheng'jian'ju
共生矿,gong'sheng'kuang
工业品位,gong'ye'pin'wei
工作面,gong'zuo'mian
光面爆破,guang'mian'bao'po
硅化,gui'hua
黄铁绢英岩化,huang'tie'juan'ying'yan'hua
黄铁矿化,huang'tie'kuang'hua
回采,hui'cai
回采边界,hui'cai'bian'jie
机械辅助通风,ji'xie'fu'zhu'tong'feng
假厚度,jia'hou'du
见矿率,jian'kuang'lv
降尘,jiang'chen
节理,jie'li
节理面,jie'li'mian
节理组,jie'li'zu
接图表,jie'tu'biao
绢云母化,juan'yun'mu'hua
开拓矿量,kai'tuo'kuang'liang
勘探成本,kan'tan'cheng'ben
勘探剖面,kan'tan'pou'mian
勘探深度,kan'tan'shen'du
勘探网度,kan'tan'wang'du
勘探线,kan'tan'xian
坑内钻,keng'nei'zuan
坑内钻设计图,keng'nei'zuan'she'ji'tu
坑探工程,keng'tan'gong'cheng
矿床,kuang'chuang
矿床勘察类型,kuang'chuang'kan'cha'lei'xing
矿房,kuang'fang
矿化带,kuang'hua'dai
矿块三面图,kuang'kuai'san'mian'tu
矿区,kuang'qu
矿山,kuang'shan
矿山测量,kuang'shan'ce'liang
矿山规模,kuang'shan'gui'mo
矿山年产量,kuang'shan'nian'chan'liang
矿山寿命,kuang'shan'shou'ming
矿山压力,kuang'shan'ya'li
矿石结块性,kuang'shi'jie'kuai'xing
矿石贫化率,kuang'shi'pin'hua'lv
矿石损失率,kuang'shi'sun'shi'lv
矿体,kuang'ti
矿体产状,kuang'ti'chan'zhuang
矿体圈定,kuang'ti'quan'ding
拉底巷道,la'di'hang'dao
联络道,lian'luo'dao
溜矿井,liu'kuang'jing
绿泥石化,lv'ni'shi'hua
脉内,mai'nei
脉内天井,mai'nei'tian'jing
脉外,mai'wai
盲矿体,mang'kuang'ti
冒顶,mao'ding
逆断层,ni'duan'ceng
排险,pai'xian
喷渣,pen'zha
片帮,pian'bang
品位,pin'wei
平移断层,ping'yi'duan'ceng
气腿式凿岩机,qi'tui'shi'zao'yan'ji
上盘,shang'pan
生产勘探,sheng'chan'kan'tan
生产探矿,sheng'chan'tan'kuang
蚀变作用,shi'bian'zuo'yong
石门,shi'men
视倾角,shi'qing'jiao
竖井,shu'jing
刷壁,shua'bi
松散系数,song'san'xi'shu
探槽,tan'cao
探矿比,tan'kuang'bi
探矿川,tan'kuang'chuan
探矿设计图,tan'kuang'she'ji'tu
探矿天井,tan'kuang'tian'jing
探矿系数,tan'kuang'xi'shu
天井,tian'jing
天井进路,tian'jing'jin'lu
天井实测图,tian'jing'shi'ce'tu
通风,tong'feng
围岩,wei'yan
围岩蚀变,wei'yan'shi'bian
下盘,xia'pan
斜井,xie'jing
沿脉,yan'mai
样品,yang'pin
原始资料,yuan'shi'zi'liao
凿岩机,zao'yan'ji
凿岩台车,zao'yan'tai'che
找矿标志,zhao'kuang'biao'zhi
真厚度,zhen'hou'du
真倾角,zhen'qing'jiao
正断层,zheng'duan'ceng
支护,zhi'hu
中段,zhong'duan
主井,zhu'jing
资源储量估算,zi'yuan'chu'liang'gu'suan
最低可采厚度,zui'di'ke'cai'hou'du
