阿兵哥,a'bing'ge
阿波罗,a'bo'luo
阿肥发,a'fei'fa
啊肥猪,a'fei'zhu
啊傻,a'sha
爱倍多,ai'bei'duo
爱心桃,ai'xin'tao
哎呀哎,ai'ya'ai
哎呀哈,ai'ya'ha
哎呀嗨,ai'ya'hai
哎约,ai'yue
安安心,an'an'xin
安德鲁森,an'de'lu'sen
安德鲁斯,an'de'lu'si
暗摸摸,an'mo'mo
安泰,an'tai
安泰楼,an'tai'lou
安溪县,an'xi'xian
鳌峰大桥,ao'feng'da'qiao
鳌峰路,ao'feng'lu
鳌峰洲,ao'feng'zhou
澳牛,ao'niu
澳前,ao'qian
粑粑人,ba'ba'ren
粑粑样,ba'ba'yang
叭卟,ba'bu
八方大厦,ba'fang'da'sha
拔花生,ba'hua'sheng
八角亭,ba'jiao'ting
八一七,ba'yi'qi
八一七路,ba'yi'qi'lu
白布,bai'bu
白场,bai'chang
百分十,bai'fen'shi
白果,bai'guo
白湖,bai'hu
白湖亭,bai'hu'ting
白鲫鱼,bai'ji'yu
白金汉,bai'jin'han
白马河,bai'ma'he
白马路,bai'ma'lu
白墓,bai'mu
白沙湾,bai'sha'wan
白沙镇,bai'sha'zhen
白水洋,bai'shui'yang
白云洞,bai'yun'dong
班班有歌声,ban'ban'you'ge'sheng
班搓,ban'cuo
坂东,ban'dong
拌粉干,ban'fen'gan
半街,ban'jie
班聚,ban'ju
板栗饼,ban'li'bing
拌面,ban'mian
拌面扁肉,ban'mian'bian'rou
半男女,ban'nan'nv
半期考,ban'qi'kao
帮出去,bang'chu'qu
帮忙下,bang'mang'xia
榜头,bang'tou
报备下,bao'bei'xia
宝力豪,bao'li'hao
宝龙,bao'long
宝龙吧,bao'long'ba
宝龙城市广场,bao'long'cheng'shi'guang'chang
宝龙的,bao'long'de
宝龙店,bao'long'dian
宝龙了,bao'long'le
北大路,bei'da'lu
北江滨,bei'jiang'bin
背默,bei'mo
被你说下,bei'ni'shuo'xia
本地话,ben'di'hua
畚斗,ben'dou
本二线,ben'er'xian
本机资费,ben'ji'zi'fei
本咖啡,ben'ka'fei
本一,ben'yi
本一线,ben'yi'xian
彼岸城,bi'an'cheng
笔擦,bi'ca
碧芳,bi'fang
比福州,bi'fu'zhou
比较迟,bi'jiao'chi
碧娟,bi'juan
必来客,bi'lai'ke
碧水芳洲,bi'shui'fang'zhou
闭学式,bi'xue'shi
碧英,bi'ying
便裤,bian'ku
变没了,bian'mei'le
便民网,bian'min'wang
扁肉,bian'rou
扁肉拌面,bian'rou'ban'mian
标会,biao'hui
表姐说,biao'jie'shuo
别太迟,bie'tai'chi
冰倩,bing'qian
博饼,bo'bing
博美诗邦,bo'mei'shi'bang
博士后,bo'shi'hou
不爱读书,bu'ai'du'shu
补充包,bu'chong'bao
不懂啊,bu'dong'a
不懂地,bu'dong'di
不懂诶,bu'dong'ei
不懂是不是,bu'dong'shi'bu'shi
不懂为什么,bu'dong'wei'shen'me
不懂也,bu'dong'ye
不费吧,bu'fei'ba
不甘愿,bu'gan'yuan
不敢这样,bu'gan'zhe'yang
不刚好,bu'gang'hao
不够坐,bu'gou'zuo
不会读书,bu'hui'du'shu
不会贵,bu'hui'gui
不会很远,bu'hui'hen'yuan
不会肯,bu'hui'ken
不会热,bu'hui're
不会远,bu'hui'yuan
不来福州,bu'lai'fu'zhou
不拿去,bu'na'qu
不去睡,bu'qu'shui
不去睡觉,bu'qu'shui'jiao
补缺补漏,bu'que'bu'lou
不在福州,bu'zai'fu'zhou
步卓,bu'zhuo
蔡导,cai'dao
财富天下,cai'fu'tian'xia
猜过去,cai'guo'qu
才马路,cai'ma'lu
才去睡,cai'qu'shui
才想的,cai'xiang'de
餐卡,can'ka
仓山,cang'shan
仓山区,cang'shan'qu
仓山万达,cang'shan'wan'da
仓山镇,cang'shan'zhen
苍霞,cang'xia
苍霞新城,cang'xia'xin'cheng
曹德旺,cao'de'wang
草席,cao'xi
厕厕,ce'ce
茶店,cha'dian
茶会,cha'hui
茶会小区,cha'hui'xiao'qu
查天气,cha'tian'qi
茶亭,cha'ting
茶亭公园,cha'ting'gong'yuan
茶叶店,cha'ye'dian
茶艺居,cha'yi'ju
茶园桥,cha'yuan'qiao
茶园山,cha'yuan'shan
产家,chan'jia
长冠城,chang'guan'cheng
长乐,chang'le
长乐的,chang'le'de
长乐机场,chang'le'ji'chang
长乐了,chang'le'le
长乐吗,chang'le'ma
长乐南路,chang'le'nan'lu
长乐人,chang'le'ren
长乐市,chang'le'shi
长山湖,chang'shan'hu
长寿社,chang'shou'she
长汀,chang'ting
长汀县,chang'ting'xian
炒白果,chao'bai'guo
潮福城,chao'fu'cheng
陈导,chen'dao
陈恩,chen'en
陈涵,chen'han
陈航,chen'hang
陈鸿,chen'hong
陈煌,chen'huang
陈捷,chen'jie
陈锦,chen'jin
陈景,chen'jing
陈梦婷,chen'meng'ting
陈珊,chen'shan
晨刷,chen'shua
陈挺,chen'ting
蛏干,cheng'gan
成龙步行街,cheng'long'bu'xing'jie
城门,cheng'men
城门镇,cheng'men'zhen
程埔头,cheng'pu'tou
城头,cheng'tou
丞相坊,cheng'xiang'fang
吃饱撑着,chi'bao'cheng'zhe
吃点心,chi'dian'xin
吃饭下,chi'fan'xia
吃好饱,chi'hao'bao
吃很饱,chi'hen'bao
吃换,chi'huan
迟回家,chi'hui'jia
吃鸡,chi'ji
吃了下,chi'le'xia
吃怕了,chi'pa'le
吃肉片,chi'rou'pian
吃什么咯,chi'shen'me'ge
迟睡,chi'shui
吃太饱,chi'tai'bao
吃太饱了,chi'tai'bao'le
吃太热,chi'tai're
吃田鸡,chi'tian'ji
吃下饭,chi'xia'fan
吃下药,chi'xia'yao
吃鸭,chi'ya
吃鱼丸,chi'yu'wan
池园,chi'yuan
抽层,chou'ceng
抽陈,chou'chen
抽成,chou'cheng
初二年,chu'er'nian
出门下,chu'men'xia
初三年,chu'san'nian
初一年,chu'yi'nian
床铺上,chuang'pu'shang
创新楼,chuang'xin'lou
创元,chuang'yuan
吹趴,chui'pa
吹瓶,chui'ping
锤子剪刀布,chui'zi'jian'dao'bu
淳百味,chun'bai'wei
葱饼,cong'bing
从福州,cong'fu'zhou
凑一脚,cou'yi'jiao
崔家菜,cui'jia'cai
翠园,cui'yuan
打不清楚,da'bu'qing'chu
达道,da'dao
大第,da'di
大丰收,da'feng'shou
大福建,da'fu'jian
搭盖,da'gai
大红袍,da'hong'pao
大湖,da'hu
打击家,da'ji'jia
大景城,da'jing'cheng
大酒楼,da'jiu'lou
搭卡,da'ka
大利嘉,da'li'jia
大利嘉城,da'li'jia'cheng
大梦山,da'meng'shan
大闽网,da'min'wang
大名城,da'ming'cheng
达明路,da'ming'lu
大拇哥,da'mu'ge
大儒世家,da'ru'shi'jia
打死掉,da'si'diao
大田,da'tian
大田县,da'tian'xian
大卫城,da'wei'cheng
大洋百货,da'yang'bai'huo
大洋经典,da'yang'jing'dian
大樟溪,da'zhang'xi
待就业,dai'jiu'ye
戴斯,dai'si
单身公寓,dan'shen'gong'yu
单元考,dan'yuan'kao
担仔面,dan'zai'mian
到宝龙,dao'bao'long
到长乐,dao'chang'le
到吃了吗,dao'chi'le'ma
到吃了么,dao'chi'le'me
到吃没,dao'chi'mei
到吃完,dao'chi'wan
到肚子,dao'du'zi
到福建,dao'fu'jian
到福清,dao'fu'qing
到福州,dao'fu'zhou
到福州了,dao'fu'zhou'le
到福州了吗,dao'fu'zhou'le'ma
到家楼下,dao'jia'lou'xia
到连江,dao'lian'jiang
到龙岩,dao'long'yan
到罗源,dao'luo'yuan
到南平,dao'nan'ping
到平潭,dao'ping'tan
到莆田,dao'pu'tian
到泉州,dao'quan'zhou
道山,dao'shan
道山路,dao'shan'lu
道山路口,dao'shan'lu'kou
倒水泥,dao'shui'ni
倒一,dao'yi
德化县,de'hua'xian
德克士,de'ke'shi
等等过去,deng'deng'guo'qu
等伙,deng'huo
登入,deng'ru
地瓜粉,di'gua'fen
地瓜烧,di'gua'shao
地瓜粥,di'gua'zhou
帝苑,di'yuan
电风吹,dian'feng'chui
电话下,dian'hua'xia
颠趴,dian'pa
电视中心,dian'shi'zhong'xin
点心了,dian'xin'le
叼火,diao'huo
订婚酒,ding'hun'jiu
顶香居,ding'xiang'ju
定向生,ding'xiang'sheng
丁香鱼,ding'xiang'yu
东百,dong'bai
东北风,dong'bei'feng
东北佬,dong'bei'lao
东壁岛,dong'bi'dao
动车票,dong'che'piao
动车上,dong'che'shang
动车站,dong'che'zhan
东大路,dong'da'lu
东岱,dong'dai
东方百货,dong'fang'bai'huo
东方名城,dong'fang'ming'cheng
东瀚,dong'han
东街店,dong'jie'dian
东街口,dong'jie'kou
东街口了,dong'jie'kou'le
东南快报,dong'nan'kuai'bao
东南网,dong'nan'wang
东南卫视,dong'nan'wei'shi
东南眼科,dong'nan'yan'ke
东浦路,dong'pu'lu
东岐,dong'qi
东山岛,dong'shan'dao
东水,dong'shui
东水路,dong'shui'lu
东水路口,dong'shui'lu'kou
东泰路,dong'tai'lu
都很迟,dou'hen'chi
都会怕,dou'hui'pa
都没差,dou'mei'cha
都没读,dou'mei'du
