案件审理股,an'jian'shen'li'gu
案件执行股,an'jian'zhi'xing'gu
百万位,bai'wan'wei
百万元,bai'wan'yuan
百万元版,bai'wan'yuan'ban
百位,bai'wei
百元,bai'yuan
百元版,bai'yuan'ban
办公室,ban'gong'shi
办税,ban'shui
办税常识,ban'shui'chang'shi
办税大厅,ban'shui'da'ting
办税服务厅,ban'shui'fu'wu'ting
办税公开,ban'shui'gong'kai
办税厅,ban'shui'ting
办税员,ban'shui'yuan
报查,bao'cha
报查联,bao'cha'lian
本数,ben'shu
比对,bi'dui
避税,bi'shui
变更登记,bian'geng'deng'ji
补录,bu'lu
补录类,bu'lu'lei
不予受理,bu'yu'shou'li
不予行政处罚,bu'yu'xing'zheng'chu'fa
财务负责人,cai'wu'fu'ze'ren
财务管理科,cai'wu'guan'li'ke
财务专用章,cai'wu'zhuan'yong'zhang
操作规程,cao'zuo'gui'cheng
操作实务,cao'zuo'shi'wu
操作员,cao'zuo'yuan
查封扣押,cha'feng'kou'ya
查询模式,cha'xun'mo'shi
拆本,chai'ben
超限量,chao'xian'liang
车购办,che'gou'ban
撤销入库,che'xiao'ru'ku
撤销销号,che'xiao'xiao'hao
陈述申辩,chen'shu'shen'bian
城区局,cheng'qu'ju
承租人电话,cheng'zu'ren'dian'hua
承租人身份证号,cheng'zu'ren'shen'fen'zheng'hao
承租人姓名,cheng'zu'ren'xing'ming
重复扣税,chong'fu'kou'shui
重新税务登记,chong'xin'shui'wu'deng'ji
出口退税,chu'kou'tui'shui
出租人工作单位,chu'zu'ren'gong'zuo'dan'wei
出租人联系方式,chu'zu'ren'lian'xi'fang'shi
出租人身份证号,chu'zu'ren'shen'fen'zheng'hao
出租人姓名,chu'zu'ren'xing'ming
催缴税款,cui'jiao'shui'kuan
存根联,cun'gen'lian
达起征点,da'qi'zheng'dian
贷方传票,dai'fang'chuan'piao
代开,dai'kai
代开发票,dai'kai'fa'piao
代开柜台,dai'kai'gui'tai
代理人,dai'li'ren
代码证,dai'ma'zheng
待批文书,dai'pi'wen'shu
代征处,dai'zheng'chu
代征员,dai'zheng'yuan
单位税额,dan'wei'shui'e
党办,dang'ban
登记率,deng'ji'lv
登记受理,deng'ji'shou'li
第二联,di'er'lian
地方税收,di'fang'shui'shou
地方税务局,di'fang'shui'wu'ju
第六联,di'liu'lian
第三联,di'san'lian
地税局,di'shui'ju
第四联,di'si'lian
第五联,di'wu'lian
第一联,di'yi'lian
电话申报,dian'hua'shen'bao
电脑票,dian'nao'piao
调拨,diao'bo
调研员,diao'yan'yuan
定期定额,ding'qi'ding'e
定税,ding'shui
定税公告,ding'shui'gong'gao
定税清册,ding'shui'qing'ce
督查组,du'cha'zu
二份,er'fen
二联,er'lian
法定代表人,fa'ding'dai'biao'ren
罚款率,fa'kuan'lv
发票,fa'piao
发票保证金,fa'piao'bao'zheng'jin
发票出库,fa'piao'chu'ku
发票代开,fa'piao'dai'kai
发票代码,fa'piao'dai'ma
发票担保人,fa'piao'dan'bao'ren
发票发售部,fa'piao'fa'shou'bu
发票工本费,fa'piao'gong'ben'fei
发票管理办法,fa'piao'guan'li'ban'fa
发票管理制度,fa'piao'guan'li'zhi'du
发票号码,fa'piao'hao'ma
发票核销,fa'piao'he'xiao
发票缴销,fa'piao'jiao'xiao
发票库存,fa'piao'ku'cun
发票库房,fa'piao'ku'fang
发票领购,fa'piao'ling'gou
发票领购本,fa'piao'ling'gou'ben
发票领购簿,fa'piao'ling'gou'bu
发票领购资格,fa'piao'ling'gou'zi'ge
发票名称,fa'piao'ming'cheng
发票入库,fa'piao'ru'ku
发票预收款,fa'piao'yu'shou'kuan
发票预收税款,fa'piao'yu'shou'shui'kuan
发票种类,fa'piao'zhong'lei
发票专用章,fa'piao'zhuan'yong'zhang
发票状态,fa'piao'zhuang'tai
法人,fa'ren
法人代表,fa'ren'dai'biao
发售柜台,fa'shou'gui'tai
反馈单,fan'kui'dan
防洪保安费,fang'hong'bao'an'fei
防洪费,fang'hong'fei
防伪税控,fang'wei'shui'kong
防伪税控系统,fang'wei'shui'kong'xi'tong
非辅导期,fei'fu'dao'qi
废旧物资发票,fei'jiu'wu'zi'fa'piao
废票,fei'piao
非正常户,fei'zheng'chang'hu
分户明细账,fen'hu'ming'xi'zhang
分局长,fen'ju'zhang
分类明细账,fen'lei'ming'xi'zhang
份数,fen'shu
辅导期,fu'dao'qi
副调研员,fu'diao'yan'yuan
副分局长,fu'fen'ju'zhang
副股长,fu'gu'zhang
副局长,fu'ju'zhang
副局长室,fu'ju'zhang'shi
副科长,fu'ke'zhang
付款凭证,fu'kuan'ping'zheng
复业登记,fu'ye'deng'ji
复业管理,fu'ye'guan'li
复业信息,fu'ye'xin'xi
负责人,fu'ze'ren
副主任,fu'zhu'ren
告知处理,gao'zhi'chu'li
告知书,gao'zhi'shu
个人所得税,ge'ren'suo'de'shui
个体工商户,ge'ti'gong'shang'hu
个体工商户建账管理暂行办法,ge'ti'gong'shang'hu'jian'zhang'guan'li'zan'xing'ban'fa
个体管理组,ge'ti'guan'li'zu
个体户,ge'ti'hu
个体双定,ge'ti'shuang'ding
个体双定户,ge'ti'shuang'ding'hu
更正类,geng'zheng'lei
工本费,gong'ben'fei
工会主席,gong'hui'zhu'xi
公文处理,gong'wen'chu'li
工业加工,gong'ye'jia'gong
购票,gou'piao
购票日期,gou'piao'ri'qi
购票员,gou'piao'yuan
股长,gu'zhang
管理股,guan'li'gu
管理组,guan'li'zu
柜台出库,gui'tai'chu'ku
柜台结存,gui'tai'jie'cun
柜台入库,gui'tai'ru'ku
国际科,guo'ji'ke
国际税收,guo'ji'shui'shou
国际税收科,guo'ji'shui'shou'ke
国际税务管理科,guo'ji'shui'wu'guan'li'ke
国家税收,guo'jia'shui'shou
国家税务局,guo'jia'shui'wu'ju
国家税务总局,guo'jia'shui'wu'zong'ju
国税局,guo'shui'ju
合理库存,he'li'ku'cun
后勤组,hou'qin'zu
华侨区局,hua'qiao'qu'ju
换验证,huan'yan'zheng
换验证登记,huan'yan'zheng'deng'ji
恢复税务登记,hui'fu'shui'wu'deng'ji
汇总申报,hui'zong'shen'bao
货物销售,huo'wu'xiao'shou
货物销售发票,huo'wu'xiao'shou'fa'piao
货运税控,huo'yun'shui'kong
季报表,ji'bao'biao
基层税务机关,ji'ceng'shui'wu'ji'guan
稽查分局,ji'cha'fen'ju
稽查局,ji'cha'ju
稽查证,ji'cha'zheng
机动车电脑票,ji'dong'che'dian'nao'piao
机动车发票,ji'dong'che'fa'piao
机关党办,ji'guan'dang'ban
机关服务中心,ji'guan'fu'wu'zhong'xin
稽核,ji'he
稽核比对,ji'he'bi'dui
稽核数据,ji'he'shu'ju
计划征收股,ji'hua'zheng'shou'gu
计划征收科,ji'hua'zheng'shou'ke
计会征收股,ji'hui'zheng'shou'gu
纪检,ji'jian
纪检室,ji'jian'shi
基建组,ji'jian'zu
计算机发票,ji'suan'ji'fa'piao
计统内勤部,ji'tong'nei'qin'bu
记帐员,ji'zhang'yuan
记账员,ji'zhang'yuan
计征股,ji'zheng'gu
计征科,ji'zheng'ke
加收滞纳金,jia'shou'zhi'na'jin
价税,jia'shui
价税合计,jia'shui'he'ji
检查二股,jian'cha'er'gu
检查股,jian'cha'gu
检查三股,jian'cha'san'gu
监察室,jian'cha'shi
检查一股,jian'cha'yi'gu
检查证,jian'cha'zheng
检查组,jian'cha'zu
剪角,jian'jiao
剪角作废,jian'jiao'zuo'fei
监控查询,jian'kong'cha'xun
减免,jian'mian
减免税,jian'mian'shui
减免增值税,jian'mian'zeng'zhi'shui
简易征收,jian'yi'zheng'shou
交叉稽核,jiao'cha'ji'he
交费凭证,jiao'fei'ping'zheng
交旧,jiao'jiu
交旧验旧,jiao'jiu'yan'jiu
缴款单,jiao'kuan'dan
缴款单位,jiao'kuan'dan'wei
缴款书,jiao'kuan'shu
交税,jiao'shui
结案率,jie'an'lv
解除税收保全,jie'chu'shui'shou'bao'quan
解除税务处理,jie'chu'shui'wu'chu'li
借方传票,jie'fang'chuan'piao
进出口管理科,jin'chu'kou'guan'li'ke
进出口科,jin'chu'kou'ke
进出口税收管理科,jin'chu'kou'shui'shou'guan'li'ke
金额,jin'e
金额版,jin'e'ban
进货销货登记簿,jin'huo'xiao'huo'deng'ji'bu
金税工程,jin'shui'gong'cheng
金税数据,jin'shui'shu'ju
进项税额,jin'xiang'shui'e
经手人,jing'shou'ren
经营地发票,jing'ying'di'fa'piao
经营地址,jing'ying'di'zhi
经营范围,jing'ying'fan'wei
经营户名称,jing'ying'hu'ming'cheng
开发区局,kai'fa'qu'ju
开票日期,kai'piao'ri'qi
开票时间,kai'piao'shi'jian
开业登记,kai'ye'deng'ji
抗税,kang'shui
科长,ke'zhang
空白发票,kong'bai'fa'piao
空白作废,kong'bai'zuo'fei
扣缴税款,kou'jiao'shui'kuan
扣税,kou'shui
库存,ku'cun
库存查询,ku'cun'cha'xun
库房出库,ku'fang'chu'ku
库房结存,ku'fang'jie'cun
库房入库,ku'fang'ru'ku
会计分录,kuai'ji'fen'lu
黎塘分局,li'tang'fen'ju
联次,lian'ci
两费收取,liang'fei'shou'qu
临时纳税人,lin'shi'na'shui'ren
临时纳税人登记,lin'shi'na'shui'ren'deng'ji
领购,ling'gou
领购簿,ling'gou'bu
领购资格,ling'gou'zi'ge
领票,ling'piao
领票户,ling'piao'hu
领取通知书,ling'qu'tong'zhi'shu
零散税收,ling'san'shui'shou
六份,liu'fen
六联,liu'lian
六率,liu'lv
流向查询,liu'xiang'cha'xun
流转税科,liu'zhuan'shui'ke
每本,mei'ben
每本份数,mei'ben'fen'shu
每份,mei'fen
面积,mian'ji
免征,mian'zheng
免征增值税,mian'zheng'zeng'zhi'shui
纳税,na'shui
纳税担保,na'shui'dan'bao
纳税担保书,na'shui'dan'bao'shu
纳税评估,na'shui'ping'gu
纳税期,na'shui'qi
纳税人,na'shui'ren
纳税人编码,na'shui'ren'bian'ma
纳税人名称,na'shui'ren'ming'cheng
纳税人识别号,na'shui'ren'shi'bie'hao
纳税人状态,na'shui'ren'zhuang'tai
年报表,nian'bao'biao
盘存,pan'cun
骗税,pian'shui
票管中心,piao'guan'zhong'xin
票证汇总,piao'zheng'hui'zong
票种,piao'zhong
票种登记,piao'zhong'deng'ji
票种核定,piao'zhong'he'ding
票种调整,piao'zhong'tiao'zheng
品目,pin'mu
品目名称,pin'mu'ming'cheng
评估,ping'gu
普票,pu'piao
普通发票,pu'tong'fa'piao
期初库存,qi'chu'ku'cun
起号,qi'hao
期末库存,qi'mo'ku'cun
起始号码,qi'shi'hao'ma
其他行业,qi'ta'hang'ye
企业编码,qi'ye'bian'ma
企业股,qi'ye'gu
企业管理组,qi'ye'guan'li'zu
企业会计,qi'ye'kuai'ji
企业所得税,qi'ye'suo'de'shui
企业所得税法,qi'ye'suo'de'shui'fa
企业衔头发票,qi'ye'xian'tou'fa'piao
起征点,qi'zheng'dian
千万位,qian'wan'wei
千万元,qian'wan'yuan
千万元版,qian'wan'yuan'ban
千位,qian'wei
千元,qian'yuan
千元版,qian'yuan'ban
清册,qing'ce
清理税款开票,qing'li'shui'kuan'kai'piao
区国税局,qu'guo'shui'ju
区局,qu'ju
认定,ren'ding
认定到期,ren'ding'dao'qi
人教股,ren'jiao'gu
人事教育股,ren'shi'jiao'yu'gu
人事教育科,ren'shi'jiao'yu'ke
日报表,ri'bao'biao
入库,ru'ku
入库查询,ru'ku'cha'xun
入库率,ru'ku'lv
三份,san'fen
三联,san'lian
上解查询,shang'jie'cha'xun
上解入库,shang'jie'ru'ku
上解销号,shang'jie'xiao'hao
商业零售,shang'ye'ling'shou
设备网络组,she'bei'wang'luo'zu
涉税案件,she'shui'an'jian
申报率,shen'bao'lv
申报期,shen'bao'qi
申报征收,shen'bao'zheng'shou
申报征收部,shen'bao'zheng'shou'bu
审核,shen'he
审核权限,shen'he'quan'xian
审核意见,shen'he'yi'jian
审理股,shen'li'gu
审理组,shen'li'zu
审批机关,shen'pi'ji'guan
审批权限,shen'pi'quan'xian
审批人,shen'pi'ren
申请代开,shen'qing'dai'kai
申请人,shen'qing'ren
申请事项,shen'qing'shi'xiang
申请项目,shen'qing'xiang'mu
省国家税务局,sheng'guo'jia'shui'wu'ju
省国税局,sheng'guo'shui'ju
省局,sheng'ju
识别号,shi'bie'hao
实缴金额,shi'jiao'jin'e
实施细则,shi'shi'xi'ze
十万位,shi'wan'wei
十万元,shi'wan'yuan
十万元版,shi'wan'yuan'ban
十位,shi'wei
使用税率,shi'yong'shui'lv
十元,shi'yuan
十元版,shi'yuan'ban
失踪纳税人,shi'zong'na'shui'ren
收发存,shou'fa'cun
收发存总账,shou'fa'cun'zong'zhang
收费缴款书,shou'fei'jiao'kuan'shu
收费收据,shou'fei'shou'ju
售付汇证明,shou'fu'hui'zheng'ming
手工票,shou'gong'piao
手工申报,shou'gong'shen'bao
收购发票,shou'gou'fa'piao
收缴发票,shou'jiao'fa'piao
收据联,shou'ju'lian
收款凭证,shou'kuan'ping'zheng
受理人,shou'li'ren
受理审核,shou'li'shen'he
售票员,shou'piao'yuan
收入附征,shou'ru'fu'zheng
手写发票,shou'xie'fa'piao
收支凭证,shou'zhi'ping'zheng
数据比对,shu'ju'bi'dui
数据查询,shu'ju'cha'xun
数据管理组,shu'ju'guan'li'zu
数据维护,shu'ju'wei'hu
数据质量监控,shu'ju'zhi'liang'jian'kong
双重征税,shuang'chong'zheng'shui
双定,shuang'ding
双定户,shuang'ding'hu
税二股,shui'er'gu
税法,shui'fa
税号,shui'hao
税号速查,shui'hao'su'cha
税控装置,shui'kong'zhuang'zhi
税款补录,shui'kuan'bu'lu
税款入库,shui'kuan'ru'ku
税目,shui'mu
税票,shui'piao
税票重打,shui'piao'chong'da
税票销号,shui'piao'xiao'hao
税前扣除,shui'qian'kou'chu
税前列支,shui'qian'lie'zhi
税前弥补亏损,shui'qian'mi'bu'kui'sun
税收保全,shui'shou'bao'quan
税收筹划,shui'shou'chou'hua
税收法规,shui'shou'fa'gui
税收基本法规,shui'shou'ji'ben'fa'gui
税收计划,shui'shou'ji'hua
税收减免,shui'shou'jian'mian
税收缴款书,shui'shou'jiao'kuan'shu
税收会计,shui'shou'kuai'ji
税收会计凭证,shui'shou'kuai'ji'ping'zheng
税收强制执行,shui'shou'qiang'zhi'zhi'xing
税收认定,shui'shou'ren'ding
税收调整,shui'shou'tiao'zheng
税收统计,shui'shou'tong'ji
税收通用缴款书,shui'shou'tong'yong'jiao'kuan'shu
税收通用完税证,shui'shou'tong'yong'wan'shui'zheng
税收完税证,shui'shou'wan'shui'zheng
税收系统,shui'shou'xi'tong
税收协定,shui'shou'xie'ding
税收优惠政策,shui'shou'you'hui'zheng'ce
税收优惠指南,shui'shou'you'hui'zhi'nan
税收预测,shui'shou'yu'ce
