奥兰多魔术,ao'lan'duo'mo'shu
摆脱防守,bai'tuo'fang'shou
板凳球员,ban'deng'qiu'yuan
报价合同,bao'jia'he'tong
被对手,bei'dui'shou
背后换手运球,bei'hou'huan'shou'yun'qiu
背身灌篮,bei'shen'guan'lan
比赛篇,bi'sai'pian
比赛用时钟,bi'sai'yong'shi'zhong
边线,bian'xian
博脚,bo'jiao
波士顿凯尔特人,bo'shi'dun'kai'er'te'ren
波特兰开拓者,bo'te'lan'kai'tuo'zhe
补防,bu'fang
补篮,bu'lan
不确定因素,bu'que'ding'yin'su
补位,bu'wei
步行者,bu'xing'zhe
擦板球,ca'ban'qiu
菜鸟球员,cai'niao'qiu'yuan
裁判,cai'pan
策应,ce'ying
长传,chang'chuan
场地装备篇,chang'di'zhuang'bei'pian
常规赛,chang'gui'sai
长暂停,chang'zan'ting
抄截,chao'jie
超音速,chao'yin'su
持球,chi'qiu
持球队友,chi'qiu'dui'you
持球进攻队员,chi'qiu'jin'gong'dui'yuan
持球进攻者,chi'qiu'jin'gong'zhe
持球突破,chi'qiu'tu'po
持球者,chi'qiu'zhe
冲抢篮板,chong'qiang'lan'ban
穿过,chuan'guo
传切,chuan'qie
传切战术,chuan'qie'zhan'shu
传球路线,chuan'qiu'lu'xian
传球配合,chuan'qiu'pei'he
错位防守,cuo'wei'fang'shou
达拉斯小牛,da'la'si'xiao'niu
大力灌篮,da'li'guan'lan
大前锋,da'qian'feng
打三分,da'san'fen
打手犯规,da'shou'fan'gui
打四分,da'si'fen
大西洋区,da'xi'yang'qu
带球上篮,dai'qiu'shang'lan
带球撞人,dai'qiu'zhuang'ren
单挡掩护,dan'dang'yan'hu
丹佛掘金,dan'fo'jue'jin
挡拆,dang'chai
挡在身后,dang'zai'shen'hou
得分,de'fen
得分后卫,de'fen'hou'wei
的合同,de'he'tong
第二节,di'er'jie
第二年球员,di'er'nian'qiu'yuan
第六人,di'liu'ren
第三节,di'san'jie
第四节,di'si'jie
底特律活塞,di'te'lv'huo'sai
底线切入,di'xian'qie'ru
底线区域,di'xian'qu'yu
第一次传球,di'yi'ci'chuan'qiu
第一节,di'yi'jie
定点投篮,ding'dian'tou'lan
东部联盟,dong'bu'lian'meng
东南区,dong'nan'qu
动作篇,dong'zuo'pian
短暂停,duan'zan'ting
多伦多猛龙,duo'lun'duo'meng'long
恶意犯规,e'yi'fan'gui
发出的,fa'chu'de
罚球,fa'qiu
罚球命中率,fa'qiu'ming'zhong'lv
罚球圈,fa'qiu'quan
发球入场,fa'qiu'ru'chang
发球五秒违例,fa'qiu'wu'miao'wei'li
罚球线,fa'qiu'xian
犯规,fan'gui
犯规战术,fan'gui'zhan'shu
犯满离场,fan'man'li'chang
反手上篮,fan'shou'shang'lan
翻腕,fan'wan
防守队员,fang'shou'dui'yuan
防守篮板球,fang'shou'lan'ban'qiu
防守人,fang'shou'ren
防守弱侧,fang'shou'ruo'ce
防守三秒违例,fang'shou'san'miao'wei'li
防守违例,fang'shou'wei'li
防守者,fang'shou'zhe
费城人,fei'cheng'ren
