阿谁买与猪肝食,a'shui'mai'yu'zhu'gan'shi
爱彼之貌容兮,ai'bi'zhi'mao'rong'xi
爱才好客,ai'cai'hao'ke
艾官,ai'guan
哀旌一片阿谁铭,ai'jing'yi'pian'a'shui'ming
爱君诗笔有奇气,ai'jun'shi'bi'you'qi'qi
安得返魂香一缕,an'de'fan'hun'xiang'yi'lv
暗渡陈仓,an'du'chen'cang
安身乐业,an'shen'le'ye
俺只念木石前盟,an'zhi'nian'mu'shi'qian'meng
傲骨如君世已奇,ao'gu'ru'jun'shi'yi'qi
凹晶馆联诗悲寂寞,ao'jing'guan'lian'shi'bei'ji'mo
凹晶溪馆,ao'jing'xi'guan
把笔悲伤说世途,ba'bi'bei'shang'shuo'shi'tu
把芳魂消耗,ba'fang'hun'xiao'hao
把骨肉家园齐来抛闪,ba'gu'rou'jia'yuan'qi'lai'pao'shan
八旗诗集,ba'qi'shi'ji
拔取金钗当酒筹,ba'qu'jin'chai'dang'jiu'chou
把万事全抛,ba'wan'shi'quan'pao
白傅诗灵应喜甚,bai'fu'shi'ling'ying'xi'shen
百科女史,bai'ke'nv'shi
百口嘲谤,bai'kou'chao'bang
白雪歌,bai'xue'ge
白雪歌残,bai'xue'ge'can
白雪歌残梦正长,bai'xue'ge'can'meng'zheng'chang
白雪红梅园林集景,bai'xue'hong'mei'yuan'lin'ji'jing
白杨村里人呜咽,bai'yang'cun'li'ren'wu'ye
白玉钏,bai'yu'chuan
白玉钏亲尝莲叶羹,bai'yu'chuan'qin'chang'lian'ye'geng
白玉为堂金作马,bai'yu'wei'tang'jin'zuo'ma
百足之虫死而不僵,bai'zu'zhi'chong'si'er'bu'jiang
板儿,ban'er
班姑,ban'gu
半哄半赚,ban'hong'ban'zhuan
榜人能唱湘江浪,bang'ren'neng'chang'xiang'jiang'lang
保不定日后作强梁,bao'bu'ding'ri'hou'zuo'qiang'liang
宝钗,bao'chai
宝钗借扇机带双敲,bao'chai'jie'shan'ji'dai'shuang'qiao
宝蟾,bao'chan
宝二爷,bao'er'ye
宝琴,bao'qin
抱琴,bao'qin
宝玉,bao'yu
宝玉颦颦解爱人,bao'yu'pin'pin'jie'ai'ren
宝玉通灵可爱,bao'yu'tong'ling'ke'ai
宝珠,bao'zhu
碑暗定知含雨色,bei'an'ding'zhi'han'yu'se
北风图冷,bei'feng'tu'leng
北风图冷魂难返,bei'feng'tu'leng'hun'nan'fan
背父母教育之恩,bei'fu'mu'jiao'yu'zhi'en
备记风月繁华之盛,bei'ji'feng'yue'fan'hua'zhi'sheng
北静郡王,bei'jing'jun'wang
北静王,bei'jing'wang
背面敷粉,bei'mian'fu'fen
焙茗,bei'ming
北宋亦有魏野被征不出事,bei'song'yi'you'wei'ye'bei'zheng'bu'chu'shi
被他偷换绿云绡,bei'ta'tou'huan'lv'yun'xiao
悲喜千般同幻渺,bei'xi'qian'ban'tong'huan'miao
悲远嫁宝玉感离情,bei'yuan'jia'bao'yu'gan'li'qing
比比如画,bi'bi'ru'hua
碧痕,bi'hen
敝巾旧服,bi'jin'jiu'fu
薜萝门巷足烟霞,bi'luo'men'xiang'zu'yan'xia
避世去愁,bi'shi'qu'chou
避世去愁之际,bi'shi'qu'chou'zhi'ji
碧水青山曲径遐,bi'shui'qing'shan'qu'jing'xia
比通灵金莺微露意,bi'tong'ling'jin'ying'wei'lou'yi
畀雁,bi'yan
碧玉斗,bi'yu'dou
碧月,bi'yue
便不好,bian'bu'hao
贬恶诛邪,bian'e'zhu'xie
便觉新添异样香,bian'jue'xin'tian'yi'yang'xiang
贬人妻女,bian'ren'qi'nv
变生不测凤姐泼醋,bian'sheng'bu'ce'feng'jie'po'cu
