按劳分配规律,an'lao'fen'pei'gui'lv
保护贸易,bao'hu'mao'yi
比较经济学,bi'jiao'jing'ji'xue
财政,cai'zheng
财政赤字,cai'zheng'chi'zi
长线产品,chang'xian'chan'pin
厂长经理负责制,chang'zhang'jing'li'fu'ze'zhi
粗放经营,cu'fang'jing'ying
贷款,dai'kuan
道琼斯平均指数,dao'qiong'si'ping'jun'zhi'shu
第三产业,di'san'chan'ye
第四产业,di'si'chan'ye
短线产品,duan'xian'chan'pin
对外开放,dui'wai'kai'fang
多层次经济周期理论,duo'ceng'ci'jing'ji'zhou'qi'li'lun
多国公司,duo'guo'gong'si
发展经济学,fa'zhan'jing'ji'xue
福利经济学,fu'li'jing'ji'xue
个体工商户,ge'ti'gong'shang'hu
个体经济,ge'ti'jing'ji
供给学派的经济思想,gong'ji'xue'pai'de'jing'ji'si'xiang
公司,gong'si
工业布局,gong'ye'bu'ju
公债,gong'zhai
关于垄断资本主义经济危机的思想,guan'yu'long'duan'zi'ben'zhu'yi'jing'ji'wei'ji'de'si'xiang
国际货币体系,guo'ji'huo'bi'ti'xi
国际金融市场,guo'ji'jin'rong'shi'chang
国际经济新秩序,guo'ji'jing'ji'xin'zhi'xu
国际市场价格,guo'ji'shi'chang'jia'ge
国家决算,guo'jia'jue'suan
国家预算,guo'jia'yu'suan
国民经济,guo'min'jing'ji
国民生产总值,guo'min'sheng'chan'zong'zhi
国营企业,guo'ying'qi'ye
海关,hai'guan
黄金储备,huang'jin'chu'bei
黄金市场,huang'jin'shi'chang
货币,huo'bi
货币贬值,huo'bi'bian'zhi
货币主义的经济思想,huo'bi'zhu'yi'de'jing'ji'si'xiang
基础设施,ji'chu'she'shi
计划经济,ji'hua'jing'ji
计划经济思想,ji'hua'jing'ji'si'xiang
积累基金,ji'lei'ji'jin
集体经济,ji'ti'jing'ji
集约经营,ji'yue'jing'ying
价值规律,jia'zhi'gui'lv
建立社会主义市场经济体制的思想,jian'li'she'hui'zhu'yi'shi'chang'jing'ji'ti'zhi'de'si'xiang
结算,jie'suan
金融,jin'rong
