阿呆,a'dai
阿郎么,a'lang'me
啊没事放假了玩游戏呢,a'mei'shi'fang'jia'le'wan'you'xi'ne
啊那么苦,a'na'me'ku
啊孙静也是这行吗,a'sun'jing'ye'shi'zhe'xing'ma
唉我现在又何尝甘心呢,ai'wo'xian'zai'you'he'chang'gan'xin'ne
八哥,ba'ge
把给我的话截图过来,ba'gei'wo'de'hua'jie'tu'guo'lai
把聚会照片都发给我我天道,ba'ju'hui'zhao'pian'dou'fa'gei'wo'wo'tian'dao
把浏览器卸载了吧,ba'liu'lan'qi'xie'zai'le'ba
把你的聊天狂截图给我,ba'ni'de'liao'tian'kuang'jie'tu'gei'wo
把你现在手机号码给我试下,ba'ni'xian'zai'shou'ji'hao'ma'gei'wo'shi'xia
把他郁闷坏了,ba'ta'yu'men'huai'le
帮个忙,bang'ge'mang
报销往返飞机票,bao'xiao'wang'fan'fei'ji'piao
北京,bei'jing
北京那,bei'jing'na
北京那里啊,bei'jing'na'li'a
本钱呢,ben'qian'ne
本人已死,ben'ren'yi'si
比我小的他们不愿意,bi'wo'xiao'de'ta'men'bu'yuan'yi
必须能,bi'xu'neng
表情,biao'qing
表情哎呦别逗我了行不,biao'qing'ai'you'bie'dou'wo'le'xing'bu
表情被盗号了,biao'qing'bei'dao'hao'le
表情不会说话的,biao'qing'bu'hui'shuo'hua'de
表情不信看我下个月剩多少,biao'qing'bu'xin'kan'wo'xia'ge'yue'sheng'duo'shao
表情不知道哎,biao'qing'bu'zhi'dao'ai
表情撤销了用什么,biao'qing'che'xiao'le'yong'shen'me
表情吃饭去了,biao'qing'chi'fan'qu'le
表情纯属意外,biao'qing'chun'shu'yi'wai
表情地铁,biao'qing'di'tie
表情该吃饭去了同事叫了,biao'qing'gai'chi'fan'qu'le'tong'shi'jiao'le
表情高东华,biao'qing'gao'dong'hua
表情可以,biao'qing'ke'yi
表情没兴趣,biao'qing'mei'xing'qu
表情那就不能买东西了,biao'qing'na'jiu'bu'neng'mai'dong'xi'le
表情你猜,biao'qing'ni'cai
表情你看着我每个月能至少存,biao'qing'ni'kan'zhe'wo'mei'ge'yue'neng'zhi'shao'cun
表情女人一定要对自己好一点,biao'qing'nv'ren'yi'ding'yao'dui'zi'ji'hao'yi'dian
表情亲你看我怎么样,biao'qing'qin'ni'kan'wo'zen'me'yang
表情亲我还没有,biao'qing'qin'wo'hai'mei'you
表情去,biao'qing'qu
表情是啊,biao'qing'shi'a
表情是的,biao'qing'shi'de
表情是呢,biao'qing'shi'ne
表情为什么,biao'qing'wei'shen'me
表情我不信啊,biao'qing'wo'bu'xin'a
表情我的银行卡很多的,biao'qing'wo'de'yin'hang'ka'hen'duo'de
表情我连是谁都不知道,biao'qing'wo'lian'shi'shui'dou'bu'zhi'dao
表情我没钱,biao'qing'wo'mei'qian
表情我怕你花完了,biao'qing'wo'pa'ni'hua'wan'le
表情真的,biao'qing'zhen'de
别走了,bie'zou'le
不搭理他们,bu'da'li'ta'men
卜发宇,bu'fa'yu
不敷,bu'fu
不敷难受啊,bu'fu'nan'shou'a
不给看,bu'gei'kan
不够稳重,bu'gou'wen'zhong
不过快来北京了,bu'guo'kuai'lai'bei'jing'le
不过现在看来貌似有点仓促了,bu'guo'xian'zai'kan'lai'mao'si'you'dian'cang'cu'le
不会到现在还是在感情里边挣扎,bu'hui'dao'xian'zai'hai'shi'zai'gan'qing'li'bian'zheng'zha
不会来了,bu'hui'lai'le
不忙啊,bu'mang'a
不忙了,bu'mang'le
不能,bu'neng
不能穿我干嘛看,bu'neng'chuan'wo'gan'ma'kan
不能呢,bu'neng'ne
不上班啊,bu'shang'ban'a
不是,bu'shi
不是这个,bu'shi'zhe'ge
不睡,bu'shui
不说走了,bu'shuo'zou'le
不算忙,bu'suan'mang
不下线我不关机的,bu'xia'xian'wo'bu'guan'ji'de
不想干了,bu'xiang'gan'le
不想过来就算了,bu'xiang'guo'lai'jiu'suan'le
不想睡,bu'xiang'shui
不想睡觉,bu'xiang'shui'jiao
不想说他,bu'xiang'shuo'ta
不想在海淀呆着了,bu'xiang'zai'hai'dian'dai'zhe'le
不行,bu'xing
不用说对不起,bu'yong'shuo'dui'bu'qi
不愿意抹那个,bu'yuan'yi'mo'na'ge
不在,bu'zai
不知不觉的就没有钱花了,bu'zhi'bu'jue'de'jiu'mei'you'qian'hua'le
不值当的,bu'zhi'dang'de
不知道,bu'zhi'dao
差俩人,cha'lia'ren
昌平,chang'ping
昌平墨轩,chang'ping'mo'xuan
昌平那里,chang'ping'na'li
超级搞笑,chao'ji'gao'xiao
陈晨,chen'chen
陈乐林,chen'le'lin
陈庭瑋,chen'ting'wei
陈新勇,chen'xin'yong
陈一婷,chen'yi'ting
陈云云,chen'yun'yun
成熟,cheng'shu
吃饭去了,chi'fan'qu'le
出来这个窗口,chu'lai'zhe'ge'chuang'kou
出什么事了,chu'shen'me'shi'le
绰号一直是山鸡么或者小鸡子,chuo'hao'yi'zhi'shi'shan'ji'me'huo'zhe'xiao'ji'zi
打不开,da'bu'kai
