爱爱你爱爱我,ai'ai'ni'ai'ai'wo
爱就爱我一辈子,ai'jiu'ai'wo'yi'bei'zi
爱来爱去,ai'lai'ai'qu
爱你到来生,ai'ni'dao'lai'sheng
爱你到永久,ai'ni'dao'yong'jiu
爱你久久久,ai'ni'jiu'jiu'jiu
爱你哦,ai'ni'o
爱你七生七世,ai'ni'qi'sheng'qi'shi
爱你是幸福,ai'ni'shi'xing'fu
爱你想你久久久,ai'ni'xiang'ni'jiu'jiu'jiu
爱你一辈子,ai'ni'yi'bei'zi
爱你一千年,ai'ni'yi'qian'nian
爱你一万年,ai'ni'yi'wan'nian
爱你一亿年,ai'ni'yi'yi'nian
爱上你,ai'shang'ni
爱是如此神奇,ai'shi'ru'ci'shen'qi
爱死你,ai'si'ni
爱我到今生,ai'wo'dao'jin'sheng
爱我就了解我,ai'wo'jiu'liao'jie'wo
爱我就娶我吧,ai'wo'jiu'qu'wo'ba
爱我久一点,ai'wo'jiu'yi'dian
爱我一辈子,ai'wo'yi'bei'zi
爱相随,ai'xiang'sui
爱走了,ai'zou'le
八格耶鲁混蛋,ba'ge'ye'lu'hun'dan
把你气死,ba'ni'qi'si
八其他,ba'qi'ta
拜拜唉,bai'bai'ai
拜拜了,bai'bai'le
伴你一生,ban'ni'yi'sheng
帮帮我,bang'bang'wo
帮我,bang'wo
帮我告诉他,bang'wo'gao'su'ta
保龄球,bao'ling'qiu
抱你吻你,bao'ni'wen'ni
被爱才是幸福,bei'ai'cai'shi'xing'fu
被爱是幸福,bei'ai'shi'xing'fu
别爱我,bie'ai'wo
别惹我,bie're'wo
别生气,bie'sheng'qi
不理你,bu'li'ni
不理你了,bu'li'ni'le
不三不四,bu'san'bu'si
补习班,bu'xi'ban
不要在一起了无意思,bu'yao'zai'yi'qi'le'wu'yi'si
猜猜我是谁,cai'cai'wo'shi'shui
长长久久,chang'chang'jiu'jiu
吃饱了,chi'bao'le
吃饱了吗,chi'bao'le'ma
打情骂俏,da'qing'ma'qiao
倒过来看,dao'guo'lai'kan
到永久,dao'yong'jiu
对不起,dui'bu'qi
饿不饿,e'bu'e
饿死了,e'si'le
分手吧,fen'shou'ba
告诉你一件事,gao'su'ni'yi'jian'shi
好想你,hao'xiang'ni
加油吧,jia'you'ba
叫你去吃午餐,jiao'ni'qu'chi'wu'can
紧紧抱着我,jin'jin'bao'zhe'wo
今生爱你一人,jin'sheng'ai'ni'yi'ren
今生今世爱你,jin'sheng'jin'shi'ai'ni
今生今世伴你左右,jin'sheng'jin'shi'ban'ni'zuo'you
久久吻你,jiu'jiu'wen'ni
救救我,jiu'jiu'wo
救救我吧,jiu'jiu'wo'ba
救我,jiu'wo
就想见见你,jiu'xiang'jian'jian'ni
就依你,jiu'yi'ni
懒得理你,lan'de'li'ni
老地方不见不散,lao'di'fang'bu'jian'bu'san
恋爱用语,lian'ai'yong'yu
溜吧溜吧,liu'ba'liu'ba
漫漫相思只为你,man'man'xiang'si'zhi'wei'ni
你爱不爱我,ni'ai'bu'ai'wo
你别生气,ni'bie'sheng'qi
你别生气了,ni'bie'sheng'qi'le
你不理我啦,ni'bu'li'wo'la
你不理我了,ni'bu'li'wo'le
你吃饱了吧,ni'chi'bao'le'ba
你恶心死了,ni'e'xin'si'le
你欺善怕恶,ni'qi'shan'pa'e
你去死吧,ni'qu'si'ba
你惹我生气,ni're'wo'sheng'qi
你生气了,ni'sheng'qi'le
你是白痴,ni'shi'bai'chi
你是白痴无药医,ni'shi'bai'chi'wu'yao'yi
你是否想我,ni'shi'fou'xiang'wo
你是神经,ni'shi'shen'jing
你是我爱妻,ni'shi'wo'ai'qi
你是我的,ni'shi'wo'de
你是我的最爱,ni'shi'wo'de'zui'ai
你是我老妻,ni'shi'wo'lao'qi
你是我妻,ni'shi'wo'qi
你是我唯一,ni'shi'wo'wei'yi
你是我氧气,ni'shi'wo'yang'qi
你我就是一辈子,ni'wo'jiu'shi'yi'bei'zi
你无聊时想想我,ni'wu'liao'shi'xiang'xiang'wo
你无聊是想想我,ni'wu'liao'shi'xiang'xiang'wo
你相思无用,ni'xiang'si'wu'yong
你依旧是爱我,ni'yi'jiu'shi'ai'wo
你找我,ni'zhao'wo
你走吧,ni'zou'ba
起来吧,qi'lai'ba
七零八落,qi'ling'ba'luo
其实不想走,qi'shi'bu'xiang'zou
其实你不了解我,qi'shi'ni'bu'liao'jie'wo
其实我是爱你,qi'shi'wo'shi'ai'ni
气死你,qi'si'ni
气死我,qi'si'wo
亲爱的,qin'ai'de
亲你,qin'ni
亲亲你抱抱你我爱你,qin'qin'ni'bao'bao'ni'wo'ai'ni
亲亲我吧我爱你,qin'qin'wo'ba'wo'ai'ni
亲亲我抱抱我,qin'qin'wo'bao'bao'wo
亲亲吾爱,qin'qin'wu'ai
请你帮帮我,qing'ni'bang'bang'wo
请你别走,qing'ni'bie'zou
请你留下来,qing'ni'liu'xia'lai
请你让我依靠一辈子,qing'ni'rang'wo'yi'kao'yi'bei'zi
请你相信我,qing'ni'xiang'xin'wo
情深怕缘浅,qing'shen'pa'yuan'qian
求你爱我想我,qiu'ni'ai'wo'xiang'wo
求你别走,qiu'ni'bie'zou
求求你别抛弃我,qiu'qiu'ni'bie'pao'qi'wo
求求你一生一世别抛弃我,qiu'qiu'ni'yi'sheng'yi'shi'bie'pao'qi'wo
去喝酒,qu'he'jiu
去溜达溜达,qu'liu'da'liu'da
去死去死你去死,qu'si'qu'si'ni'qu'si
去跳舞,qu'tiao'wu
去走走吧,qu'zou'zou'ba
山盟海誓,shan'meng'hai'shi
上网吧,shang'wang'ba
上网了,shang'wang'le
神啊救救我吧,shen'a'jiu'jiu'wo'ba
生生世世,sheng'sheng'shi'shi
生生世世我爱你,sheng'sheng'shi'shi'wo'ai'ni
时时刻刻想想我,shi'shi'ke'ke'xiang'xiang'wo
是我啦,shi'wo'la
思念你,si'nian'ni
速速回机,su'su'hui'ji
天长地久,tian'chang'di'jiu
网络爱情数字代码,wang'luo'ai'qing'shu'zi'dai'ma
为你伤心,wei'ni'shang'xin
我爱你,wo'ai'ni
我爱你到死,wo'ai'ni'dao'si
我爱你生生世世不变心,wo'ai'ni'sheng'sheng'shi'shi'bu'bian'xin
我爱你我就是白痴,wo'ai'ni'wo'jiu'shi'bai'chi
我爱你一生一世,wo'ai'ni'yi'sheng'yi'shi
我爱上你,wo'ai'shang'ni
我爱是你,wo'ai'shi'ni
我爱死你啦,wo'ai'si'ni'la
我爱死你了,wo'ai'si'ni'le
我暗恋你,wo'an'lian'ni
我抱歉,wo'bao'qian
我不介意,wo'bu'jie'yi
我不来,wo'bu'lai
我不能不爱你,wo'bu'neng'bu'ai'ni
我出去了,wo'chu'qu'le
我到家了,wo'dao'jia'le
我饿了,wo'e'le
我发誓生生世世我爱你,wo'fa'shi'sheng'sheng'shi'shi'wo'ai'ni
我发誓我爱你,wo'fa'shi'wo'ai'ni
我好饿,wo'hao'e
我很爱你,wo'hen'ai'ni
我很想你,wo'hen'xiang'ni
我就是爱你,wo'jiu'shi'ai'ni
我气你,wo'qi'ni
我其实不想走,wo'qi'shi'bu'xiang'zou
我去了,wo'qu'le
我去上班了,wo'qu'shang'ban'le
我去找你,wo'qu'zhao'ni
我深情依旧,wo'shen'qing'yi'jiu
我生气了,wo'sheng'qi'le
我是你爸啦,wo'shi'ni'ba'la
我是你的,wo'shi'ni'de
我是你老师,wo'shi'ni'lao'shi
我是你女朋友,wo'shi'ni'nv'peng'you
我是你妻子,wo'shi'ni'qi'zi
我是你先生,wo'shi'ni'xian'sheng
我时时想你,wo'shi'shi'xiang'ni
我是真心爱你,wo'shi'zhen'xin'ai'ni
我始终爱你,wo'shi'zhong'ai'ni
我输了,wo'shu'le
我思念你,wo'si'nian'ni
我无聊死了,wo'wu'liao'si'le
我无时无刻伴你左右,wo'wu'shi'wu'ke'ban'ni'zuo'you
我想抱抱你,wo'xiang'bao'bao'ni
我想聊聊,wo'xiang'liao'liao
我想你,wo'xiang'ni
我想你一辈子,wo'xiang'ni'yi'bei'zi
我想念你,wo'xiang'nian'ni
我想亲亲你,wo'xiang'qin'qin'ni
我想死你啦,wo'xiang'si'ni'la
我想死你了,wo'xiang'si'ni'le
我想我已经爱上你,wo'xiang'wo'yi'jing'ai'shang'ni
我想揍扁你,wo'xiang'zou'bian'ni
我心情不好,wo'xin'qing'bu'hao
我心属于你,wo'xin'shu'yu'ni
我要你嫁我,wo'yao'ni'jia'wo
我要娶你,wo'yao'qu'ni
我要睡觉了,wo'yao'shui'jiao'le
我要走了,wo'yao'zou'le
我一辈子爱你,wo'yi'bei'zi'ai'ni
我已不爱你,wo'yi'bu'ai'ni
我已不爱你了,wo'yi'bu'ai'ni'le
我一定要娶你,wo'yi'ding'yao'qu'ni
我一定要追你,wo'yi'ding'yao'zhui'ni
我依旧想你,wo'yi'jiu'xiang'ni
我依你我已来,wo'yi'ni'wo'yi'lai
我依然爱你,wo'yi'ran'ai'ni
我永远爱你,wo'yong'yuan'ai'ni
我有多无聊,wo'you'duo'wu'liao
我愿意,wo'yuan'yi
我只爱你,wo'zhi'ai'ni
我只要你爱我,wo'zhi'yao'ni'ai'wo
我只在乎你,wo'zhi'zai'hu'ni
我走了,wo'zou'le
我最爱是你,wo'zui'ai'shi'ni
午安,wu'an
无聊时想想我,wu'liao'shi'xiang'xiang'wo
无聊死了,wu'liao'si'le
吾妻我爱你,wu'qi'wo'ai'ni
无时无刻不想你,wu'shi'wu'ke'bu'xiang'ni
无事想想我,wu'shi'xiang'xiang'wo
呜呜呜,wu'wu'wu
无意思,wu'yi'si
先依你,xian'yi'ni
想爱你很久,xiang'ai'ni'hen'jiu
想和你去吹吹风,xiang'he'ni'qu'chui'chui'feng
想你就爱你,xiang'ni'jiu'ai'ni
想你就是爱你,xiang'ni'jiu'shi'ai'ni
想你哦,xiang'ni'o
想你一生,xiang'ni'yi'sheng
想念你,xiang'nian'ni
想念你的爱,xiang'nian'ni'de'ai
相思无用,xiang'si'wu'yong
想我就爱我吧,xiang'wo'jiu'ai'wo'ba
想我久一点,xiang'wo'jiu'yi'dian
谢谢你爱过我,xie'xie'ni'ai'guo'wo
辛苦了,xin'ku'le
心心相印,xin'xin'xiang'yin
要想你,yao'xiang'ni
一起走吧,yi'qi'zou'ba
一生就爱你一个,yi'sheng'jiu'ai'ni'yi'ge
一生就爱你一人,yi'sheng'jiu'ai'ni'yi'ren
一生一世,yi'sheng'yi'shi
一生一世就爱我,yi'sheng'yi'shi'jiu'ai'wo
一世情,yi'shi'qing
意思意思,yi'si'yi'si
一往情深,yi'wang'qing'shen
一厢情愿,yi'xiang'qing'yuan
一心一意,yi'xin'yi'yi
永久爱你,yong'jiu'ai'ni
原谅我,yuan'liang'wo
约会用语,yue'hui'yong'yu
再见日语,zai'jian'ri'yu
早安,zao'an
真心真意,zhen'xin'zhen'yi
钟爱一生,zhong'ai'yi'sheng
最爱是你,zui'ai'shi'ni
