阿部美幸,a'bu'mei'xing
阿努比斯在微笑,a'nu'bi'si'zai'wei'xiao
阿赛尔圣魔传,a'sai'er'sheng'mo'chuan
爱的单程车票,ai'de'dan'cheng'che'piao
爱的独裁者,ai'de'du'cai'zhe
爱的迷恋方程式,ai'de'mi'lian'fang'cheng'shi
爱的挑战者,ai'de'tiao'zhan'zhe
暧昧早餐俱乐部,ai'mei'zao'can'ju'le'bu
爱情进化论,ai'qing'jin'hua'lun
哀伤优质男孩,ai'shang'you'zhi'nan'hai
爱神恶作剧,ai'shen'e'zuo'ju
爱与欲望的金融街,ai'yu'yu'wang'de'jin'rong'jie
爱与炸弹,ai'yu'zha'dan
爱在轻梦飘渺时,ai'zai'qing'meng'piao'miao'shi
爱之服从令,ai'zhi'fu'cong'ling
爱之写作,ai'zhi'xie'zuo
暗夜第六感,an'ye'di'liu'gan
暗之滴,an'zhi'di
暗之华,an'zhi'hua
暗之末裔,an'zhi'mo'yi
奥丁的三胞胎,ao'ding'de'san'bao'tai
傲慢的天使与绅士的野蛮人,ao'man'de'tian'shi'yu'shen'shi'de'ye'man'ren
奥田七绪,ao'tian'qi'xu
百鬼夜行抄,bai'gui'ye'xing'chao
白皇,bai'huang
百日的蔷薇,bai'ri'de'qiang'wei
白砂顺,bai'sha'shun
百万债务的情人,bai'wan'zhai'wu'de'qing'ren
柏枝真乡,bai'zhi'zhen'xiang
半神,ban'shen
半熟卵的反抗,ban'shu'luan'de'fan'kang
浜田翔子,bang'tian'xiang'zi
暴力白衣天使,bao'li'bai'yi'tian'shi
北代双胞胎,bei'dai'shuang'bao'tai
北上怜,bei'shang'lian
北条玲,bei'tiao'ling
被这样的上司所欺骗,bei'zhe'yang'de'shang'si'suo'qi'pian
本仁戾,ben'ren'li
本庄理绘,ben'zhuang'li'hui
彼岸花,bi'an'hua
碧海晴天,bi'hai'qing'tian
别叫我爸爸,bie'jiao'wo'ba'ba
冰川凉子,bing'chuan'liang'zi
冰冻空间,bing'dong'kong'jian
冰冷之沙,bing'leng'zhi'sha
冰栗优,bing'li'you
并木由加利,bing'mu'you'jia'li
冰之魔物语,bing'zhi'mo'wu'yu
波津彬子,bo'jin'bin'zi
伯爵大人系列,bo'jue'da'ren'xi'lie
柏拉图之舞,bo'la'tu'zhi'wu
玻璃之街,bo'li'zhi'jie
不可思议的男孩们,bu'ke'si'yi'de'nan'hai'men
不破慎理,bu'po'shen'li
不思议国的恋物语,bu'si'yi'guo'de'lian'wu'yu
不脱衣的男人,bu'tuo'yi'de'nan'ren
不笑的人鱼,bu'xiao'de'ren'yu
不要讨厌我,bu'yao'tao'yan'wo
不夜城的恋人,bu'ye'cheng'de'lian'ren
彩绘爱情,cai'hui'ai'qing
彩男,cai'nan
残酷之神支配下的命运,can'ku'zhi'shen'zhi'pei'xia'de'ming'yun
仓科老师的受难,cang'ke'lao'shi'de'shou'nan
苍狼传说,cang'lang'chuan'shuo
草间荣,cao'jian'rong
草莓大福十四岁,cao'mei'da'fu'shi'si'sui
侧耳倾听静静的海,ce'er'qing'ting'jing'jing'de'hai
茶屋町胜吕,cha'wu'ding'sheng'lv
长恨歌,chang'hen'ge
长距离恋爱的孤独,chang'ju'li'lian'ai'de'gu'du
朝户绘里,chao'hu'hui'li
朝户绘理,chao'hu'hui'li
朝雾夕,chao'wu'xi
沉浸在彼方的幸福,chen'jin'zai'bi'fang'de'xing'fu
沉默的追梦人,chen'mo'de'zhui'meng'ren
沉睡侦探,chen'shui'zhen'tan
成岛百合,cheng'dao'bai'he
成年人的玩偶,cheng'nian'ren'de'wan'ou
成人的问题,cheng'ren'de'wen'ti
城市天使,cheng'shi'tian'shi
成田美名子,cheng'tian'mei'ming'zi
池户裕子,chi'hu'yu'zi
赤间日砂纪,chi'jian'ri'sha'ji
池玲文,chi'ling'wen
冲麻实也,chong'ma'shi'ye
愁堂礼奈,chou'tang'li'nai
初恋忍者,chu'lian'ren'zhe
出云传奇,chu'yun'chuan'qi
川井有美子,chuan'jing'you'mei'zi
川井由美子,chuan'jing'you'mei'zi
穿西装的管家,chuan'xi'zhuang'de'guan'jia
川原翼,chuan'yuan'yi
纯爱罗曼史,chun'ai'luo'man'shi
纯爱心中,chun'ai'xin'zhong
纯白少年生死缘,chun'bai'shao'nian'sheng'si'yuan
春风物语,chun'feng'wu'yu
纯情可怜,chun'qing'ke'lian
纯情恐怖分子,chun'qing'kong'bu'fen'zi
纯情罗曼史,chun'qing'luo'man'shi
春天里的第一阵风暴,chun'tian'li'de'di'yi'zhen'feng'bao
春野真美,chun'ye'zhen'mei
村上真纪,cun'shang'zhen'ji
错体守护灵,cuo'ti'shou'hu'ling
大狗庄的男人们,da'gou'zhuang'de'nan'ren'men
大河名濑,da'he'ming'lai
大矢和美,da'shi'he'mei
大叔攻,da'shu'gong
大天使的麻烦恋人,da'tian'shi'de'ma'fan'lian'ren
大藏省,da'zang'sheng
大正梦幻奇谈,da'zheng'meng'huan'qi'tan
带我去天国,dai'wo'qu'tian'guo
当男孩看上男孩,dang'nan'hai'kan'shang'nan'hai
稻荷家房之介,dao'he'jia'fang'zhi'jie
到乐园的距离,dao'le'yuan'de'ju'li
道原香津美,dao'yuan'xiang'jin'mei
德鲁依德骑士团,de'lu'yi'de'qi'shi'tuan
帝国千战记,di'guo'qian'zhan'ji
帝国兄弟,di'guo'xiong'di
荻野城,di'ye'cheng
地狱小可爱,di'yu'xiao'ke'ai
荻原兄弟的复杂事情,di'yuan'xiong'di'de'fu'za'shi'qing
定广美香,ding'guang'mei'xiang
东城和实,dong'cheng'he'shi
东城麻美,dong'cheng'ma'mei
冬杜万智,dong'du'wan'zhi
东方美人,dong'fang'mei'ren
东宫千子,dong'gong'qian'zi
东海林达彦,dong'hai'lin'da'yan
东京灵能家庭,dong'jing'ling'neng'jia'ting
东京玛利亚,dong'jing'ma'li'ya
东京夜未眠,dong'jing'ye'wei'mian
东里桐子,dong'li'tong'zi
冬乃仁子,dong'nai'ren'zi
冬乃郁也,dong'nai'yu'ye
东山道转坠异闻,dong'shan'dao'zhuan'zhui'yi'wen
冬水社,dong'shui'she
东条光,dong'tiao'guang
动物的悄悄话,dong'wu'de'qiao'qiao'hua
冬之星座,dong'zhi'xing'zuo
渡边祥智,du'bian'xiang'zhi
渡过夜空的月之船,du'guo'ye'kong'de'yue'zhi'chuan
渡海奈穗,du'hai'nai'sui
杜山真子,du'shan'zhen'zi
独占欲,du'zhan'yu
多户雅之,duo'hu'ya'zhi
堕天使之岛,duo'tian'shi'zhi'dao
舵英里,duo'ying'li
恶魔的伦理学,e'mo'de'lun'li'xue
恶魔的秘密,e'mo'de'mi'mi
扼杀三千世界之鸦,e'sha'san'qian'shi'jie'zhi'ya
二重螺旋,er'chong'luo'xuan
二宫悦巳,er'gong'yue'si
二木了,er'mu'le
饭田晴子,fan'tian'qing'zi
放课后,fang'ke'hou
放学后的职员室,fang'xue'hou'de'zhi'yuan'shi
妃川萤,fei'chuan'ying
翡翠森林狼与羊,fei'cui'sen'lin'lang'yu'yang
绯红的魔咒,fei'hong'de'mo'zhou
飞沫的鼓动,fei'mo'de'gu'dong
绯色丽一,fei'se'li'yi
绯色零一,fei'se'ling'yi
飞舞的蓝色,fei'wu'de'lan'se
废园的守卫人,fei'yuan'de'shou'wei'ren
粉红漫画家,fen'hong'man'hua'jia
疯狂之爱,feng'kuang'zhi'ai
峰桐皇,feng'tong'huang
风与杜神,feng'yu'du'shen
风与木之诗,feng'yu'mu'zhi'shi
腐败教师方程式,fu'bai'jiao'shi'fang'cheng'shi
福山省子,fu'shan'sheng'zi
富士见二丁目交响乐团,fu'shi'jian'er'ding'mu'jiao'xiang'yue'tuan
复制一个咖啡情人,fu'zhi'yi'ge'ka'fei'qing'ren
绀野惠子,gan'ye'hui'zi
钢琴师的情人,gang'qin'shi'de'qing'ren
刚诗衣罗,gang'shi'yi'luo
冈野麻里安,gang'ye'ma'li'an
刚椎罗,gang'zhui'luo
高城良,gao'cheng'liang
高岛奈月,gao'dao'nai'yue
糕点店恋曲,gao'dian'dian'lian'qu
高冈水美,gao'gang'shui'mei
高河弓,gao'he'gong
高井户明美,gao'jing'hu'ming'mei
高口里纯,gao'kou'li'chun
高楼之华,gao'lou'zhi'hua
高桥由纪,gao'qiao'you'ji
高桥直纯,gao'qiao'zhi'chun
高群保,gao'qun'bao
高速狂情,gao'su'kuang'qing
高危险游戏,gao'wei'xian'you'xi
高永雏子,gao'yong'chu'zi
高远春加,gao'yuan'chun'jia
高远琉加,gao'yuan'liu'jia
高圆寺葵子,gao'yuan'si'kui'zi
高月祭,gao'yue'ji
高之原翠,gao'zhi'yuan'cui
高座朗,gao'zuo'lang
葛井美鸟,ge'jing'mei'niao
革命日,ge'ming'ri
给睡王子的吻,gei'shui'wang'zi'de'wen
