氨基甲酸酯类杀虫剂,an'ji'jia'suan'zhi'lei'sha'chong'ji
钡化合物氯化钡硝酸钡醋酸钡,bei'hua'he'wu'lv'hua'bei'xiao'suan'bei'cu'suan'bei
苯的氨基与硝基化合物,ben'de'an'ji'yu'xiao'ji'hua'he'wu
苯接触工业甲苯二甲苯参照执行,ben'jie'chu'gong'ye'jia'ben'er'jia'ben'can'zhao'zhi'xing
丙烯酰胺,bing'xi'xian'an
布鲁菌属,bu'lu'jun'shu
氮氧化物,dan'yang'hua'wu
电工作业,dian'gong'zuo'ye
二甲基甲酰胺,er'jia'ji'jia'xian'an
二硫化碳,er'liu'hua'tan
二氧化硫,er'yang'hua'liu
二异氰酸甲苯酯,er'yi'qing'suan'jia'ben'zhi
钒及其无机化合物,fan'ji'qi'wu'ji'hua'he'wu
氟及其无机化合物,fu'ji'qi'wu'ji'hua'he'wu
肝炎病防治工作,gan'yan'bing'fang'zhi'gong'zuo
高处作业,gao'chu'zuo'ye
高气压,gao'qi'ya
高温,gao'wen
高原作业,gao'yuan'zuo'ye
铬及其无机化合物,ge'ji'qi'wu'ji'hua'he'wu
镉及其无机化合物,ge'ji'qi'wu'ji'hua'he'wu
汞及其无机化合物,gong'ji'qi'wu'ji'hua'he'wu
光气,guang'qi
航空作业,hang'kong'zuo'ye
甲醇,jia'chun
甲醛,jia'quan
焦炉逸散物,jiao'lu'yi'san'wu
结核病防治工作,jie'he'bing'fang'zhi'gong'zuo
联苯胺,lian'ben'an
磷化氢,lin'hua'qing
磷及其无机化合物,lin'ji'qi'wu'ji'hua'he'wu
硫化氢,liu'hua'qing
硫酸二甲酯,liu'suan'er'jia'zhi
氯丙烯,lv'bing'xi
氯丁二烯,lv'ding'er'xi
氯甲醚双氯甲基醚参照执行,lv'jia'mi'shuang'lv'jia'ji'mi'can'zhao'zhi'xing
氯气,lv'qi
氯乙烷,lv'yi'wan
氯乙烯,lv'yi'xi
煤尘,mei'chen
锰及其无机化合物,meng'ji'qi'wu'ji'hua'he'wu
棉尘包括亚麻软大麻黄麻粉尘,mian'chen'bao'kuo'ya'ma'ruan'da'ma'huang'ma'fen'chen
拟除虫菊酯类,ni'chu'chong'ju'zhi'lei
铍及其无机化合物,pi'ji'qi'wu'ji'hua'he'wu
偏二甲基肼,pian'er'jia'ji'jing
其他致尘肺病的无机粉尘,qi'ta'zhi'chen'fei'bing'de'wu'ji'fen'chen
汽油,qi'you
铅及其无机化合物,qian'ji'qi'wu'ji'hua'he'wu
氰及腈类化合物,qing'ji'jing'lei'hua'he'wu
三氯乙烯,san'lv'yi'xi
三烷基锡,san'wan'ji'xi
三硝基甲苯,san'xiao'ji'jia'ben
砷化氢砷化三氢,shen'hua'qing'shen'hua'san'qing
石棉粉尘,shi'mian'fen'chen
视屏作业,shi'ping'zuo'ye
手传振动,shou'chuan'zhen'dong
四氯化碳,si'lv'hua'tan
四乙基铅,si'yi'ji'qian
酸雾或酸酐,suan'wu'huo'suan'gan
铊及其无机化合物,ta'ji'qi'wu'ji'hua'he'wu
炭疽芽孢杆菌简称炭疽杆菌,tan'ju'ya'bao'gan'jun'jian'cheng'tan'ju'gan'jun
羰基镍,tang'ji'nie
微波,wei'bo
五氯酚,wu'lv'fen
溴甲烷,xiu'jia'wan
压力容器作业,ya'li'rong'qi'zuo'ye
氧化锌,yang'hua'xin
一甲胺,yi'jia'an
一氧化碳,yi'yang'hua'tan
有机粉尘,you'ji'fen'chen
有机氟,you'ji'fu
有机磷杀虫剂,you'ji'lin'sha'chong'ji
噪声,zao'sheng
正己烷,zheng'ji'wan
致喘物,zhi'chuan'wu
职业机动车驾驶作业,zhi'ye'ji'dong'che'jia'shi'zuo'ye
紫外辐射紫外线,zi'wai'fu'she'zi'wai'xian
