暗暗,an'an
百联东方广场,bai'lian'dong'fang'guang'chang
百闻不如一见,bai'wen'bu'ru'yi'jian
报送,bao'song
兵来将挡水来土掩,bing'lai'jiang'dang'shui'lai'tu'yan
不关你的事,bu'guan'ni'de'shi
车到山前必有路,che'dao'shan'qian'bi'you'lu
吃一堑长一智,chi'yi'qian'zhang'yi'zhi
船到桥头自然直,chuan'dao'qiao'tou'zi'ran'zhi
春蚕到死丝方尽,chun'can'dao'si'si'fang'jin
此地无银三百两,ci'di'wu'yin'san'bai'liang
但使龙城飞将在,dan'shi'long'cheng'fei'jiang'zai
到时,dao'shi
读万卷书行万里路,du'wan'juan'shu'xing'wan'li'lu
独在异乡为异客,du'zai'yi'xiang'wei'yi'ke
方为人上人,fang'wei'ren'shang'ren
福尔摩斯探案,fu'er'mo'si'tan'an
过五关斩六将,guo'wu'guan'zhan'liu'jiang
哈哈哈哈哈哈哈,ha'ha'ha'ha'ha'ha'ha
海内存知己天涯若比邻,hai'nei'cun'zhi'ji'tian'ya'ruo'bi'lin
含蓄,han'xu
忽如一夜春风来,hu'ru'yi'ye'chun'feng'lai
藿香正气水,huo'xiang'zheng'qi'shui
嫁鸡随鸡嫁狗随狗,jia'ji'sui'ji'jia'gou'sui'gou
较量,jiao'liang
癞蛤蟆想吃天鹅肉,lai'ha'ma'xiang'chi'tian'e'rou
两岸猿声啼不住,liang'an'yuan'sheng'ti'bu'zhu
落红不是无情物,luo'hong'bu'shi'wu'qing'wu
妈了个逼的,ma'le'ge'bi'de
莫愁前路无知己,mo'chou'qian'lu'wu'zhi'ji
尼古拉斯凯奇,ni'gu'la'si'kai'qi
千里江陵一日还,qian'li'jiang'ling'yi'ri'huan
轻舟已过万重山,qing'zhou'yi'guo'wan'chong'shan
人不犯我我不犯人,ren'bu'fan'wo'wo'bu'fan'ren
人生自古谁无死,ren'sheng'zi'gu'shui'wu'si
三十功名尘与土,san'shi'gong'ming'chen'yu'tu
傻子,sha'zi
山爱夕阳时,shan'ai'xi'yang'shi
闪着泪光的决定,shan'zhe'lei'guang'de'jue'ding
少壮不努力老大徒伤悲,shao'zhuang'bu'nu'li'lao'da'tu'shang'bei
胜败乃兵家常事,sheng'bai'nai'bing'jia'chang'shi
事不关己高高挂起,shi'bu'guan'ji'gao'gao'gua'qi
史密斯夫妇,shi'mi'si'fu'fu
体育史,ti'yu'shi
停车坐爱枫林晚,ting'che'zuo'ai'feng'lin'wan
往事不堪回首,wang'shi'bu'kan'hui'shou
问君能有几多愁,wen'jun'neng'you'ji'duo'chou
无边落木萧萧下,wu'bian'luo'mu'xiao'xiao'xia
无可奈何花落去,wu'ke'nai'he'hua'luo'qu
喜羊羊与灰太狼,xi'yang'yang'yu'hui'tai'lang
湘阴县第一中学,xiang'yin'xian'di'yi'zhong'xue
一分耕耘一分收获,yi'fen'geng'yun'yi'fen'shou'huo
羽球,yu'qiu
朝辞白帝彩云间,zhao'ci'bai'di'cai'yun'jian
正是江南好风景,zheng'shi'jiang'nan'hao'feng'jing
知人知面不知心,zhi'ren'zhi'mian'bu'zhi'xin
中枢神经系统,zhong'shu'shen'jing'xi'tong
竹怜新雨后,zhu'lian'xin'yu'hou
