阿香婆,a'xiang'po
爱记歌词,ai'ji'ge'ci
爱陪烘,ai'pei'hong
艾瑞泽,ai'rui'ze
埃泰克,ai'tai'ke
爱乐人,ai'yue'ren
安工程,an'gong'cheng
安徽电信,an'hui'dian'xin
安徽工程,an'hui'gong'cheng
安徽工程大学,an'hui'gong'cheng'da'xue
安徽机电,an'hui'ji'dian
安徽商贸,an'hui'shang'mao
安徽省,an'hui'sheng
安徽省芜湖市,an'hui'sheng'wu'hu'shi
安徽师范,an'hui'shi'fan
安徽师范大学,an'hui'shi'fan'da'xue
安徽芜湖,an'hui'wu'hu
安徽移动,an'hui'yi'dong
安奇驾校,an'qi'jia'xiao
安师大,an'shi'da
安师大附中,an'shi'da'fu'zhong
奥顿,ao'dun
奥好,ao'hao
澳门豆捞,ao'men'dou'lao
澳然,ao'ran
澳然天成,ao'ran'tian'cheng
奥韵康城,ao'yun'kang'cheng
巴比伦,ba'bi'lun
白金湾,bai'jin'wan
白马山,bai'ma'shan
白马小区,bai'ma'xiao'qu
柏庄,bai'zhuang
柏庄观邸,bai'zhuang'guan'di
爆爆虾,bao'bao'xia
包钱,bao'qian
保兴垾,bao'xing'an
北城水岸,bei'cheng'shui'an
贝拉梅朵,bei'la'mei'duo
碧桂园,bi'gui'yuan
滨江公园,bin'jiang'gong'yuan
滨江山庄,bin'jiang'shan'zhuang
冰冻街,bing'dong'jie
波斯湾,bo'si'wan
伯特利,bo'te'li
不睬人,bu'cai'ren
不错蛮,bu'cuo'man
不得歇,bu'de'xie
不顶龙,bu'ding'long
不干蛮,bu'gan'man
不好蛮,bu'hao'man
不划来,bu'hua'lai
不快活,bu'kuai'huo
不能望,bu'neng'wang
不能望你,bu'neng'wang'ni
不清头,bu'qing'tou
不在芜湖,bu'zai'wu'hu
不则声,bu'ze'sheng
财富街,cai'fu'jie
采石矶,cai'shi'ji
产品中心,chan'pin'zhong'xin
长江长,chang'jiang'chang
长江市场园,chang'jiang'shi'chang'yuan
长江湾,chang'jiang'wan
长盛园,chang'sheng'yuan
巢湖市,chao'hu'shi
炒面皮,chao'mian'pi
城市之光,cheng'shi'zhi'guang
池州,chi'zhou
赤铸山,chi'zhu'shan
充气电瓶车,chong'qi'dian'ping'che
丑死人,chou'si'ren
春江花园,chun'jiang'hua'yuan
从芜湖,cong'wu'hu
萃英园,cui'ying'yuan
笪秉梅,da'bing'mei
大富新村,da'fu'xin'cun
大官山,da'guan'shan
大话芜湖,da'hua'wu'hu
大江晚报,da'jiang'wan'bao
大砻坊,da'long'fang
大孬纸,da'nao'zhi
大孬子,da'nao'zi
大桥镇,da'qiao'zhen
大肉面,da'rou'mian
大芜湖,da'wu'hu
大闸,da'zha
带老子,dai'lao'zi
埭南,dai'nan
带你买,dai'ni'mai
带我介绍,dai'wo'jie'shao
带我买,dai'wo'mai
当涂,dang'tu
当涂县,dang'tu'xian
当我没讲,dang'wo'mei'jiang
到步行街,dao'bu'xing'jie
倒得了,dao'de'le
倒瓤子,dao'rang'zi
到芜湖,dao'wu'hu
到芜湖了,dao'wu'hu'le
德豪,de'hao
得味,de'wei
德邑风尚,de'yi'feng'shang
等哈一,deng'ha'yi
等哈子,deng'ha'zi
抵饱,di'bao
地超,di'chao
第二人民医院,di'er'ren'min'yi'yuan
荻港,di'gang
地区医院,di'qu'yi'yuan
掉的了,diao'de'le
吊女的,diao'nv'de
叮当子,ding'dang'zi
东部星城,dong'bu'xing'cheng
东城豪庭,dong'cheng'hao'ting
东方红郡,dong'fang'hong'jun
东方龙城,dong'fang'long'cheng
东郊路,dong'jiao'lu
东紫园,dong'zi'yuan
都讲我,dou'jiang'wo
都宝花园,du'bao'hua'yuan
峨桥镇,e'qiao'zhen
峨山,e'shan
二吊蛋,er'diao'dan
二航局,er'hang'ju
二十公岁的,er'shi'gong'sui'de
繁昌,fan'chang
繁昌县,fan'chang'xian
烦的一比,fan'de'yi'bi
烦死个,fan'si'ge
烦死人的,fan'si'ren'de
繁阳镇,fan'yang'zhen
烦一笔,fan'yi'bi
方特,fang'te
菲比,fei'bi
非讲,fei'jiang
分的了,fen'de'le
疯的了,feng'de'le
峰谷肥牛,feng'gu'fei'niu
凤凰城,feng'huang'cheng
凤凰美食街,feng'huang'mei'shi'jie
凤鸣湖,feng'ming'hu
富贵园,fu'gui'yuan
福禄商城,fu'lu'shang'cheng
咖喱多,ga'li'duo
噶门口,ga'men'kou
噶去,ga'qu
该个,gai'ge
干嘛事,gan'ma'shi
刚锅,gang'guo
搞不起来,gao'bu'qi'lai
搞迟,gao'chi
搞迟了,gao'chi'le
高沟,gao'gou
搞么啊,gao'me'a
搞死人的,gao'si'ren'de
高校园区,gao'xiao'yuan'qu
搞一手,gao'yi'shou
个几天,ge'ji'tian
格力,ge'li
个两天,ge'liang'tian
个么多,ge'me'duo
个么事,ge'me'shi
个么早,ge'me'zao
隔热哄,ge're'hong
个晓得,ge'xiao'de
个些,ge'xie
个样子,ge'yang'zi
给人噶,gei'ren'ga
跟呱呱,gen'gua'gua
跟人噶,gen'ren'ga
耿福兴,geng'fu'xing
工山,gong'shan
工山镇,gong'shan'zhen
呱蛋,gua'dan
官陡,guan'dou
广济寺,guang'ji'si
规规矩矩的,gui'gui'ju'ju'de
滚走吧,gun'zou'ba
过哈子,guo'ha'zi
过龙岗,guo'long'gang
哈不错,ha'bu'cuo
哈不去,ha'bu'qu
哈不如,ha'bu'ru
哈不是,ha'bu'shi
哈不睡觉,ha'bu'shui'jiao
哈不晓得,ha'bu'xiao'de
哈不知道,ha'bu'zhi'dao
哈差不多,ha'cha'bu'duo
哈吃饭,ha'chi'fan
哈吃过啦,ha'chi'guo'la
哈吃过了,ha'chi'guo'le
哈吃了,ha'chi'le
哈出来,ha'chu'lai
哈出去,ha'chu'qu
哈打麻将,ha'da'ma'jiang
哈带我,ha'dai'wo
