阿莫西林胶囊,a'mo'xi'lin'jiao'nang
阿司匹林肠溶片,a'si'pi'lin'chang'rong'pian
阿昔洛韦片,a'xi'luo'wei'pian
氨茶碱片,an'cha'jian'pian
安坤颗粒,an'kun'ke'li
安乃近片,an'nai'jin'pian
白癜风胶囊,bai'dian'feng'jiao'nang
板蓝根颗粒,ban'lan'gen'ke'li
板蓝根注射液,ban'lan'gen'zhu'she'ye
胞磷胆碱注射液,bao'lin'dan'jian'zhu'she'ye
吡拉西坦片,bi'la'xi'tan'pian
鼻舒适片,bi'shu'shi'pian
补金片,bu'jin'pian
布洛芬片,bu'luo'fen'pian
柴黄颗粒,chai'huang'ke'li
川贝枇杷糖浆,chuan'bei'pi'pa'tang'jiang
刺五加片,ci'wu'jia'pian
醋酸氯己定痔疮栓,cu'suan'lv'ji'ding'zhi'chuang'shuan
大活络胶囊,da'huo'luo'jiao'nang
大活络丸,da'huo'luo'wan
丹参注射液,dan'shen'zhu'she'ye
丹香冠心注射液,dan'xiang'guan'xin'zhu'she'ye
当归,dang'gui
地塞米松磷酸钠注射液,di'sai'mi'song'lin'suan'na'zhu'she'ye
独活寄生丸,du'huo'ji'sheng'wan
对乙酰氨基酚片,dui'yi'xian'an'ji'fen'pian
二羟丙茶碱注射液,er'qiang'bing'cha'jian'zhu'she'ye
法半夏,fa'ban'xia
法莫替丁片,fa'mo'ti'ding'pian
防己,fang'ji
芬布芬胶囊,fen'bu'fen'jiao'nang
酚磺乙胺注射液,fen'huang'yi'an'zhu'she'ye
复方氨酚烷胺片,fu'fang'an'fen'wan'an'pian
复方氨肽素片,fu'fang'an'tai'su'pian
复方板蓝根颗粒,fu'fang'ban'lan'gen'ke'li
复方丹参片,fu'fang'dan'shen'pian
复方当归注射液,fu'fang'dang'gui'zhu'she'ye
复方感冒灵片,fu'fang'gan'mao'ling'pian
复方黄藤洗液,fu'fang'huang'teng'xi'ye
复方芦丁片,fu'fang'lu'ding'pian
复方凝乳酶胶囊,fu'fang'ning'ru'mei'jiao'nang
复方鲜竹沥液,fu'fang'xian'zhu'li'ye
复方愈创木酚磺酸钾口服溶液,fu'fang'yu'chuang'mu'fen'huang'suan'jia'kou'fu'rong'ye
馥感啉口服液,fu'gan'lin'kou'fu'ye
附桂骨痛胶囊,fu'gui'gu'tong'jiao'nang
妇康宁片,fu'kang'ning'pian
呋喃硫胺注射液,fu'nan'liu'an'zhu'she'ye
呋塞米注射液,fu'sai'mi'zhu'she'ye
甘草锌胶囊,gan'cao'xin'jiao'nang
感冒清胶囊,gan'mao'qing'jiao'nang
感特灵胶囊,gan'te'ling'jiao'nang
谷丙甘氨酸胶囊,gu'bing'gan'an'suan'jiao'nang
骨肽注射液,gu'tai'zhu'she'ye
冠脉宁胶囊,guan'mai'ning'jiao'nang
胱氨酸片,guang'an'suan'pian
归脾丸,gui'pi'wan
红药片,hong'yao'pian
厚朴,hou'po
猴头菌片,hou'tou'jun'pian
黄体酮注射液,huang'ti'tong'zhu'she'ye
黄杨宁片,huang'yang'ning'pian
藿香正气水,huo'xiang'zheng'qi'shui
活血壮筋丸,huo'xue'zhuang'jin'wan
活血壮筋丸丹,huo'xue'zhuang'jin'wan'dan
吉非罗齐胶囊,ji'fei'luo'qi'jiao'nang
肌苷片,ji'gan'pian
甲硝唑芬布芬胶囊,jia'xiao'zuo'fen'bu'fen'jiao'nang
健胃消食片,jian'wei'xiao'shi'pian
金刚藤软胶囊,jin'gang'teng'ruan'jiao'nang
经带宁胶囊,jing'dai'ning'jiao'nang
抗病毒口服液,kang'bing'du'kou'fu'ye
克林霉素磷酸酯注射液,ke'lin'mei'su'lin'suan'zhi'zhu'she'ye
空心胶囊,kong'xin'jiao'nang
苦参片,ku'shen'pian
利巴韦林颗粒,li'ba'wei'lin'ke'li
利巴韦林注射液,li'ba'wei'lin'zhu'she'ye
硫酸阿米卡星注射液,liu'suan'a'mi'ka'xing'zhu'she'ye
硫酸阿托品注射液,liu'suan'a'tuo'pin'zhu'she'ye
硫酸卡那霉素注射液,liu'suan'ka'na'mei'su'zhu'she'ye
硫酸庆大霉素注射液,liu'suan'qing'da'mei'su'zhu'she'ye
龙血竭胶囊,long'xue'jie'jiao'nang
龙掌口含液,long'zhang'kou'han'ye
罗红霉素胶囊,luo'hong'mei'su'jiao'nang
洛索洛芬钠胶囊,luo'suo'luo'fen'na'jiao'nang
氯化钾注射液,lv'hua'jia'zhu'she'ye
氯化钠注射液,lv'hua'na'zhu'she'ye
氯唑沙宗片,lv'zuo'sha'zong'pian
灭菌注射用水,mie'jun'zhu'she'yong'shui
萘普生钠片,nai'pu'sheng'na'pian
脑血栓片,nao'xue'shuan'pian
宁泌泰胶囊,ning'mi'tai'jiao'nang
牛黄解毒片,niu'huang'jie'du'pian
牛磺酸颗粒,niu'huang'suan'ke'li
诺氟沙星胶囊,nuo'fu'sha'xing'jiao'nang
平消片,ping'xiao'pian
蒲地蓝消炎片,pu'di'lan'xiao'yan'pian
千金止带丸,qian'jin'zhi'dai'wan
强力枇杷露,qiang'li'pi'pa'lu
强力天麻杜仲胶囊,qiang'li'tian'ma'du'zhong'jiao'nang
秦艽,qin'jiao
芩连胶囊,qin'lian'jiao'nang
曲克芦丁注射液,qu'ke'lu'ding'zhu'she'ye
三七胶囊,san'qi'jiao'nang
三七片,san'qi'pian
蛇胆川贝液,she'dan'chuan'bei'ye
麝香接骨胶囊,she'xiang'jie'gu'jiao'nang
肾复康胶囊,shen'fu'kang'jiao'nang
伸筋丹胶囊,shen'jin'dan'jiao'nang
石黄抗菌片,shi'huang'kang'jun'pian
舒筋活血片,shu'jin'huo'xue'pian
双黄连口服液,shuang'huang'lian'kou'fu'ye
松贝,song'bei
天麻蜜环菌片,tian'ma'mi'huan'jun'pian
跳骨片,tiao'gu'pian
头孢氨苄甲氧苄啶胶囊,tou'bao'an'bian'jia'yang'bian'ding'jiao'nang
头孢氨苄甲氧苄啶片,tou'bao'an'bian'jia'yang'bian'ding'pian
头孢氨苄胶囊,tou'bao'an'bian'jiao'nang
土霉素片,tu'mei'su'pian
胃康灵胶囊,wei'kang'ling'jiao'nang
夏枯草口服液,xia'ku'cao'kou'fu'ye
香丹注射液,xiang'dan'zhu'she'ye
小柴胡颗粒,xiao'chai'hu'ke'li
小儿氨酚黄那敏颗粒,xiao'er'an'fen'huang'na'min'ke'li
小儿氨咖黄敏颗粒,xiao'er'an'ka'huang'min'ke'li
小儿化痰止咳颗粒,xiao'er'hua'tan'zhi'ke'ke'li
消咳宁片,xiao'ke'ning'pian
硝酸异山梨酯片,xiao'suan'yi'shan'li'zhi'pian
消炎利胆片,xiao'yan'li'dan'pian
消炎止咳片,xiao'yan'zhi'ke'pian
胸腺肽注射液,xiong'xian'tai'zhu'she'ye
炎可宁片,yan'ke'ning'pian
盐酸班布特罗胶囊,yan'suan'ban'bu'te'luo'jiao'nang
盐酸二甲双胍片,yan'suan'er'jia'shuang'gua'pian
盐酸氟桂利嗪胶囊,yan'suan'fu'gui'li'qin'jiao'nang
盐酸环丙沙星胶囊,yan'suan'huan'bing'sha'xing'jiao'nang
盐酸克林霉素胶囊,yan'suan'ke'lin'mei'su'jiao'nang
盐酸雷尼替丁胶囊,yan'suan'lei'ni'ti'ding'jiao'nang
盐酸林可霉素注射液,yan'suan'lin'ke'mei'su'zhu'she'ye
盐酸普鲁卡因注射液,yan'suan'pu'lu'ka'yin'zhu'she'ye
盐酸小檗碱片,yan'suan'xiao'bo'jian'pian
咽炎片,yan'yan'pian
腰痛片,yao'tong'pian
益母草颗粒,yi'mu'cao'ke'li
依托红霉素颗粒,yi'tuo'hong'mei'su'ke'li
乙酰螺旋霉素片,yi'xian'luo'xuan'mei'su'pian
吲达帕胺片,yin'da'pa'an'pian
银杏叶片,yin'xing'ye'pian
藻酸双酯钠片,zao'suan'shuang'zhi'na'pian
正清风痛宁片,zheng'qing'feng'tong'ning'pian
炙远志,zhi'yuan'zhi
注射用氨苄西林钠舒巴坦钠,zhu'she'yong'an'bian'xi'lin'na'shu'ba'tan'na
注射用头孢曲松钠,zhu'she'yong'tou'bao'qu'song'na
