鹌鹑蛋,an'chun'dan
安琪酵母粉包,an'qi'jiao'mu'fen'bao
澳柑,ao'gan
八宝饭个,ba'bao'fan'ge
八角,ba'jiao
芭蕉花,ba'jiao'hua
芭蕉叶,ba'jiao'ye
芭蕉叶袋,ba'jiao'ye'dai
巴乾,ba'qian
霸王花,ba'wang'hua
白菜苔,bai'cai'tai
白菜心,bai'cai'xin
白豆腐,bai'dou'fu
白豆腐干,bai'dou'fu'gan
白豆蔻,bai'dou'kou
白凤鸡,bai'feng'ji
白凤菌,bai'feng'jun
白果,bai'guo
白果肉包,bai'guo'rou'bao
白果味膏桶,bai'guo'wei'gao'tong
百合,bai'he
百合花,bai'he'hua
白花,bai'hua
白花菜,bai'hua'cai
白花豆,bai'hua'dou
白花生米,bai'hua'sheng'mi
白金针菇,bai'jin'zhen'gu
白莲藕,bai'lian'ou
白莲蓉,bai'lian'rong
白鲢鱼,bai'lian'yu
白凉粉,bai'liang'fen
白灵菇,bai'ling'gu
白萝卜,bai'luo'bo
白蘑菇,bai'mo'gu
白皮青蒜,bai'pi'qing'suan
白皮青笋,bai'pi'qing'sun
白芹,bai'qin
白山药,bai'shan'yao
白薯,bai'shu
白糖,bai'tang
白香瓜,bai'xiang'gua
白心洋芋,bai'xin'yang'yu
白洋葱,bai'yang'cong
白玉兰饺子面粉袋,bai'yu'lan'jiao'zi'mian'fen'dai
白芷,bai'zhi
白芝麻,bai'zhi'ma
板豆腐,ban'dou'fu
板蓝根,ban'lan'gen
棒棒菜,bang'bang'cai
棒菜,bang'cai
包菜,bao'cai
包谷米,bao'gu'mi
包浆豆腐,bao'jiang'dou'fu
包浆豆腐块,bao'jiang'dou'fu'kuai
包浆豆腐条,bao'jiang'dou'fu'tiao
包浆豆腐小块,bao'jiang'dou'fu'xiao'kuai
剥皮板栗,bao'pi'ban'li
保卫尔牛肉汁瓶,bao'wei'er'niu'rou'zhi'ping
保鲜膜国产,bao'xian'mo'guo'chan
保鲜膜进口,bao'xian'mo'jin'kou
鲍鱼汁瓶,bao'yu'zhi'ping
本地菜心,ben'di'cai'xin
本地黄瓜,ben'di'huang'gua
本地火腿,ben'di'huo'tui
本地鸡翅,ben'di'ji'chi
本地芥兰,ben'di'jie'lan
本地苦瓜,ben'di'ku'gua
本地生菜,ben'di'sheng'cai
本地香肠,ben'di'xiang'chang
宾川脐橙,bin'chuan'qi'cheng
冰冻鲜花椒,bing'dong'xian'hua'jiao
冰冻鲜鱿鱼,bing'dong'xian'you'yu
冰豆芽,bing'dou'ya
冰花酸梅酱瓶,bing'hua'suan'mei'jiang'ping
冰糖,bing'tang
冰糖橙,bing'tang'cheng
冰糖散,bing'tang'san
菠菜,bo'cai
薄荷,bo'he
菠萝,bo'luo
不老泉陈醋瓶,bu'lao'quan'chen'cu'ping
彩花把,cai'hua'ba
彩椒,cai'jiao
菜豌豆,cai'wan'dou
菜心,cai'xin
菜子油,cai'zi'you
蚕豆,can'dou
蚕豆米,can'dou'mi
草果,cao'guo
草莓,cao'mei
草芽,cao'ya
草芽尖,cao'ya'jian
草鱼,cao'yu
茶花鸡只,cha'hua'ji'zhi
茶树菇,cha'shu'gu
长豆角,chang'dou'jiao
长青尖椒,chang'qing'jian'jiao
长青椒,chang'qing'jiao
长水腌菜,chang'shui'yan'cai
长丝瓜,chang'si'gua
长酸菜,chang'suan'cai
肠头,chang'tou
长腌菜,chang'yan'cai
肠子,chang'zi
车轮黄奶油桶,che'lun'huang'nai'you'tong
陈村枧水桶,chen'cun'jian'shui'tong
陈皮,chen'pi
陈蒜苔,chen'suan'tai
橙红色素瓶,cheng'hong'se'su'ping
橙子,cheng'zi
赤肉,chi'rou
冲菜,chong'cai
虫草花,chong'cao'hua
臭菜,chou'cai
臭参,chou'can
臭豆腐,chou'dou'fu
臭豆腐块,chou'dou'fu'kuai
臭豆腐小块,chou'dou'fu'xiao'kuai
川弓,chuan'gong
穿穹菜,chuan'qiong'cai
春卷皮袋,chun'juan'pi'dai
慈菇,ci'gu
茨菇,ci'gu
刺青瓜,ci'qing'gua
刺五加,ci'wu'jia
粗菜心,cu'cai'xin
粗辣子面,cu'la'zi'mian
粗米线,cu'mi'xian
脆豆腐,cui'dou'fu
脆骨,cui'gu
脆柿,cui'shi
大白菜,da'bai'cai
大白花,da'bai'hua
大葱,da'cong
大豆色拉油,da'dou'se'la'you
大干木耳,da'gan'mu'er
大龟甲万酱油瓶,da'gui'jia'wan'jiang'you'ping
大核桂圆,da'he'gui'yuan
大红椒,da'hong'jiao
大红小米辣,da'hong'xiao'mi'la
大花鲢鱼头,da'hua'lian'yu'tou
大黄姜,da'huang'jiang
大鸡腿芥兰,da'ji'tui'jie'lan
大韭菜,da'jiu'cai
大苦菜,da'ku'cai
大块红糖,da'kuai'hong'tang
大莲花白,da'lian'hua'bai
大美极雀巢瓶,da'mei'ji'que'chao'ping
大米,da'mi
大茄子,da'qie'zi
大青椒,da'qing'jiao
大山药,da'shan'yao
大蒜米,da'suan'mi
大蒜头,da'suan'tou
大香菜,da'xiang'cai
大腌菜,da'yan'cai
大元,da'yuan
大元西,da'yuan'xi
大元须,da'yuan'xu
带刺小黄瓜,dai'ci'xiao'huang'gua
带壳蚕豆,dai'ke'can'dou
带皮白蒜,dai'pi'bai'suan
带皮包谷棒,dai'pi'bao'gu'bang
带皮荸荠,dai'pi'bi'qi
带皮蚕豆,dai'pi'can'dou
带皮独蒜,dai'pi'du'suan
带皮后腿肉,dai'pi'hou'tui'rou
带皮花生,dai'pi'hua'sheng
带皮茭瓜,dai'pi'jiao'gua
带皮老姜,dai'pi'lao'jiang
带皮毛豆,dai'pi'mao'dou
带皮前腿肉,dai'pi'qian'tui'rou
带皮青笋,dai'pi'qing'sun
带皮五花肉,dai'pi'wu'hua'rou
带汁雕梅,dai'zhi'diao'mei
带枝毛豆,dai'zhi'mao'dou
袋装鲜百合,dai'zhuang'xian'bai'he
蛋糕挤花袋包,dan'gao'ji'hua'dai'bao
蛋鸡,dan'ji
当归,dang'gui
砀山梨,dang'shan'li
地门菠萝罐头瓶,di'men'bo'luo'guan'tou'ping
地门玉米粒瓶,di'men'yu'mi'li'ping
淀粉袋,dian'fen'dai
丁香,ding'xiang
冬菜,dong'cai
冬虫夏草,dong'chong'xia'cao
东古白醋瓶,dong'gu'bai'cu'ping
冬瓜,dong'gua
