白蜡虫,bai'la'chong
白蚁,bai'yi
白蚤,bai'zao
孢子虫,bao'zi'chong
壁虎,bi'hu
鞭虫,bian'chong
鞭毛虫,bian'mao'chong
变色龙,bian'se'long
变色蜥蜴,bian'se'xi'yi
变形虫,bian'xing'chong
薄翅螳螂,bo'chi'tang'lang
菜青虫,cai'qing'chong
蚕蛾,can'e
草履虫,cao'lv'chong
臭虫,chou'chong
椿象,chun'xiang
大黄蜂,da'huang'feng
大蟒,da'mang
独居昆虫,du'ju'kun'chong
毒蛇,du'she
鳄蜥,e'xi
放射虫,fang'she'chong
纺织娘,fang'zhi'niang
非洲毒蛇,fei'zhou'du'she
粉蝶,fen'die
凤蝶,feng'die
蜂王,feng'wang
蝮蛇,fu'she
蜉蝣,fu'you
工蜂,gong'feng
钩虫,gou'chong
果蝇,guo'ying
海蛇,hai'she
寒号虫,han'hao'chong
黑斑蝰,hei'ban'kui
红珊瑚,hong'shan'hu
红夜蛾,hong'ye'e
虎斑蛾,hu'ban'e
蝴蝶,hu'die
虎甲虫,hu'jia'chong
蝗虫,huang'chong
黄蜂,huang'feng
蛔虫,hui'chong
灰鼠蛇,hui'shu'she
甲虫,jia'chong
家蝇,jia'ying
姜片虫,jiang'pian'chong
角蝉,jiao'chan
角蝰,jiao'kui
结草虫,jie'cao'chong
金龟子,jin'gui'zi
金环蛇,jin'huan'she
金鱼虫,jin'yu'chong
金针虫,jin'zhen'chong
巨蜥,ju'xi
叩头虫,kou'tou'chong
蝰蛇,kui'she
昆虫,kun'chong
龙虱,long'shi
蝼蛄,lou'gu
鹿角锹甲,lu'jiao'qiao'jia
绿头苍蝇,lv'tou'cang'ying
蚂蝗,ma'huang
蚂蚁,ma'yi
马蝇,ma'ying
蠓虫,meng'chong
蜜蜂,mi'feng
棉铃虫,mian'ling'chong
螟蛉,ming'ling
蛲虫,nao'chong
黏虫,nian'chong
牛虻,niu'meng
疟蚊,nue'wen
蚍蜉,pi'fu
瓢虫,piao'chong
蛴螬,qi'cao
蜣螂,qiang'lang
蜻蜓,qing'ting
蚯蚓,qiu'yin
蠼螋,qu'sou
群居昆虫,qun'ju'kun'chong
沙虫,sha'chong
砂蜥,sha'xi
珊瑚虫,shan'hu'chong
虱卵,shi'luan
石蝇,shi'ying
水蛇,shui'she
水蝎,shui'xie
水蚤,shui'zao
丝虫,si'chong
松毛虫,song'mao'chong
缩头虫,suo'tou'chong
螳螂,tang'lang
绦虫,tao'chong
天牛,tian'niu
跳蚤,tiao'zao
头虱,tou'shi
土鳖,tu'bie
五步蛇,wu'bu'she
无翅蚜虫,wu'chi'ya'chong
蜈蚣,wu'gong
吸虫,xi'chong
蟋蟀,xi'shuai
蜥蜴,xi'yi
纤毛虫,xian'mao'chong
响尾蛇,xiang'wei'she
小四脚蛇,xiao'si'jiao'she
雄蜂,xiong'feng
旋毛虫,xuan'mao'chong
血吸虫,xue'xi'chong
蚜虫,ya'chong
眼镜蛇,yan'jing'she
眼镜王蛇,yan'jing'wang'she
野蜂,ye'feng
夜光虫,ye'guang'chong
银环蛇,yin'huan'she
萤火虫,ying'huo'chong
有翅蚜虫,you'chi'ya'chong
有孔虫,you'kong'chong
游蛇,you'she
蚱蝉,zha'chan
蚱蜢,zha'meng
蟑螂,zhang'lang
蜘蛛,zhi'zhu
竹节虫,zhu'jie'chong
竹节蛇,zhu'jie'she
蛀心虫,zhu'xin'chong
紫胶虫,zi'jiao'chong
