阿鼻元珠,a'bi'yuan'zhu
阿怛含婆,a'da'han'po
阿尔卑斯,a'er'bei'si
阿鬟,a'huan
阿难剑,a'nan'jian
阿阇修利罗,a'she'xiu'li'luo
阿童,a'tong
阿屠钩,a'tu'gou
爱缠绵采药上名山,ai'chan'mian'cai'yao'shang'ming'shan
爱侣,ai'lv
爱侣述缠绵,ai'lv'shu'chan'mian
矮叟,ai'sou
矮叟戏痴仙,ai'sou'xi'chi'xian
安乐岛,an'le'dao
暗设玄牝阵,an'she'xuan'pin'zhen
暗袭阴魔迷幻相,an'xi'yin'mo'mi'huan'xiang
庵主,an'zhu
傲立正邪间,ao'li'zheng'xie'jian
八部天龙宝藏,ba'bu'tian'long'bao'zang
拔地移山,ba'di'yi'shan
八反教,ba'fan'jiao
八姑,ba'gu
八卦玄门剑,ba'gua'xuan'men'jian
八魔,ba'mo
八手观音,ba'shou'guan'yin
百宝如意纯阳转心锁,bai'bao'ru'yi'chun'yang'zhuan'xin'suo
百草仙人,bai'cao'xian'ren
百草阳灵膏,bai'cao'yang'ling'gao
百毒金蚕蛊,bai'du'jin'can'gu
百毒烟岚连珠飞弩,bai'du'yan'lan'lian'zhu'fei'nu
白发龙女,bai'fa'long'nv
白发魔女,bai'fa'mo'nv
白骨禅师,bai'gu'chan'shi
白骨穿心腾魁影,bai'gu'chuan'xin'teng'kui'ying
白骨丧门箭,bai'gu'sang'men'jian
白骨神君,bai'gu'shen'jun
白骨神魔,bai'gu'shen'mo
白骨搜魂网,bai'gu'sou'hun'wang
白骨锁魂香,bai'gu'suo'hun'xiang
白骨锁心锤,bai'gu'suo'xin'chui
白谷逸,bai'gu'yi
白鬼脸,bai'gui'lian
白虹,bai'hong
白虹岛,bai'hong'dao
白虹钩,bai'hong'gou
百花岛,bai'hua'dao
百花仙,bai'hua'xian
白缙,bai'jin
白癞,bai'lai
白莲花送见仙童,bai'lian'hua'song'jian'xian'tong
百灵冲,bai'ling'chong
白菱礁,bai'ling'jiao
百灵斩仙剑,bai'ling'zhan'xian'jian
白龙庵,bai'long'an
白龙钩,bai'long'gou
白鹿洞,bai'lu'dong
白露横江良朋谈往事,bai'lu'heng'jiang'liang'peng'tan'wang'shi
白马坡,bai'ma'po
百蛮山,bai'man'shan
白眉,bai'mei
白眉禅师,bai'mei'chan'shi
白眉和尚,bai'mei'he'shang
白眉针,bai'mei'zhen
白眉真人,bai'mei'zhen'ren
白明玉,bai'ming'yu
百魔道长,bai'mo'dao'chang
白琦,bai'qi
百禽道人,bai'qin'dao'ren
白雀洞,bai'que'dong
败群魔,bai'qun'mo
白日宣淫多臂熊隔户听春声,bai'ri'xuan'yin'duo'bi'xiong'ge'hu'ting'chun'sheng
拜山环,bai'shan'huan
白石清泉,bai'shi'qing'quan
白首仙童,bai'shou'xian'tong
白水观,bai'shui'guan
白水真,bai'shui'zhen
白犀潭,bai'xi'tan
白侠,bai'xia
白阳山,bai'yang'shan
白幽女,bai'you'nv
百欲神魔,bai'yu'shen'mo
白云庵,bai'yun'an
白云大师,bai'yun'da'shi
白云大师元敬,bai'yun'da'shi'yuan'jing
白云诃,bai'yun'he
白竹涧,bai'zhu'jian
半边,ban'bian
半边老尼,ban'bian'lao'ni
班荆联冶伴,ban'jing'lian'ye'ban
半空高系五山图,ban'kong'gao'xi'wu'shan'tu
半杨妃勾魂姹女,ban'yang'fei'gou'hun'cha'nv
帮派,bang'pai
抱不平,bao'bu'ping
抱不平余英男神针御寇,bao'bu'ping'yu'ying'nan'shen'zhen'yu'kou
宝城山,bao'cheng'shan
宝城仙主,bao'cheng'xian'zhu
报大仇,bao'da'chou
报恩寺,bao'en'si
宝剑龙飞,bao'jian'long'fei
宝鉴吐乾焰,bao'jian'tu'qian'yan
宝镜,bao'jing
宝镜耀明辉,bao'jing'yao'ming'hui
宝气千重,bao'qi'qian'zhong
宝树婆娑,bao'shu'po'suo
宝相灿莲花,bao'xiang'can'lian'hua
宝相夫人,bao'xiang'fu'ren
宝云如雾护仙山,bao'yun'ru'wu'hu'xian'shan
北斗珠,bei'dou'zhu
北海,bei'hai
北极,bei'ji
北极海,bei'ji'hai
被困,bei'kun
北邙山,bei'mang'shan
贝阙获奇珍,bei'que'huo'qi'zhen
背师言为宝倾生,bei'shi'yan'wei'bao'qing'sheng
北天山,bei'tian'shan
悲喜各殊遗憾在,bei'xi'ge'shu'yi'han'zai
贝叶焕样辉,bei'ye'huan'yang'hui
北岳,bei'yue
被逐,bei'zhu
本领,ben'ling
本门,ben'men
本是双清,ben'shi'shuang'qing
毕半,bi'ban
碧峰小集啖丹榴,bi'feng'xiao'ji'dan'dan'liu
碧海黄泉寻旧侣,bi'hai'huang'quan'xun'jiu'lv
闭户读丹经,bi'hu'du'dan'jing
碧火,bi'huo
碧筠庵,bi'jun'an
碧筠庵朱梅赴约,bi'jun'an'zhu'mei'fu'yue
碧空缥缈,bi'kong'piao'miao
碧磷冲,bi'lin'chong
碧磷斧,bi'lin'fu
碧磷砂,bi'lin'sha
碧灵刀,bi'ling'dao
碧目天罗,bi'mu'tian'luo
碧雯仙子,bi'wen'xian'zi
碧蜈钩,bi'wu'gou
碧梧仙子,bi'wu'xian'zi
碧犀球,bi'xi'qiu
辟邪村,bi'xie'cun
碧斜钩,bi'xie'gou
辟邪古玉,bi'xie'gu'yu
辟邪神璧,bi'xie'shen'bi
辟邪仙裳,bi'xie'xian'shang
毕修,bi'xiu
碧血灭魂梭,bi'xue'mie'hun'suo
碧血神网,bi'xue'shen'wang
碧血神焰,bi'xue'shen'yan
碧血针,bi'xue'zhen
碧眼神佛,bi'yan'shen'fo
碧云盾,bi'yun'dun
碧云屏,bi'yun'ping
碧云绡,bi'yun'xiao
毕真真,bi'zhen'zhen
鼻祖,bi'zu
变灭盈虚森气象,bian'mie'ying'xu'sen'qi'xiang
飙轮舞电,biao'lun'wu'dian
别猩熊,bie'xing'xiong
缤纷花雨警真灵,bin'fen'hua'yu'jing'zhen'ling
冰蚕,bing'can
并驾神雕逐鹿惊邪火,bing'jia'shen'diao'zhu'lu'jing'xie'huo
兵解,bing'jie
冰窟雪魂凝异彩,bing'ku'xue'hun'ning'yi'cai
丙灵梭,bing'ling'suo
冰魄神光剑,bing'po'shen'guang'jian
冰魄吐寒辉,bing'po'tu'han'hui
丙融,bing'rong
病维摩,bing'wei'mo
冰洋岛,bing'yang'dao
丙乙针,bing'yi'zhen
冰原灵山,bing'yuan'ling'shan
病钟离,bing'zhong'li
波忿轻狂,bo'fen'qing'kuang
博克大坂,bo'ke'da'ban
波罗刀,bo'luo'dao
般若刀,bo're'dao
跛师,bo'shi
波心赤煞耀尸光,bo'xin'chi'sha'yao'shi'guang
波旬婆,bo'xun'po
钵盂峰,bo'yu'feng
不甘池中物,bu'gan'chi'zhong'wu
不归为红颜,bu'gui'wei'hong'yan
不坏金光护身法,bu'huai'jin'guang'hu'shen'fa
不尽祥氛消邪火,bu'jin'xiang'fen'xiao'xie'huo
不觉相思苦,bu'jue'xiang'si'ku
不绝雄霸心,bu'jue'xiong'ba'xin
布鲁音加,bu'lu'yin'jia
步明月古寺斗僵尸,bu'ming'yue'gu'si'dou'jiang'shi
不欺一人心,bu'qi'yi'ren'xin
卜天童,bu'tian'tong
不惜遗留娇女祸,bu'xi'yi'liu'jiao'nv'huo
步虚仙子,bu'xu'xian'zi
不夜城,bu'ye'cheng
不夜城主,bu'ye'cheng'zhu
不饮三千水,bu'yin'san'qian'shui
布阵遏妖氛,bu'zhen'e'yao'fen
彩焕金章,cai'huan'jin'zhang
彩幔横江,cai'man'heng'jiang
彩霓练,cai'ni'lian
蔡三娘,cai'san'niang
采山粮,cai'shan'liang
采薇僧,cai'wei'seng
采薇僧岷山施佛法,cai'wei'seng'min'shan'shi'fo'fa
彩霞红云瘴,cai'xia'hong'yun'zhang
彩毅撑空,cai'yi'cheng'kong
彩云飞去,cai'yun'fei'qu
彩云一片自天来,cai'yun'yi'pian'zi'tian'lai
彩云瘴,cai'yun'zhang
残魂,can'hun
灿烂金光雁山诛鲧怪,can'lan'jin'guang'yan'shan'zhu'gun'guai
灿烂祥霞,can'lan'xiang'xia
残年买醉,can'nian'mai'zui
餐霞,can'xia
餐霞大师,can'xia'da'shi
餐霞大师诛杀,can'xia'da'shi'zhu'sha
沧海蹄涔迷鬼主,cang'hai'ti'cen'mi'gui'zhu
沧浪羽士,cang'lang'yu'shi
藏灵怜故剑,cang'ling'lian'gu'jian
藏灵子,cang'ling'zi
苍茫高世感,cang'mang'gao'shi'gan
苍虚老人,cang'xu'lao'ren
仓真人,cang'zhen'ren
藏珍无份,cang'zhen'wu'fen
藏珍在鼎,cang'zhen'zai'ding
曹飞,cao'fei
曹枯竹,cao'ku'zhu
策群力仙崖诛毒蟒,ce'qun'li'xian'ya'zhu'du'mang
侧室,ce'shi
姹女旗,cha'nv'qi
查山五鬼,cha'shan'wu'gui
柴伯恭,chai'bo'gong
柴成,chai'cheng
柴达木河,chai'da'mu'he
禅经,chan'jing
缠绵悲死劫,chan'mian'bei'si'jie
缠绵生死孽,chan'mian'sheng'si'nie
禅师,chan'shi
长白山,chang'bai'shan
长臂金猱,chang'bi'jin'nao
长臂天魔,chang'bi'tian'mo
长春岩,chang'chun'yan
长狄洞,chang'di'dong
肠断可怜宵,chang'duan'ke'lian'xiao
长风洞,chang'feng'dong
常鹤,chang'he
长眉真人,chang'mei'zhen'ren
长桥横圣水,chang'qiao'heng'sheng'shui
长天无际遁飞人,chang'tian'wu'ji'dun'fei'ren
长笑落飞禽,chang'xiao'luo'fei'qin
长啸曳空来老魅,chang'xiao'ye'kong'lai'lao'mei
长夜岛,chang'ye'dao
畅饮青瑶乳,chang'yin'qing'yao'ru
朝天观,chao'tian'guan
潮音小筑,chao'yin'xiao'zhu
彻地分身消魔首,che'di'fen'shen'xiao'mo'shou
彻地金光一番诛丑怪,che'di'jin'guang'yi'fan'zhu'chou'guai
彻地神针,che'di'shen'zhen
掣电飞龙,che'dian'fei'long
车青笠,che'qing'li
陈长泰,chen'chang'tai
沉沉丹井酷生寒,chen'chen'dan'jing'ku'sheng'han
沉沙惊浩劫,chen'sha'jing'hao'jie
陈太真,chen'tai'zhen
陈伟霆,chen'wei'ting
陈文玑,chen'wen'ji
陈圩,chen'xu
陈圩下书,chen'xu'xia'shu
陈岩,chen'yan
呈宝相,cheng'bao'xiang
成道,cheng'dao
惩恶除奸,cheng'e'chu'jian
程连,cheng'lian
承露峰,cheng'lu'feng
程明诚,cheng'ming'cheng
呈奇计,cheng'qi'ji
乘危放妖氛,cheng'wei'fang'yao'fen
承衣钵一门归正果,cheng'yi'bo'yi'men'gui'zheng'guo
赤城仙障,chi'cheng'xian'zhang
赤城子,chi'cheng'zi
赤城子中途逢异派,chi'cheng'zi'zhong'tu'feng'yi'pai
赤发峒主,chi'fa'dong'zhu
