成人教育学院,cheng'ren'jiao'yu'xue'yuan
独立学院,du'li'xue'yuan
其他学院,qi'ta'xue'yuan
荣誉学院,rong'yu'xue'yuan
体育馆,ti'yu'guan
西华大学,xi'hua'da'xue
西华大学材料科学与工程学院,xi'hua'da'xue'cai'liao'ke'xue'yu'gong'cheng'xue'yuan
西华大学电气信息学院,xi'hua'da'xue'dian'qi'xin'xi'xue'yuan
西华大学凤凰学院,xi'hua'da'xue'feng'huang'xue'yuan
西华大学管理学院,xi'hua'da'xue'guan'li'xue'yuan
西华大学国际动画艺术学院,xi'hua'da'xue'guo'ji'dong'hua'yi'shu'xue'yuan
西华大学后备军官学院,xi'hua'da'xue'hou'bei'jun'guan'xue'yuan
西华大学机械工程与自动化学院,xi'hua'da'xue'ji'xie'gong'cheng'yu'zi'dong'hua'xue'yuan
西华大学建筑与土木工程学院,xi'hua'da'xue'jian'zhu'yu'tu'mu'gong'cheng'xue'yuan
西华大学交通与汽车工程学院,xi'hua'da'xue'jiao'tong'yu'qi'che'gong'cheng'xue'yuan
西华大学经济与贸易学院,xi'hua'da'xue'jing'ji'yu'mao'yi'xue'yuan
西华大学理化学院,xi'hua'da'xue'li'hua'xue'yuan
西华大学能源与环境学院,xi'hua'da'xue'neng'yuan'yu'huan'jing'xue'yuan
西华大学人文学院,xi'hua'da'xue'ren'wen'xue'yuan
西华大学生物工程学院,xi'hua'da'xue'sheng'wu'gong'cheng'xue'yuan
西华大学数学与计算机学院,xi'hua'da'xue'shu'xue'yu'ji'suan'ji'xue'yuan
西华大学体育学院,xi'hua'da'xue'ti'yu'xue'yuan
西华大学外国语学院,xi'hua'da'xue'wai'guo'yu'xue'yuan
西华大学西华学院荣誉学院,xi'hua'da'xue'xi'hua'xue'yuan'rong'yu'xue'yuan
西华大学艺术学院,xi'hua'da'xue'yi'shu'xue'yuan
西华大学应用技术学院,xi'hua'da'xue'ying'yong'ji'shu'xue'yuan
西华大学政治学院,xi'hua'da'xue'zheng'zhi'xue'yuan
