灞桥区,ba'qiao'qu
北大街,bei'da'jie
碑林区,bei'lin'qu
长安区,chang'an'qu
大庆路,da'qing'lu
大雁塔,da'yan'ta
大雁塔广场,da'yan'ta'guang'chang
东大街,dong'da'jie
阿房宫遗址,e'pang'gong'yi'zhi
翻译学院,fan'yi'xue'yuan
擀面皮,gan'mian'pi
高陵县,gao'ling'xian
航天基地,hang'tian'ji'di
胡辣汤,hu'la'tang
户县,hu'xian
华清池,hua'qing'chi
回坊,hui'fang
回民街,hui'min'jie
开元商城,kai'yuan'shang'cheng
蓝田县,lan'tian'xian
联合学院,lian'he'xue'yuan
莲湖路,lian'hu'lu
莲湖区,lian'hu'qu
临潼区,lin'tong'qu
泡馍,pao'mo
秦始皇兵马俑,qin'shi'huang'bing'ma'yong
赛博电脑城,sai'bo'dian'nao'cheng
赛格电脑城,sai'ge'dian'nao'cheng
赛格购物广场,sai'ge'gou'wu'guang'chang
臊子,sao'zi
臊子面,sao'zi'mian
世纪金花,shi'ji'jin'hua
外国语学院,wai'guo'yu'xue'yuan
未央区,wei'yang'qu
西安电子科技大学,xi'an'dian'zi'ke'ji'da'xue
西安翻译学院,xi'an'fan'yi'xue'yuan
西安火车站,xi'an'huo'che'zhan
西安交通大学,xi'an'jiao'tong'da'xue
西安联合学院,xi'an'lian'he'xue'yuan
西安外国语学院,xi'an'wai'guo'yu'xue'yuan
西北工业大学,xi'bei'gong'ye'da'xue
西华门,xi'hua'men
现磨豆浆,xian'mo'dou'jiang
小吃城,xiao'chi'cheng
小寨,xiao'zhai
新城区,xin'cheng'qu
阎良,yan'liang
阎良区,yan'liang'qu
雁塔区,yan'ta'qu
杨凌蘸水面,yang'ling'zhan'shui'mian
羊肉泡馍,yang'rou'pao'mo
颐高电脑城,yi'gao'dian'nao'cheng
蘸水面,zhan'shui'mian
钟楼,zhong'lou
周至县,zhou'zhi'xian
