爱过始知相忆深,ai'guo'shi'zhi'xiang'yi'shen
爱你情深莫问愁,ai'ni'qing'shen'mo'wen'chou
爱人有神通,ai'ren'you'shen'tong
爱我就别使诈,ai'wo'jiu'bie'shi'zha
暗影迷咒,an'ying'mi'zhou
霸君猎燕心,ba'jun'lie'yan'xin
白发郎君驯魔女,bai'fa'lang'jun'xun'mo'nv
百合赖上单飞侠,bai'he'lai'shang'dan'fei'xia
板斧武士,ban'fu'wu'shi
暴君求欢,bao'jun'qiu'huan
薄情阿哥,bo'qing'a'ge
超时空辣妹,chao'shi'kong'la'mei
赤日迷情,chi'ri'mi'qing
仇爱贝勒,chou'ai'bei'le
带刺蔷薇着了魔,dai'ci'qiang'wei'zhe'le'mo
当绿眸盯上公主,dang'lv'mou'ding'shang'gong'zhu
得宠情妇,de'chong'qing'fu
逗冤家,dou'yuan'jia
独自去偷欢,du'zi'qu'tou'huan
夺心恶徒,duo'xin'e'tu
翻墙小娇女,fan'qiang'xiao'jiao'nv
菲比寻常,fei'bi'xun'chang
凤囚凰,feng'qiu'huang
敢爱不敢当,gan'ai'bu'gan'dang
光明法术,guang'ming'fa'shu
寒山碧雪,han'shan'bi'xue
好色公主酷狼君,hao'se'gong'zhu'ku'lang'jun
皓月奇劫,hao'yue'qi'jie
黑暗法术,hei'an'fa'shu
红粉恶女,hong'fen'e'nv
灰姑娘不嫁王子,hui'gu'niang'bu'jia'wang'zi
火舞盛唐,huo'wu'sheng'tang
极恶皇后,ji'e'huang'hou
吉祥王爷,ji'xiang'wang'ye
进化水,jin'hua'shui
金屋藏妖,jin'wu'cang'yao
京华风云,jing'hua'feng'yun
旧恨变新欢,jiu'hen'bian'xin'huan
九曲乾坤环,jiu'qu'qian'kun'huan
聚散两依依,ju'san'liang'yi'yi
绝色情煞,jue'se'qing'sha
看得到爱不着,kan'de'dao'ai'bu'zhe
看谁敢娶我,kan'shui'gan'qu'wo
克星来报到,ke'xing'lai'bao'dao
空间包裹,kong'jian'bao'guo
来自远方的恋人,lai'zi'yuan'fang'de'lian'ren
恋人拍卖行,lian'ren'pai'mai'hang
恋人转校生,lian'ren'zhuan'xiao'sheng
龙本多情意千千,long'ben'duo'qing'yi'qian'qian
龙的新娘,long'de'xin'niang
鲁娘子,lu'niang'zi
梅贝儿,mei'bei'er
美人鱼不爱王子,mei'ren'yu'bu'ai'wang'zi
梦的衣裳,meng'de'yi'shang
梦里相思,meng'li'xiang'si
明猴,ming'hou
摩登小花神,mo'deng'xiao'hua'shen
魔鬼的芳邻,mo'gui'de'fang'lin
你敢不爱我,ni'gan'bu'ai'wo
念娇奴,nian'jiao'nu
琪逢敌手,qi'feng'di'shou
请郎上花轿,qing'lang'shang'hua'jiao
倾天魔舞,qing'tian'mo'wu
裙摆摇摇,qun'bai'yao'yao
燃烧吧火鸟,ran'shao'ba'huo'niao
热恋绯闻传不停,re'lian'fei'wen'chuan'bu'ting
人鱼羡仙,ren'yu'xian'xian
认贼作夫,ren'zei'zuo'fu
如意格格,ru'yi'ge'ge
撒野有理,sa'ye'you'li
色诱美男,se'you'mei'nan
上错花轿嫁对郎,shang'cuo'hua'jiao'jia'dui'lang
圣魔女,sheng'mo'nv
石来运转,shi'lai'yun'zhuan
侍寝夫君,shi'qin'fu'jun
四灵将,si'ling'jiang
碎心劫,sui'xin'jie
锁情环,suo'qing'huan
替身格格,ti'shen'ge'ge
天敌靠边闪,tian'di'kao'bian'shan
天下无妃,tian'xia'wu'fei
头号痞子,tou'hao'pi'zi
偷心没有问题,tou'xin'mei'you'wen'ti
屠龙新娘,tu'long'xin'niang
脱线侠女,tuo'xian'xia'nv
玩火美娇娘,wan'huo'mei'jiao'niang
为君痴,wei'jun'chi
文晚新,wen'wan'xin
问斜阳,wen'xie'yang
我爱逃妻,wo'ai'tao'qi
我的情敌不是人,wo'de'qing'di'bu'shi'ren
我和盘子的故事,wo'he'pan'zi'de'gu'shi
我是一片云,wo'shi'yi'pian'yun
无赖少君,wu'lai'shao'jun
五龙城,wu'long'cheng
乌龙女侠,wu'long'nv'xia
无影紫金刀,wu'ying'zi'jin'dao
习惯心痛,xi'guan'xin'tong
系统公告,xi'tong'gong'gao
相公你好神,xiang'gong'ni'hao'shen
相公你真爱说笑,xiang'gong'ni'zhen'ai'shuo'xiao
相公无才便是德,xiang'gong'wu'cai'bian'shi'de
降龙悍丫头,xiang'long'han'ya'tou
降魔天使,xiang'mo'tian'shi
相思已是不曾闲,xiang'si'yi'shi'bu'ceng'xian
小红帽不要王子,xiao'hong'mao'bu'yao'wang'zi
笑笑土豆,xiao'xiao'tu'dou
邪皇的娇妻,xie'huang'de'jiao'qi
新潮假凤戏狂龙,xin'chao'jia'feng'xi'kuang'long
玄幻学会,xuan'huan'xue'hui
雪风衣,xue'feng'yi
丫环笨笨,ya'huan'ben'ben
阎宫传奇,yan'gong'chuan'qi
艳面鬼器,yan'mian'gui'qi
阎王的爱妾,yan'wang'de'ai'qie
颜昭似云,yan'zhao'si'yun
胭脂醉,yan'zhi'zui
异界狂游记,yi'jie'kuang'you'ji
