哀而不伤,ai'er'bu'shang
哀公问,ai'gong'wen
哀公问社於宰我,ai'gong'wen'she'yu'zai'wo
哀公问於有若曰,ai'gong'wen'yu'you'ruo'yue
哀公闻曰,ai'gong'wen'yue
爱人,ai'ren
爱之,ai'zhi
爱之欲其生,ai'zhi'yu'qi'sheng
安见方六七十,an'jian'fang'liu'qi'shi
八佾第三,ba'yi'di'san
八佾舞於庭,ba'yi'wu'yu'ting
霸诸侯,ba'zhu'hou
拜而受之,bai'er'shou'zhi
百乘之家,bai'sheng'zhi'jia
拜下,bai'xia
百姓不足,bai'xing'bu'zu
百姓足,bai'xing'zu
邦君树塞门,bang'jun'shu'sai'men
邦君为两君,bang'jun'wei'liang'jun
邦无道,bang'wu'dao
邦有道,bang'you'dao
暴虎冯河,bao'hu'ping'he
卑宫室,bei'gong'shi
北京,bei'jing
奔而殿,ben'er'dian
本立而道生,ben'li'er'dao'sheng
必变色而作,bi'bian'se'er'zuo
必表而出之,bi'biao'er'chu'zhi
必不得已而,bi'bu'de'yi'er
必不得已而去,bi'bu'de'yi'er'qu
必朝服而朝,bi'chao'fu'er'chao
必畜之,bi'chu'zhi
必复命,bi'fu'ming
比及三年,bi'ji'san'nian
必齐如也,bi'qi'ru'ye
必杀之,bi'sha'zhi
裨谌草创之,bi'shen'cao'chuang'zhi
必世而後仁,bi'shi'er'hou'ren
必使反之,bi'shi'fan'zhi
必熟而荐之,bi'shu'er'jian'zhi
必闻其政,bi'wen'qi'zheng
必也,bi'ye
必也狂狷乎,bi'ye'kuang'juan'hu
必也临事而惧,bi'ye'lin'shi'er'ju
必也射乎,bi'ye'she'hu
必也圣乎,bi'ye'sheng'hu
必也正名乎,bi'ye'zheng'ming'hu
必以告新令尹,bi'yi'gao'xin'ling'yin
必有邻,bi'you'lin
必有明衣,bi'you'ming'yi
必有寝衣,bi'you'qin'yi
必有我师焉,bi'you'wo'shi'yan
必有言,bi'you'yan
必有勇,bi'you'yong
必有忠信如丘者焉,bi'you'zhong'xin'ru'qiu'zhe'yan
鄙哉,bi'zai
彼哉彼哉,bi'zai'bi'zai
必正立,bi'zheng'li
必正席先尝之,bi'zheng'xi'xian'chang'zhi
便便然,bian'bian'ran
笾豆之事,bian'dou'zhi'shi
辨惑,bian'huo
卞庄子之勇,bian'zhuang'zi'zhi'yong
宾不顾矣,bin'bu'gu'yi
宾退,bin'tui
屏气似不息者,bing'qi'si'bu'xi'zhe
病闻,bing'wen
伯寮其如命何,bo'liao'qi'ru'ming'he
伯牛有疾,bo'niu'you'ji
勃如战色,bo'ru'zhan'se
搏我以文,bo'wo'yi'wen
搏学而无所成名,bo'xue'er'wu'suo'cheng'ming
博学於文,bo'xue'yu'wen
伯夷,bo'yi
不,bu
布,bu
不拜,bu'bai
不保其往也,bu'bao'qi'wang'ye
不必,bu'bi
不必有德,bu'bi'you'de
不撤姜食,bu'che'jiang'shi
不成人之恶,bu'cheng'ren'zhi'e
不耻下,bu'chi'xia
不出三日,bu'chu'san'ri
不处也,bu'chu'ye
不达,bu'da
不得其酱不食,bu'de'qi'jiang'bu'shi
不得其死然,bu'de'qi'si'ran
不得中行而与之,bu'de'zhong'hang'er'yu'zhi
不多食,bu'duo'shi
不多也,bu'duo'ye
不贰,bu'er
不废,bu'fei
不悱不发,bu'fei'bu'fa
不愤不咎,bu'fen'bu'jiu
不敢不告也,bu'gan'bu'gao'ye
不敢尝,bu'gan'chang
不好犯上,bu'hao'fan'shang
不恒其德,bu'heng'qi'de
不患莫己知,bu'huan'mo'ji'zhi
不患人之不己之,bu'huan'ren'zhi'bu'ji'zhi
不患人之不己知,bu'huan'ren'zhi'bu'ji'zhi
不患无位,bu'huan'wu'wei
不几乎一言而丧邦乎,bu'ji'hu'yi'yan'er'sang'bang'hu
不几乎一言而兴邦乎,bu'ji'hu'yi'yan'er'xing'bang'hu
不及乱,bu'ji'luan
不疾言,bu'ji'yan
不践迹,bu'jian'ji
不敬,bu'jing
不可,bu'ke
不可不知也,bu'ke'bu'zhi'ye
不可得而闻,bu'ke'de'er'wen
不可而为之者与,bu'ke'er'wei'zhi'zhe'yu
不可弃也,bu'ke'qi'ye
不可使知之,bu'ke'shi'zhi'zhi
不可徒行也,bu'ke'tu'xing'ye
不可罔也,bu'ke'wang'ye
不可陷也,bu'ke'xian'ye
不可以不弘毅,bu'ke'yi'bu'hong'yi
不可以长处乐,bu'ke'yi'chang'chu'le
不可以为滕薛大夫,bu'ke'yi'wei'teng'xue'dai'fu
不可以语上也,bu'ke'yi'yu'shang'ye
不可以作巫医,bu'ke'yi'zuo'wu'yi
不可则止,bu'ke'ze'zhi
不令而行,bu'ling'er'xing
不谋其政,bu'mou'qi'zheng
不能,bu'neng
