阿嘎,a'ga
阿弓,a'gong
阿市,a'shi
安底,an'di
安谷,an'gu
安乐,an'le
暗流,an'liu
安龙县,an'long'xian
安洛,an'luo
安顺市,an'shun'shi
昂武,ang'wu
敖市,ao'shi
八堡,ba'bao
八步,ba'bu
八德,ba'de
八渡,ba'du
八弓,ba'gong
巴结,ba'jie
八开,ba'kai
坝赖,ba'lai
巴铃,ba'ling
坝芒,ba'mang
岜饶,ba'rao
坝羊,ba'yang
八寨,ba'zhai
坝寨,ba'zhai
白层,bai'ceng
百德,bai'de
白垛,bai'duo
白果,bai'guo
柏果镇,bai'guo'zhen
百花湖,bai'hua'hu
百口,bai'kou
百纳,bai'na
白泥,bai'ni
白沙,bai'sha
白市,bai'shi
白石岩,bai'shi'yan
白水,bai'shui
白碗窑,bai'wan'yao
百兴,bai'xing
白岩,bai'yan
百宜,bai'yi
白云,bai'yun
白云区,bai'yun'qu
板当,ban'dang
板底,ban'di
板贵,ban'gui
板桥,ban'qiao
邦洞,bang'dong
保华,bao'hua
保基,bao'ji
报京,bao'jing
保田,bao'tian
北盘江,bei'pan'jiang
坌处,ben'chu
本寨,ben'zhai
碧波,bi'bo
比德,bi'de
碧痕,bi'hen
毕节地区,bi'jie'di'qu
毕节市,bi'jie'shi
弼佑,bi'you
扁担山,bian'dan'shan
丙妹,bing'mei
补郎,bu'lang
蔡官,cai'guan
财神,cai'shen
仓更,cang'geng
沧江,cang'jiang
草海,cao'hai
册亨县,ce'heng'xian
岑巩县,cen'gong'xian
岑松,cen'song
层台,ceng'tai
茶店,cha'dian
岔河,cha'he
茶园,cha'yuan
长坝,chang'ba
长春堡,chang'chun'bao
长吉,chang'ji
长流,chang'liu
长青,chang'qing
长石,chang'shi
长顺县,chang'shun'xian
长田,chang'tian
车江,che'jiang
赤水市,chi'shui'shi
重安,chong'an
重新,chong'xin
重兴,chong'xing
崇义,chong'yi
从江县,cong'jiang'xian
翠里,cui'li
达帮,da'bang
打帮,da'bang
大厂,da'chang
达地,da'di
大地,da'di
大方,da'fang
大方县,da'fang'xian
大风洞,da'feng'dong
大观,da'guan
大关,da'guan
大河,da'he
大稼,da'jia
打尖,da'jian
大街,da'jie
大平,da'ping
大山,da'shan
大石,da'shi
大水,da'shui
大塘,da'tang
大田,da'tian
大同,da'tong
大屯,da'tun
大湾,da'wan
达溪,da'xi
大西桥,da'xi'qiao
达央,da'yang
达依,da'yi
打易,da'yi
大银,da'yin
大营,da'ying
大用,da'yong
大有,da'you
丹江,dan'jiang
丹寨县,dan'zhai'xian
党武,dang'wu
道真县,dao'zhen'xian
德凤,de'feng
德化,de'hua
德江县,de'jiang'xian
德顺,de'shun
德卧,de'wo
德卓,de'zhuo
地瓜,di'gua
地湖,di'hu
地坪,di'ping
丁旗,ding'qi
定威,ding'wei
顶效,ding'xiao
鼎新,ding'xin
定新,ding'xin
顶云,ding'yun
董地,dong'di
东风,dong'feng
东关,dong'guan
东朗,dong'lang
东屯,dong'tun
都格,dou'ge
斗古,dou'gu
陡箐,dou'jing
都拉,dou'la
斗里,dou'li
都坪,dou'ping
渡马,du'ma
笃山,du'shan
独山县,du'shan'xian
都匀市,du'yun'shi
断江,duan'jiang
断桥,duan'qiao
对坡,dui'po
敦寨,dun'zhai
朵卜陇,duo'bu'long
堕却,duo'que
二塘,er'tang
发耳,fa'er
发箐,fa'jing
方祥,fang'xiang
方召,fang'zhao
放珠,fang'zhu
凤城,feng'cheng
凤冈县,feng'gang'xian
冯三,feng'san
凤山,feng'shan
辅处,fu'chu
福泉市,fu'quan'shi
复兴,fu'xing
甘棠,gan'tang
甘溪,gan'xi
刚边,gang'bian
岗乌,gang'wu
高店,gao'dian
高峰,gao'feng
高棉,gao'mian
高酿,gao'niang
高坪,gao'ping
高坡,gao'po
高屯,gao'tun
高增,gao'zeng
高寨,gao'zhai
革东,ge'dong
革利,ge'li
戈塘,ge'tang
革一,ge'yi
谷堡,gu'bao
固本,gu'ben
古达,gu'da
谷硐,gu'dong
古基,gu'ji
姑开,gu'kai
谷里,gu'li
谷陇,gu'long
谷坪,gu'ping
古州,gu'zhou
贯洞,guan'dong
观风海,guan'feng'hai
关岭县,guan'ling'xian
观么,guan'me
关索,guan'suo
官田,guan'tian
官寨,guan'zhai
罐子窑,guan'zi'yao
光辉,guang'hui
光照,guang'zhao
贵定县,gui'ding'xian
桂果,gui'guo
桂花,gui'hua
滚马,gun'ma
果布嘎,guo'bu'ga
锅圈,guo'quan
果瓦,guo'wa
哈喇河,ha'la'he
海拉,hai'la
海子,hai'zi
海子街,hai'zi'jie
禾丰,he'feng
何官屯,he'guan'tun
河口,he'kou
核桃,he'tao
赫章县,he'zhang'xian
河镇,he'zhen
黑石头,hei'shi'tou
