八角井,ba'jiao'jing
百货大楼,bai'huo'da'lou
半边山村,ban'bian'shan'cun
宝鸡钢管厂,bao'ji'gang'guan'chang
宝莲酒厂,bao'lian'jiu'chang
宝莲酒业园,bao'lian'jiu'ye'yuan
宝台镇,bao'tai'zhen
保险公司,bao'xian'gong'si
滨河西路,bin'he'xi'lu
博雅园,bo'ya'yuan
苌弘广场,chang'hong'guang'chang
长寿村,chang'shou'cun
车城广场,che'cheng'guang'chang
车苑小区,che'yuan'xiao'qu
晨风大酒店,chen'feng'da'jiu'dian
城北市场,cheng'bei'shi'chang
大千药业,da'qian'yao'ye
大堰叉路口,da'yan'cha'lu'kou
电缆厂,dian'lan'chang
电信大楼,dian'xin'da'lou
东城大道一段,dong'cheng'da'dao'yi'duan
冻兔厂,dong'tu'chang
二分厂,er'fen'chang
二分厂宿舍,er'fen'chang'su'she
二桥招呼站,er'qiao'zhao'hu'zhan
甘家坪,gan'jia'ping
钢管厂家属宿舍,gang'guan'chang'jia'shu'su'she
高坳,gao'ao
拱城铺,gong'cheng'pu
公交总站,gong'jiao'zong'zhan
河堰嘴,he'yan'zui
洪大加油站,hong'da'jia'you'zhan
侯家坪,hou'jia'ping
侯家坪工业区,hou'jia'ping'gong'ye'qu
侯家坪工业区招呼站,hou'jia'ping'gong'ye'qu'zhao'hu'zhan
花瑞毛巾厂,hua'rui'mao'jin'chang
槐树村,huai'shu'cun
黄泥巴山,huang'ni'ba'shan
技校,ji'xiao
建东市场,jian'dong'shi'chang
交警大队,jiao'jing'da'dui
交警支队,jiao'jing'zhi'dui
教仪厂,jiao'yi'chang
教育园区,jiao'yu'yuan'qu
井下作业处,jing'xia'zuo'ye'chu
静苑小区,jing'yuan'xiao'qu
俱乐部,ju'le'bu
拉丝厂,la'si'chang
临江味业,lin'jiang'wei'ye
路中古树,lu'zhong'gu'shu
马鞍路口,ma'an'lu'kou
马站,ma'zhan
毛家堰,mao'jia'yan
南峻产业园,nan'jun'chan'ye'yuan
南门口,nan'men'kou
南市,nan'shi
排捞站,pai'lao'zhan
汽车客运中心,qi'che'ke'yun'zhong'xin
汽车配件中心,qi'che'pei'jian'zhong'xin
汽车总站,qi'che'zong'zhan
清泉,qing'quan
区医院,qu'yi'yuan
区运管所,qu'yun'guan'suo
区运管站,qu'yun'guan'zhan
区政府,qu'zheng'fu
仁德药业,ren'de'yao'ye
人民商场,ren'min'shang'chang
塞特化工,sai'te'hua'gong
三新桥,san'xin'qiao
上西街口,shang'xi'jie'kou
市财政局,shi'cai'zheng'ju
市地税局,shi'di'shui'ju
师范校,shi'fan'xiao
市房管局,shi'fang'guan'ju
市公安局,shi'gong'an'ju
市工商局,shi'gong'shang'ju
市国土局,shi'guo'tu'ju
石灰桥,shi'hui'qiao
世纪广场,shi'ji'guang'chang
市交通局,shi'jiao'tong'ju
市劳动局,shi'lao'dong'ju
市三医院,shi'san'yi'yuan
市医院,shi'yi'yuan
市政府,shi'zheng'fu
狮子山,shi'zi'shan
蜀亨大酒店,shu'heng'da'jiu'dian
书台路口,shu'tai'lu'kou
水工局,shui'gong'ju
水工设备库,shui'gong'she'bei'ku
水工医院,shui'gong'yi'yuan
四海公司,si'hai'gong'si
四槐巷,si'huai'xiang
四三一总厂,si'san'yi'zong'chang
送气站,song'qi'zhan
松涛客站,song'tao'ke'zhan
台阳路,tai'yang'lu
体肓广场,ti'huang'guang'chang
体育广场,ti'yu'guang'chang
天生花苑,tian'sheng'hua'yuan
天王水泥厂,tian'wang'shui'ni'chang
天宇市场,tian'yu'shi'chang
铁路涵洞口,tie'lu'han'dong'kou
铁路桥,tie'lu'qiao
沱江新城,tuo'jiang'xin'cheng
沱江一桥,tuo'jiang'yi'qiao
沱一桥,tuo'yi'qiao
王河堰,wang'he'yan
文明寺,wen'ming'si
文体中心,wen'ti'zhong'xin
西门口,xi'men'kou
西门市场,xi'men'shi'chang
下罗家坝,xia'luo'jia'ba
馨合家园,xin'he'jia'yuan
学苑路,xue'yuan'lu
雁江区法院,yan'jiang'qu'fa'yuan
医药公司,yi'yao'gong'si
赵家码头,zhao'jia'ma'tou
政府东路口,zheng'fu'dong'lu'kou
中罗家坝,zhong'luo'jia'ba
中医院,zhong'yi'yuan
周祠坝,zhou'ci'ba
资阳钢管厂,zi'yang'gang'guan'chang
资阳客运站,zi'yang'ke'yun'zhan
资阳卫校,zi'yang'wei'xiao
资阳中学,zi'yang'zhong'xue
