安居,an'ju
奥林匹克广场,ao'lin'pi'ke'guang'chang
八境路口,ba'jing'lu'kou
八三厂,ba'san'chang
八一厂,ba'yi'chang
八一四大道,ba'yi'si'da'dao
八一四大道全程,ba'yi'si'da'dao'quan'cheng
白塔,bai'ta
标准钟,biao'zhun'zhong
滨江大道,bin'jiang'da'dao
博德山庄,bo'de'shan'zhuang
财保公司,cai'bao'gong'si
长坑子路,chang'keng'zi'lu
车头村,che'tou'cun
储潭,chu'tan
大公路全程,da'gong'lu'quan'cheng
大公路一校,da'gong'lu'yi'xiao
大国光,da'guo'guang
党校,dang'xiao
东河车站,dong'he'che'zhan
东河大桥,dong'he'da'qiao
东河桥,dong'he'qiao
东郊路,dong'jiao'lu
东坑,dong'keng
东门市场,dong'men'shi'chang
东桥路,dong'qiao'lu
东胜山,dong'sheng'shan
东阳山,dong'yang'shan
东阳山市场,dong'yang'shan'shi'chang
东园,dong'yuan
二康庙,er'kang'miao
儿童医院,er'tong'yi'yuan
附属医院,fu'shu'yi'yuan
妇幼医院,fu'you'yi'yuan
赣二中,gan'er'zhong
赣江路,gan'jiang'lu
赣江纸厂,gan'jiang'zhi'chang
赣林大厦,gan'lin'da'xia
赣龙,gan'long
赣南宾馆,gan'nan'bin'guan
赣南饭店,gan'nan'fan'dian
赣南化工厂,gan'nan'hua'gong'chang
赣七中,gan'qi'zhong
赣三中,gan'san'zhong
赣四中,gan'si'zhong
赣县,gan'xian
赣县汽车站,gan'xian'qi'che'zhan
赣县玩具厂,gan'xian'wan'ju'chang
赣一中,gan'yi'zhong
赣州大桥,gan'zhou'da'qiao
赣州东站,gan'zhou'dong'zhan
赣州饭店,gan'zhou'fan'dian
赣州公园,gan'zhou'gong'yuan
赣州火车站,gan'zhou'huo'che'zhan
赣州酒厂,gan'zhou'jiu'chang
高楼,gao'lou
高新技术开发区,gao'xin'ji'shu'kai'fa'qu
公交公司,gong'jiao'gong'si
工商局,gong'shang'ju
钴冶炼厂,gu'ye'lian'chang
关刀坪,guan'dao'ping
官园里,guan'yuan'li
光彩,guang'cai
光彩大市场,guang'cai'da'shi'chang
国道,guo'dao
蛤湖,ha'hu
和乐,he'le
和平路,he'ping'lu
河头,he'tou
红环路,hong'huan'lu
红旗大道,hong'qi'da'dao
红旗大道东段,hong'qi'da'dao'dong'duan
红旗大道西段,hong'qi'da'dao'xi'duan
红旗二校,hong'qi'er'xiao
红旗水库,hong'qi'shui'ku
红十字会医院,hong'shi'zi'hui'yi'yuan
湖边市场,hu'bian'shi'chang
虎岗,hu'gang
华尔康大药房,hua'er'kang'da'yao'fang
华联,hua'lian
华钨,hua'wu
环城路,huan'cheng'lu
黄金大道,huang'jin'da'dao
黄金大道全程,huang'jin'da'dao'quan'cheng
黄金大桥,huang'jin'da'qiao
黄金开发区,huang'jin'kai'fa'qu
黄金水厂,huang'jin'shui'chang
黄垅隧道,huang'long'sui'dao
黄屋坪,huang'wu'ping
火车站,huo'che'zhan
吉埠,ji'bu
机场路口,ji'chang'lu'kou
建材大市场,jian'cai'da'shi'chang
检察局,jian'cha'ju
检察院,jian'cha'yuan
建国路,jian'guo'lu
建国路口,jian'guo'lu'kou
健康路,jian'kang'lu
健康路全程,jian'kang'lu'quan'cheng
交警大队,jiao'jing'da'dui
解放路,jie'fang'lu
金坪开发区,jin'ping'kai'fa'qu
金沙湾,jin'sha'wan
京九大道,jing'jiu'da'dao
康洋加油站,kang'yang'jia'you'zhan
濂溪路,lian'xi'lu
林科所,lin'ke'suo
林校,lin'xiao
林业大修厂,lin'ye'da'xiu'chang
岭头上,ling'tou'shang
龙埠,long'bu
龙都市场,long'du'shi'chang
螺田村,luo'tian'cun
马坳,ma'ao
马祖岩村,ma'zu'yan'cun
马祖岩小学,ma'zu'yan'xiao'xue
贸易广场,mao'yi'guang'chang
梅林,mei'lin
梅林大道,mei'lin'da'dao
木材厂,mu'cai'chang
南北大市场,nan'bei'da'shi'chang
南方广场,nan'fang'guang'chang
南方冶院,nan'fang'ye'yuan
南河大桥,nan'he'da'qiao
南河路,nan'he'lu
南河桥,nan'he'qiao
南京路,nan'jing'lu
南京路口,nan'jing'lu'kou
南门广场,nan'men'guang'chang
南门口,nan'men'kou
南市街,nan'shi'jie
南田,nan'tian
南田东坑,nan'tian'dong'keng
欧塘,ou'tang
蟠龙,pan'long
坪路村,ping'lu'cun
七里镇,qi'li'zhen
气压机厂,qi'ya'ji'chang
青年路,qing'nian'lu
