艾克制药,ai'ke'zhi'yao
安定医院,an'ding'yi'yuan
八地质队,ba'di'zhi'dui
八家村,ba'jia'cun
八一医院,ba'yi'yi'yuan
百合花园,bai'he'hua'yuan
百合花园东,bai'he'hua'yuan'dong
百柳购物广场,bai'liu'gou'wu'guang'chang
白水泥厂,bai'shui'ni'chang
保安汽修,bao'an'qi'xiu
宝山路,bao'shan'lu
宝山桥,bao'shan'qiao
北城宾馆,bei'cheng'bin'guan
北山根官仓沟,bei'shan'gen'guan'cang'gou
北台子,bei'tai'zi
北天加油站,bei'tian'jia'you'zhan
北天石油,bei'tian'shi'you
滨河市场,bin'he'shi'chang
博约学校,bo'yue'xue'xiao
彩虹桥,cai'hong'qiao
仓窖,cang'jiao
长青公园,chang'qing'gong'yuan
长青花园小区,chang'qing'hua'yuan'xiao'qu
炒米房,chao'mi'fang
车泊尔民俗园,che'bo'er'min'su'yuan
陈营子,chen'ying'zi
城郊乡医院,cheng'jiao'xiang'yi'yuan
城南村委会,cheng'nan'cun'wei'hui
城南立交桥,cheng'nan'li'jiao'qiao
承天商厦,cheng'tian'shang'sha
赤峰二院,chi'feng'er'yuan
赤峰二中,chi'feng'er'zhong
赤峰公共交通总公司,chi'feng'gong'gong'jiao'tong'zong'gong'si
赤峰华源,chi'feng'hua'yuan
赤峰交通稽查分局,chi'feng'jiao'tong'ji'cha'fen'ju
赤峰金店,chi'feng'jin'dian
赤峰美术职业学校,chi'feng'mei'shu'zhi'ye'xue'xiao
赤峰汽车站,chi'feng'qi'che'zhan
赤峰热电厂,chi'feng're'dian'chang
赤峰森警支队,chi'feng'sen'jing'zhi'dui
赤峰商厦,chi'feng'shang'sha
赤峰松山医院,chi'feng'song'shan'yi'yuan
赤峰特校,chi'feng'te'xiao
赤峰学院,chi'feng'xue'yuan
赤峰学院附中分校,chi'feng'xue'yuan'fu'zhong'fen'xiao
赤峰阳光驾校,chi'feng'yang'guang'jia'xiao
赤峰制药集团,chi'feng'zhi'yao'ji'tuan
赤峰纵横广告公司,chi'feng'zong'heng'guang'gao'gong'si
春城家园,chun'cheng'jia'yuan
大成医院,da'cheng'yi'yuan
大吉制药,da'ji'zhi'yao
打粱沟门,da'liang'gou'men
大漠绿都,da'mo'lv'du
大碾子,da'nian'zi
大栅栏北口,da'shi'lan'bei'kou
大栅栏南口,da'shi'lan'nan'kou
大乌珠穆沁,da'wu'zhu'mu'qin
大西牛村委会,da'xi'niu'cun'wei'hui
大西牛村一组,da'xi'niu'cun'yi'zu
大西牛东砖厂,da'xi'niu'dong'zhuan'chang
大西牛西砖厂,da'xi'niu'xi'zhuan'chang
大兴隆庄村,da'xing'long'zhuang'cun
当铺地村,dang'pu'di'cun
当铺地乡政府,dang'pu'di'xiang'zheng'fu
当铺地中学,dang'pu'di'zhong'xue
党校,dang'xiao
德农种业公司,de'nong'zhong'ye'gong'si
德润公馆,de'run'gong'guan
第二医院,di'er'yi'yuan
第三医院,di'san'yi'yuan
第十七小学,di'shi'qi'xiao'xue
第四监狱,di'si'jian'yu
第四医院,di'si'yi'yuan
地质二中,di'zhi'er'zhong
东安小区,dong'an'xiao'qu
东八家大桥,dong'ba'jia'da'qiao
东城粮食储备库,dong'cheng'liang'shi'chu'bei'ku
东风专卖店,dong'feng'zhuan'mai'dian
东郊七组,dong'jiao'qi'zu
东南营子村,dong'nan'ying'zi'cun
恩志物流,en'zhi'wu'liu
二道街东口,er'dao'jie'dong'kou
二道井子村庄村委会,er'dao'jing'zi'cun'zhuang'cun'wei'hui
二二,er'er
二毛三生活区,er'mao'san'sheng'huo'qu
二四三医院,er'si'san'yi'yuan
二院,er'yuan
二中,er'zhong
飞机场,fei'ji'chang
富龙燃气,fu'long'ran'qi
钢材市场,gang'cai'shi'chang
钢铁厂,gang'tie'chang
公交场站,gong'jiao'chang'zhan
公交小区,gong'jiao'xiao'qu
关家营,guan'jia'ying
广慈医院,guang'ci'yi'yuan
果菜粮批发市场,guo'cai'liang'pi'fa'shi'chang
国际会展中心,guo'ji'hui'zhan'zhong'xin
国家森林公园管理处,guo'jia'sen'lin'gong'yuan'guan'li'chu
郭家营子,guo'jia'ying'zi
哈达和硕,ha'da'he'shuo
海贝尔,hai'bei'er
海贝尔南门,hai'bei'er'nan'men
海贝尔游乐城,hai'bei'er'you'le'cheng
海达电器,hai'da'dian'qi
昊翔物流,hao'xiang'wu'liu
恒力检测公司,heng'li'jian'ce'gong'si
恒通酒家,heng'tong'jiu'jia
红成建材批发市场,hong'cheng'jian'cai'pi'fa'shi'chang
红城新世界,hong'cheng'xin'shi'jie
红庙子道班,hong'miao'zi'dao'ban
红庙子地区医院,hong'miao'zi'di'qu'yi'yuan
红庙子公交场,hong'miao'zi'gong'jiao'chang
红庙子公交场站,hong'miao'zi'gong'jiao'chang'zhan
红庙子镇政府,hong'miao'zi'zhen'zheng'fu
