安全尺,an'quan'chi
变频,bian'pin
操纵室,cao'zong'shi
车轮,che'lun
大车运行机构,da'che'yun'xing'ji'gou
单轨吊,dan'gui'diao
单梁,dan'liang
单速,dan'su
电动单梁起重机,dian'dong'dan'liang'qi'zhong'ji
电动单梁悬挂起重机,dian'dong'dan'liang'xuan'gua'qi'zhong'ji
电动葫芦,dian'dong'hu'lu
电动葫芦门式起重机,dian'dong'hu'lu'men'shi'qi'zhong'ji
电动葫芦桥式起重机,dian'dong'hu'lu'qiao'shi'qi'zhong'ji
电动机,dian'dong'ji
吨位牌,dun'wei'pai
副钩,fu'gou
刚性支腿,gang'xing'zhi'tui
横梁,heng'liang
环链葫芦,huan'lian'hu'lu
夹轨器,jia'gui'qi
减速机,jian'su'ji
卷筒,juan'tong
联轴器,lian'zhou'qi
龙门吊,long'men'diao
门吊,men'diao
铭牌,ming'pai
起升机构,qi'sheng'ji'gou
柔性支腿,rou'xing'zhi'tui
上横梁,shang'heng'liang
双速,shuang'su
台车,tai'che
通用门式起重机,tong'yong'men'shi'qi'zhong'ji
通用桥式起重机,tong'yong'qiao'shi'qi'zhong'ji
下横梁,xia'heng'liang
箱型粱,xiang'xing'liang
小车,xiao'che
小车架,xiao'che'jia
冶金起重机,ye'jin'qi'zhong'ji
运行机构,yun'xing'ji'gou
制动器,zhi'dong'qi
支腿,zhi'tui
主钩,zhu'gou
主梁,zhu'liang
柱式悬臂起重机,zhu'shi'xuan'bi'qi'zhong'ji
