阿保机创建,a'bao'ji'chuang'jian
白龙堆沙漠,bai'long'dui'sha'mo
半个世纪,ban'ge'shi'ji
北至克鲁伦河,bei'zhi'ke'lu'lun'he
渤海国,bo'hai'guo
采取奴隶制的,cai'qu'nu'li'zhi'de
才有一个,cai'you'yi'ge
澶渊之盟,chan'yuan'zhi'meng
此后不再有,ci'hou'bu'zai'you
此后继续,ci'hou'ji'xu
大的战事,da'de'zhan'shi
带兵南侵,dai'bing'nan'qin
到兴宗,dao'xing'zong
道宗,dao'zong
道宗时期,dao'zong'shi'qi
的发展经过,de'fa'zhan'jing'guo
的结果,de'jie'guo
的起义,de'qi'yi
的全盛时期,de'quan'sheng'shi'qi
的统治,de'tong'zhi
的统治地位,de'tong'zhi'di'wei
等技术都,deng'ji'shu'dou
等九代,deng'jiu'dai
东北迄,dong'bei'qi
东临北海,dong'lin'bei'hai
东灭,dong'mie
对中原制度,dui'zhong'yuan'zhi'du
多方面削弱奴隶制,duo'fang'mian'xue'ruo'nu'li'zhi
鄂尔昆河,e'er'kun'he
反抗辽朝,fan'kang'liao'chao
封建化改革,feng'jian'hua'gai'ge
妇产医科,fu'chan'yi'ke
甘肃北界,gan'su'bei'jie
甘州回鹘,gan'zhou'hui'hu
各族人民,ge'zu'ren'min
国力主要,guo'li'zhu'yao
汉制,han'zhi
河北白沟河,he'bei'bai'gou'he
很快取代了,hen'kuai'qu'dai'le
皇室内部,huang'shi'nei'bu
几个不同的阶段,ji'ge'bu'tong'de'jie'duan
及今,ji'jin
建立后,jian'li'hou
建立军队,jian'li'jun'dui
较大的发展,jiao'da'de'fa'zhan
较为缓慢,jiao'wei'huan'man
接连打败辽王朝,jie'lian'da'bai'liao'wang'chao
今阿尔泰山,jin'a'er'tai'shan
今新疆,jin'xin'jiang
进一步吸收,jin'yi'bu'xi'shou
金政权,jin'zheng'quan
经过世宗,jing'guo'shi'zong
经济发展,jing'ji'fa'zhan
景宗,jing'zong
具有较高水平,ju'you'jiao'gao'shui'ping
历太祖,li'tai'zu
连绵不断,lian'mian'bu'duan
两国各守旧界,liang'guo'ge'shou'jiu'jie
辽朝得,liao'chao'de
辽朝的经济,liao'chao'de'jing'ji
辽代社会经济,liao'dai'she'hui'jing'ji
辽国的,liao'guo'de
辽亡,liao'wang
辽王朝,liao'wang'chao
辽与北宋对峙,liao'yu'bei'song'dui'zhi
辽在东北,liao'zai'dong'bei
掠夺式经济,lue'duo'shi'jing'ji
穆宗,mu'zong
南接山西北部,nan'jie'shan'xi'bei'bu
南占,nan'zhan
年圣宗继位,nian'sheng'zong'ji'wei
年天祚帝,nian'tian'zuo'di
年为金所灭,nian'wei'jin'suo'mie
奴隶制国家,nu'li'zhi'guo'jia
其间他,qi'jian'ta
其疆域,qi'jiang'yu
其针灸,qi'zhen'jiu
前期由于,qian'qi'you'yu
切脉诊法,qie'mai'zhen'fa
确定皇权世袭,que'ding'huang'quan'shi'xi
确立封建制,que'li'feng'jian'zhi
日见衰败,ri'jian'shuai'bai
色楞格河流域,se'leng'ge'he'liu'yu
圣宗,sheng'zong
圣宗在位,sheng'zong'zai'wei
是辽朝,shi'liao'chao
使辽初,shi'liao'chu
尸体防腐,shi'ti'fang'fu
是统治,shi'tong'zhi
实行一系列改革,shi'xing'yi'xi'lie'gai'ge
始于太祖,shi'yu'tai'zu
太宗死后,tai'zong'si'hou
太宗统治时期,tai'zong'tong'zhi'shi'qi
逃往西夏途中,tao'wang'xi'xia'tu'zhong
天祚帝,tian'zuo'di
外兴安岭南麓,wai'xing'an'ling'nan'lu
为金兵追获,wei'jin'bing'zhui'huo
西打倒,xi'da'dao
西至金山,xi'zhi'jin'shan
向外扩张,xiang'wai'kuo'zhang
兴宗,xing'zong
修建都城,xiu'jian'du'cheng
燕云十六州,yan'yun'shi'liu'zhou
燕云十六州后,yan'yun'shi'liu'zhou'hou
也很显著,ye'hen'xian'zhu
耶律阿保机,ye'lv'a'bao'ji
耶律延禧,ye'lv'yan'xi
一个王朝,yi'ge'wang'chao
医学成就,yi'xue'cheng'jiu
一再发生,yi'zai'fa'sheng
用于向外扩张,yong'yu'xiang'wai'kuo'zhang
与宋订立,yu'song'ding'li
在太祖,zai'tai'zu
这无疑是,zhe'wu'yi'shi
政变频繁,zheng'bian'pin'fan
争夺皇权战争,zheng'duo'huang'quan'zhan'zheng
直到辽圣宗时期,zhi'dao'liao'sheng'zong'shi'qi
制定法律,zhi'ding'fa'lv
制造文字,zhi'zao'wen'zi
中国北部的,zhong'guo'bei'bu'de
终于天祚帝,zhong'yu'tian'zuo'di
逐渐完备,zhu'jian'wan'bei
