背负青天而莫之夭阏者,bei'fu'qing'tian'er'mo'zhi'yao'yan'zhe
北冥有鱼,bei'ming'you'yu
不知其几千里也,bu'zhi'qi'ji'qian'li'ye
尘埃也,chen'ai'ye
而后乃今将图南,er'hou'nai'jin'jiang'tu'nan
而后乃今培风,er'hou'nai'jin'pei'feng
风之积也不厚,feng'zhi'ji'ye'bu'hou
覆杯水于坳堂之上,fu'bei'shui'yu'ao'tang'zhi'shang
腹犹果然,fu'you'guo'ran
故九万里则风斯在下矣,gu'jiu'wan'li'ze'feng'si'zai'xia'yi
海运则将徙于南冥,hai'yun'ze'jiang'xi'yu'nan'ming
化而为鸟,hua'er'wei'niao
鲲之大,kun'zhi'da
南冥者,nan'ming'zhe
怒而飞,nu'er'fei
鹏之背,peng'zhi'bei
鹏之徙于南冥也,peng'zhi'xi'yu'nan'ming'ye
其名为鲲,qi'ming'wei'kun
其名为鹏,qi'ming'wei'peng
其视下也,qi'shi'xia'ye
齐谐,qi'xie
其翼若垂天之云,qi'yi'ruo'chui'tian'zhi'yun
其远而无所至极邪,qi'yuan'er'wu'suo'zhi'ji'xie
其正色邪,qi'zheng'se'xie
抢榆枋而止,qiang'yu'fang'er'zhi
且夫水之积也不厚,qie'fu'shui'zhi'ji'ye'bu'hou
去以六月息者也,qu'yi'liu'yue'xi'zhe'ye
三餐而反,san'can'er'fan
三月聚粮,san'yue'ju'liang
生物之以息相吹也,sheng'wu'zhi'yi'xi'xiang'chui'ye
适百里者,shi'bai'li'zhe
适莽苍者,shi'mang'cang'zhe
是鸟也,shi'niao'ye
适千里者,shi'qian'li'zhe
时则不至而控于地而已矣,shi'ze'bu'zhi'er'kong'yu'di'er'yi'yi
水击三千里,shui'ji'san'qian'li
水浅而舟大也,shui'qian'er'zhou'da'ye
宿舂粮,su'chong'liang
天池也,tian'chi'ye
天之苍苍,tian'zhi'cang'cang
蜩与学鸠笑之曰,tiao'yu'xue'jiu'xiao'zhi'yue
抟扶摇而上者九万里,tuan'fu'yao'er'shang'zhe'jiu'wan'li
我决起而飞,wo'jue'qi'er'fei
奚以之九万里而南为,xi'yi'zhi'jiu'wan'li'er'nan'wei
野马也,ye'ma'ye
亦若是则已矣,yi'ruo'shi'ze'yi'yi
则芥为之舟,ze'jie'wei'zhi'zhou
则其负大翼也无力,ze'qi'fu'da'yi'ye'wu'li
则其负大舟也无力,ze'qi'fu'da'zhou'ye'wu'li
置杯焉则胶,zhi'bei'yan'ze'jiao
之二虫又何知,zhi'er'chong'you'he'zhi
志怪者也,zhi'guai'zhe'ye
之言曰,zhi'yan'yue
