安康路,an'kang'lu
安乐,an'le
安乐洞,an'le'dong
敖山,ao'shan
巴福镇,ba'fu'zhen
坝沟,ba'gou
八角,ba'jiao
巴教村,ba'jiao'cun
八角山,ba'jiao'shan
芭蕉湾,ba'jiao'wan
芭蕉院,ba'jiao'yuan
巴南区,ba'nan'qu
八桥,ba'qiao
八桥镇,ba'qiao'zhen
巴县衙门,ba'xian'ya'men
八一,ba'yi
八一路,ba'yi'lu
坝子,ba'zi
八字桥村,ba'zi'qiao'cun
八字岩,ba'zi'yan
百步梯,bai'bu'ti
白房,bai'fang
白公馆,bai'gong'guan
白果,bai'guo
白鹤,bai'he
白鹤坝,bai'he'ba
白鹤村,bai'he'cun
白鹤岭,bai'he'ling
柏桦,bai'hua
白花,bai'hua
百花村,bai'hua'cun
白居寺,bai'ju'si
白腊,bai'la
白林村,bai'lin'cun
白龙池,bai'long'chi
白龙湖,bai'long'hu
白鹭,bai'lu
白马,bai'ma
白马凼,bai'ma'dang
白庙,bai'miao
白桥,bai'qiao
白沙,bai'sha
白沙沱,bai'sha'tuo
白市驿镇,bai'shi'yi'zhen
柏树,bai'shu
白寺,bai'si
白塔,bai'ta
白亭,bai'ting
柏溪,bai'xi
白象街,bai'xiang'jie
柏杨,bai'yang
白阳,bai'yang
柏杨湾,bai'yang'wan
白云山,bai'yun'shan
百子巷,bai'zi'xiang
半边月,ban'bian'yue
板沟,ban'gou
板栗,ban'li
板辽,ban'liao
板桥,ban'qiao
半山村,ban'shan'cun
搬运村,ban'yun'cun
榜上,bang'shang
保定门,bao'ding'men
报恩巷,bao'en'xiang
宝洪,bao'hong
宝华,bao'hua
保龙村,bao'long'cun
宝善巷,bao'shan'xiang
宝圣东路,bao'sheng'dong'lu
宝圣南路,bao'sheng'nan'lu
保胜寺,bao'sheng'si
宝圣西路,bao'sheng'xi'lu
堡堂,bao'tang
宝桐路,bao'tong'lu
北斗,bei'dou
碑沟,bei'gou
北极,bei'ji
北门,bei'men
北门村,bei'men'cun
碚青公路,bei'qing'gong'lu
北区路,bei'qu'lu
北泉,bei'quan
碑亭,bei'ting
碑湾,bei'wan
碚峡路,bei'xia'lu
奔月路,ben'yue'lu
壁山,bi'shan
璧山县,bi'shan'xian
扁洞山,bian'dong'shan
滨河路,bin'he'lu
滨江,bin'jiang
冰风,bing'feng
柏林,bo'lin
蔡家,cai'jia
蔡家街,cai'jia'jie
菜市场,cai'shi'chang
菜市街,cai'shi'jie
菜塆,cai'wan
菜园坝街道,cai'yuan'ba'jie'dao
菜袁路,cai'yuan'lu
菜子,cai'zi
仓坝子,cang'ba'zi
沧白路,cang'bai'lu
草坝,cao'ba
曹家巷,cao'jia'xiang
草坪,cao'ping
插旗,cha'qi
茶树,cha'shu
茶亭村,cha'ting'cun
茶元,cha'yuan
茶园,cha'yuan
柴湾,chai'wan
长安,chang'an
长沟,chang'gou
长河,chang'he
长江滨江路,chang'jiang'bin'jiang'lu
长江二路尾段,chang'jiang'er'lu'wei'duan
长江二路一巷,chang'jiang'er'lu'yi'xiang
长江二路中段,chang'jiang'er'lu'zhong'duan
长江新村,chang'jiang'xin'cun
长江一路,chang'jiang'yi'lu
场口,chang'kou
长岭,chang'ling
长岭岗,chang'ling'gang
长龙,chang'long
昌楼,chang'lou
长坡,chang'po
长丘,chang'qiu
长石,chang'shi
长石坝,chang'shi'ba
长寿区,chang'shou'qu
长滩,chang'tan
长田,chang'tian
长王间,chang'wang'jian
长兴,chang'xing
长堰,chang'yan
长征,chang'zheng
长征一村,chang'zheng'yi'cun
朝东路,chao'dong'lu
朝千路,chao'qian'lu
朝天门街道兴隆巷,chao'tian'men'jie'dao'xing'long'xiang
潮音寺,chao'yin'si
车家坪,che'jia'ping
陈电路,chen'dian'lu
陈东路,chen'dong'lu
陈家坝,chen'jia'ba
陈家桥村,chen'jia'qiao'cun
陈家桥镇,chen'jia'qiao'zhen
陈家湾,chen'jia'wan
陈青路,chen'qing'lu
城北新区,cheng'bei'xin'qu
成德里,cheng'de'li
撑花街,cheng'hua'jie
澄江,cheng'jiang
城口县,cheng'kou'xian
重光村,chong'guang'cun
冲口,chong'kou
重庆村,chong'qing'cun
重庆村老街,chong'qing'cun'lao'jie
重庆发电厂,chong'qing'fa'dian'chang
崇文路,chong'wen'lu
崇兴,chong'xing
储奇门行街,chu'qi'men'xing'jie
川道拐街,chuan'dao'guai'jie
川塘,chuan'tang
川外,chuan'wai
川心,chuan'xin
春晖,chun'hui
春晖路街道,chun'hui'lu'jie'dao
春柳,chun'liu
春森路,chun'sen'lu
纯阳洞,chun'yang'dong
茨沟,ci'gou
磁南街,ci'nan'jie
磁器街,ci'qi'jie
磁器口街道,ci'qi'kou'jie'dao
磁器口正街,ci'qi'kou'zheng'jie
祠堂坡,ci'tang'po
慈云,ci'yun
茨竹,ci'zhu
丛林,cong'lin
丛岩寺,cong'yan'si
翠湖路,cui'hu'lu
翠华,cui'hua
翠渝路,cui'yu'lu
翠园创新村,cui'yuan'chuang'xin'cun
翠园村,cui'yuan'cun
寸滩,cun'tan
大坝,da'ba
大碑,da'bei
大漕,da'cao
大厂,da'chang
大地,da'di
大渡村,da'du'cun
大渡口区,da'du'kou'qu
大房,da'fang
大佛寺,da'fo'si
大公馆,da'gong'guan
大沟,da'gou
大河村,da'he'cun
大河沟,da'he'gou
大黄路,da'huang'lu
大井,da'jing
大井巷,da'jing'xiang
大矿,da'kuang
大梁,da'liang
大林,da'lin
大岭,da'ling
大龙,da'long
大路,da'lu
打锣巷,da'luo'xiang
大面,da'mian
大面坡,da'mian'po
大坪,da'ping
大坪村,da'ping'cun
大坪街道,da'ping'jie'dao
大坪正街,da'ping'zheng'jie
大坪正街北,da'ping'zheng'jie'bei
大坪正街南,da'ping'zheng'jie'nan
大坪支路,da'ping'zhi'lu
大坡村,da'po'cun
大桥村,da'qiao'cun
大庆,da'qing
大盛,da'sheng
大石,da'shi
大石坝,da'shi'ba
大石堡,da'shi'bao
大石村,da'shi'cun
大树,da'shu
大水,da'shui
大水沟村,da'shui'gou'cun
大塘,da'tang
大田,da'tian
大田坝,da'tian'ba
大田保村,da'tian'bao'cun
大天池,da'tian'chi
大同,da'tong
大同村,da'tong'cun
打铜街,da'tong'jie
大同路,da'tong'lu
大同巷,da'tong'xiang
大土,da'tu
大沱口东阳,da'tuo'kou'dong'yang
大塆镇,da'wan'zhen
大屋,da'wu
大溪村,da'xi'cun
大溪沟,da'xi'gou
大溪沟街道,da'xi'gou'jie'dao
大新,da'xin
大兴,da'xing
大兴正街,da'xing'zheng'jie
大堰,da'yan
大岩,da'yan
大盐,da'yan
大堰村,da'yan'cun
大堰二村,da'yan'er'cun
大岩口,da'yan'kou
大堰三村,da'yan'san'cun
大堰一村,da'yan'yi'cun
大云,da'yun
大竹林镇,da'zhu'lin'zhen
大足县,da'zu'xian
代家,dai'jia
代家巷,dai'jia'xiang
戴家巷,dai'jia'xiang
胆沟,dan'gou
丹桂,dan'gui
丹鹤,dan'he
单巷子,dan'xiang'zi
弹新街,dan'xin'jie
当坝,dang'ba
道冠井,dao'guan'jing
道门口,dao'men'kou
德龙,de'long
德兴里,de'xing'li
邓家,deng'jia
灯塔,deng'ta
灯塔街,deng'ta'jie
滴水岩,di'shui'yan
电表厂,dian'biao'chang
电测,dian'ce
点灯,dian'deng
垫江县,dian'jiang'xian
电力二村,dian'li'er'cun
电力六村,dian'li'liu'cun
电力三村,dian'li'san'cun
电力四村,dian'li'si'cun
电力五村,dian'li'wu'cun
电力一村,dian'li'yi'cun
电视塔村,dian'shi'ta'cun
电业村,dian'ye'cun
刁家巷,diao'jia'xiang
钓鱼嘴,diao'yu'zui
东方家园,dong'fang'jia'yuan
东风村二段,dong'feng'cun'er'duan
东风村一段,dong'feng'cun'yi'duan
东河,dong'he
东华观,dong'hua'guan
董家溪,dong'jia'xi
东角,dong'jiao
东井,dong'jing
洞坎,dong'kan
洞口,dong'kou
动力村,dong'li'cun
东林,dong'lin
东林寺,dong'lin'si
东林一村,dong'lin'yi'cun
东山,dong'shan
东山坪,dong'shan'ping
东升,dong'sheng
东水门,dong'shui'men
洞湾,dong'wan
东岳,dong'yue
东正街,dong'zheng'jie
陡石,dou'shi
陡石塔,dou'shi'ta
斗水,dou'shui
陡梯,dou'ti
陡溪,dou'xi
兜子背,dou'zi'bei
杜家,du'jia
都市花园,du'shi'hua'yuan
对山,dui'shan
敦厚街,dun'hou'jie
堕井,duo'jing
鹅公岩,e'gong'yan
鹅岭公园,e'ling'gong'yuan
鹅岭正街,e'ling'zheng'jie
二府衙,er'fu'ya
二汇,er'hui
儿科医院,er'ke'yi'yuan
