啊公平,a'gong'ping
啊公司,a'gong'si
阿卡迪亚,a'ka'di'ya
阿里与艾德,a'li'yu'ai'de
阿蓬江,a'peng'jiang
阿兴记,a'xing'ji
阿依河,a'yi'he
挨打像,ai'da'xiang
挨到,ai'dao
挨到挨到,ai'dao'ai'dao
挨到的,ai'dao'de
挨到你,ai'dao'ni
挨到起,ai'dao'qi
挨到我,ai'dao'wo
爱都会,ai'dou'hui
艾坪山,ai'ping'shan
爱情天梯,ai'qing'tian'ti
哎撒子,ai'sa'zi
哎啥子,ai'sha'zi
哎呀嘛,ai'ya'ma
哎呀迈,ai'ya'mai
哎呀没,ai'ya'mei
哎一,ai'yi
按不起,an'bu'qi
暗点,an'dian
暗点儿,an'dian'er
暗点来,an'dian'lai
暗点聊,an'dian'liao
暗点去,an'dian'qu
暗点说,an'dian'shuo
安家咀,an'jia'ju
安监办,an'jian'ban
按揭房,an'jie'fang
安乐堂,an'le'tang
安逸,an'yi
安逸啊,an'yi'a
安逸安逸,an'yi'an'yi
安逸惨,an'yi'can
安逸惨了,an'yi'can'le
安逸得很,an'yi'de'hen
安逸个,an'yi'ge
安逸个屁,an'yi'ge'pi
安逸哈,an'yi'ha
安逸啦,an'yi'la
安逸老,an'yi'lao
安逸了,an'yi'le
安逸了撒,an'yi'le'sa
安逸嘛,an'yi'ma
安逸你,an'yi'ni
安逸哦,an'yi'o
安逸怕,an'yi'pa
安逸撒,an'yi'sa
安逸撒子,an'yi'sa'zi
安逸塞,an'yi'sai
安逸啥,an'yi'sha
安逸啥子,an'yi'sha'zi
安逸晒,an'yi'shai
安逸我,an'yi'wo
安逸些,an'yi'xie
安逸呀,an'yi'ya
安逸也,an'yi'ye
安逸哟,an'yi'yo
安逸这,an'yi'zhe
安装不起,an'zhuang'bu'qi
熬更守夜,ao'geng'shou'ye
奥林匹克花园,ao'lin'pi'ke'hua'yuan
澳维,ao'wei
奥园康城,ao'yuan'kang'cheng
坝坝,ba'ba
坝坝舞,ba'ba'wu
巴巴掌,ba'ba'zhang
巴壁,ba'bi
巴比亚,ba'bi'ya
把别个,ba'bie'ge
巴滨路,ba'bin'lu
巴川,ba'chuan
巴川镇,ba'chuan'zhen
巴川中学,ba'chuan'zhong'xue
巴到,ba'dao
巴倒烫,ba'dao'tang
巴菲,ba'fei
芭菲盛宴,ba'fei'sheng'yan
巴福,ba'fu
把个人,ba'ge'ren
八公里,ba'gong'li
巴国城,ba'guo'cheng
耙和,ba'he
巴将军,ba'jiang'jun
八教,ba'jiao
八角井,ba'jiao'jing
巴伦支,ba'lun'zhi
巴南,ba'nan
巴南区,ba'nan'qu
耙牛肉,ba'niu'rou
八桥镇,ba'qiao'zhen
巴山,ba'shan
巴山夜雨,ba'shan'ye'yu
八十中,ba'shi'zhong
巴蜀,ba'shu
巴蜀城,ba'shu'cheng
巴蜀的,ba'shu'de
巴蜀小学,ba'shu'xiao'xue
巴蜀中学,ba'shu'zhong'xue
把娃儿,ba'wa'er
霸王假,ba'wang'jia
霸王兔,ba'wang'tu
巴味堂,ba'wei'tang
把我笑惨了,ba'wo'xiao'can'le
巴县中学,ba'xian'zhong'xue
巴心巴肠,ba'xin'ba'chang
把心不得,ba'xin'bu'de
巴渝世家,ba'yu'shi'jia
巴岳山,ba'yue'shan
百安坝,bai'an'ba
摆摆,bai'bai
拜拜车,bai'bai'che
摆别,bai'bie
百步梯,bai'bu'ti
白帝城,bai'di'cheng
白糕,bai'gao
白个,bai'ge
白公馆,bai'gong'guan
白鹤梁,bai'he'liang
白鹤路,bai'he'lu
百合园,bai'he'yuan
百节,bai'jie
白砍鸡,bai'kan'ji
百康年,bai'kang'nian
摆龙门,bai'long'men
摆龙门阵,bai'long'men'zhen
白马凼,bai'ma'dang
摆起,bai'qi
白沙镇,bai'sha'zhen
百事达,bai'shi'da
白市驿,bai'shi'yi
白市驿镇,bai'shi'yi'zhen
摆手舞,bai'shou'wu
摆谈,bai'tan
白象街,bai'xiang'jie
白岩路,bai'yan'lu
白纸八只,bai'zhi'ba'zhi
白之之,bai'zhi'zhi
白字八字,bai'zi'ba'zi
板板车,ban'ban'che
半更,ban'geng
半灌水,ban'guan'shui
版画院,ban'hua'yuan
板栗鸡,ban'li'ji
半期,ban'qi
半期考试,ban'qi'kao'shi
搬起走,ban'qi'zou
班帅,ban'shuai
办席,ban'xi
办也,ban'ye
办哟,ban'yo
半月楼,ban'yue'lou
棒棒军,bang'bang'jun
帮哈,bang'ha
帮我看哈,bang'wo'kan'ha
帮我问哈,bang'wo'wen'ha
宝宝霜,bao'bao'shuang
保存起,bao'cun'qi
抱到起,bao'dao'qi
抱到睡,bao'dao'shui
抱到我,bao'dao'wo
报的到,bao'de'dao
宝得很,bao'de'hen
包谷,bao'gu
包谷猪,bao'gu'zhu
包家,bao'jia
保洁部,bao'jie'bu
报了的,bao'le'de
保利万和,bao'li'wan'he
保利香槟,bao'li'xiang'bin
保利香雪,bao'li'xiang'xue
包鸾,bao'luan
宝麻批,bao'ma'pi
报媒,bao'mei
宝批龙,bao'pi'long
宝批农,bao'pi'nong
宝器,bao'qi
宝圣,bao'sheng
宝圣大道,bao'sheng'da'dao
宝圣湖,bao'sheng'hu
包耍,bao'shua
保税港,bao'shui'gang
保税港区,bao'shui'gang'qu
宝塔坪,bao'ta'ping
宝桐路,bao'tong'lu
抱娃儿,bao'wa'er
宝驯,bao'xun
刨猪汤,bao'zhu'tang
北岸星座,bei'an'xing'zuo
北碚,bei'bei
北碚的,bei'bei'de
北碚了,bei'bei'le
北碚区,bei'bei'qu
北滨路,bei'bin'lu
背不到,bei'bu'dao
北部新区,bei'bu'xin'qu
北城,bei'cheng
北城天街,bei'cheng'tian'jie
北城调节,bei'cheng'tiao'jie
北城旺角,bei'cheng'wang'jiao
背到了,bei'dao'le
背到我,bei'dao'wo
背的到,bei'de'dao
贝迪颐园,bei'di'yi'yuan
北渡鱼,bei'du'yu
北固门,bei'gu'men
北红星,bei'hong'xing
悲剧的很,bei'ju'de'hen
北麓,bei'lu
北汽城,bei'qi'cheng
北桥头,bei'qiao'tou
北泉,bei'quan
背时的,bei'shi'de
北温泉,bei'wen'quan
碚峡路,bei'xia'lu
笨的很,ben'de'hen
本来斗,ben'lai'dou
本来都是,ben'lai'dou'shi
本来就没得,ben'lai'jiu'mei'de
本来就是撒,ben'lai'jiu'shi'sa
笨哟,ben'yo
毕不到业,bi'bu'dao'ye
比不赢,bi'bu'ying
璧城,bi'cheng
比重庆,bi'chong'qing
闭到,bi'dao
闭到眼睛,bi'dao'yan'jing
必发,bi'fa
碧津,bi'jin
碧津公园,bi'jin'gong'yuan
毕竟公园,bi'jing'gong'yuan
璧山,bi'shan
璧山的,bi'shan'de
璧山了,bi'shan'le
璧山县,bi'shan'xian
必须的撒,bi'xu'de'sa
必须撒,bi'xu'sa
璧中,bi'zhong
边边,bian'bian
边边的,bian'bian'de
边边去,bian'bian'qu
边带,bian'dai
边耍,bian'shua
标件,biao'jian
表叔娘,biao'shu'niang
别个班,bie'ge'ban
别个的,bie'ge'de
别个都,bie'ge'dou
别个都是,bie'ge'dou'shi
别个都说,bie'ge'dou'shuo
别个看,bie'ge'kan
别个了,bie'ge'le
别个是,bie'ge'shi
别个说,bie'ge'shuo
别个说的,bie'ge'shuo'de
别个屋,bie'ge'wu
别个要,bie'ge'yao
别个在,bie'ge'zai
滨江路,bin'jiang'lu
滨路,bin'lu
冰点水,bing'dian'shui
冰粉,bing'fen
冰箱头,bing'xiang'tou
波尔皮,bo'er'pi
不安逸,bu'an'yi
不安逸了,bu'an'yi'le
不安逸你,bu'an'yi'ni
不安逸你了,bu'an'yi'ni'le
不安逸我,bu'an'yi'wo
不摆老,bu'bai'lao
不摆了,bu'bai'le
不比得,bu'bi'de
不成在,bu'cheng'zai
不出切,bu'chu'qie
不出去耍,bu'chu'qu'shua
不存在哈,bu'cun'zai'ha
不存在撒,bu'cun'zai'sa
不错怕,bu'cuo'pa
不错撒,bu'cuo'sa
不错噻,bu'cuo'sai
不打望,bu'da'wang
不到好久,bu'dao'hao'jiu
不得变,bu'de'bian
不得打,bu'de'da
不得放,bu'de'fang
不得干,bu'de'gan
不得搞,bu'de'gao
不得给,bu'de'gei
不得给你,bu'de'gei'ni
不得给你说,bu'de'gei'ni'shuo
不得挂,bu'de'gua
不得管,bu'de'guan
不得换,bu'de'huan
不得会,bu'de'hui
不得来,bu'de'lai
不得来了,bu'de'lai'le
不得冷,bu'de'leng
不得理你,bu'de'li'ni
不得理你了,bu'de'li'ni'le
不得买,bu'de'mai
不得鸟,bu'de'niao
不得怕,bu'de'pa
不得屁,bu'de'pi
不得撇,bu'de'pie
不得切,bu'de'qie
不得去,bu'de'qu
不得撒,bu'de'sa
不得是,bu'de'shi
不得说,bu'de'shuo
不得死,bu'de'si
不得听,bu'de'ting
不得忘,bu'de'wang
不得问,bu'de'wen
不得想,bu'de'xiang
不得信,bu'de'xin
不得行,bu'de'xing
不得行啊,bu'de'xing'a
不得行了,bu'de'xing'le
不得行哦,bu'de'xing'o
不得行呀,bu'de'xing'ya
不得行哟,bu'de'xing'yo
不得要,bu'de'yao
不得也,bu'de'ye
不得哟,bu'de'yo
不得遭,bu'de'zao
不得准,bu'de'zhun
不得走,bu'de'zou
不得做,bu'de'zuo
不都不,bu'dou'bu
不都不存在,bu'dou'bu'cun'zai
不都不得,bu'dou'bu'de
不都不是,bu'dou'bu'shi
不都不想,bu'dou'bu'xiang
不都不晓得,bu'dou'bu'xiao'de
不斗是,bu'dou'shi
不对头,bu'dui'tou
不对哟,bu'dui'yo
不多撒,bu'duo'sa
不多耍,bu'duo'shua
不干撒子,bu'gan'sa'zi
不干啥子,bu'gan'sha'zi
不敢耍,bu'gan'shua
不干算了,bu'gan'suan'le
不耿直,bu'geng'zhi
不管啷个,bu'guan'lang'ge
不管撒子,bu'guan'sa'zi
不好得,bu'hao'de
不好迈,bu'hao'mai
不好耍,bu'hao'shua
不好耍啊,bu'hao'shua'a
不好耍了,bu'hao'shua'le
不好耍呀,bu'hao'shua'ya
不好说得,bu'hao'shuo'de
不好哟,bu'hao'yo
不黑人,bu'hei'ren
不慌嘛,bu'huang'ma
不回切,bu'hui'qie
不会哟,bu'hui'yo
不假打,bu'jia'da
不觉你,bu'jue'ni
不看哈,bu'kan'ha
不可能哦,bu'ke'neng'o
不可能撒,bu'ke'neng'sa
不可能我,bu'ke'neng'wo
不可能哟,bu'ke'neng'yo
补瞌睡,bu'ke'shui
不可以迈,bu'ke'yi'mai
不可以所,bu'ke'yi'suo
不来重庆,bu'lai'chong'qing
不来老,bu'lai'lao
不来哟,bu'lai'yo
不啷个,bu'lang'ge
不老火,bu'lao'huo
不楞个,bu'leng'ge
不理你老,bu'li'ni'lao
不理我了所,bu'li'wo'le'suo
不理我所,bu'li'wo'suo
不理我也,bu'li'wo'ye
不卵我,bu'luan'wo
不忙撒,bu'mang'sa
不忙说,bu'mang'shuo
不忙说了,bu'mang'shuo'le
不忙所,bu'mang'suo
不忙也,bu'mang'ye
不冒火,bu'mao'huo
不囊个,bu'nang'ge
不闹话,bu'nao'hua
不恼火,bu'nao'huo
不嫩个,bu'nen'ge
不弄饭,bu'nong'fan
不怕撒,bu'pa'sa
不怕笑,bu'pa'xiao
不撇,bu'pie
补起,bu'qi
不求晓得,bu'qiu'xiao'de
不去老,bu'qu'lao
不去了撒,bu'qu'le'sa
不去撒,bu'qu'sa
不去耍,bu'qu'shua
不然啷个,bu'ran'lang'ge
不然呀,bu'ran'ya
不撒子,bu'sa'zi
不啥子,bu'sha'zi
不是重庆,bu'shi'chong'qing
不是喊你,bu'shi'han'ni
不是迈,bu'shi'mai
不是撒,bu'shi'sa
不是哟,bu'shi'yo
不耍,bu'shua
不耍了,bu'shua'le
不耍朋友,bu'shua'peng'you
不耍手机,bu'shua'shou'ji
不耍游戏,bu'shua'you'xi
不说哒,bu'shuo'da
不说话也,bu'shuo'hua'ye
不说看,bu'shuo'kan
不说老,bu'shuo'lao
不为撒子,bu'wei'sa'zi
不为啥子,bu'wei'sha'zi
不喔,bu'wo
不想耍,bu'xiang'shua
不想耍了,bu'xiang'shua'le
不想耍朋友,bu'xiang'shua'peng'you
不想晓得,bu'xiang'xiao'de
不小得,bu'xiao'de
不晓得给,bu'xiao'de'gei
不晓得啷个,bu'xiao'de'lang'ge
不晓得撒,bu'xiao'de'sa
不晓得为啥子,bu'xiao'de'wei'sha'zi
不晓得也,bu'xiao'de'ye
不晓得哟,bu'xiao'de'yo
不虚火,bu'xu'huo
不要楞个,bu'yao'leng'ge
不要嫩个,bu'yao'nen'ge
不要耍,bu'yao'shua
不要遭,bu'yao'zao
不耶,bu'ye
不一样撒,bu'yi'yang'sa
不哟,bu'yo
不用撒,bu'yong'sa
不远撒,bu'yuan'sa
不在重庆,bu'zai'chong'qing
不在老,bu'zai'lao
不在所,bu'zai'suo
不在屋头,bu'zai'wu'tou
不找钱,bu'zhao'qian
不着数,bu'zhao'shu
不知道给,bu'zhi'dao'gei
不准哈,bu'zhun'ha
不准耍,bu'zhun'shua
才安逸,cai'an'yi
菜背篼,cai'bei'dou
才不得,cai'bu'de
才不也,cai'bu'ye
才吃了饭,cai'chi'le'fan
才得行,cai'de'xing
彩电中心,cai'dian'zhong'xin
猜都是,cai'dou'shi
彩钢棚,cai'gang'peng
菜鸽子,cai'ge'zi
才好久,cai'hao'jiu
才好耍,cai'hao'shua
菜花节,cai'hua'jie
才回寝室,cai'hui'qin'shi
蔡家,cai'jia
才老火,cai'lao'huo
才恼火,cai'nao'huo
才耍,cai'shua
才洗了澡,cai'xi'le'zao
菜香源,cai'xiang'yuan
才晓得,cai'xiao'de
菜园坝,cai'yuan'ba
菜园路,cai'yuan'lu
彩云湖,cai'yun'hu
参一个,can'yi'ge
操坝,cao'ba
草街,cao'jie
曾露,ceng'lu
差不多撒,cha'bu'duo'sa
差点点,cha'dian'dian
叉棍,cha'gun
岔路口,cha'lu'kou
差缺,cha'que
茶山竹海,cha'shan'zhu'hai
茶园,cha'yuan
茶园新区,cha'yuan'xin'qu
差人,chai'ren
差人不,chai'ren'bu
铲铲,chan'chan
长安别,chang'an'bie
长安厂,chang'an'chang
长安车,chang'an'che
长安福特,chang'an'fu'te
长安华都,chang'an'hua'du
长安锦绣城,chang'an'jin'xiu'cheng
长安丽都,chang'an'li'du
长安铃木,chang'an'ling'mu
长滨路,chang'bin'lu
长福路,chang'fu'lu
长乖了,chang'guai'le
长嘉汇,chang'jia'hui
长江村,chang'jiang'cun
长江大桥,chang'jiang'da'qiao
长江二路,chang'jiang'er'lu
长江国际,chang'jiang'guo'ji
长江师范,chang'jiang'shi'fan
长江师范学院,chang'jiang'shi'fan'xue'yuan
长圣,chang'sheng
长生桥,chang'sheng'qiao
长寿,chang'shou
长寿的,chang'shou'de
长寿古镇,chang'shou'gu'zhen
长寿湖,chang'shou'hu
长寿了,chang'shou'le
长寿区,chang'shou'qu
畅通卡,chang'tong'ka
厂头,chang'tou
场训,chang'xun
昌野,chang'ye
昌元,chang'yuan
昌元镇,chang'yuan'zhen
长征厂,chang'zheng'chang
长智慧,chang'zhi'hui
吵啥子,chao'sha'zi
抄手,chao'shou
朝天门,chao'tian'men
炒油场,chao'you'chang
扯得很,che'de'hen
车家坝,che'jia'ba
扯哟,che'yo
扯证,che'zheng
扯证了,che'zheng'le
陈艾,chen'ai
晨报,chen'bao
陈二娃,chen'er'wa
陈家,chen'jia
陈家坝,chen'jia'ba
陈家坪,chen'jia'ping
陈家桥,chen'jia'qiao
陈家湾,chen'jia'wan
陈麻花,chen'ma'hua
陈食,chen'shi
陈娅,chen'ya
成都东,cheng'du'dong
成都东站,cheng'du'dong'zhan
成都麻将,cheng'du'ma'jiang
成都铁路局,cheng'du'tie'lu'ju
城二,cheng'er
城管校,cheng'guan'xiao
城建校,cheng'jian'xiao
城科,cheng'ke
城口,cheng'kou
城口县,cheng'kou'xian
城立方,cheng'li'fang
