办公自动化,ban'gong'zi'dong'hua
版式设计,ban'shi'she'ji
包装设计,bao'zhuang'she'ji
壁挂设计与制作,bi'gua'she'ji'yu'zhi'zuo
壁画,bi'hua
编程基础,bian'cheng'ji'chu
编织设计与制作,bian'zhi'she'ji'yu'zhi'zuo
标志设计,biao'zhi'she'ji
病毒与黑客的防范,bing'du'yu'hei'ke'de'fang'fan
病毒与黑客防范,bing'du'yu'hei'ke'fang'fan
布艺设计与制作,bu'yi'she'ji'yu'zhi'zuo
财务会计,cai'wu'kuai'ji
餐饮部运行与管理,can'yin'bu'yun'xing'yu'guan'li
陈利生,chen'li'sheng
重庆民生学院,chong'qing'min'sheng'xue'yuan
重庆民生职业技术学院,chong'qing'min'sheng'zhi'ye'ji'shu'xue'yuan
重庆民生职业技术学院学生通讯社,chong'qing'min'sheng'zhi'ye'ji'shu'xue'yuan'xue'sheng'tong'xun'she
重庆社会大学,chong'qing'she'hui'da'xue
重庆市民办教育协会,chong'qing'shi'min'ban'jiao'yu'xie'hui
党支部书记会议,dang'zhi'bu'shu'ji'hui'yi
导游,dao'you
德译汉,de'yi'han
德语国家概况,de'yu'guo'jia'gai'kuang
徳语教研室,de'yu'jiao'yan'shi
德语应用文写作,de'yu'ying'yong'wen'xie'zuo
电工与电子技术基础,dian'gong'yu'dian'zi'ji'shu'ji'chu
电梯原理结构与运行,dian'ti'yuan'li'jie'gou'yu'yun'xing
电子商务认证,dian'zi'shang'wu'ren'zheng
电子信息系,dian'zi'xin'xi'xi
定额原理,ding'e'yuan'li
读书活动月,du'shu'huo'dong'yue
多媒体设计基础,duo'mei'ti'she'ji'ji'chu
法译汉,fa'yi'han
法语国家概况,fa'yu'guo'jia'gai'kuang
法语教研室,fa'yu'jiao'yan'shi
法语应用文写作,fa'yu'ying'yong'wen'xie'zuo
饭店财物管理,fan'dian'cai'wu'guan'li
翻译理论与实践,fan'yi'li'lun'yu'shi'jian
防火墙技术,fang'huo'qiang'ji'shu
方文全,fang'wen'quan
房屋建筑学,fang'wu'jian'zhu'xue
方镛,fang'yong
服饰配件与制作,fu'shi'pei'jian'yu'zhi'zuo
服装概论,fu'zhuang'gai'lun
服装工艺,fu'zhuang'gong'yi
服装结构制图,fu'zhuang'jie'gou'zhi'tu
服装设计,fu'zhuang'she'ji
服装设计师,fu'zhuang'she'ji'shi
干部会,gan'bu'hui
工程估价,gong'cheng'gu'jia
工程结构,gong'cheng'jie'gou
工程经济管理系,gong'cheng'jing'ji'guan'li'xi
工程经济与管理,gong'cheng'jing'ji'yu'guan'li
工程力学,gong'cheng'li'xue
工程项目管理,gong'cheng'xiang'mu'guan'li
工程造价,gong'cheng'zao'jia
工程制图与计算机绘图,gong'cheng'zhi'tu'yu'ji'suan'ji'hui'tu
公共课教研室,gong'gong'ke'jiao'yan'shi
公共空间设计,gong'gong'kong'jian'she'ji
公共英语课教研小组,gong'gong'ying'yu'ke'jiao'yan'xiao'zu
工会委员,gong'hui'wei'yuan
