奥陶系,ao'tao'xi
巴东组,ba'dong'zu
白垩系,bai'e'xi
白云岩,bai'yun'yan
白云质灰岩,bai'yun'zhi'hui'yan
宝塔组,bao'ta'zu
背斜,bei'xie
崩坡积,beng'po'ji
边坡,bian'po
标贯,biao'guan
标准贯入,biao'zhun'guan'ru
不整合,bu'zheng'he
采取率,cai'qu'lv
残坡积,can'po'ji
层底高程,ceng'di'gao'cheng
产状,chan'zhuang
常年洪水位,chang'nian'hong'shui'wei
长兴组,chang'xing'zu
持力层,chi'li'ceng
冲洪积,chong'hong'ji
抽水,chou'shui
抽水试验,chou'shui'shi'yan
初勘,chu'kan
大理岩,da'li'yan
大隆组,da'long'zu
大容重试验,da'rong'zhong'shi'yan
大湾组,da'wan'zu
大冶组,da'ye'zu
档墙,dang'qiang
地层,di'ceng
地层代号,di'ceng'dai'hao
地勘,di'kan
地壳,di'qiao
第四系,di'si'xi
低液限粘土,di'ye'xian'nian'tu
断层,duan'ceng
二叠系,er'die'xi
二段,er'duan
方位,fang'wei
方位角,fang'wei'jiao
粉砂土,fen'sha'tu
粉砂岩,fen'sha'yan
分乡组,fen'xiang'zu
粉质粘土,fen'zhi'nian'tu
高程,gao'cheng
高路堤,gao'lu'di
高填方,gao'tian'fang
工勘,gong'kan
孤峰组,gu'feng'zu
古生界,gu'sheng'jie
含砾砂岩,han'li'sha'yan
寒武系,han'wu'xi
红花园组,hong'hua'yuan'zu
洪水位,hong'shui'wei
后坝组,hou'ba'zu
花岗岩,hua'gang'yan
滑坡,hua'po
黄龙组,huang'long'zu
灰岩,hui'yan
嘉陵江组,jia'ling'jiang'zu
角砾,jiao'li
角砾岩,jiao'li'yan
角砾状灰岩,jiao'li'zhuang'hui'yan
静探,jing'tan
局部含有少量泥质,ju'bu'han'you'shao'liang'ni'zhi
勘察,kan'cha
勘察期水位,kan'cha'qi'shui'wei
勘探点,kan'tan'dian
块石土,kuai'shi'tu
雷口坡组,lei'kou'po'zu
砾石,li'shi
砾岩,li'yan
梁山组,liang'shan'zu
临湘组,lin'xiang'zu
龙马溪组,long'ma'xi'zu
路堤挡墙,lu'di'dang'qiang
路肩挡墙,lu'jian'dang'qiang
路堑,lu'qian
卵石土,luan'shi'tu
罗惹坪群,luo're'ping'qun
麻花钻,ma'hua'zuan
茅口组,mao'kou'zu
毛田组,mao'tian'zu
南津关组,nan'jin'guan'zu
泥灰岩,ni'hui'yan
拟建物,ni'jian'wu
泥盆系,ni'pen'xi
泥岩,ni'yan
泥质粉砂岩,ni'zhi'fen'sha'yan
泥质灰岩,ni'zhi'hui'yan
泥质砂岩,ni'zhi'sha'yan
粘土,nian'tu
凝灰岩,ning'hui'yan
蓬莱镇组,peng'lai'zhen'zu
平井组,ping'jing'zu
剖面,pou'mian
剖面图,pou'mian'tu
剖面线,pou'mian'xian
栖霞组,qi'xia'zu
钎探,qian'tan
强风化,qiang'feng'hua
倾角,qing'jiao
倾向,qing'xiang
全风化,quan'feng'hua
弱风化,ruo'feng'hua
三叠系,san'die'xi
三段,san'duan
砂土,sha'tu
沙溪庙组,sha'xi'miao'zu
砂岩,sha'yan
砂质泥岩,sha'zhi'ni'yan
上段,shang'duan
上统,shang'tong
石冷水组,shi'leng'shui'zu
视倾角,shi'qing'jiao
石炭系,shi'tan'xi
十字铺组,shi'zi'pu'zu
水位,shui'wei
水文试验,shui'wen'shi'yan
水样,shui'yang
顺层边坡,shun'ceng'bian'po
四段,si'duan
素填土,su'tian'tu
隧道,sui'dao
遂宁组,sui'ning'zu
碎石土,sui'shi'tu
探槽,tan'cao
探井,tan'jing
特大桥,te'da'qiao
提水,ti'shui
提水试验,ti'shui'shi'yan
天然休止角,tian'ran'xiu'zhi'jiao
填筑土,tian'zhu'tu
土层,tu'ceng
土样,tu'yang
微风化,wei'feng'hua
五段,wu'duan
五峰组,wu'feng'zu
吴家坪组,wu'jia'ping'zu
溪沟,xi'gou
下段,xia'duan
下统,xia'tong
详勘,xiang'kan
向斜,xiang'xie
新田沟组,xin'tian'gou'zu
新鲜面,xin'xian'mian
休止角,xiu'zhi'jiao
须家河组,xu'jia'he'zu
玄武岩,xuan'wu'yan
亚粘土,ya'nian'tu
岩石质量指标,yan'shi'zhi'liang'zhi'biao
岩土,yan'tu
岩土界线,yan'tu'jie'xian
岩性,yan'xing
岩性界线,yan'xing'jie'xian
岩样,yan'yang
页岩,ye'yan
一次性详细勘察,yi'ci'xing'xiang'xi'kan'cha
一段,yi'duan
淤泥,yu'ni
原位测试,yuan'wei'ce'shi
匝道,za'dao
杂填土,za'tian'tu
珍珠冲组,zhen'zhu'chong'zu
正阳组,zheng'yang'zu
志留系,zhi'liu'xi
中风化,zhong'feng'hua
重力触探,zhong'li'chu'tan
重探,zhong'tan
中统,zhong'tong
侏罗系,zhu'luo'xi
柱状图,zhu'zhuang'tu
自流井组,zi'liu'jing'zu
走向,zou'xiang
钻孔,zuan'kong
最高洪水位,zui'gao'hong'shui'wei
