半妖,ban'yao
伴音,ban'yin
邦弥,bang'mi
彼岸,bi'an
靫巴,cha'ba
唱弥,chang'mi
魑魅魍魉,chi'mei'wang'liang
村田太志,cun'tian'tai'zhi
大川透,da'chuan'tou
大国主,da'guo'zhu
大黑,da'hei
大吾,da'wu
道标,dao'biao
道司,dao'si
钉宫理惠,ding'gong'li'hui
东城日沙子,dong'cheng'ri'sha'zi
东内麻里子,dong'nei'ma'li'zi
丰崎爱生,feng'qi'ai'sheng
风穴,feng'xue
福山润,fu'shan'run
祓楔,fu'xie
高桥伸也,gao'qiao'shen'ye
高天原,gao'tian'yuan
高尾雪,gao'wei'xue
宫泽清子,gong'ze'qing'zi
黄泉之地,huang'quan'zhi'di
黄泉之语,huang'quan'zhi'yu
惠比寿,hui'bi'shou
惠比寿小福,hui'bi'shou'xiao'fu
祸津神,huo'jin'shen
夹缝之居民,jia'feng'zhi'ju'min
建御雷神,jian'yu'lei'shen
截弥,jie'mi
今井麻美,jin'jing'ma'mei
井上和彦,jing'shang'he'yan
蓝巴,lan'ba
莲岳大,lian'yue'da
岭巴,ling'ba
铃巴,ling'ba
瑠巴,liu'ba
陆巴,lu'ba
蠃蚌,luo'bang
梅雨,mei'yu
面妖,mian'yao
明坂聪美,ming'ban'cong'mei
内田真礼,nei'tian'zhen'li
毘沙门,pi'sha'men
毘沙门天,pi'sha'men'tian
片贝熏,pian'bei'xun
贫穷神,pin'qiong'shen
七福神,qi'fu'shen
芹泽优,qin'ze'you
秋巴,qiu'ba
囷巴,qun'ba
纴巴,ren'ba
山本兼平,shan'ben'jian'ping
山谷祥生,shan'gu'xiang'sheng
绍巴,shao'ba
神谷浩史,shen'gu'hao'shi
神器,shen'qi
神议,shen'yi
石川界人,shi'chuan'jie'ren
时化,shi'hua
数巴,shu'ba
帅不过三秒,shuai'bu'guo'san'miao
双太刀,shuang'tai'dao
藤崎浩人,teng'qi'hao'ren
天神,tian'shen
亡灵,wang'ling
威娜,wei'na
梶裕贵,wei'yu'gui
苇原中国,wei'yuan'zhong'guo
文巴,wen'ba
五日元,wu'ri'yuan
武神,wu'shen
西山宏太朗,xi'shan'hong'tai'lang
小野大辅,xiao'ye'da'fu
小泽亚李,xiao'ze'ya'li
星野贵纪,xing'ye'gui'ji
雪音,xue'yin
询麻,xun'ma
严弥,yan'mi
夜斗,ye'dou
野良,ye'liang
刈巴,yi'ba
一岐日和,yi'qi'ri'he
一线,yi'xian
樱井孝宏,ying'jing'xiao'hong
早见沙织,zao'jian'sha'zhi
泽城美雪,ze'cheng'mei'xue
兆麻,zhao'ma
真喻,zhen'yu
栉姬,zhi'ji
置鲇龙太郎,zhi'nian'long'tai'lang
种崎敦美,zhong'qi'dun'mei
祝器,zhu'qi
祝与咒,zhu'yu'zhou
佐藤奏美,zuo'teng'zou'mei
