阿城南,a'cheng'nan
阿骨打,a'gu'da
谙班勃极烈,an'ban'bo'ji'lie
霸主地位,ba'zhu'di'wei
白城镇,bai'cheng'zhen
北达今外兴安岭,bei'da'jin'wai'xing'an'ling
北两面受敌窘境,bei'liang'mian'shou'di'jiong'jing
避免两面作战,bi'mian'liang'mian'zuo'zhan
兵力既分,bing'li'ji'fen
并受契丹所统治,bing'shou'qi'dan'suo'tong'zhi
采取弃北图南的战略,cai'qu'qi'bei'tu'nan'de'zhan'lue
采用国相制,cai'yong'guo'xiang'zhi
称帝建国,cheng'di'jian'guo
成吉思汗于建国后对金,cheng'ji'si'han'yu'jian'guo'hou'dui'jin
出河店之战,chu'he'dian'zhi'zhan
初设四勃极烈,chu'she'si'bo'ji'lie
处于西,chu'yu'xi
从中都迁都汴京,cong'zhong'du'qian'du'bian'jing
存在很大差异,cun'zai'hen'da'cha'yi
但基本上是继承辽,dan'ji'ben'shang'shi'ji'cheng'liao
担心攻金时,dan'xin'gong'jin'shi
的侧面威胁,de'ce'mian'wei'xie
的兴起,de'xing'qi
地方设路,di'fang'she'lu
东临于海,dong'lin'yu'hai
都勃极烈,dou'bo'ji'lie
对待三国的战略,dui'dai'san'guo'de'zhan'lue
对各项制度,dui'ge'xiang'zhi'du
对抗蒙古,dui'kang'meng'gu
多次交兵,duo'ci'jiao'bing
伐辽征战,fa'liao'zheng'zhan
废除国相制,fei'chu'guo'xiang'zhi
分治诸部,fen'zhi'zhu'bu
各部人马,ge'bu'ren'ma
各地区的经济发展,ge'di'qu'de'jing'ji'fa'zhan
各项制度大体确立,ge'xiang'zhi'du'da'ti'que'li
功不补患,gong'bu'bu'huan
工六部分掌政务,gong'liu'bu'fen'zhang'zheng'wu
攻取五京的前后步骤是东京,gong'qu'wu'jing'de'qian'hou'bu'zhou'shi'dong'jing
攻宋,gong'song
国号大金,guo'hao'da'jin
国力日衰,guo'li'ri'shuai
国论阿买勃极烈,guo'lun'a'mai'bo'ji'lie
国论忽鲁勃极烈,guo'lun'hu'lu'bo'ji'lie
国论乙室勃极烈,guo'lun'yi'shi'bo'ji'lie
国论昃勃极烈,guo'lun'ze'bo'ji'lie
国土日蹙,guo'tu'ri'cu
国相与部落联盟长,guo'xiang'yu'bu'luo'lian'meng'chang
和黑龙江流域,he'hei'long'jiang'liu'yu
很快统一了,hen'kuai'tong'yi'le
很快席卷而南,hen'kuai'xi'juan'er'nan
很早就生活,hen'zao'jiu'sheng'huo
后迁都燕京,hou'qian'du'yan'jing
护步答冈会战,hu'bu'da'gang'hui'zhan
会宁府,hui'ning'fu
即位后,ji'wei'hou
建立勃极烈辅政制,jian'li'bo'ji'lie'fu'zheng'zhi
建立的王朝,jian'li'de'wang'chao
疆域盛时,jiang'yu'sheng'shi
结果三面树敌,jie'guo'san'mian'shu'di
结夏联宋,jie'xia'lian'song
结怨甚深,jie'yuan'shen'shen
金北方尽失于蒙,jin'bei'fang'jin'shi'yu'meng
今北京,jin'bei'jing
金朝的农业,jin'chao'de'nong'ye
金朝建国后,jin'chao'jian'guo'hou
金朝建立之后,jin'chao'jian'li'zhi'hou
金朝统治者,jin'chao'tong'zhi'zhe
金处于西,jin'chu'yu'xi
金代文化,jin'dai'wen'hua
金的强国地位,jin'de'qiang'guo'di'wei
金的正确选择是,jin'de'zheng'que'xuan'ze'shi
金共历九帝,jin'gong'li'jiu'di
进攻南宋,jin'gong'nan'song
金国的政治,jin'guo'de'zheng'zhi
金国于天兴二年,jin'guo'yu'tian'xing'er'nian
金海陵王,jin'hai'ling'wang
今河南开封,jin'he'nan'kai'feng
今黑龙江,jin'hei'long'jiang
今黑龙江与吉林省间拉林河,jin'hei'long'jiang'yu'ji'lin'sheng'jian'la'lin'he
今拉林河,jin'la'lin'he
今辽宁辽阳,jin'liao'ning'liao'yang
金蒙世仇,jin'meng'shi'chou
金灭辽后,jin'mie'liao'hou
今内蒙古巴林左旗南,jin'nei'meng'gu'ba'lin'zuo'qi'nan
今内蒙古宁城西大名城,jin'nei'meng'gu'ning'cheng'xi'da'ming'cheng
进入一个新的时期,jin'ru'yi'ge'xin'de'shi'qi
今山西大同,jin'shan'xi'da'tong
金世宗时,jin'shi'zong'shi
金太宗,jin'tai'zong
金太宗时,jin'tai'zong'shi
金为减轻压力,jin'wei'jian'qing'ya'li
金西北邻蒙古,jin'xi'bei'lin'meng'gu
金熙宗时,jin'xi'zong'shi
金在与南宋,jin'zai'yu'nan'song
金坐视不救,jin'zuo'shi'bu'jiu
军事及经济制度,jun'shi'ji'jing'ji'zhi'du
均无力改变,jun'wu'li'gai'bian
开始采用许多辽,kai'shi'cai'yong'xu'duo'liao
开始了,kai'shi'le
抗蒙的战略,kang'meng'de'zhan'lue
可以从西面,ke'yi'cong'xi'mian
可以免除后顾之忧,ke'yi'mian'chu'hou'gu'zhi'you
涞流河,lai'liu'he
联合进攻下灭亡,lian'he'jin'gong'xia'mie'wang
联合南宋,lian'he'nan'song
辽朝随即灭亡,liao'chao'sui'ji'mie'wang
辽天庆四年,liao'tian'qing'si'nian
流水,liu'shui
蒙古攻西夏,meng'gu'gong'xi'xia
蒙古人对金,meng'gu'ren'dui'jin
灭辽之战,mie'liao'zhi'zhan
灭亡北宋,mie'wang'bei'song
命女真,ming'nv'zhen
乃定议致讨,nai'ding'yi'zhi'tao
南北对峙的局面,nan'bei'dui'zhi'de'ju'mian
南抵淮河,nan'di'huai'he
南方受挫于宋,nan'fang'shou'cuo'yu'song
南攻与北伐,nan'gong'yu'bei'fa
南开宋,nan'kai'song
南邻南宋,nan'lin'nan'song
南三战之地,nan'san'zhan'zhi'di
南宋屈辱求和,nan'song'qu'ru'qiu'he
年号收国,nian'hao'shou'guo
宁江大捷,ning'jiang'da'jie
女真部落联盟时,nv'zhen'bu'luo'lian'meng'shi
女真各部,nv'zhen'ge'bu
女真完颜部,nv'zhen'wan'yan'bu
女真之名,nv'zhen'zhi'ming
女真族的发展,nv'zhen'zu'de'fa'zhan
女真族的某些文化传统,nv'zhen'zu'de'mou'xie'wen'hua'chuan'tong
女真族的祖先,nv'zhen'zu'de'zu'xian
女真族领袖完颜阿骨打,nv'zhen'zu'ling'xiu'wan'yan'a'gu'da
迫使西夏臣附,po'shi'xi'xia'chen'fu
其创建者,qi'chuang'jian'zhe
企图挹彼注兹,qi'tu'yi'bi'zhu'zi
其重要原因是,qi'zhong'yao'yuan'yin'shi
迁都中都,qian'du'zhong'du
前后一百二十年,qian'hou'yi'bai'er'shi'nian
前后有所变化,qian'hou'you'suo'bian'hua
牵制蒙古南下,qian'zhi'meng'gu'nan'xia
全力对付蒙古,quan'li'dui'fu'meng'gu
却错误地,que'cuo'wu'de
然未敢轻动,ran'wei'gan'qing'dong
上京,shang'jing
胜利后,sheng'li'hou
始见于史籍,shi'jian'yu'shi'ji
是金太祖,shi'jin'tai'zu
誓师来,shi'shi'lai
失之于蒙而获利于宋,shi'zhi'yu'meng'er'huo'li'yu'song
是中国历史上,shi'zhong'guo'li'shi'shang
始终维持其,shi'zhong'wei'chi'qi
是主要社会经济部门,shi'zhu'yao'she'hui'jing'ji'bu'men
受到了威胁,shou'dao'le'wei'xie
手工业和商业,shou'gong'ye'he'shang'ye
率部誓师于,shuai'bu'shi'shi'yu
宋的汉族文化,song'de'han'zu'wen'hua
宋之地后,song'zhi'di'hou
宋制度,song'zhi'du
