爱登堡,ai'deng'bao
隘门,ai'men
安家庄,an'jia'zhuang
安装农场,an'zhuang'nong'chang
鞍子山,an'zi'shan
敖包沟,ao'bao'gou
八坝村,ba'ba'cun
八道梁,ba'dao'liang
八栋房,ba'dong'fang
八分地,ba'fen'di
坝沟,ba'gou
巴黎春天,ba'li'chun'tian
八里河,ba'li'he
巴乡石锅鱼,ba'xiang'shi'guo'yu
八冶医院,ba'ye'yi'yuan
八一饭店,ba'yi'fan'dian
八一农场,ba'yi'nong'chang
白疙瘩,bai'ge'da
百花秀肤,bai'hua'xiu'fu
白家湾,bai'jia'wan
白家庄,bai'jia'zhuang
白露沟,bai'lu'gou
白露山,bai'lu'shan
白沙沟,bai'sha'gou
白石咀,bai'shi'ju
白石口,bai'shi'kou
白石头沟,bai'shi'tou'gou
白土岭,bai'tu'ling
半截沟,ban'jie'gou
宝乐园,bao'le'yuan
暴庄,bao'zhuang
豹子头,bao'zi'tou
北长沟,bei'chang'gou
北大滩,bei'da'tan
北地村,bei'di'cun
北干河,bei'gan'he
北干渠,bei'gan'qu
北沟,bei'gou
北古城,bei'gu'cheng
北海子,bei'hai'zi
北海子村,bei'hai'zi'cun
北海子公园,bei'hai'zi'gong'yuan
北京路街道办,bei'jing'lu'jie'dao'ban
北京路市场,bei'jing'lu'shi'chang
北刘家庄,bei'liu'jia'zhuang
北泉村,bei'quan'cun
北沙沟,bei'sha'gou
北沙窝,bei'sha'wo
北山,bei'shan
北山坡,bei'shan'po
北梢,bei'shao
北滩,bei'tan
北洼子,bei'wa'zi
北湾,bei'wan
北王家庄,bei'wang'jia'zhuang
北新庄,bei'xin'zhuang
北庄子,bei'zhuang'zi
碧海云天,bi'hai'yun'tian
边底下,bian'di'xia
边外,bian'wai
冰沟,bing'gou
步森服饰,bu'sen'fu'shi
蔡家地,cai'jia'di
蔡家沟,cai'jia'gou
蔡家山,cai'jia'shan
蔡家小学,cai'jia'xiao'xue
蔡家庄,cai'jia'zhuang
财政宾馆,cai'zheng'bin'guan
曹大庄,cao'da'zhuang
曹家沟,cao'jia'gou
曹家庄,cao'jia'zhuang
柴沟,chai'gou
柴家庄,chai'jia'zhuang
长城电脑专卖,chang'cheng'dian'nao'zhuan'mai
长沟,chang'gou
常家庄,chang'jia'zhuang
长沙沟,chang'sha'gou
长沙岭,chang'sha'ling
长沙窝,chang'sha'wo
车站宾馆,che'zhan'bin'guan
陈仓村,chen'cang'cun
陈家寨村,chen'jia'zhai'cun
陈家庄,chen'jia'zhuang
陈家庄子,chen'jia'zhuang'zi
陈木匠,chen'mu'jiang
陈新庄,chen'xin'zhuang
城关派出所,cheng'guan'pai'chu'suo
赤金山,chi'jin'shan
赤金子,chi'jin'zi
臭水井,chou'shui'jing
禇家庄,chu'jia'zhuang
春光照相馆,chun'guang'zhao'xiang'guan
春天大药房,chun'tian'da'yao'fang
茨沟,ci'gou
刺沟,ci'gou
刺湾,ci'wan
崔家沟,cui'jia'gou
崔家庄,cui'jia'zhuang
大坝村,da'ba'cun
大白沟,da'bai'gou
大板沟,da'ban'gou
大坂头,da'ban'tou
大北山,da'bei'shan
大冰沟,da'bing'gou
大墩,da'dun
达芙妮,da'fu'ni
大干沟,da'gan'gou
大圪垯,da'ge'da
大沟,da'gou
大黑沟,da'hei'gou
大井湾,da'jing'wan
大口子,da'kou'zi
大宽沟,da'kuan'gou
大涝池,da'lao'chi
大林沟,da'lin'gou
大岭沟,da'ling'gou
大帽口,da'mao'kou
大门庄,da'men'zhuang
大胖涮锅,da'pang'shuan'guo
大平滩,da'ping'tan
大坡沟,da'po'gou
大泉,da'quan
大三沟,da'san'gou
大沙沟,da'sha'gou
大沙窝,da'sha'wo
大山,da'shan
大山湾,da'shan'wan
大土沟,da'tu'gou
大碗王,da'wan'wang
大王家庄,da'wang'jia'zhuang
大西沟,da'xi'gou
大窑沟,da'yao'gou
大宇商行,da'yu'shang'hang
大寨子,da'zhai'zi
大寨子村,da'zhai'zi'cun
大庄子,da'zhuang'zi
戴尔,dai'er
代家庄,dai'jia'zhuang
当中沟,dang'zhong'gou
道沟,dao'gou
倒沟,dao'gou
德生堂,de'sheng'tang
狄家庄,di'jia'zhuang
滴水泉,di'shui'quan
电厂福利区,dian'chang'fu'li'qu
东槽子,dong'cao'zi
东岔,dong'cha
东大山,dong'da'shan
东大滩,dong'da'tan
东方红市场,dong'fang'hong'shi'chang
东岗,dong'gang
东沟,dong'gou
东沟村,dong'gou'cun
东沟庄,dong'gou'zhuang
东旱河,dong'han'he
东红岭,dong'hong'ling
董家堡村,dong'jia'bao'cun
董家庄,dong'jia'zhuang
东井,dong'jing
东井沟,dong'jing'gou
东矿区,dong'kuang'qu
东南庄,dong'nan'zhuang
东坪坡,dong'ping'po
东三沟,dong'san'gou
东山,dong'shan
东山口,dong'shan'kou
东山梁,dong'shan'liang
东石门,dong'shi'men
东水泉,dong'shui'quan
东四沟,dong'si'gou
东台,dong'tai
东滩,dong'tan
东滩沟,dong'tan'gou
东湾,dong'wan
东湾村,dong'wan'cun
东西中学,dong'xi'zhong'xue
东园,dong'yuan
东寨镇,dong'zhai'zhen
东庄子,dong'zhuang'zi
洞子沟,dong'zi'gou
陡沟,dou'gou
杜家墩,du'jia'dun
杜家寨村,du'jia'zhai'cun
杜家庄,du'jia'zhuang
独山子,du'shan'zi
都市丽人,du'shi'li'ren
杜新庄,du'xin'zhuang
墩墩山,dun'dun'shan
敦煌宫,dun'huang'gong
墩子桥,dun'zi'qiao
鄂博沟,e'bo'gou
鄂尔多斯,e'er'duo'si
二坝村,er'ba'cun
二道沟,er'dao'gou
二分子,er'fen'zi
二沟,er'gou
二磨,er'mo
法国梦特娇,fa'guo'meng'te'jiao
发艺工作室,fa'yi'gong'zuo'shi
范家庄,fan'jia'zhuang
方沟村,fang'gou'cun
方家庄,fang'jia'zhuang
风门山,feng'men'shan
丰收湾,feng'shou'wan
富华大酒店,fu'hua'da'jiu'dian
傅家庄,fu'jia'zhuang
福利造纸厂,fu'li'zao'zhi'chang
福隆超市,fu'long'chao'shi
副业队,fu'ye'dui
干沟,gan'gou
甘泉子,gan'quan'zi
干沙沟,gan'sha'gou
甘肃好客,gan'su'hao'ke
干渣子,gan'zha'zi
高沟,gao'gou
高家沟,gao'jia'gou
高家井,gao'jia'jing
高家庄,gao'jia'zhuang
高老山,gao'lao'shan
高岭,gao'ling
高石咀,gao'shi'ju
高新庄,gao'xin'zhuang
高崖子,gao'ya'zi
高崖子村,gao'ya'zi'cun
高庄,gao'zhuang
公厕,gong'ce
工行北京路支行,gong'hang'bei'jing'lu'zhi'hang
工行建设路支行,gong'hang'jian'she'lu'zhi'hang
工行牡丹支行,gong'hang'mu'dan'zhi'hang
工行新华路支行,gong'hang'xin'hua'lu'zhi'hang
