版本,ban'ben
报表,bao'biao
保存天数,bao'cun'tian'shu
编码,bian'ma
标准目录,biao'zhun'mu'lu
部门权限,bu'men'quan'xian
采购分析,cai'gou'fen'xi
采购汇总,cai'gou'hui'zong
采购业务,cai'gou'ye'wu
参数调整,can'shu'tiao'zheng
参照出库,can'zhao'chu'ku
参照录入,can'zhao'lu'ru
仓库权限,cang'ku'quan'xian
差异复核,cha'yi'fu'he
拆箱,chai'xiang
超储,chao'chu
超额,chao'e
超额单,chao'e'dan
成本计算,cheng'ben'ji'suan
出库,chu'ku
出库参照,chu'ku'can'zhao
出库仓库,chu'ku'cang'ku
出库单,chu'ku'dan
出库控制,chu'ku'kong'zhi
出库类型,chu'ku'lei'xing
出库确认,chu'ku'que'ren
储运部,chu'yun'bu
大区管理,da'qu'guan'li
待发货量,dai'fa'huo'liang
代销配货,dai'xiao'pei'huo
单号,dan'hao
单据,dan'ju
单据来源,dan'ju'lai'yuan
单据日期,dan'ju'ri'qi
单据审核,dan'ju'shen'he
导出模版,dao'chu'mo'ban
到货日期,dao'huo'ri'qi
导入模版,dao'ru'mo'ban
导入设置,dao'ru'she'zhi
登录端口,deng'lu'duan'kou
登录名称,deng'lu'ming'cheng
地区档案,di'qu'dang'an
店间调货,dian'jian'diao'huo
调拨,diao'bo
调拨出库,diao'bo'chu'ku
调拨配货,diao'bo'pei'huo
调拨入库,diao'bo'ru'ku
订单终止,ding'dan'zhong'zhi
订货会,ding'huo'hui
短缺预警,duan'que'yu'jing
二维查看,er'wei'cha'kan
二维展现,er'wei'zhan'xian
发货计划,fa'huo'ji'hua
发货状态,fa'huo'zhuang'tai
分销,fen'xiao
负出库,fu'chu'ku
复核方式,fu'he'fang'shi
付款方式,fu'kuan'fang'shi
管理员,guan'li'yuan
广宣品,guang'xuan'pin
红字销售,hong'zi'xiao'shou
汇总表,hui'zong'biao
汇总状态,hui'zong'zhuang'tai
机构,ji'gou
机构档案,ji'gou'dang'an
机构名称,ji'gou'ming'cheng
机构设置,ji'gou'she'zhi
计量单位,ji'liang'dan'wei
计算对象,ji'suan'dui'xiang
计算精度,ji'suan'jing'du
价格分析,jia'ge'fen'xi
结算方式,jie'suan'fang'shi
进销存汇总,jin'xiao'cun'hui'zong
开单人收款,kai'dan'ren'shou'kuan
开票单位,kai'piao'dan'wei
客户,ke'hu
客户分析,ke'hu'fen'xi
客户化,ke'hu'hua
客户类别,ke'hu'lei'bie
可用量,ke'yong'liang
库存,ku'cun
库存分析,ku'cun'fen'xi
库存控制,ku'cun'kong'zhi
库存业务,ku'cun'ye'wu
来源单据,lai'yuan'dan'ju
连锁组织,lian'suo'zu'zhi
联营管理,lian'ying'guan'li
零售,ling'shou
零售价,ling'shou'jia
零售开单,ling'shou'kai'dan
零售退货,ling'shou'tui'huo
零售业务,ling'shou'ye'wu
门店,men'dian
模版,mo'ban
抹零功能,mo'ling'gong'neng
抹零管理,mo'ling'guan'li
抹零规则,mo'ling'gui'ze
抹零提示,mo'ling'ti'shi
默认值,mo'ren'zhi
盘点,pan'dian
盘点单,pan'dian'dan
盘点准备单,pan'dian'zhun'bei'dan
盘亏,pan'kui
盘盈,pan'ying
配货计划,pei'huo'ji'hua
配货量,pei'huo'liang
批量打印,pi'liang'da'yin
票据存根,piao'ju'cun'gen
品名规格,pin'ming'gui'ge
起订量,qi'ding'liang
期末业务,qi'mo'ye'wu
其它出库,qi'ta'chu'ku
其它入库,qi'ta'ru'ku
企业通知,qi'ye'tong'zhi
启用参数,qi'yong'can'shu
启用状态,qi'yong'zhuang'tai
人员类别,ren'yuan'lei'bie
人员权限,ren'yuan'quan'xian
日常上传,ri'chang'shang'chuan
日常下载,ri'chang'xia'zai
日期取值,ri'qi'qu'zhi
入库,ru'ku
入库参照,ru'ku'can'zhao
入库仓库,ru'ku'cang'ku
入库单,ru'ku'dan
商品,shang'pin
商品编码,shang'pin'bian'ma
商品超储,shang'pin'chao'chu
商品档案,shang'pin'dang'an
商品分布,shang'pin'fen'bu
商品汇总,shang'pin'hui'zong
商品来源去向,shang'pin'lai'yuan'qu'xiang
商品类别,shang'pin'lei'bie
商品条码,shang'pin'tiao'ma
设计器,she'ji'qi
审核,shen'he
审核岗,shen'he'gang
审核状态,shen'he'zhuang'tai
实盘,shi'pan
实盘单,shi'pan'dan
实盘复核,shi'pan'fu'he
实销,shi'xiao
实销价,shi'xiao'jia
使用状态,shi'yong'zhuang'tai
收发类别,shou'fa'lei'bie
收货单位,shou'huo'dan'wei
收货地址,shou'huo'di'zhi
收款确认,shou'kuan'que'ren
收款人收款,shou'kuan'ren'shou'kuan
收款形式,shou'kuan'xing'shi
收款状态,shou'kuan'zhuang'tai
数据管理,shu'ju'guan'li
数据交换,shu'ju'jiao'huan
数据权限,shu'ju'quan'xian
税额,shui'e
税号,shui'hao
税率,shui'lv
统计查询,tong'ji'cha'xun
统计机构,tong'ji'ji'gou
通路管理,tong'lu'guan'li
退回上级,tui'hui'shang'ji
退货单位,tui'huo'dan'wei
退货原因,tui'huo'yuan'yin
显示图片,xian'shi'tu'pian
小票打印,xiao'piao'da'yin
销售,xiao'shou
销售分析,xiao'shou'fen'xi
销售汇总表,xiao'shou'hui'zong'biao
销售量,xiao'shou'liang
销售排名,xiao'shou'pai'ming
销售配货,xiao'shou'pei'huo
信用,xin'yong
信用额度,xin'yong'e'du
序列号,xu'lie'hao
样品档案,yang'pin'dang'an
样品管理,yang'pin'guan'li
业务角色,ye'wu'jue'se
业务员,ye'wu'yuan
一对多,yi'dui'duo
一对一,yi'dui'yi
应付,ying'fu
应付单,ying'fu'dan
应收,ying'shou
应收单,ying'shou'dan
应收分析,ying'shou'fen'xi
应收应付,ying'shou'ying'fu
赠品,zeng'pin
账存数量,zhang'cun'shu'liang
帐套,zhang'tao
帐套内查询,zhang'tao'nei'cha'xun
折扣额,zhe'kou'e
折扣价,zhe'kou'jia
折扣率,zhe'kou'lv
整单参照,zheng'dan'can'zhao
整单应付,zheng'dan'ying'fu
整单应收,zheng'dan'ying'shou
制单人,zhi'dan'ren
终止状态,zhong'zhi'zhuang'tai
周边组织,zhou'bian'zu'zhi
助词码,zhu'ci'ma
助记码,zhu'ji'ma
装箱规格,zhuang'xiang'gui'ge
装箱计量,zhuang'xiang'ji'liang
装箱数量,zhuang'xiang'shu'liang
自动报价,zi'dong'bao'jia
最大金额,zui'da'jin'e
最小金额,zui'xiao'jin'e
作废状态,zuo'fei'zhuang'tai
